sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
i have be in the country a little more than three month $ and have have several attack of the fever $	17	0	attack	I have been in the country a little more than three months ; and have had several attacks of the fever .	fic_1853_9142.txt-2686-17
by oblige him to put his mortar on shore $ and to transport them some distance overland $ we so delay his attack that our troop may be concentrate in great force to oppose his onset $	22	0	attack	By obliging him to put his mortars on shore , and to transport them some distance overland , we so delay his attack that our troops may be concentrated in great force to oppose his onset .	mag_1846_524014.txt-303-22
among the city grant to the latter loxa be particularly specify $ with a condition that he should immediately take command of it in person $ for the council think the favor he enjoy with the castilian monarch might avert the threaten attack $	42	1	attack	Among the cities granted to the latter Loxa was particularly specified , with a condition that he should immediately take command of it in person , for the council thought the favor he enjoyed with the Castilian monarchs might avert the threatened attack .	nf_1829_751465.txt-2786-42
its sympathy for my brother in bond -- its scathing denunciation of slaveholder -- its faithful exposure of slavery -- and its powerful attack upon the upholder of the institution -- send a thrill of joy through my soul $ such as i have never feel before $	23	1	attack	Its sympathy for my brethren in bonds -- its scathing denunciations of slaveholders -- its faithful exposures of slavery -- and its powerful attacks upon the upholders of the institution -- sent a thrill of joy through my soul , such as I had never felt before !	nf_1845_748321.txt-2041-23
have hy an appearance of submission lull the suspicion of the russian $ they detei * mine in the summer of 1802 to make the attack $	25	1	attack	Having hy an appearance of submission lulled the suspicions of the Russians , they detei * mined in the summer of 1802 to make the attack .	mag_1822_553405.txt-345-25
though kemp declare here that his $ imployment for the pageant be utterly spend $ $ yet anthony furnish the city show for 1605 $ 1611 $ and $ in spite of an attack make on him by middleton in 1613 -- see my <nul>	33	1	attack	Though Kemp declares here that his " imployment for the pageant was utterly spent , " yet Anthony furnished the city shows for 1605 , 1611 , and ( in spite of an attack made on him by Middleton in 1613 -- see my ed.	nf_1840_768793.txt-1045-33
bugeaud 's plan be this $ instant attack with an overwhelming force of artillery $ cavalry and infantry of the line $ $ which $ he assert $ he have now all ready in position in anticipation of this event $ and well dispose to act $ $ on all the barricade	7	1	attack	Bugeaud 's plan is this : Instant attack with an overwhelming force of artillery , cavalry and infantry of the Line , ( which , he asserts , he has now all ready in position in anticipation of this event , and well disposed to act , ) on all the barricades	fic_1844_3928.txt-3498-7
in a merely military point of view $ this be sufficiently proper $ for it can not be suppose that either grammar or latin be necessary to the attack and defense of fortify place $ or that the grace of composition be necessary to the art of castrametation $	28	1	attack	In a merely military point of view , this is sufficiently proper ; for it can not be supposed that either grammar or Latin is necessary to the attack and defence of fortified places , or that the graces of composition are necessary to the art of castrametation .	mag_1832_564345.txt-180-28
the attack here allude to relate not to the public work $ but to the whig policy of burrow thirteen hundred thousand dollar $ in violation of the constitution $	1	1	attack	The attack here alluded to relates not to the public works , but to the whig policy of burrowing thirteen hundred thousand dollars , in violation of the constitution .	mag_1850_589167.txt-126-1
yet they stand in special need of defense $ as the country from which they draw their support have not in itself the mean of promptly sustain them in their attempt to repel an attack $ and especially as the hope $ so confidently and cruelly entertain across the atlantic $ of derive assistance from servile insurrection $ would greatly tend to attract invasion towards this portion of our union $	34	1	attack	Yet they stand in special need of defence , as the country from which they draw their support has not in itself the means of promptly sustaining them in their attempts to repel an attack , and especially as the hope , so confidently and cruelly entertained across the Atlantic , of deriving assistance from servile insurrections , would greatly tend to attract invasion towards this portion of our Union .	mag_1846_524014.txt-277-34
