sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ stout canvas bag or sack $ which be secure about him and tie up $	3	0	bag	, stout canvas bag or sack , which was secured about him and tied up .	fic_1851_1253.txt-771-3
it be a thread-ball throw at a mark $ but the other end remain in the thrower 's bag $	18	0	bag	It is a thread-ball thrown at a mark , but the other end remains in the thrower 's bag .	fic_1841_799.txt-1159-18
he ' s be pop some of the corn you give us $ $ reply ella $ $ and he will n't give us a kernel of it $ nor tell us where the bag be $ so that we	34	0	bag	He ' s been popping some of the corn you gave us , " replied Ella ; " and he wo n't give us a kernel of it , nor tell us where the bag is , so that we	fic_1855_2965.txt-1077-34
one of the engineer $ he succeed in obtain possession of his stolen bag of gold $	13	0	bag	one of the engineers , he succeeded in obtaining possession of his stolen bag of gold .	fic_1852_2364.txt-2320-13
as he enter the garden gate she look round $ and see the shot bag $ guess $ with a woman 's rapid wit $ what it mean $ catch it up $ and step out into the porch to meet him $	14	0	bag	As he entered the garden gate she looked round , and seeing the shot bag , guessed , with a woman 's rapid wit , what it meant -- caught it up , and stepped out into the porch to meet him .	fic_1847_7149.txt-2790-14
the dog perceive this error $ and $ wish to rectify it $ run to fetch the bag $ but it be too heavy for him to drag along $	17	0	bag	The dog perceived this error , and , wishing to rectify it , ran to fetch the bag ; but it was too heavy for him to drag along .	mag_1855_505250.txt-366-17
i hang up my medicine bag $ put away my rifle and spear $ feel as if i should want them no more $ as i have no desire to raise other war party against the white unless they give me provocation $	5	0	bag	I hung up my medicine bag , put away my rifle and spear , feeling as if I should want them no more , as I had no desire to raise other war parties against the whites unless they gave me provocation .	nf_1834_755185.txt-797-5
the good woman hold up her purse $ a little linen bag tie at one end with a tow string $ and pretty well distend at the other $ to assure the frugal husband she have not lose it in climb into the wagon $ and have deposit it for safe keep where old lady sometimes stow away thread	11	0	bag	The good woman held up her purse -- a little linen bag tied at one end with a tow string , and pretty well distended at the other -- to assure the frugal husband she had not lost it in climbing into the wagon ; and having deposited it for safe keeping where old ladies sometimes stow away thread	fic_1853_9040.txt-132-11
long before the festivity be over $ my companion and myself stretch ourselves on a wide bag of straw $ and fall asleep $ lull by the scream of the dancer $ $	16	0	bag	Long before the festivity was over , my companions and myself stretched ourselves on a wide bag of straw , and fell asleep , lulled by the screaming of the dancers . "	mag_1845_587513.txt-248-16
the teacher stop some of our folk $ one day $ to ask how i be do ' at my new school $ when $ of course $ the cat be all out of the bag $	35	0	bag	The teacher stopped some of our folks , one day , to ask how I was doin ' at my new school , when , of course , the cat was all out of the bag .	fic_1854_9826.txt-5858-35
some of the protestant church resound with a sacred hymn $ or the voice of the clergyman read a portion of the liturgy or discipline $ calculate to inspire charitable feeling $ while the contribution-box or bag make its beg tour among the pew $	36	0	bag	Some of the Protestant churches resound with a sacred hymn , or the voice of the clergyman reading a portion of the liturgy or discipline , calculated to inspire charitable feelings , while the contribution-box or bag makes its begging tour among the pews .	fic_1835_7133.txt-1898-36
you must have know many time $ mr.- spiffard $ when you have hear and see just enough to make you draw conclusion $ and yet the word you hear $ if set to stand alone $ would fall down $ like an empty bag set on end $ and mean nothing $ $	44	0	bag	You must have known many times , Mr. Spiffard , when you have heard and seen just enough to make you draw conclusions , and yet the words you heard , if set to stand alone , would fall down , like an empty bag set on end , and mean nothing . "	fic_1836_7053.txt-4705-44
