sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
be far beyond the regular path for descend $ and wish to intercept the procession before its arrival at the bury ground $ i have something like the wolf-race i have just behold to get down in time $ unluckily $ i have send paul back to the place where we have leave our cloak $ and donkey $ and the little girl $ with direction to ride round the foot of the hill and meet me at the bury $ $ ground $	57	0	donkey	Being far beyond the regular path for descending , and wishing to intercept the procession before its arrival at the burying ground , I had something like the wolf-race I had just beheld to get down in time ; unluckily , I had sent Paul back to the place where we had left our cloaks , and donkeys , and the little girl , with directions to ride round the foot of the hill and meet me at the burying - - ground .	nf_1838_747585.txt-481-57
the charcoal vender disappear $ unhitch his donkey $ and turn him with his head into the cart $ his body be between the shaft $ which position be consider absolutely essential to a valid sale of charcoal $ and this ceremony be go through with $ proceed to fill the barrel which he afterwards bring in and empty in the box prepare for it $	7	0	donkey	The charcoal vender disappeared -- unhitched his donkey , and turned him with his head into the cart , his body being between the shafts , which position is considered absolutely essential to a valid sale of charcoal -- and this ceremony being gone through with , proceeded to fill the barrel which he afterwards brought in and emptied in the box prepared for it .	fic_1855_9053.txt-3687-7
he lay himself to it $ his heel paddle in the side of his donkey with redouble industry $	14	0	donkey	He laid himself to it , his heels paddling in the sides of his donkey with redoubled industry .	fic_1845_7317.txt-1588-14
we be oblige to walk smartly $ too $ as the gate close at nine oclock $ but when about half way there we meet an arab with a donkey $ cheer the stillness of the evening with a song $	29	0	donkey	We were obliged to walk smartly , too , as the gate closed at nine oclock ; but when about half way there we met an Arab with a donkey , cheering the stillness of the evening with a song .	nf_1838_747585.txt-1531-29
donkey bray $ mexican chatter $ cock crew $ every horse in the corral $ or horse-yard $ seem determine to give us his farewell neigh $ and amid the almost stunning din i could with difficulty catch the parting word of our host $ $ goodbye $ never trouble yourselves about the horse -- but take good	0	0	donkey	Donkeys brayed , Mexicans chattered , cocks crew , every horse in the corral , or horse-yard , seemed determined to give us his farewell neigh ; and amid the almost stunning din I could with difficulty catch the parting words of our host : " Good-by ; never trouble yourselves about the horses -- but take good	mag_1853_504777.txt-20-0
he be convince that the whole country would rise to a man $ in favor of a donkey mail $ in preference to the present post office system $ $	17	0	donkey	He was convinced that the whole country would rise to a man , in favor of a donkey mail , in preference to the present post office system ! "	fic_1843_7208.txt-2343-17
gypsy gentleman $ ' say i to one of them $ ' what will you have for that donkey $ '	18	0	donkey	Gypsy gentleman , ' say I to one of them , ' what will you have for that donkey ? '	nf_1843_748690.txt-1150-18
a lady once tell him in just that her young brother $ a lad of twelve year old $ have call his donkey braham $ in honor of the great singer of that name $	22	0	donkey	A lady once told him in jest that her youngest brother , a lad of twelve years old , had called his donkey Braham , in honour of the great singer of that name .	nf_1852_752548.txt-796-22
have they enter have the room while the donkey withdraw $ they have have see their own folly	8	0	donkey	Had they enter 'd the room while the donkey withdrew , They 'd have seen their own folly	fic_1852_3609.txt-313-8
like the crest of a helmet teach proudly to nod and wave like a meteor 's train abroad $ be the long $ long tail $ that glorify the glorious donkey 's hinder side $	30	0	donkey	Like the crest of a helmet taught proudly to nod And wave like a meteor 's train abroad , Was the long , long tail , that glorified The glorious donkey 's hinder side !	fic_1835_8114.txt-1965-30
