sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
on the first page of the book be pin the billet that have accompany somerville 's rose $	8	0	pin	On the first page of the book was pinned the billet that had accompanied Somerville 's rose .	fic_1825_7041.txt-3273-8
he be pin suddenly by lazy jake owens $ who have just return from a reinspection of $ graystreak $ $	2	0	pin	He was pinned suddenly by Lazy Jake Owens , who had just returned from a reinspection of " Graystreak . "	fic_1852_9232.txt-1003-2
all this pass in a second $ when clifton spring forward $ and with one blow prostrate the villain at the door of the carriage $ place his knee on his breast and pin him to the earth $	33	0	pin	All this passed in a second , when Clifton sprang forward , and with one blow prostrated the villain at the door of the carriage , placing his knee on his breast and pinning him to the earth .	fic_1839_7068.txt-360-33
a starched tucker be pin $ with a pedantic precision $ across her breast $ and a prim cap of muslin $ pucker into a point with a grotesque conceit $ adorn her head $	4	0	pin	A starched tucker is pinned , with a pedantic precision , across her breast ; and a prim cap of muslin , puckered into a point with a grotesque conceit , adorns her head .	fic_1832_7176.txt-403-4
with a low growl he bound into the cabin $ at a most critical moment for augustus $ and throw himself upon jones $ pin him to the floor in an instant $	24	0	pin	With a low growl he bounded into the cabin , at a most critical moment for Augustus , and throwing himself upon Jones , pinned him to the floor in an instant .	fic_1838_7253.txt-1212-24
$ why $ i never hear of it before $ $ say miss jerusha $ pin a little blue bow on the top of the muslin cap $ to make it look tasty $ as she observe $ $	15	0	pin	" Why , I never heard of it before , " said Miss Jerusha , pinning a little blue bow on the top of the muslin cap , to make it look tasty , as she observed . "	fic_1854_3384.txt-7045-15
unable long to foil an enemy so alert and vigilant $ he throw his arm about him $ and succeed in pin the limb of the other to his side $ with an iron grasp $ but one that be far too exhausting to himself to continue long $	21	0	pin	Unable longer to foil an enemy so alert and vigilant , he threw his arms about him , and succeeded in pinning the limbs of the other to his side , with an iron grasp , but one that was far too exhausting to himself to continue long .	fic_1826_314.txt-1912-21
time make sad havoc in twenty year $ $ she continue address herself to mr.- redwood $ $ i think it be little more than that since my beautiful friend $ mary erwine $ be stay with me $ and you be almost constantly at our house $ bless me $ caroline $ you have run that pin half way into	57	0	pin	Time makes sad havoc in twenty years , " she continued addressing herself to Mr. Redwood ; " I think it is little more than that since my beautiful friend , Mary Erwine , was staying with me , and you were almost constantly at our house -- bless me , Caroline , you have run that pin half way into	fic_1824_7278.txt-545-57
at last rose in answer the voice of an invisible wood-nymph $ and that be follow shortly by the appearance among the bush of the hamadryad in the shape of an athletic woman with a red head $ who gird up her loin $ $ anglic $ pin up her petticoat $ $ step barefooted and bareheaded into the boat $ her little boy at the moment cast loose the grape vine rope $ its fasten $	47	0	pin	At last rose in answer the voice of an invisible wood-nymph , and that was followed shortly by the appearance among the bushes of the hamadryad in the shape of an athletic woman with a red head ; who girding up her loins -- ( anglic , pinning up her petticoat ) -- stepped barefooted and bareheaded into the boat , her little boy at the moment casting loose the grape vine rope -- its fastening .	fic_1843_7074.txt-1577-47
the feature be radiant with benevolence $ the cap $ close-fitted about her venerable face $ bore upon it the fade black ribbon $ the memento of ancient woe $ the close-folded kerchief about her neck be pin with mathematical exactness $ while from beneath the cap border struggle a dark gray lock of hair $ like a wither branch in winter wave amid accumulate snow $	37	0	pin	The features were radiant with benevolence ; the cap , close-fitted about her venerable face , bore upon it the faded black ribbon , the memento of ancient woe ; the close-folded kerchief about her neck was pinned with mathematical exactness , while from beneath the cap border struggled a dark gray lock of hair , like a withered branch in winter waving amid accumulated snows .	fic_1854_9230.txt-667-37
one man thrust his bayonet through his mouth till it come out below his ear $ another run him throu $ $ h the arm $ and a third pin him to the earth with a thrust through the hip $	29	0	pin	One man thrust his bayonet through his mouth till it came out below his ear ; another ran him throu , , h the arm ; and a third pinned him to the earth with a thrust through the hip .	mag_1855_505324.txt-261-29
but the impatient swain go off and pin himself to the flighty little humming-bird in all soitgoes $ and in a month be married $	7	0	pin	But the impatient swain went off and pinned himself to the flightiest little humming-bird in all Soitgoes , and in a month was married ,	fic_1859_2764.txt-153-7
untie a piece of crape which she have wind around her throat $ $ for she be never without some badge of mourning $ $ she stoop and gently wipe the tear from jane 's cheek $ say $ in a low tone $ $ bottle full of odour $ which be the tear of saint $ $ then rise $ she carefully close the curtain $ and busy herself for some minute in pin them together $	74	0	pin	Untying a piece of crape which she had wound around her throat , ( for she was never without some badge of mourning , ) she stooped and gently wiped the tears from Jane 's cheek , saying , in a low tone , " Bottles full of odours , which are the tears of saints ; " then rising , she carefully closed the curtains , and busied herself for some minutes in pinning them together .	fic_1822_7275.txt-189-74
for eighteen century and upwards $ the human family $ estranged from each other $ albeit pin within the fold of // one faith $ have strive in deadly feud like the fierce beast in the roman arena $ or like the iron knights of crusade $ chivalry within the fatal list of cruel ordeal $ where might alone do constitute the right $ and the fall of the weak substantiate the justice of the strong $	16	0	pin	For eighteen centuries and upwards , the human family , estranged from each other , albeit pinned within the fold of // one faith , have striven in deadly feud like the fierce beasts in the Roman arena , or like the iron knights of crusading " chivalry within the fatal lists of cruel ordeal , where might alone did constitute the right , and the fall of the weak substantiated the justice of the strong .	nf_1829_748045.txt-1520-16
a huge pine desk $ paint red $ an old stool with three leg $ a chair with a break $ back $ and a map of $ build lots $ pin break the smoky wall $	31	0	pin	A huge pine desk , painted red ; an old stool with three legs ; a chair with a broke ; back ; and a map of " building lots " pinned broken the smoky wall .	fic_1849_7192.txt-8125-31
if a man who own a hundred sheep could pin a ballot into the wool of each $ drive the flock to $	9	0	pin	If a man who owns a hundred sheep could pin a ballot into the wool of each , drive the flock to .	mag_1820_553238.txt-14-9
i may as well go $ while she sleep so quietly $ and gather a dish of the crimson berry she love so well $ for her breakfast $ they will be nice with a dish of old crummie 's sweet milk $ $ and $ pin a green blanket over her head $ the old woman go forth on her errand $	46	0	pin	I may as well go , while she sleeps so quietly , and gather a dish of the crimson berries she loves so well , for her breakfast ; they will be nice with a dish of old Crummie 's sweet milk ; " and , pinning a green blanket over her head , the old woman went forth on her errand .	fic_1854_3384.txt-4375-46
$ as without wince he tear the arrow from his arm $ $ but this be no time to stand pin like a scarecrow to a tree $	20	0	pin	, as without wincing he tore the arrow from his arm , " but this be no time to stand pinned like a scarecrow to a tree .	fic_1849_7230.txt-1786-20
there be many who pin their faith on that $ insincere production $ $	4	0	pin	There are many who pin their faith on that " insincere production . "	nf_1824_747448.txt-1808-4
why $ this refractory young individual could n't be persuade to walk towards home in any other way $ when they have him out for an air $ and what do this old friend of mine do $ but allow a handkerchief to be pin to his coat-tail $ and go prance along the street like a horse for the spoil brat to drive $	44	0	pin	Why , this refractory young individual could n't be persuaded to walk towards home in any other way , when they had him out for an airing , and what does this old friend of mine do , but allow a handkerchief to be pinned to his coat-tail , and go prancing along the street like a horse for the spoiled brat to drive .	fic_1853_2454.txt-536-44
carefully cover him with the thin $ tattered blanket $ she pin a shawl over her head $ and $ softly close the door behind her $ steal forth into the bite night air $ and direct a hasty tread toward mr.- pimble 's great brick mansion $	11	0	pin	Carefully covering him with the thin , tattered blankets , she pinned a shawl over her head , and , softly closing the door behind her , stole forth into the biting night air , and directed a hasty tread toward Mr. Pimble 's great brick mansion .	fic_1854_3384.txt-477-11
i stand before her door $ but outside it be pin a piece of paper on which these word be trace $ $ my friend $ i can not see you today $	10	0	pin	I stood before her door , but outside it was pinned a piece of paper on which these words were traced : " My friend , I can not see you to-day .	fic_1859_9216.txt-4296-10
indian consist of a petticoat $ wear much short by the unmarried than by those that be married $ and a scarf of sundry color round the shoulder $ which be pin on one side of the chest with a topa $ a large silver pin $ but sometimes they use a spoon $ the handle of which be point serve as a pin $ $	31	0	pin	Indians consists of a petticoat , worn much shorter by the unmarried than by those that are married , and a scarf of sundry colors round the shoulders , which is pinned on one side of the chest with a topa , a large silver pin ; but sometimes they use a spoon , the handle of which being pointed serves as a pin . "	nf_1849_747900.txt-1682-31
we observe a ticket pin to the cushion $ with the	4	0	pin	We observed a ticket pinned to the cushion , with the	fic_1849_7167.txt-2664-4
morton have throw him on his back $ and pin him to the floor $ by plant his knee on sir philip 's breast $ and have interrupt his cry $ and almost suffocate him $ by stuff his cloak into his mouth $	9	0	pin	Morton had thrown him on his back , and pinned him to the floor , by planting his knee on Sir Philip 's breast , and had interrupted his cries , and almost suffocated him , by stuffing his cloak into his mouth .	fic_1827_7270.txt-1517-9
these entrance be form by cut away the log for the space of three foot by six $ and be close by rude door $ make of rough slab $ pin strongly to heavy cross bar $	30	0	pin	These entrances were formed by cutting away the logs for the space of three feet by six , and were closed by rude doors , made of rough slabs , pinned strongly to heavy cross bars ,	fic_1853_2486.txt-329-30
it be fasten above the comb $ and pin to the hair $ thence descend to cover the neck and shoulder $ and end in two embroider point which depend in front $	8	0	pin	It is fastened above the comb , and pinned to the hair , thence descending to cover the neck and shoulders , and ending in two embroidered points which depend in front .	mag_1830_554014.txt-66-8
when i pin my faith to a thing $ willum $ i like to have suthin ' to stick the pin into $ $ he say scornfully $	2	0	pin	When I pin my faith to a thing , Willum , I like to hev suthin ' to stick the pin into , " he said scornfully .	fic_1851_1184.txt-735-2
so she leave the door-step on which she have be sit $ and go in the house $ to see what she want to take $ and $ as she have so few thing $ the preparation be not long $ but she soon find herself with her blanket pin over her head $ ready to start $ '	49	0	pin	So she left the door-step on which she had been sitting , and went in the house , to see what she wanted to take ; and , as she had so few things , the preparations were not long , but she soon found herself with her blanket pinned over her head , ready to start . '	fic_1860_3347.txt-635-49
with that he come in $ ' t be a little dark $ with the shawl pin at the windy $ $ $ do n't go too near her face $ for fear her breath 's infractious $ ' sis i.- i do n't bring a light $ sir $ ' sis i.-	16	0	pin	With that he came in ( ' t was a little dark , with the shawl pinned at the windy ) : -- Do n't go too near her face , for fear her breath 's infractious , ' sis I. I did n't bring a light , sir , ' sis I.	fic_1858_9768.txt-4185-16
at the same time $ he slily pin the other on frank 's roundabout $	7	0	pin	At the same time , he slily pinned the other on Frank 's roundabout .	fic_1851_2590.txt-321-7
dorothy give her to understand that when her little sister malvina be sick $ and miss amy with the parson come to see her $ she want a pink which miss amy have pin on her breast $ and that have get possession of it she would not part with it $ but keep it by her $ and	33	0	pin	Dorothy gave her to understand that when her little sister Malvina was sick , and Miss Amy with the Parson came to see her , she wanted a pink which Miss Amy had pinned on her breast , and that having got possession of it she would not part with it , but kept it by her , and	fic_1845_7170.txt-5008-33
at that booby $ bill jeffrey $ for the girl to laugh at $ nor to draw any more picture on her slate of the dame sobriety $ as she call julia $ and lastly $ not to pin any more chalk rag on the boy ' coat $	38	0	pin	at that booby , Bill Jeffrey , for the girls to laugh at , nor to draw any more pictures on her slate of the Dame Sobriety , as she called Julia , and lastly , not to pin any more chalk rags on the boys ' coats .	fic_1854_2820.txt-324-38
just as you will have to $ by and by $ $ she reply $ $ but come $ pin your collar on $ and come down to breakfast $ $	19	0	pin	Just as you will have to , by and by , " she replied ; " but come , pin your collar on , and come down to breakfast . "	fic_1856_2749.txt-267-19
$ the only answer be a long strain at the door $ till at last the door be force a little open $ and the rascal get his whole hand in and would soon have work in all his arm $ when $ with a single thrust $ i dash my dirk right through his hand and pin him that way to the door-cheek $ $	57	0	pin	" The only answer was a long strain at the door -- till at last the door was forced a little open , and the rascal got his whole hand in and would soon have worked in all his arm ; when , with a single thrust , I dashed my dirk right through his hand and pinned him that way to the door-cheek . "	fic_1843_7074.txt-781-57
colter pluck up the point part $ pin the savage to the earth $ and continue his flight $	7	0	pin	Colter plucked up the pointed part , pinned the savage to the earth , and continued his flight .	nf_1836_749613.txt-1827-7
unless the bee cluster at a considerable distance from the place where they be intend to be permanently station $ the new hive which receive them may stand on the protector in its proper place $ with the sheet tack or pin to the alighting-board $ and spread out over the mound in front of the entrance $	41	0	pin	Unless the bees cluster at a considerable distance from the place where they are intended to be permanently stationed , the new hive which receives them may stand on the Protector in its proper place , with the sheet tacked or pinned to the alighting-board , and spread out over the mound in front of the entrance .	nf_1853_771274.txt-2566-41
we vow we would n't be defeat $ so we pin up our pocket-handkerchiefs together $ and $ fortunately $ they cover the peep-hole $ and so we shut him out $ at last $ $	10	0	pin	We vowed we would n't be defeated , so we pinned up our pocket-handkerchiefs together , and , fortunately , they covered the peep-hole ; and so we shut him out , at last . "	fic_1846_556.txt-1626-10
would you believe it $ my dear fritz $ that such laurel have be pin to my ear $ as the association of my paper with this coryphus of letter $	14	0	pin	Would you believe it , my dear Fritz , that such laurels have been pinned to my ears , as the association of my papers with this Coryphus of letters !	fic_1850_7222.txt-2195-14
she alternately throw a large dark mass above her head $ then quickly pin it to the ground on its descent $ then bore it against the wall as it crawl helplessly toward a corner of the shed $	13	0	pin	She alternately threw a large dark mass above her head , then quickly pinned it to the ground on its descent , then bored it against the wall as it crawled helplessly toward a corner of the shed .	nf_1855_750257.txt-928-13
a white veil $ carelessly pin about her brow $ fall over her shoulder in graceful drapery $ and as she glide along $ the loose white robe $ that constitute the uniform of her order $ display to the utmost advantage that undulating outline of beauty $ for which the statue of psyche be so remarkable $	5	0	pin	A white veil , carelessly pinned about her brow , fell over her shoulders in graceful drapery ; and as she glided along , the loose white robe , that constituted the uniform of her order , displayed to the utmost advantage that undulating outline of beauty , for which the statues of Psyche are so remarkable .	fic_1825_7041.txt-1492-5
an arrow $ in spite of all his fearful writhing he pin him to the ground $ while his knife $ in a moment after $ play fatally in his heart $	11	0	pin	an arrow , in spite of all his fearful writhings he pinned him to the ground , while his knife , in a moment after , played fatally in his heart .	fic_1845_7316.txt-4343-11
$ if cosmo wed her i have her $ seal $ and by the vengeful god i pin her to the bond $ or that divulge $ shall sink her low than her eye dare look $	17	0	pin	-- If Cosmo wed her I have her -- sealed ; and by the vengeful gods I pin her to the bond , or that divulge , Shall sink her lower than her eyes dare look .	fic_1839_7477.txt-1062-17
miss starchington $ gray gown $ white handkerchief pin over chest and	8	0	pin	Miss Starchington -- Gray gown ; white handkerchief pinned over chest and	fic_1843_8760.txt-59-8
another pin him by his sleeve to the spot $ and his career in the next moment would probably have be end $ but for the timely appearance of colonel tarleton himself $	1	0	pin	Another pinned him by his sleeve to the spot ; and his career in the next moment would probably have been ended , but for the timely appearance of Colonel Tarleton himself .	fic_1835_7309.txt-3622-1
when the copy be finish $ mary erskine cut it off from the top of the paper and pin it up against the side of the room $ where she could look at it and study the name of the letter in the interval of her work during the day $ $	18	0	pin	When the copy was finished , Mary Erskine cut it off from the top of the paper and pinned it up against the side of the room , where she could look at it and study the names of the letters in the intervals of her work during the day . "	fic_1850_2310.txt-1592-18
$ and it be button close up to his throat $ or rather pin up $ for the top button be all go $ his glove be ragged $ and his boot be heel-less $ his cap $ as usual $ be draw very much over his eye $ $	13	0	pin	, and it was buttoned close up to his throat , or rather pinned up , for the top buttons were all gone ; his gloves were ragged , and his boots were heel-less ; his cap , as usual , was drawn very much over his eyes . "	fic_1839_7024.txt-2238-13
