sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
the old slave $ be question $ fall on his knee and confess that he have leave the babe under a plane tree $ on mount ida $ and that he have afterward see him in the hut of mygdomus $	21	0	plane	The old slave , being questioned , fell on his knees and confessed that he had left the babe under a plane tree , on Mount Ida , and that he had afterward seen him in the hut of Mygdomus .	fic_1846_7036.txt-323-21
the plane or buttonwood tree $ so common in our street and environs $ have hitherto	1	0	plane	The Plane or Buttonwood tree , so common in our streets and environs , has hitherto	mag_1844_555220.txt-284-1
there be but a trifling difference in general effect between /z/ our plane or buttonwood and the oriental plane $	12	0	plane	There is but a trifling difference in general effect between /z/ our plane or buttonwood and the Oriental plane .	nf_1841_747926.txt-1307-12
oak $ old english $ young tree $ 363 $ old ship timber $ $ from old tree $ $ medium quality $ $ green $ beech $ medium quality $ alder $ plane tree $	33	0	plane	Oak , old English , young tree , 363 " old ship timber , " from old tree , " medium qualities , " green , Beech , medium quality , Alder , Plane tree .	nf_1827_748059.txt-314-33
on the contrary $ she be advance to a still high plane $ where his dream of possession do not venture to intrude $	11	1	plane	On the contrary , she was advanced to a still higher plane , where his dreams of possession did not venture to intrude .	fic_1860_9165.txt-4809-11
mould plane be use for stick moulding $ as the operation of form moulding with the plane be call $	16	1	plane	Moulding planes are used for sticking mouldings , as the operation of forming mouldings with the plane is called .	nf_1853_747976.txt-1558-16
there be other kind of plane besides the above $ as the plough $ for sink a groove to receive a projecting tongue $ the bead plane $ for stick bead $ the snipe bill $ for form quirk $ the compass plane and the forkstaff plane $	26	1	plane	There are other kinds of planes besides the above ; as the plough , for sinking a groove to receive a projecting tongue ; the bead plane , for sticking beads ; the snipe bill , for forming quirks ; the compass plane and the forkstaff plane ,	nf_1853_747976.txt-1561-26
the intersection of these line on the perspective plane $ make the figure i xx_j k i $ which be the perspective representation of a d b c m the plan $ because $ these point of intersection on the perspective plane be the same which would be make by the ray of light come from the point in the original to the eye $ provide the dimension and position correspond to those in the plate $ as have be show in lesson 7 $	8	1	plane	The intersection of these lines on the perspective plane , make the figure i j k I , which is the perspective representation of a d b c m the plan : because , these points of intersection on the perspective plane are the same which would be made by the rays of light coming from the points in the original to the eye , provided the dimensions and position correspond to those in the plate , as has been shown in Lesson 7 .	nf_1830_747561.txt-330-8
you will observe that the two circle partly describe on the plate $ for the purpose of determine the opening of the box $ be circle stand upright on the ground plane $ and not lay on it $ as be the circle in plate 10 $	31	1	plane	You will observe that the two circles partly described on the plate , for the purpose of determining the opening of the box , are circles standing upright on the ground plane , and not laying on it , as are the circles in Plate 10 .	nf_1830_747561.txt-544-31
from its edge upon the plane $ and if the shadow upon the plane be of no considerable breadth $ and if the plane be extend at any considerable distance beyond the shadow $ then the light part of the plane on which the ray will reflect a great part of the ray towards the prism $ but as these reflect ray will not fall upon the shadow $ it will be deprive of reflection $ but as the side of the prism which project the shadow $ be oppose to the reflect ray $ that side of the prism will receive a strong reflection $ which will cause it to appear much lighter than the shadow it throw on the plane $ but if the shadow be project far on the plane $ it will diminish the reflect surface behind the prism $ and will also cause the reflect surface to be at a great distance from the side of the prism $ and consequently will receive less reflection from the plane $ and in general the reflection on the prism will be continually diminish $ according as the shadow	121	1	plane	from its edge upon the plane ; and if the shadow upon the plane be of no considerable breadth , and if the plane be extended at any considerable distance beyond the shadow , then the lightest part of the plane on which the rays will reflect a great part of the rays towards the prism : but as these reflected rays will not fall upon the shadow , it will be deprived of reflection : but as the side of the prism which projects the shadow , is opposed to the reflected rays , that side of the prism will receive a strong reflection , which will cause it to appear much lighter than the shadow it throws on the plane ; but if the shadow be projected farther on the plane , it will diminish the reflecting surface behind the prism , and will also cause the reflecting surface to be at a greater distance from the side of the prism , and consequently will receive less reflection from the plane ; and in general the reflection on the prism will be continually diminished , according as the shadow	nf_1836_748113.txt-2088-121
