sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
she be now $ as we judge $ a singer and player of the first order $ and have many pupil in town	11	0	player	She is now , as we judge , a singer and player of the first order , and has many pupils in town	fic_1845_7170.txt-11079-11
he say in an even tone that be singularly mark amid the buzz of those around him $ for each player have now get to feel the affair to be his own $ and to take an absorbing interest in every step that should now be take $	20	0	player	he said in an even tone that was singularly marked amid the buzz of those around him ; for each player had now got to feel the affair to be his own , and to take an absorbing interest in every step that should now be taken .	fic_1844_7114.txt-1647-20
the tress of the lute player $ though black as the bright persian 's ringlet $ be as different from them in their nature and disposition as any thing can be $ even the most dissimilar $ for they be part evenly upon her forehead $ and flow down quite uncurl in long and wavy mass $ actually rest in loose coil upon the velvet floor-cloth $ as she sit near the english girl on a low ottoman $ with her back to a great venetian mirror $ which reflect the contour of all her sloping shoulder down nearly to the waist $	5	0	player	The tresses of the lute player , though black as the bright Persian 's ringlets , were as different from them in their nature and disposition as any things can be -- even the most dissimilar -- for they were parted evenly upon her forehead , and flowed down quite uncurled in long and wavy masses , actually resting in loose coils upon the velvet floor-cloth , as she sat near the English girl on a low ottoman , with her back to a great Venetian mirror , which reflected the contour of all her sloping shoulders down nearly to the waist .	fic_1843_7155.txt-1334-5
neither will we disagree in our estimation of another very common and unamiable species of animal $ to wit $ the noisy $ coarse young man who be continually hang about tavern drink julep $ smoke cigar $ canvas the merit of play and player $ or wrangling and dispute about southern nullification $ a mixture of ruffianism and puppyism $ the sort of person who be continually enjoy himself by get into what he call $ famous spree $ or $ duced good lark $ $ which mean commit gratuitous impertinence and get well kick $ beat $ and put into the watchhouse therefor $ liquor only call forth and fully developes the natural rankness of the thought and feeling of such a creature $ and the sooner it kill him the pleasant for society $	44	0	player	Neither will we disagree in our estimation of another very common and unamiable species of animal , to wit -- the noisy , coarse young man who is continually hanging about taverns drinking juleps , smoking cigars , canvassing the merits of plays and players , or wrangling and disputing about southern nullification -- a mixture of ruffianism and puppyism ; the sort of person who is continually enjoying himself by getting into what he calls " famous sprees " or " duced good larks , " which means committing gratuitous impertinences and getting well kicked , beaten , and put into the watchhouse therefor ; liquor only calls forth and fully developes the natural rankness of the thoughts and feelings of such a creature ; and the sooner it kills him the pleasanter for society .	fic_1833_7058.txt-508-44
it $ in fact $ differ but little from an instrument which the italian call ninfale which the player attach to his body $ while he play upon it	18	0	player	It , in fact , differed but little from an instrument which the Italians called Ninfale which the player attached to his body , while he played upon it	nf_1833_747531.txt-1407-18
the player lay hold of this dub with both hand $ raise it over hie head $ and as it descend strike the ball $	1	5	player	The player lays hold of this dub with both hands , raises it over his head , and as it descends strikes the ball .	nf_1833_747531.txt-2900-1
of the sword $ $ $ point and fence disappear $ and the youth find himself in a more transparent atmosphere $ wherein life be a less troublesome game $ and not a misunderstanding rise between the player $	37	5	player	of the sword , - - points and fences disappear , and the youth finds himself in a more transparent atmosphere , wherein life is a less troublesome game , and not a misunderstanding rises between the players .	fic_1844_800.txt-1250-37
every player who be touch $ go to the prison belong to the opposite party $ where he must remain until one of his own iside be able to reach him $ without be touch in his run from bound to the prison $ by any of the opposite party $	1	5	player	Every player who is touched , goes to the prison belonging to the opposite party , where he must remain until one of his own Iside be able to reach him , without being touched in his run from bounds to the prison , by any of the opposite party .	nf_1834_747621.txt-291-1
if it be catch $ before it have twice touch the ground $ by the player so call on $ he lose no point $ but throw it up again $ and call upon whom he please to catch it $	15	6	player	If it be caught , before it has twice touched the ground , by the player so called on , he loses no point , but throws it up again , and calls upon whom he pleases to catch it .	nf_1834_747621.txt-198-15
you would encourage me $ $ he say quietly $ and in tone which $ to the unnoteful ear $ would have seem natural enough $ but which $ know him as i do $ be slightly sarcastic $ and contain a deeper signification than they give out $ $ but you be the better player $	55	6	player	You would encourage me , " he said quietly , and in tones which , to the unnoteful ear , would have seemed natural enough , but which , knowing him as I did , were slightly sarcastic , and containing a deeper signification than they gave out : " but you are the better player .	fic_1856_1562.txt-4096-55
