sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
well $ well $ i mean no offense $ ' rejoin the tinker $ seemingly abash at the poor reception of his rally $	22	0	rally	Well , well , I meant no offence , ' rejoined the tinker , seemingly abashed at the poor reception of his rally .	fic_1839_7336.txt-1016-22
and we see that $ when the people be make to see the evidence of a design on the part of a foreign priesthood to exert an undue control over the measure of government $ party adhesion that have last for a whole generation be forget $ and a general rally of the people warn the foreign party to keep their place $	50	1	rally	And we see that , when the people were made to see the evidence of a design on the part of a foreign priesthood to exert an undue control over the measures of government , party adhesions that have lasted for a whole generation were forgotten , and a general rally of the people warns the foreign party to keep their places .	mag_1856_566665.txt-319-50
of measure as for another $ for one set of principle as for their opposite $ and only anxious to take advantage of the brief rally of tbe $ credit system $ $ which they hope as the consequence of a political revolution $ for their relief from their own immediate embarrassment $	25	1	rally	of measures as for another , for one set of principles as for their opposite ; and only anxious to take advantage of the brief rally of the " credit system , " which they hoped as the consequence of a political revolution , for their relief from their own immediate embarrassments .	mag_1841_586607.txt-99-25
let all the true son of the south rally under randolph 's standard in this good work $	8	1	rally	Let all the true sons of the South rally under Randolph 's standard in this good work .	fic_1859_9192.txt-13120-8
i be kilt $ i be kilt $ $ so pertinaciously and so obstreperously withall $ as to wake up several of the guardian of the night $ who make a rally $ and carry the whole party to the watch-house $ including an irishman who happen to be on a visit up stair $ by the name of timothy martin $	31	1	rally	I 'm kilt , I 'm kilt , " so pertinaciously and so obstreperously withal , as to wake up several of the guardians of the night , who made a rally , and carried the whole party to the watch-house , including an Irishman who happened to be on a visit up stairs , by the name of Timothy Martin .	fic_1836_4118.txt-1221-31
the pirate be take almost by surprise $ and a vigorous rally of the garland 's crew $ force them to retreat to their own vessel $	11	1	rally	The pirates were taken almost by surprise , and a vigorous rally of the Garland 's crew , forced them to retreat to their own vessel .	fic_1843_7051.txt-2047-11
provoke a general rally against it $ but work as one of the element in a mix mass $ infuse its leaven $ and often make what would be the weak part the strong $ by the addition of its influence $	3	1	rally	provoke a general rally against it , but working as one of the elements in a mixed mass , infusing its leaven , and often making what would be the weaker part the stronger , by the addition of its influence .	nf_1858_753804.txt-1955-3
in this last determine rally pattie lose ten man $ and receive a wind himself $	4	1	rally	In this last determined rally Pattie lost ten men , and received a wound himself .	mag_1860_506692.txt-83-4
and in truth $ victor 's gallic courser repay his master 's vaunt $ for he make $ though he have seem beat $ so desperate a rally $ that he rush past the bay arab almost at the goal $ and win by a clear length amidst the roar of the glad spectator $ $	27	1	rally	And in truth , Victor 's Gallic courser repaid his master 's vaunts ; for he made , though he had seemed beat , so desperate a rally , that he rushed past the bay Arab almost at the goal , and won by a clear length amidst the roars of the glad spectators . "	fic_1846_4462.txt-1300-27
where the petitioner be very /z/ numerous $ what be a petition in form may assume $ in fact $ the character of a rally or a threat $	24	1	rally	Where the petitioners are very /z/ numerous , what is a petition in form may assume , in fact , the character of a rally or a threat .	nf_1853_747555.txt-379-24
