sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
by the will of my father $ which be on record $ he leave all of his property to my brother $	10	0	record	By the will of my father , which is on record , he left all of his property to my brother .	fic_1860_1171.txt-1933-10
this $ as a practical art $ be generally supposed to be coeval with the human race $ and its existence be recognize in the early record of man $ authentic or fabulous $	26	0	record	This , as a practical art , is generally supposed to be coeval with the human race , and its existence is recognised in the earliest records of man , authentic or fabulous .	mag_1838_554654.txt-4-26
i propose to join a village and make myself an inmate of one of their lodge $ and henceforward this narrative $ so far as i be concerned $ will be chiefly a record of the progress of this design apparently so easy of accomplishment $ and the unexpected impediment that oppose it $	33	0	record	I proposed to join a village and make myself an inmate of one of their lodges ; and henceforward this narrative , so far as I am concerned , will be chiefly a record of the progress of this design apparently so easy of accomplishment , and the unexpected impediments that opposed it .	nf_1849_749269.txt-1658-33
there be but few trace on record of their dealing $ in which $ of course $ the horroxving be all on one side and the lending on the other $ but that addison lend freely appear from a remark in one of steele 's letter to his wife $ in which he say $ that $ he have pay mr.- addison the whole thousand pound $ $	6	0	record	There are but few traces on record of their dealings , in which , of course , the horroxving was all on one side and the lending on the other ; but that Addison lent freely appears from a remark in one of Steele 's letters to his wife , in which he says , that " he has paid Mr. Addison the whole thousand pounds . "	mag_1847_555441.txt-301-6
this $ nurture and admonition of the lord $ under the parental roof $ and the memory and record of his pious ancestry $ have a strong influence upon him $	18	0	record	This " nurture and admonition of the Lord " under the parental roof , and the memories and records of his pious ancestry , had a strong influence upon him .	mag_1851_566050.txt-189-18
no marriage certificate $ nor any record of the fact $ as to the exact time and place $ be know to be in existence $ and without them $ or evidence of a very conclusive character $ the title of mrs.- montgomery could not be clearly establish $	6	0	record	No marriage certificate , nor any record of the fact , as to the exact time and place , were known to be in existence ; and without them , or evidence of a very conclusive character , the title of Mrs. Montgomery could not be clearly established .	fic_1860_1171.txt-1826-6
9 $ in relation to the record and copy of the record $	6	0	record	9 , in relation to the records and copies of the records .	nf_1839_747920.txt-1078-6
but history have also her brighter chapter $ and her immortal record of such teacher as socrates and plato $ and of race too $ that seem	11	0	record	But history has also her brighter chapters , and her immortal record of such teachers as Socrates and Plato ; and of races too , that seem	mag_1845_565459.txt-399-11
have live long enough-he have do enough $ and do so successfully $ so honorably as to connect himself $ for all time $ with the record of his country $ $	26	0	record	has lived long enough-he has done enough , and done so successfully , so honorably as to connect himself , for all time , with the records of his country . "	mag_1850_525567.txt-96-26
this be clearly show by the record of his whole life $	6	0	record	This is clearly shown by the record of his whole life .	mag_1845_565418.txt-35-6
the discovery which this volume record form the basis of physical astronomy $	5	0	record	The discoveries which this volume records form the basis of physical astronomy .	nf_1841_772625.txt-1562-5
<nul> the buccaneer $ a romance of our own country in its ancient day $ illustrate with diver marvellous history $ and antique and facetious episode $ gather from the most authentic chronicle &; affirm record extant from the settlement of the nieuw nederlandts until the time of the famous richard kid $ carefully collate from the laborious research $ and minute investigation $ of that excellent antiquary and sublime philosopher $ yclept terentius phlogobombos $	35	0	record	@@170 THE Buccaneers ; A ROMANCE OF OUR OWN COUNTRY IN ITS ANCIENT DAY ; ILLUSTRATED WITH DIVERS MARVELLOUS HISTORIES , AND ANTIQUE AND FACETIOUS EPISODES ; GATHERED FROM THE MOST AUTHENTIC CHRONICLES &; AFFIRMED RECORDS EXTANT FROM THE Settlement of the Nieuw Nederlandts UNTIL THE TIMES OF THE FAMOUS RICHARD KID : CAREFULLY COLLATED FROM THE LABORIOUS RESEARCHES , AND MINUTE INVESTIGATIONS , OF THAT EXCELLENT ANTIQUARY AND SUBLIME PHILOSOPHER , YCLEPT TERENTIUS PHLOGOBOMBOS .	fic_1827_7169.txt-0-35
suppose all mr.- wood 's defamatory allegation to be true -- suppose him to be able to rake up against her out of the record of the antigua police $ or from the veracious testimony of his brother colonist $ twenty story as bad or bad than what he insinuate -- suppose the whole of her own statement to be false $ and even the whole of her conduct since she come under our observation here to be a tissue of hypocrisy $ -- suppose all this -- and leave the negro woman as black in character as in complexion $ 21 -- yet it would affect not the main fact -- which be these $	24	0	record	Suppose all Mr. Wood 's defamatory allegations to be true -- suppose him to be able to rake up against her out of the records of the Antigua police , or from the veracious testimony of his brother colonists , twenty stories as bad or worse than what he insinuates -- suppose the whole of her own statement to be false , and even the whole of her conduct since she came under our observation here to be a tissue of hypocrisy ; -- suppose all this -- and leave the negro woman as black in character as in complexion , 21 -- yet it would affect not the main facts -- which are these .	nf_1831_764842.txt-1011-24
not an infant die or be born $ but be make the subject of verse $ nay $ its smile and tear be put on record $ its hobby-horse $ and its infant idea as they begin to bud and breathe aloud $	25	0	record	Not an infant dies or is born , but is made the subject of verse ; nay , its smiles and tears are put on record ; its hobby-horse , and its infant ideas as they begin to bud and breathe aloud .	fic_1856_1552.txt-2858-25
of the many generous act of lady blessington $ we find few record in her correspondence $ but we shall iind in her letter evidence enough $ undesignedly furnish by her $ of that natural and	12	0	record	Of the many generous acts of Lady Blessington , we find few records in her correspondence , but we shall iind in her letters evidences enough ( undesignedly furnished by her ) of that natural and	nf_1855_748146.txt-649-12
if there be nothing peculiar in kind in our saviour 's position $ with reference to the world and the age $ no law of the divine consistency and veracity make it necessary that the common mind should have access to reliable record of his life and character $	42	0	record	If there was nothing peculiar in kind in our Saviour 's position , with reference to the world and the ages , no law of the Divine consistency and veracity made it necessary that the common mind should have access to reliable records of his life and character .	mag_1850_555679.txt-136-42
record of the latter prison do not furnish the mean for make this distinction $	0	0	record	records of the latter prison do not furnish the means for making this distinction .	mag_1848_555521.txt-117-0
