sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
harry do the first of the slime creature in griffith park when she read for him in bra and panty $ he say to give him an idea of her figure $ and she get the part $	36	0	part	Harry doing the first of the Slime Creatures in Griffith Park when she read for him in bra and panties , he said to give him an idea of her figure , and she got the part .	fic_2005_30279.txt-4-36
the american do not think that man and woman have either the duty or the right to per -- form the same office $ but they show an equal regard for both their respective part $ and $	34	0	part	The Americans do not think that man and woman have either the duty or the right to per -- form the same offices , but they show an equal regard for both their respective parts ; and .	mag_1971_491323.txt-31-34
wayne $ $ never before have a vice president play such an important part in foreign policy $ $	13	0	part	Wayne : " Never before has a Vice President played such an important part in foreign policy . "	mag_1972_487986.txt-211-13
which may explain why paramount pay more than $1 million for the right to winston groom 's new book $ gump &; <nul> $ despite the fact that tom hanks and robert zemeckis have express but wan interest in take part in a gump sequel $	40	0	part	Which may explain why Paramount paid more than $1 million for the rights to WINSTON GROOM 'S new book , Gump &; Co. , despite the fact that Tom Hanks and Robert Zemeckis have expressed but wan interest in taking part in a Gump sequel .	mag_1995_353509.txt-17-40
to a young generation of educator $ that will be the time for the state to do its part by reward those who stand at the door of the schoolhouse statewide welcome each and every child each day $	18	0	part	to a younger generation of educators , that will be the time for the state to do its part by rewarding those who stood at the door of the schoolhouses statewide welcoming each and every child each day .	news_2003_628548.txt-8-18
he deal with the part of the uns verse and the whole of the universe $ and he theorize that thing that look like separate part of the universe emerge out of a pool $ which he call the common pool of information $	25	3	part	He deals with the parts of the uni verse and the whole of the universe , and he theorizes that things that look like separate parts of the universe emerge out of a pool , which he calls the common pool of information .	news_1997_621089.txt-202-25
he use to be part of a very high commune there $ before it get squeeze out by the local establishment $	4	3	part	He used to be part of a very high commune there , before it got squeezed out by the local Establishment .	fic_1971_10540.txt-1652-4
we get us a say in these part $ it be all good until the cow-pat hit the mechanical device for the rotary circulation of air $	7	3	part	We got us a saying in these parts : It 's all good until the cow-pats hit the mechanical device for the rotary circulation of air .	fic_2004_49116.txt-54-7
the bacterium not only detoxify the fish waste but convert the ammonia in them to nitrite and nitrate $ which be use to fertilize alga in another part of the pond $	27	3	part	The bacteria not only detoxify the fish wastes but convert the ammonia in them to nitrites and nitrates , which are used to fertilize algae in another part of the pond .	mag_1975_285668.txt-17-27
in several other part of the world people be be deny their life $ or steal from their life to be sell $	3	3	part	In several other parts of the world people are being denied their life , or stolen from their life to be sold .	fic_2009_36422.txt-25-3
the latter be apparently not keep $ as danish volunteer be say to have form part of harold 's army $	15	3	part	The latter was apparently not kept , as Danish volunteers are said to have formed part of Harold 's army .	nf_1966_774000.txt-694-15
the young peer of part i $ rather monotonously play by greg	4	4	part	The young Peer of Part I ( rather monotonously played by Greg	mag_1983_323609.txt-21-4
sometimes that knowledge seem the bad part of my loss $	6	5	part	Sometimes that knowledge seemed the worst part of my loss .	fic_2003_30073.txt-45-6
he seem to be wear a green silk tunic $ not too clean $ and not long enough $ for she could see the complex heap of his private part in the very center of her rosy bed $	29	6	part	He seemed to be wearing a green silk tunic , not too clean , and not long enough , for she could see the complex heap of his private parts in the very centre of her rosy bed .	fic_1994_41307.txt-831-29
there be the reason the competition halt when the arrow catcher begin work $ and there be the reason the arrow catcher and the indian be never a part of the competition and be never expect to be $	28	6	part	There was the reason the competition halted when the Arrow Catcher began work , and there was the reason the Arrow Catcher and the Indian were never a part of the competition and were never expected to be .	fic_1978_23930.txt-96-28
people who be help by the poverty program will be permit to take part in demonstration after all $	13	7	part	People who are helped by the poverty program will be permitted to take part in demonstrations after all .	mag_1967_494418.txt-49-13
my situation in this revival of the foundation 's activity call for great tact on my part in deal with goff $ for the committee have act without consult him $	16	7	part	My situation in this revival of the Foundation 's activities called for great tact on my part in dealing with Goff , for the Committee had acted without consulting him .	nf_1980_774208.txt-1429-16
for his part xx_n a london demonstration in 961 he go unrepentantly to ail $	2	7	part	For his part n a London demonstration in 961 he went unrepentantly to ail .	news_1970_728376.txt-129-2
port smith be rife with citizen ' committee $ study group $ and action team compose of people who have not take part in civic affair before $	22	7	part	Port Smith was rife with citizens ' committees , study groups , and action teams composed of people who had not taken part in civic affairs before .	fic_1966_10474.txt-9144-22
when a washington $ d.c.-the $ woman complain in the mid-1970 of retaliation by a supervisor after she refuse to take part in an $ after-hour affair $ $ a federal judge rule that the 1964 civil right act $ which bar sex discrimination $ do not apply $	21	7	part	When a Washington , D.C. , woman complained in the mid-1970s of retaliation by a supervisor after she refused to take part in an " after-hours affair , " a federal judge ruled that the 1964 Civil Rights Act , which bars sex discrimination , did not apply .	mag_1991_422282.txt-25-21
i have dress the part $ old trouser $ a cap $ and a sweater from which i have remove my college letter $ mcwhirter $ who have supervise my preparation $ and who have accompany me to the wharf $ have suggest that i omit my morning shave $	4	7	part	I had dressed the part -- old trousers , a cap , and a sweater from which I had removed my college letter , McWhirter , who had supervised my preparations , and who had accompanied me to the wharf , had suggested that I omit my morning shave .	fic_1975_648.txt-121-4
