sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
military justice must be military -- a disciplinary prop $	8	0	prop	Military justice must be military -- a disciplinary prop .	mag_1974_491462.txt-214-8
.... eat at until i be an empty shell $ until i have no prop leave $ until i want to die then and there $ until i figure i have to die ....	14	0	prop	... eating at until I was an empty shell , until I had no props left , until I wanted to die then and there , until I figured I had to die ...	fic_1960_4443.txt-1803-14
perhaps the most revolutionary breakthrough in this field be the development of hydraulic prop to replace the old wooden pillar $	13	0	prop	Perhaps the most revolutionary breakthrough in this field is the development of hydraulic props to replace the old wooden pillars .	news_1991_654850.txt-50-13
p210 back in his tokyo apartment $ toshi prop the snapshot up and he draw his father $	8	0	prop	| Back in his Tokyo apartment , Toshi props the snapshot up and he draws his father .	fic_1993_1040092.txt-4839-8
then $ the theory go $ pressure on the dollar might ease $ and the us currency would find and hold its prop &; value in relation to other currency of the world $	22	0	prop	Then , the theory goes , pressure on the dollar might ease , and the US currency would find and hold its prop &; value in relation to other currencies of the world .	news_1979_734408.txt-44-22
lower pitch usually raise engine rpm $ so 25- or 24-inch-pitch prop would likely have result in more rpm and more mph than our 26-inch prop $	25	1	prop	Lowering pitch usually raises engine rpm , so 25- or 24-inch-pitch props would likely have resulted in more rpm and more mph than our 26-inch props .	mag_2005_418336.txt-5-25
the helper prop the sign against the wall $ lift a box and turn for his trip below $ leave the poster grin behind him $	2	2	prop	THE HELPER props the sign against the wall , lifts a box and turns for his trip below , leaving the poster grinning behind him .	fic_1966_12053.txt-74-2
family -- that agreement would be view as little more than capitalist greed $ a prop for the regime and reinforcement of the shame feel by those who support us $	15	2	prop	families -- that agreement would be viewed as little more than capitalist greed , a prop for the regime and reinforcement of the shame felt by those who supported us .	news_1991_649955.txt-51-15
typically $ high-ranking latin churchman mute their protest $ some be merely prop of their regime $	12	2	prop	Typically , high-ranking Latin churchmen mute their protests ; some are merely props of their regimes .	mag_1978_318523.txt-5-12
his job be just to be the medium $ to keep the client talk $ to bring him back when he ramble or become incoherent $ to be his sole friend and his sole prop in this unreal universe $ the one who bring the truth forth $ like john chancellor of ottawa $ who be he $	34	2	prop	His job was just to be the medium , to keep the client talking , to bring him back when he rambled or became incoherent , to be his sole friend and his sole prop in this unreal universe , the one who brought the truth forth -- like John Chancellor of Ottawa , who 's he ?	fic_1981_10674.txt-3797-34
even beckett be overshadow here $ for he lack california as a prop $	12	2	prop	Even Beckett is overshadowed here , for he lacks California as a prop .	mag_1973_479466.txt-82-12
but soon wolfie be see leap up and down $ crank the prop by hand $	12	3	prop	But soon Wolfie was seen leaping up and down , cranking the prop by hand .	fic_1965_780079.txt-2652-12
perhaps it be the extraordinary freshness and clarity to the air at this hour which make for the impression $ or the fact that the few prop which comprise the spare landscape of sea $ sand $ and hill stand out then in such startling relief $	26	4	prop	Perhaps it was the extraordinary freshness and clarity to the air at this hour which made for the impression , or the fact that the few props which comprised the spare landscape of sea , sand , and hill stood out then in such startling relief .	fic_1969_10510.txt-1191-26
prop $ still try to locate them in a life that have nothing but itself to consider $	0	5	prop	props , still tried to locate them in a life that had nothing but itself to consider .	fic_1972_23885.txt-275-0
they pass a group of gray ruin in a hollow $ where the headlight sweep over another mass of rock resist by angular prop broaden to shield at the top and anchor to the ground by hook $	23	5	prop	They passed a group of gray ruins in a hollow , where the headlights swept over another mass of rock resisted by angular props broadening to shields at the top and anchored to the ground by hooks .	fic_1989_780083.txt-3220-23
this process of adjustment from within be halt in 1874 by military defeat at the hand of the british $ which remove the prop that uphold asante 's success $ end the slave trade to the south and encouraging tributary state on the periphery to break away $	23	5	prop	This process of adjustment from within was halted in 1874 by military defeat at the hands of the British , which removed the props that upheld Asante 's success , ending the slave trade to the south and encouraging tributary states on the periphery to break away .	nf_2005_747067.txt-148-23
and $ primarily $ it have always be the experimentation that have be the purpose of bend consultant $ the consulting end of the business have always be a monetary prop for	30	5	prop	And , primarily , it had always been the experimentation that had been the purpose of Bending Consultants ; the consulting end of the business had always been a monetary prop for	fic_1960_4126.txt-121-30
if they be wear for any length of time $ the abdominal muscle $ a key prop for the spine $ be likely to weaken $ and the chance of back injury may increase $	16	5	prop	If they are worn for any length of time , the abdominal muscles , a key prop for the spine , are likely to weaken , and the chances of back injury may increase .	mag_1980_320518.txt-25-16
in six month she have go from be a woman with a job and a little apartment and all the normal wardrobe and item -- clock radio $ electric toothbrush $ microwave -- that she have take for grant as prop of any normal life $ to be a woman with a small suitcase she lug about with her and a large fabric carryall $	40	5	prop	In six months she had gone from being a woman with a job and a little apartment and all the normal wardrobe and items -- clock radio , electric toothbrush , microwave -- that she had taken for granted as props of any normal life , to being a woman with a small suitcase she lugged about with her and a large fabric carryall .	fic_1994_41256.txt-181-40
employment and spend by state and local government keep a sturdy prop under the national economy during many previous recession $ but now they too be fall $ in part because reagan 's budget cut have reduce the flow of federal cash $	11	5	prop	Employment and spending by state and local governments kept a sturdy prop under the national economy during many previous recessions , but now they too are falling , in part because Reagan 's budget cuts have reduced the flow of federal cash .	mag_1981_295237.txt-21-11
