sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
when he do $ his comment be concise and his tone savage $ $	11	0	savage	When he did , his comment was concise and his tone savage . "	fic_1969_10516.txt-2239-11
for as the caucasus forcep597came to a halt in the wild mountain pass despite all hitler 's savage urge $ as rommel stall at el alamein $ fail in two assault $ and at last underwentthe grinding assault of the british $ as the raf increase its barbaricfire raid on our city $ slaughter thousands of innocent woman and child and pulverize important factory $ as our u-boat loss suddenlyand alarmingly shoot up $ as the american land in north africa with world-shaking political effect $ as all these chicken come home to roost $ and adolf hitler 's great summer flush of triumph wane $ and the first crack in his gigantic imperium appear $ the embattled fuhrer feel a more and more desperate need for a prestige victory to turn all this around $	17	1	savage	For as the Caucasus Forcep597came to a halt in the wild mountain passes despite all Hitler 's savage urging ; as Rommel stalled at El Alamein , failed in two assaults , and at last underwentthe grinding assault of the British ; as the RAF increased its barbaricfire raids on our cities , slaughtering thousands of innocent women and children and pulverizing important factories ; as our U-boat losses suddenlyand alarmingly shot up ; as the Americans landed in North Africa with world-shaking political effect ; as all these chickens came home to roost , and Adolf Hitler 's great summer flush of triumph waned , and the first cracks in his gigantic imperium appeared , the embattled Fuhrer felt a more and more desperate need for a prestige victory to turn all this around .	fic_1978_10636.txt-13759-17
we do n't know that $ $ he repeat $ but i have grow accustom to their savage fight $ they no long frighten me $	17	1	savage	We do n't know that , " he repeated ; but I had grown accustomed to their savage fights -- they no longer frightened me .	fic_1989_10786.txt-5538-17
a young woman to whom god have be unkind $ colman $ how savage she can be $	13	1	savage	A young woman to whom God has been unkind , Colman , how savage she can be !	fic_1978_10634.txt-2192-13
$ it shake your foundation $ he say $ $ to consider a broad range of work such as these $ when what you be comfortable with be the idea of the ' noble savage ' or ' our little neighbor to the south $ '	34	2	savage	" It shakes your foundation , he says , " to consider a broad range of works such as these , when what you 're comfortable with is the idea of the ' noble savage ' or ' our little neighbor to the south . '	news_2004_661056.txt-37-34
be the savage i have run into who see his totem in dream or vision $	2	2	savage	's the savage I 've run into who sees his totem in dreams or visions .	fic_1977_10627.txt-3198-2
gentle $ savage $ vulnerable $ yet willing to offer a moment 's trust $	2	2	savage	Gentle , savage , vulnerable , yet willing to offer a moment 's trust .	fic_1981_10675.txt-779-2
palfrey how could he know that morton have strengthen the savage with gun $	10	2	savage	PALFREY How could he know that Morton had strengthened the savages with guns ?	fic_1964_14129.txt-552-10
defend themselves against savage who have be molest them for a hundred and fifty year $	3	2	savage	defending themselves against savages who have been molesting them for a hundred and fifty years .	fic_1975_10600.txt-1563-3
but be n't it offensive to have the leading church figure in an area as big as this with a wife who be a short time ago a savage $	28	2	savage	But is n't it offensive to have the leading church figure in an area as big as this with a wife who was a short time ago a savage ?	fic_1988_782035.txt-685-28
the poor woman herself open the crate and out leap this wee savage with an evil glint in his good eye $ $	12	2	savage	The poor woman herself opens the crate and out leaps this wee savage with an evil glint in his good eye . "	fic_1993_1040059.txt-3322-12
i consider $ however $ that we be a large party and well arm $ and furthermore that it be never the manner of these savage to dwell inland but always upon the bank of some river $ and thus i quiet my fear $	25	2	savage	I considered , however , that we were a large party and well armed , and furthermore that it is never the manner of these savages to dwell inland but always upon the bank of some river , and thus I quieted my fears .	fic_1972_780113.txt-332-25
soft-yellow room $ throw rug on the floor $ color picture of savage and saint tape on the wall above her head $	12	2	savage	soft-yellow room ; throw rug on the floor ; colored pictures of savage and saint taped on the wall above her head .	fic_1979_10650.txt-3014-12
225 $ $ when capture $ a savage be no more entitle to quarter than an entrap wolf ' $	7	2	savage	225 ) ; when captured , a savage is no more entitled to quarter than an entrapped wolf ' .	nf_1982_774241.txt-1567-7
aside from one or two pleasant aria and one superb septet $ there be very little in the savage that suggest its composer 's grand reputation $	18	2	savage	Aside from one or two pleasant arias and one superb septet , there is very little in the Savage that suggests its composer 's grand reputation .	mag_1964_269943.txt-24-18
the girl have not hear ted tice on this note before $ savage as his inferior $ with a malice that blur his virtue $	12	2	savage	The girl had not heard Ted Tice on this note before -- savage as his inferiors , with a malice that blurred his virtue .	fic_1980_10663.txt-141-12
rome $ after all $ be lose by a youth which disdain to bathe in cold water $ abandon to softness $ almost resemble our little master in forsake the physical exercise responsible for its strength and virtue ' .20 the savage play the same role in this type of text $	41	2	savage	Rome , after all , was lost by a youth which disdaining to bathe in cold water , abandoned to softness , almost resembled our little masters in forsaking the physical exercise responsible for its strength and virtue ' .20 The savage played the same role in this type of text .	nf_1988_773733.txt-759-41
