sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Kein Dichter haben d Geheimnis d Strophik in eine fünfzeileig Strophe so schön zum Ausdruck bringen als Rückert durch Ausführung d vorstehend Strophenschema $ die ähnlich d Strophe 1 und 4 zwei zweizeileig Stollen eine schönwirkend einzeileig Abgesang vereinen $	37	0	Abgesang	Kein Dichter hat das Geheimnis der Strophik in einer fünfzeiligen Strophe so schön zum Ausdruck gebracht als Rückert durch Ausführung des vorstehenden Strophenschemas , das ähnlich der Strophe 1 und 4 zwei zweizeilige Stollen einem schönwirkenden einzeiligen Abgesang vereint .	beyer_poetik01_1882-17723-37
in d 5 Zeilechen Strophe von d Mädchen Klage folgen auf d 4 Zeilechen Aufgesang eine 1zeiliger Abgesang $	17	0	Abgesang	Jn der 5 zeiligen Strophe von Des Mädchens Klage folgt auf den 4 zeiligen Aufgesang ein 1zeiliger Abgesang .	beyer_poetik01_1882-17039-17
d Analogie sein gewißermaßen noch stark in d Probestück d neu Singer $ Wagenseil L. C. 554. $ $ wo nicht einmal eine Gesetz in eine Ton aushalten $ sondern d Ganze so aus d vier gekrönt Ton komponieren werden $ daß d erst Stoll aus eine $ d zweit aus eine ander $ d Abgesang aus d dritt und d wiederkehrend Stoll aus d viert Ton gehen $	55	0	Abgesang	Die Analogie iſt gewiſſermaßen noch ſtaͤrker in dem Probeſtuͤck des neuen Singers ( Wagenſeil l. c. 554. ) , wo nicht einmal ein Geſetz in einem Ton ausgehalten , ſondern das Ganze ſo aus den vier gekroͤnten Toͤnen componirt wird , daß der erſte Stoll aus einem , der zweite aus einem andern , der Abgeſang aus dem dritten und der wiederkehrende Stoll aus dem vierten Ton geht .	grimm_meistergesang_1811-681-55
vielleicht sein er darin zu suchen $ daß d beide aufgesangsstollen a b a b symmetrisch bauen sein und d Reim gleichmäßig wechseln $ so daß d Abgesang eine gefällig Gegensatz bilden $	27	0	Abgesang	Vielleicht ist er darin zu suchen , daß die beiden Aufgesangsstollen a b a b symmetrisch gebaut sind und den Reim gleichmäßig wechseln , so daß der Abgesang einen gefälligen Gegensatz bildet .	beyer_poetik01_1882-18235-27
übrigens können er lang oder kurz sein $ als d beide Stollen zusammen $ oder gar kurz $ als einzeln $ man fühlen zugleich $ daß d ungewöhnlich Fall doch etwas steif $ unbefriedigend in sich tragen $ dagegen sein eine ander ziemlich häufig $ wo in d Abgesang einzeln Partie aus d Stollen Wleder anklingen $ desto anmutig und durchaus von gut Wirkung $ es können wohl d ganz Stoll nochmals zu Ende d Abgesang wiederholen werden $	75	0	Abgesang	Uebrigens kann er laͤnger oder kuͤrzer ſeyn , als die beiden Stollen zuſammen , oder gar kuͤrzer , als einzelne . Man fuͤhlt zugleich , daß die ungewoͤhnlicheren Faͤlle doch etwas ſteifes , unbefriedigendes in ſich tragen , dagegen iſt ein anderer ziemlich haͤufiger , wo in dem Abgeſang einzelne Partien aus den Stollen wleder anklingen , deſto anmuthiger und durchaus von guter Wirkung ; es kann wohl der ganze Stoll nochmals zu Ende des Abgeſangs wiederhohlt werden .	grimm_meistergesang_1811-385-75
d abweichend gebaut Abgesang überragen ─ wie im deutsch ─ mindestens d Maß eine einzeln Stollen $ meistens aber beide zusammennehmen $	3	0	Abgesang	Der abweichend gebaute Abgesang überragt ─ wie im deutschen ─ mindestens das Maß eines einzelnen Stollen , meistens aber beide zusammengenommen .	beyer_poetik01_1882-15788-3
d Abgesang sein gewöhnlich keine weit Zerlegung fähig $ zuweilen können man er auch in zwei eigen Teil zerschneiden $ wo sich aber fast immer zuletzt eine Anhang finden $	1	0	Abgesang	Der Abgeſang iſt gewoͤhnlich keiner weiteren Zerlegung faͤhig , zuweilen koͤnnte man ihn auch in zwei eigene Theile zerſchneiden , wo ſich aber faſt immer zuletzt ein Anhang findet .	grimm_meistergesang_1811-384-1
ich enthalten mich aber in diese Teil d Gegenstand weiter eingehen $ sein erst einmal d Meistergesang anerkennen $ so können sicher und unbefangen über d Geschichte gewiß Meisterton handeln werden $ von d Richtigkeit d hier im Druck beibehalten Abteilung sein ich um so wenige überzeugen $ als dabei offenbaren Nachlässigkeit mitunter laufen $ z. B. in d zweit Strophe d letzte Lied sein d deutlich zweit Reim d Abgesang ausrücken vergessen werden $	70	0	Abgesang	Ich enthalte mich aber in dieſen Theil des Gegenſtands weiter einzugehen ; iſt erſt einmal der Meiſtergeſang anerkannt , ſo kann ſicherer und unbefangener uͤber die Geſchichte gewiſſer Meiſtertoͤne gehandelt werden ; von der Richtigkeit der hier im Druck beibehaltenen Abtheilungen bin ich um ſo weniger uͤberzeugt , als dabei offenbare Nachlaͤſſigkeiten mitunter laufen , z. B. in der zweiten Strophe des letzten Lieds iſt der deutliche zweite Reim des Abgeſangs auszuruͤcken vergeſſen worden .	grimm_meistergesang_1811-2157-70
d Mss. entscheiden hier nichts $ da man erst seit d 15ten Jahrhundert d einzeln Zeile absetzen finden $ obgleich man schon früh d Stollen und Abgesang unterscheiden $ was sich in d früh Mss. auch nicht einmal zeigen $	26	0	Abgesang	Die Mss. entſcheiden hier nichts , da man erſt ſeit dem 15ten Jahrhundert die einzelnen Zeilen abgeſetzt findet , obgleich man ſchon fruͤher die Stollen und Abgeſaͤnge unterſchied , was ſich in den fruͤhſten Mss. auch nicht einmal zeigt .	grimm_meistergesang_1811-710-26
4. durch Anfügen diese Abgesang an d Vierzeile entstehen d Fünfzeile $ welche zur Sechszeile hindrängen $ sofern ihr erst vier Zeile aus Reimpaar bestehen $	4	0	Abgesang	4. Durch Anfügen dieses Abgesangs an die Vierzeile entsteht die Fünfzeile , welche zur Sechszeile hindrängt , sofern ihre ersten vier Zeilen aus Reimpaaren bestehen .	beyer_poetik03_1884-2034-4
übrigens können er lang oder kurz sein $ als d beide Stollen zusammen $ oder gar kurz $ als einzeln $ man fühlen zugleich $ daß d ungewöhnlich Fall doch etwas steif $ unbefriedigend in sich tragen $ dagegen sein eine ander ziemlich häufig $ wo in d Abgesang einzeln Partie aus d Stollen Wleder anklingen $ desto anmutig und durchaus von gut Wirkung $ es können wohl d ganz Stoll nochmals zu Ende d Abgesang wiederholen werden $	48	0	Abgesang	Uebrigens kann er laͤnger oder kuͤrzer ſeyn , als die beiden Stollen zuſammen , oder gar kuͤrzer , als einzelne . Man fuͤhlt zugleich , daß die ungewoͤhnlicheren Faͤlle doch etwas ſteifes , unbefriedigendes in ſich tragen , dagegen iſt ein anderer ziemlich haͤufiger , wo in dem Abgeſang einzelne Partien aus den Stollen wleder anklingen , deſto anmuthiger und durchaus von guter Wirkung ; es kann wohl der ganze Stoll nochmals zu Ende des Abgeſangs wiederhohlt werden .	grimm_meistergesang_1811-385-48
d Aufgesang reichen zu je zwei jambisch Viertakter aus $ d lang Abgesang zu drei dieselbe $	12	0	Abgesang	Der Aufgesang reicht zu je zwei jambischen Viertaktern aus , der längere Abgesang zu drei derselben .	beyer_poetik03_1884-4076-12
nur in d Canzone sein gründlich Übereinstimmung mit unsere Grundsatz $ im Sonett aber schon d ungewöhnlich Auflösung d Abgesang für sich in zwei gleich Teil $ worin allerdings etwas unbefriedigend $ so daß sich schon italienisch Dichter $ wohl darum $ Freiheit damit erlauben haben $	19	0	Abgesang	Nur in der Canzone iſt gruͤndliche Uebereinſtimmung mit unſerm Grundſatz , im Sonett aber ſchon die ungewoͤhnlichere Aufloͤſung des Abgeſangs fuͤr ſich in zwei gleiche Theile , worin allerdings etwas unbefriedigendes , ſo daß ſich ſchon italieniſche Dichter ( wohl darum ) Freiheiten damit erlaubt haben .	grimm_meistergesang_1811-1611-19
mithin fallen davon auf d erst Stoll 14 $ auf d zweit 17 $ auf d Abgesang 29 $	16	0	Abgesang	Mithin fallen davon auf den erſten Stoll 14 , auf den zweiten 17 , auf den Abgeſang 29 .	grimm_meistergesang_1811-561-16
d letzte Silbe diesmal im Abgesang selbst binden und zwar in d Anfangssilbe seine zweit Zeile $	5	0	Abgesang	Die letzte Silbe diesmal im Abgeſang ſelbſt gebunden und zwar in der Anfangsſilbe ſeiner zweiten Zeile .	grimm_meistergesang_1811-530-5
bei Betrachtung ihr Kombination ergeben sich d Zusammensetzung eine d vier Grundform d vierzeileig Strophe $ 1. a a b b $ 2. a b b a $ 3. a b a b $ 4. a b c b $ mit eine dreizeileig Abgesang $ 1. a a a $ 2. a a b $ 3. a b a $ 4. b a a $ 5. b b a $ 6. b a b $ 7. a b b $ 8. b b b $ 9. c c c $ 10. c d c $ 11. c c d $ 12. d c c $ 13. c d e $ 14. c c a $ 15. c a c $ 16. a c c $ 17. c c b $ 18. c b c $ 19. b c c $ $	43	0	Abgesang	Bei Betrachtung ihrer Kombinationen ergiebt sich die Zusammensetzung einer der vier Grundformen der vierzeiligen Strophe ( 1. a a b b ; 2. a b b a ; 3. a b a b ; 4. a b c b ) mit einem dreizeiligen Abgesange ( 1. a a a ; 2. a a b ; 3. a b a ; 4. b a a ; 5. b b a ; 6. b a b ; 7. a b b ; 8. b b b ; 9. c c c ; 10. c d c ; 11. c c d ; 12. d c c ; 13. c d e ; 14. c c a ; 15. c a c ; 16. a c c ; 17. c c b ; 18. c b c ; 19. b c c ) .	beyer_poetik01_1882-18180-43
betrachten man bloß d Reim $ so sein diese Ton eine sehr einfach und regelmäßig $ von sechs Reim oder vielmehr sieben Zeile $ wo dann d mittel d Abgesang ungebinden bleiben $	29	0	Abgesang	Betrachtet man bloß die Reime , ſo iſt dieſer Ton ein ſehr einfacher und regelmaͤßiger , von ſechs Reimen oder vielmehr ſieben Zeilen , wo dann die mittlere des Abgeſangs ungebunden bleibt .	grimm_meistergesang_1811-555-29
d Minnepoesie d Mittelalter haben dieselbe Kunstform in d zwei Stollen $ die d Aufgesang heißen $ und d Abgesang ausbilden $ unter d neu Bildung sein es namentlich mehrere italienisch $ die in d Verschlingung ihr melodisch Band d Abschluß durch eine zwei vorangehend Satz ungleich Satz lieben $ so d achtzeileig Stanze und d Sonett $	19	0	Abgesang	Die Minnepoeſie des Mittelalters hat dieſelbe Kunſtform in den zwei Stollen , die der Aufgeſang hießen , und dem Abgeſang ausgebildet ; unter den neueren Bildungen ſind es namentlich mehrere italieniſche , die in der Verſchlingung ihrer melodiſchen Bänder den Abſchluß durch einen zwei vorangehenden Sätzen ungleichen Satz lieben , ſo die achtzeilige Stanze und das Sonett .	vischer_aesthetik030205_1857-2377-19
nachdem so d unsymmetrisch fünfzeileig Strophe entstehen sein $ dehnen d Bedürfnis d Abgesang $ wie d Aufgesang $ zu 2 oder mehrere Zeile aus $ und es entstehen so 6 = $ 7 = und mehrzeileig Strophe $	13	0	Abgesang	Nachdem so die unsymmetrische fünfzeilige Strophe entstanden war , dehnte das Bedürfnis den Abgesang ( wie den Aufgesang ) zu 2 oder mehreren Zeilen aus , und es entstanden so 6 = , 7 = und mehrzeilige Strophen .	beyer_poetik01_1882-17625-13
sie entstehen durch Hinzufügung eine 3zeiligen Abgesang an eine aus zwei gleich Stollen bestehend vierzeileig Aufgesang $	6	0	Abgesang	Sie entsteht durch Hinzufügung eines 3zeiligen Abgesanges an einen aus zwei gleichen Stollen bestehenden vierzeiligen Aufgesang .	beyer_poetik01_1882-18176-6
eine wirklich sein nicht da $ sobald man d Wort $ werden $ recht fassen $ d nachherig Meister müssen es wohl wissen haben $ daß sie ohne Stollen und Abgesang keine Meistersang machen $	30	0	Abgesang	Ein wirklicher iſt nicht da , ſobald man das Wort : geworden , recht faßt , die nachherigen Meiſter muͤſſen es wohl gewußt haben , daß ſie ohne Stollen und Abgeſang keine Meiſterſaͤnge machten .	grimm_meistergesang_1811-1974-30
diese Strophe sein eine Vierzeile $ § 172. 6 $ mit angefügt Abgesang $	12	0	Abgesang	Diese Strophe ist eine Vierzeile ( § 172. 6 ) mit angefügtem Abgesange .	beyer_poetik01_1882-17668-12
nichts als musikalisch Periode treten wir in d beide gleichartig Stollen und d mit eigenartig Tonsatz schließend Abgesang entgegen $	17	0	Abgesang	Nichts als musikalische Perioden treten uns in den beiden gleichartigen Stollen und dem mit eigenartigem Tonsatz schließenden Abgesang entgegen .	wolff_poetik_1899-3988-17
d deutsch Kunstpoesie bauen bald dreigeteilt Strophe $ d beide erst Teil oder Stollen bilden d Aufgesang $ d letzte d Abgesang $	21	0	Abgesang	Die deutsche Kunstpoesie baute bald dreigeteilte Strophen ; die beiden ersten Teile oder Stollen bildeten den Aufgesang , der letzte den Abgesang .	beyer_poetik01_1882-14304-21
sie sein d Vierzeile a b a b mit d Abgesang b a $	10	0	Abgesang	Sie ist die Vierzeile a b a b mit dem Abgesang b a .	beyer_poetik01_1882-17976-10
in d 11. Kanzone sein ─ wie nur einmal bei Petrarca ─ als äußerst Maß 20 Verszeile mit d Gliederung 3 $ 3 $ 14 anwenden $ d Abgesang sein nur einigemal abweichend bilden $	28	0	Abgesang	Jn der 11. Kanzone sind ─ wie nur einmal bei Petrarca ─ als äußerstes Maß 20 Verszeilen mit der Gliederung 3 : 3 : 14 angewandt ; der Abgesang ist nur einigemale abweichend gebildet .	beyer_poetik01_1882-15790-28
S. 135. Z. 3 $ d maneßische Sammelung bekanntlich enthalten nur zwölf solch Brennberger $ sollen aber nicht spät d Weise mit d Tannhäuser Hofton verwechseln werden sein $ unerachtet d verkürzt zweit und viert Zeile d Abgesang $ $ $ wovon wiederum nur neun zu d berühmt Liebesgeschichte d Dichter gehören $	37	0	Abgesang	S. 135. Z. 3 . Die maneßiſche Sammlung bekanntlich enthaͤlt nur zwoͤlf ſolcher Brennberger ( ſollte aber nicht ſpaͤter die Weiſe mit des Tanhaͤuſers Hofton verwechſelt worden ſeyn , unerachtet der verkuͤrzten zweiten und vierten Zeile des Abgeſangs ? ) , wovon wiederum nur neun zu der beruͤhmten Liebesgeſchichte des Dichters gehoͤren .	grimm_meistergesang_1811-2067-37
5. d Vierzeile mit dreizeileig Abgesang ergeben d Siebenzeile $	5	0	Abgesang	5. Die Vierzeile mit dreizeiligem Abgesang ergiebt die Siebenzeile .	beyer_poetik03_1884-2036-5
d letzte alleinstehend $ ungleich Teil $ die oft mehr Zeile haben als d beide Aufgesangsstollen zusammennehmen $ heißen Abgesang $	19	0	Abgesang	Der letzte alleinstehende , ungleiche Teil , der oft mehr Zeilen hatte als die beiden Aufgesangsstollen zusammengenommen , hieß Abgesang .	beyer_poetik01_1882-16991-19
