sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
d Analogie zwischen d Schwingung fest Körper und d Schallwelle d Luft $ auf welche Thomas Young schon aufmerksam machen $ sein in d theoretisch Betrachtung über d Dynamik d Erdbeben besonders geeignet zu einfach und befriedigend Ansicht zu führen $	28	0	Dynamik	Die Analogien zwischen den Schwingungen fester Körper und den Schallwellen der Luft , auf welche Thomas Young schon aufmerksam gemacht , sind in den theoretischen Betrachtungen über die Dynamik der Erdbeben besonders geeignet zu einfacheren und befriedigenderen Ansichten zu führen .	humboldt_kosmos04_1858-2023-28
diese nach bestimmt Zwecke erregt Tätigkeit in d verschieden Getriebe d Seelenorgan assimilieren sich allmählich d Kraft $ die ursprünglich gleichsam mit Gewalt durch d Stärke d Reiz wecken werden und stellen d Verhältnis in d Dynamik d Seele wieder her $ von welche d gesund Menschenverstand abhängig sein $	36	0	Dynamik	Dieſe nach beſtimmten Zwecken erregte Thätigkeit in den verſchiednen Getrieben des Seelenorgans aſſimilirt ſich allmälig die Kräfte , die urſprünglich gleichſam mit Gewalt durch die Stärke der Reize geweckt wurden und ſtellt das Verhältniſs in der Dynamik der Seele wieder her , von welchem der geſunde Menſchenverſtand abhängig iſt .	reil_curmethode_1803-2363-36
damit werden aber d Dynamik eine wesentlich ander Entwickelungsgang nehmen haben $	4	0	Dynamik	Damit würde aber die Dynamik einen wesentlich andern Entwickelungsgang genommen haben .	mach_mechanik_1883-2785-4
zu diese Rhythmik und Dynamik d Tanz treten nun d Rhythmik und Dynamik d Musik wie eine Kommentar in Ton hinzu $ sie objektivieren d Maß und Tempo d Tanzrhythmus $ sie lassen es fortwährend hören $ prägen es ein und bilden es vor $ sie beleben es durch d Tonfigur $ die sie so gestalten $ daß auch melodisch immer d Hauptgewicht auf d Taktaccent kommen $ sie objektivieren ebenso d Kraft oder Zartheit oder d Abwechselung zwischen Beidee $ welche d jedesmalig Tanzbewegung eigentümlich sein $ sie bilden d zu- und Abnehmen $ d Steigen und Falle d Energie d Bewegung ab $ sie markieren d Punkt $ auf welche d hoch Kraftäußerung kommen sollen $ durch Tonmasse $ die sie auf sie werfen $ sie schieben zwischen sie wiederum Periode eine von gleichförmig und beruhigt Charakter $ während welche d Bewegung in gemeßen Gleichmaß ihr Gang gehen $ lassen dann abermals stark Klangeffekt hören $ welche ihr Energie aufs neu beleben $ u. s. F. ohne d Musik können d Rhythmik und Dynamik d Tanz zu so bestimmt Entfaltung gar nicht gelangen $ sie erst bringen diese fein Unterschied in d Ganze hinein $ d Tanzbewegung haben wohl eine innerlich Bewegungsrhythmus $ sie durchlaufen wohl an sich diese Stadion d an- und Abschwellen $ d zu- und Abnahme $ aber sie können sie $ wenn sie nicht zu förmlich Kunsttanz sich erheben $ keine konkret Ausdruck geben $ diese übernehmen d Musik und geben so d Tanz erst wahr Leben $ bestimmt Form und Ebendamit auch d geistig Charakter eine mit Bewußtsein innerhalb eine solch Form sich bewegend Tätigkeit $	4	0	Dynamik	Zu dieſer Rhythmik und Dynamik des Tanzes tritt nun die Rhythmik und Dynamik der Muſik wie ein Commentar in Tönen hinzu ; ſie objectivirt das Maaß und Tempo des Tanzrhythmus , ſie läßt es fortwährend hören , prägt es ein und bildet es vor , ſie belebt es durch die Tonfiguren , die ſie ſo geſtaltet , daß auch melodiſch immer das Hauptgewicht auf die Taktaccente kommt ; ſie objectivirt ebenſo die Kraft oder Zartheit oder die Abwechslung zwiſchen Beidem , welche der jedesmaligen Tanzbewegung eigenthümlich iſt , ſie bildet das Zu- und Abnehmen , das Steigen und Fallen der Energie der Bewegung ab , ſie markirt die Puncte , auf welche die höchſte Kraftäußerung kommen ſoll , durch Tonmaſſen , die ſie auf ſie wirft , ſie ſchiebt zwiſchen ſie wiederum Perioden ein von gleichförmigerem und beruhigterem Charakter , während welcher die Bewegung in gemeſſenem Gleichmaaß ihren Gang geht , läßt dann abermals ſtärkere Klangeffecte hören , welche ihre Energie auf’s Neue beleben , u. ſ. f. Ohne die Muſik könnte die Rhythmik und Dynamik des Tanzes zu ſo beſtimmter Entfaltung gar nicht gelangen , ſie erſt bringt dieſe feinern Unterſchiede in das Ganze hinein ; die Tanzbewegung hat wohl einen innerlichen Bewegungsrhythmus , ſie durchläuft wohl an ſich dieſe Stadien des An- und Abſchwellens , der Zu- und Abnahme , aber ſie kann ihnen , wenn ſie nicht zu förmlichem Kunſttanze ſich erhebt , keinen concreten Ausdruck geben , dieſen übernimmt die Muſik und gibt ſo dem Tanze erſt wahres Leben , beſtimmte Form und ebendamit auch den geiſtigern Charakter einer mit Bewußtſein innerhalb einer ſolchen Form ſich bewegenden Thätigkeit .	vischer_aesthetik030204_1857-2195-4
indem d zu reizbar Hirnfaser zur Ruhe bringen $ d träge erregen werden $ kehren d normal Proportion in d Dynamik d Seelenorgan zurück und d hervorstechend Wahn schwinden $	20	0	Dynamik	Indem die zu reizbaren Hirnfaſern zur Ruhe gebracht , die trägen erregt werden , kehrt die normale Proportion in der Dynamik des Seelenorgans zurück und der hervorſtechende Wahn ſchwindet .	reil_curmethode_1803-2175-20
demgemäß erkennen wir in d Tragödie eine durchgreifend Stilgegensatz $ Sprache $ Farbe $ Beweglichkeit $ Dynamik d Rede treten in d dionysisch Lyrik d Chor und andererseits in d apollinisch Traumwelt d Szene als völlig gesondert Sphäre d Ausdruck aus einander $	16	0	Dynamik	Demgemäss erkennen wir in der Tragödie einen durchgreifenden Stilgegensatz : Sprache , Farbe , Beweglichkeit , Dynamik der Rede treten in der dionysischen Lyrik des Chors und andrerseits in der apollinischen Traumwelt der Scene als völlig gesonderte Sphären des Ausdrucks aus einander .	nietzsche_tragoedie_1872-344-16
Jacobi $ Vorlesung über Dynamik $ 9. Vorles. $ S. 70 $ Gleich. 4 $	4	0	Dynamik	Jacobi , Vorlesungen über Dynamik , 9. Vorles. , S. 70 , Gleich. 4 .	boltzmann_gastheorie02_1898-1046-4
für philosophisch gebildet Leser wollen ich bemerken $ dass ich Kant Aufstellung eine dynamisch Naturphilosophie im Gegensatz zu eine mechanisch Naturphilosophie $ metaphysisch Anfangsgrund d Naturwissenschaft $ ii $ nicht entgehen sein $ doch handeln es sich da um Unterscheidung $ die in eine Werk wie d vorliegend nicht vortragen werden können $ außerdem bezeichnen Kant mit $ Dynamik $ lediglich eine besondere Auffaßung eine $ nach d gewöhnlich Brauch d Wort $ streng $ mechanisch Deutung d Natur $	58	0	Dynamik	Für philosophisch gebildete Leser will ich bemerken , dass mir Kant’s Aufstellung einer dynamischen Naturphilosophie im Gegensatz zu einer mechanischen Naturphilosophie ( Metaphysische Anfangsgründe der Naturwissenschaft , II ) nicht entgangen ist , doch handelt es sich da um Unterscheidungen , die in einem Werk wie dem vorliegenden nicht vorgetragen werden können , ausserdem bezeichnet Kant mit » Dynamik « lediglich eine besondere Auffassung einer — nach dem gewöhnlichen Brauch des Wortes — streng » mechanischen Deutung der Natur .	chamberlain_grundlagen02_1899-2792-58
diese sein geschehen und vermitteln werden durch Priester und Glied d Kirche $ die $ fest an d Überlieferung und d Verheißung halten $ im beständig Besitz jen geistig Dynamik bleiben sein $ die mächtig Hebel d Glaube $ d Gebet und d Fürbitte sein $	29	0	Dynamik	Dies ist geschehen und vermittelt worden durch Priester und Glieder der Kirche , die , fest an der Ueberlieferung und den Verheißungen haltend , im beständigen Besitz jener geistigen Dynamik geblieben ist , deren mächtigste Hebel der Glaube , das Gebet und die Fürbitte sind .	lorinser_branntweinpest_1845-486-29
d normal Verhältnis in d Dynamik d Teil d Seelenorgan sein verstimmen $	5	0	Dynamik	Das normale Verhältniſs in der Dynamik der Theile des Seelenorgans iſt verſtimmt .	reil_curmethode_1803-2996-5
