sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
gegen d Gemeinde bedürfen es auch d kurz Verjährungsfrist nicht $ da dieselbe im Aufsichtsweg zur rechtzeitig Einreichung ihr Liquidation bei d Intendantur anhalten werden können $	17	0	Einreichung	Gegen die Gemeinden bedarf es auch der kurzen Verjährungsfriſt nicht , da dieſelben im Aufſichtswege zur rechtzeitigen Einreichung ihrer Liquidationen bei den Intendanturen angehalten werden können .	laband_staatsrecht0301_1880-4921-17
d Gültigkeit d Entscheidung d Gericht gehen dagegen unbedingt auf d Tag d Einreichung zurück $	13	0	Einreichung	Die Gültigkeit der Entſcheidungen des Gerichts gehen dagegen unbedingt auf den Tag der Einreichung zurück .	stein_handbuch_1870-5048-13
am Tag d Einreichung d Ausschußbericht über diese Sache sein eine Deputation bei v. Gagern sein $ die eine neu bevorstehend Aufruhr in Polen denunzieren haben $	3	0	Einreichung	Am Tage der Einreichung des Ausschußberichtes über diese Sache sei eine Deputation bei v. Gagern gewesen , die einen neuen bevorstehenden Aufruhr in Polen denuncirt hätte .	nn_nrhz058_1848-302-3
diese Vorgehen d Kongreß wirken so einschüchternd auf d Territorium $ dass $ als es im November 1889 zum Rang eine Staat erheben werden $ es nicht wagen $ bei Einreichung seine Verfassung an d Kongreß darin d Frauenstimmrecht aufstellen $	30	0	Einreichung	Dieses Vorgehen des Congresses wirkte so einschüchternd auf das Territorium , dass , als es im November 1889 zum Rang eines Staates erhoben wurde , es nicht wagte , bei Einreichung seiner Verfassung an den Congress darin das Frauenstimmrecht aufzustellen .	ichenhaeuser_gleichberechtigung_1898-424-30
so schwer und so zahlreich sein ihr Verbrechen $ $ wer so anheben $ richten sich gegen viel $ nicht gegen eine $ und die er angreifen sein nicht zur stellen $ sonst werden d Pronomen Οὗτος stehen $ nicht Αὐτοῖς $ d Paragraph 21 zählen in eine durch d Endereim d Glied Gorgianisch geschmückt Periode d Schandtat d Dreißig auf $ und darauf gehen es weiter Καὶ Eis τοσοῦτόν εἰσι τόλμης ἀφιγ- μένοι ὥσϑ̕ ἥκουσιν ἀπολογησόμενοι καὶ λέγουσιν ὡς οὐδὲν κακὸν οὐδ̕ αἰσχϱὸν εἰϱγασμένοι εἰσίν $ da stimmen d Mehrzahl $ aber sie scheinen zur stellen zu sein $ dass d anklagen sich gegen d Dreißig richten $ sein allerorten klar $ $ bürgern und fremd sein zusammenkommen $ um zu erfahren τίνα γνώμην πεϱὶ τούτων ἕξετε 35 $ und in d Epiloge diese Teil $ 37--40 $ οὐκ οἶδ̕ ὅ τι δεῖ πολλὰ κατηγοϱεῖν τοιούτων ἀνδϱῶν $ und schließlich werden es ganz ausdrücklich aussprechen $ jetzt sein d Gelegenheit παϱὰ ἐϱατοσϑένους καὶ Ton τουτουὶ συναϱχόν- Ton δίκην λαβεῖν $ 79 $ $ und κατηγόϱηται ἐϱατοσϑένους καὶ Ton τούτου φίλων $ 81 $ $ also d Bezeichnung Κατὰ Ton Τϱιάκοντα sein richtig $ d ander Κατ̕ Ἐϱατοσϑένους sein aber auch richtig $ denn d Διήγησις $ 4--34 $ $ in die eine lebendig direkt Verhör mit d angeklagt stehen $ 25 $ $ die auch wiederholt anreden werden $ gehen d eine Mann schuld $ eine ganz bestimmt tun $ an $ und d Beweis $ die allein durch Zeugenaussage führen werden $ 41--61 $ $ gehen lediglich d Eratosthenes und sein verhalten an $ d vita ante acta und d unter d Dreißig $ aber wenn diese zwei Teil sein $ von die d eine d einzeln tun $ d Tötung d Polemarchos $ die Eratosthenes geständig sein $ die andere sein politisch verhalten angehen $ so sein damit genügend sichern $ dass es sich um beide handeln müssen $ wenn wir da hören τὸ δὲ τελευταῖον Eis τὴν ἀϱχὴν καταστάς $ 48 $ $ so lassen d reden im ganz zwar keine Zweifeln $ dass es sich um d Platzen unter d Dreißig handeln $ aber d bestimmt Artikel weisen genügsam darauf hin $ dass es sich eben um diese Amt auch vor Gericht jetzt handeln $ nehmen man dazu d Ἥκουσιν Ἀπο- Λογησόμενοι 22 und Ἥκει Ἀπολογησόμενος 84 $ so sein jede Zweifeln ausschließen $ dass sich Eratosthenes d Gericht freiwillig stellen haben $ mit ander Wort $ dass er von d Klausel d Versöhnungsurkunde Gebrauch machen haben $ die d dreissig Amnestie verheißen $ wenn sie sich d Rechenschaftsablage unterziehen $ so urteilen denn auch d Verteidiger dieselbe $ man sollen er freilassen $ weil er am wenigste übel von d Dreißig tun haben $ 89 $ $ was Lysias von seine Standpunkt nennen διὰ τὸ ὑμέτεϱον πλῆϑος ἀδεῶς τοὺς τϱιάκοντα σῴζειν $ 87 $ $ es sein also in d tun eine Rechenschaftsprozeß eine d Dreißig $ in er stehen d Isotele Lysias auf und führen d klagen $ wie jede es können $ es sein nicht ersichtlich $ in welcher Form d Verhandlung einleiten werden $ ob durch d Konstituierung eine Logischistenprozeß oder durch d Einreichung d privat anklagen vor d Ratseuthynen $ da eine Rat sofort konstituieren werden $ sein die letztere wahrscheinlich $ d Vorsitz sein dann d Thesmotheten zufallen $ die auch gleich mit d Archon Eukleides einsetzen sein müssen $	532	0	Einreichung	so schwer und so zahlreich sind ihre verbrechen ” . wer so anhebt , richtet sich gegen viele , nicht gegen einen , und die er angreift sind nicht zur stelle , sonst würde das pronomen οὗτος stehn , nicht αὐτοῖς . der paragraph 21 zählt in einer durch die endreime der glieder gorgianisch geschmückten periode die schandtaten der Dreiſsig auf , und darauf geht es weiter καὶ εἰς τοσοῦτόν εἰσι τόλμης ἀφιγ- μένοι ὥσϑ̕ ἥκουσιν ἀπολογησόμενοι καὶ λέγουσιν ὡς οὐδὲν κακὸν οὐδ̕ αἰσχϱὸν εἰϱγασμένοι εἰσίν . da stimmt die mehrzahl , aber sie scheinen zur stelle zu sein . daſs die anklage sich gegen die Dreiſsig richtet , ist allerorten klar . “ bürger und fremde sind zusammengekommen , um zu erfahren τίνα γνώμην πεϱὶ τούτων ἕξετε 35 , und in dem epiloge dieses teiles ( 37—40 ) οὐκ οἶδ̕ ὅ τι δεῖ πολλὰ κατηγοϱεῖν τοιούτων ἀνδϱῶν . und schlieſslich wird es ganz ausdrücklich ausgesprochen , jetzt wäre die gelegenheit παϱὰ Ἐϱατοσϑένους καὶ τῶν τουτουὶ συναϱχόν- των δίκην λαβεῖν ( 79 ) , und κατηγόϱηται Ἐϱατοσϑένους καὶ τῶν τούτου φίλων ( 81 ) . also die bezeichnung κατὰ τῶν τϱιάκοντα ist richtig . die andere κατ̕ Ἐϱατοσϑένους ist aber auch richtig . denn die διήγησις ( 4—34 ) , in der ein lebendiges directes verhör mit dem angeklagten steht ( 25 ) , der auch wiederholt angeredet wird , geht des einen mannes schuld , eine ganz bestimmte tat , an . und der beweis , der allein durch zeugenaussagen geführt wird ( 41—61 ) , geht lediglich den Eratosthenes und sein verhalten an , die vita ante acta und die unter den Dreiſsig . aber wenn dies zwei teile sind , von denen der eine die einzelne tat , die tötung des Polemarchos , deren Eratosthenes geständig ist , der andere sein politisches verhalten angeht , so ist damit genügend gesichert , daſs es sich um beides handeln muſs . wenn wir da hören τὸ δὲ τελευταῖον εἰς τὴν ἀϱχὴν καταστάς ( 48 ) , so läſst die rede im ganzen zwar keinen zweifel , daſs es sich um den platz unter den Dreiſsig handelt : aber der bestimmte artikel weist genugsam darauf hin , daſs es sich eben um dieses amt auch vor gericht jetzt handelt . nimmt man dazu das ἥκουσιν ἀπο- λογησόμενοι 22 und ἥκει ἀπολογησόμενος 84 , so ist jeder zweifel ausgeschlossen , daſs sich Eratosthenes dem gerichte freiwillig gestellt hat , mit andern worten , daſs er von der clausel der versöhnungsurkunde gebrauch gemacht hat , die den Dreiſsig amnestie verhieſs , wenn sie sich der rechenschaftsablage unterzogen . so urteilten denn auch die verteidiger desselben , man sollte ihn freilassen , weil er am wenigsten übles von den Dreiſsig getan hätte ( 89 ) , was Lysias von seinem standpunkte nennt διὰ τὸ ὑμέτεϱον πλῆϑος ἀδεῶς τοὺς τϱιάκοντα σῴζειν ( 87 ) . es ist also in der tat ein rechenschaftsproceſs eines der Dreiſsig . in ihm steht der isotele Lysias auf und führt die klage , wie jeder es konnte . es ist nicht ersichtlich , in welcher form die verhandlung eingeleitet ward . ob durch die constituirung eines logistenprocesses oder durch die einreichung der privaten anklagen vor den ratseuthynen . da ein rat sofort constituirt ward , ist das letztere wahrscheinlich ; der vorsitz ist dann den thesmotheten zugefallen , die auch gleich mit dem archon Eukleides eingesetzt sein müssen .	wilamowitz_aristoteles02_1893-1054-532
in Sache $ in die d zu verhängend Geldstrafe d Betrag von 150 Mark übersteigen $ sein d Angeschuldigte auf Verlangen eine Frist von 8 Tag bis 4 Woche zur Einreichung eine schriftlich Verteidigung zu gestatten $	30	0	Einreichung	In Sachen , in denen die zu verhängende Geldſtrafe den Betrag von 150 Mark überſteigt , iſt dem Angeſchuldigten auf Verlangen eine Friſt von 8 Tagen bis 4 Wochen zur Einreichung einer ſchriftlichen Vertheidigung zu geſtatten .	laband_staatsrecht02_1878-4574-30
als nun d Krone $ wie einst vor d Veröffentlichung d allgemein Landrecht $ alle Sachverständige zur Einreichung von Gutachten auffordern lassen $ da sprechen sich d groß Mehrheit für d Erhaltung d Code aus $	17	0	Einreichung	Als nun die Krone , wie einſt vor der Veröffentlichung des Allgemeinen Landrechts , alle Sachverſtändigen zur Einreichung von Gutachten auffordern ließ , da ſprach ſich die große Mehrheit für die Erhaltung der Codes aus .	treitschke_geschichte02_1882-3109-17
Sintenis Erläuterung S. 148 $ diese wollen sogar auf d Zeit d Einreichung d Klage zurückgehen $	12	0	Einreichung	Sintenis Erläuterungen S. 148 ; dieſer will ſogar auf die Zeit der Einreichung der Klage zurückgehen .	savigny_system06_1847-2587-12
diejenige $ welche eine ausländisch Gymnasium besuchen haben $ oder aus Privat-Unterricht $ und nicht unmittelbar von eine Gymnasium zur Universität übergehen $ haben d Prüfung ihr Kenntnisreife unter Einreichung d Zeugnis ihr bisherig Lehrer über ihr Studie und ihr sittlich Führung bei d Prüfungs-Kommission eine inländisch Gymnasium $ die Wahl d Eltern oder Vormund überlassen bleiben $ schriftlich auf d in $ 6. bestimmt Art nachsuchen $ und sich d Anordnung diese Reglement zu unterwerfen $	29	0	Einreichung	Diejenigen , welche ein ausländiſches Gymnaſium beſucht haben , oder aus Privat-Unterricht , und nicht unmittelbar von einem Gymnaſium zur Univerſität übergehen , haben die Prüfung ihrer Kenntnißreife unter Einreichung der Zeugniſſe ihrer bisherigen Lehrer über ihre Studien und ihre ſittliche Führung bei der Prüfungs-Commiſſion eines inländiſchen Gymnaſiums , deſſen Wahl den Eltern oder Vormündern überlaſſen bleibt , ſchriftlich auf die in §. 6. beſtimmte Art nachzuſuchen , und ſich den Anordnungen dieſes Reglements zu unterwerfen .	heckert_schulgesetzgebung_1847-5952-29
wenn eine einmonatlich Frist zur Einreichung eine Prozeßschrift am 5. September geben sein $ so werden d erkennend Richter nur darauf sehen $ ob d Schrift spätestens am 5. Oktober einreichen werden sein $ und er werden diese für genügend halten $ ohne zu prüfen $ ob diese vielleicht in eine spät Tagesstunde geschehen $ als an welche d Frist geben werden sein $ gerade die aber sein d Sinn und Erfolg d hier für d Prozeßfrist $ übereinstimmend mit d Klagverjährung $ aufgestellt Regel $	5	0	Einreichung	Wenn eine einmonatliche Friſt zur Einreichung einer Prozeßſchrift am 5. September gegeben iſt , ſo wird der erkennende Richter nur darauf ſehen , ob die Schrift ſpäteſtens am 5. Oktober eingereicht worden iſt , und er wird Dieſes für genügend halten , ohne zu prüfen , ob dieſes vielleicht in einer ſpäteren Tagesſtunde geſchah , als an welcher die Friſt gegeben worden war ; gerade Das aber iſt der Sinn und Erfolg der hier für die Prozeßfriſten ( übereinſtimmend mit den Klagverjährungen ) aufgeſtellten Regel .	savigny_system04_1841-4495-5
