sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
zu seine Fuß versammeln sich d anbetend Weise d Morgenland $ in reich königlich Prachtgewand und alle Herrlichkeit d Orient $	2	0	Fu	Zu ſeinen Füßen verſammeln ſich die anbetenden Weiſen des Morgenlandes , in reichen königlichen Prachtgewändern und aller Herrlichkeit des Orients .	schopenhauer_eyck01_1822-175-2
so werden er wie Stein eine abgesagt Feind alle politisch Systemsucht und finden wie jen d Eckstein d Freiheit in d Selbstverwaltung $ die d Bürger gewöhnen mannhaft auf eigen Fuß zu stehen und d Regieren $ nach d Weise d alt $ handanlegend zu lernen $	30	0	Fu	So ward er wie Stein ein abgeſagter Feind aller politiſchen Syſtemſucht und fand wie Jener den Eckſtein der Freiheit in der Selbſtverwaltung , die den Bürger gewöhne mannhaft auf eigenen Füßen zu ſtehen und das Regieren , nach der Weiſe der Alten , handanlegend zu lernen .	treitschke_geschichte02_1882-910-30
noch mehr auf d Süden sein d Achatschnecke $ Achatene $ beschränken $ d Tier mit spitz zusammengedrückt Fuß $ sonst ebenfalls wie Helix $	18	0	Fu	Noch mehr auf den Süden iſt die Achatſchnecke ( Achatina ) beſchränkt , das Thier mit ſpitzem zuſammengedrückten Fuße , ſonſt ebenfalls wie Helix .	brehm_thierleben06_1869-15730-18
so wie wir schlafend unter herüberfallen Berg zu ersticken glauben $ wenn d Deckbett sich auf unsere Lippe überschlagen $ oder über klebend Glut-Blech zu schreiten $ wenn es mit zu dick Feder d Fuß drücken $ oder als nackt Bettler zu frieren $ wenn es sich kühlen verschieben $	34	0	Fu	So wie wir ſchlafend unter herüberfallenden Bergen zu erſticken glauben , wenn das Deckbette ſich auf unſere Lippen überſchlägt , oder über klebendes Gluth-Blech zu ſchreiten , wenn es mit zu dicken Federn die Füße drückt , oder als nackte Bettler zu frieren , wenn es ſich kühlend verſchiebt :	paul_titan03_1802-2290-34
d golden Schuh an deine Fuß $ er sein_es $ die du erlösen müssen $	5	0	Fu	Der goldene Schuh an deinem Fuß , Er iſt’s , der dich erlöſen muß .	pocci_komoedienbuechlein05_1875-986-5
da reichen sie d Mutter eine Messer $ und sprechen $ hau eine Stück von d Ferse ab $ wann du Königin sein $ brauchen du nicht mehr zu Fuß zu gehen $ $ d Mädchen hauen eine Stück von d Ferse ab $ zwängen d Fuß in d Schuh $ verbeissen d Schmerz $ und gehen heraus zum Königssohn $	46	0	Fu	Da reichte ihr die Mutter ein Messer , und sprach ‘ hau ein Stück von der Ferse ab , wann du Königin bist , brauchst du nicht mehr zu Fuß zu gehen . ’ Das Mädchen hieb ein Stück von der Ferse ab , zwängte den Fuß in den Schuh , verbiß den Schmerz , und gieng heraus zum Königssohn .	grimm_maerchen01_1843-1349-46
Kuckuck $ Cuculus Canorus L. $ Hotongisu oder Hotongiso $ stets fliegend abbilden $ d Fuß nicht zeichnen $ von d gemein Mann für fußlos halten $	15	0	Fu	Kukuk , Cuculus canorus L. , hotongisu oder hotongiso , stets fliegend abgebildet , die Füsse nicht gezeichnet , von dem gemeinen Mann für fusslos gehalten .	berg_ostasienzoologie01_1876-1067-15
d Kraft schienen er zu verlassen $ nur einigemal kommen noch eine Hand $ eine Fuß in d Höhe $	15	0	Fu	Die Kraͤfte ſchienen ihn zu verlaſſen , nur einigemal kam noch eine Hand , ein Fuß in die Hoͤhe .	goethe_wahlverw01_1809-1491-15
hoch sein d Berg $ sehr rauh sein d Weg $ dazu auch manche lang Meile $ Zart sein d Fuß $ geben oft schmal Steg $ Jungfrau Maria nicht so eilen $	20	0	Fu	Hoch ſind die Berg , ſehr rauh iſt der Weg , Dazu auch manche lange Meile , Zart ſind die Fuͤß , gibt oft ſchmale Steg , Jungfrau Maria nicht ſo eile .	arnim_wunderhorn01_1806-3296-20
dann müssen du sie mild behandeln und sie nicht Fußtritt geben mit d Stiefel am Fuß $	15	0	Fu	Dann musst du sie milde behandeln und ihnen nicht Fusstritte geben mit dem Stiefel am Fuss .	berg_ostasien03_1873-3201-15
ich haben $ als sie ich d erst Wäsche bringen $ just eine Anweisung auf zweitausend Dollar an d Gebrüder Sweet u. Comp. in d Wall-Street einkassieren $ was sich freilich nicht so leicht machen $ denn ich liegen gleichzeitig an eine verstaucht Fuß danieder $ die ich ich tags zuvor bei d berühmt Longisland-Wettrennen holen $ indem ich eine schrecklich Sturz vom Pferd mit ansehen $	43	0	Fu	Ich hatte , als ſie mir die erſte Wäſche brachte , juſt eine Anweiſung auf zweitauſend Dollars an die Gebrüder Sweet u. Comp. in der Wall-Street einzukaſſiren , was ſich freilich nicht ſo leicht machte , denn ich lag gleichzeitig an einem verſtauchten Fuß darnieder , den ich mir Tags zuvor bei dem berühmten Longisland-Wettrennen geholt , indem ich einen ſchrecklichen Sturz vom Pferde mit angeſehen .	kuernberger_amerikamuede_1855-8717-43
ich lieben du und glühen ich du an $ vor deine Fuß liegen ich $ sehen ich an $ eine Knabe sein ich $ küssen ich zum Mann $	11	0	Fu	Ich liebe Dich und glühe mich Dir an , Vor Deinen Füßen lieg ich , ſieh mich an , Ein Knabe bin ich , küſſe mich zum Mann !	bierbaum_stilpe_1897-2124-11
diese niedergedrückt $ horizontal Wuchs werden zunächst dadurch veranlassen $ daß hier oben sieben bis acht Monat lang eine streng Winter herrschen $ die mit enorm Schneelast tyrannisch seine Fuß auf d Nacken diese Pflanze setzen und sie nur in d kurz Sommerpause aufatmen lassen $	29	0	Fu	Dieſer niedergedrückte , horizontale Wuchs wird zunächſt dadurch veranlaßt , daß hier oben ſieben bis acht Monate lang ein ſtrenger Winter herrſcht , der mit enormen Schneelaſten tyranniſch ſeinen Fuß auf den Nacken dieſer Pflanze ſetzt und ſie nur in der kurzen Sommerpauſe aufathmen läßt .	berlepsch_alpen_1861-944-29
beim aufrecht Gang sein er nicht im Stand $ wie d Mensch d Ferse vom Boden zu erheben $ sondern treten gleichsam stampfen mit d ganz Sohlenfläche oder vielmehr mit d Knöchelseite d Hand und Fuß auf $ wodurch diese Außenseite d Hand schwielig werden $	35	0	Fu	Beim aufrechten Gange iſt er nicht im Stande , wie der Menſch die Ferſe vom Boden zu erheben , ſondern tritt gleichſam ſtampfend mit der ganzen Sohlenfläche oder vielmehr mit den Knöchelſeiten der Hände und Füße auf , wodurch dieſe Außenſeiten der Hände ſchwielig werden .	brehm_thierleben01_1864-1412-35
Hildebrand Von Madrucci sein noch zu Nesselwang $ d Marchese von Marignan zu Fuß beschäftigen Leute zusammenbringen $ was etwas langsam von Statten gehen als sie glauben haben $ keine gut Plan können es geben als diese Versammlung zu zerstreuen $	13	0	Fu	Hildebrand von Madrucci war noch zu Neſſelwang , der Marcheſe von Marignan zu Füßen beſchäftigt Leute zuſammenzubringen , was etwas langſamer von Statten gieng als ſie geglaubt hatten : keinen beſſern Plan konnte es geben als dieſe Verſammlungen zu zerſtreuen .	ranke_reformation04_1843-4386-13
da d Königsfischer mit keine ander europäisch Vogel verwechseln werden können $ genügen es $ wenn wir sagen $ daß d Oberseite grünblau $ d Unterseite gelbbraun $ d Auge dunkelbraun $ d Schnabel hochrot und d Fuß lebhaft mennigrot sein $	37	0	Fu	Da der Königsfiſcher mit keinem andern europäiſchen Vogel verwechſelt werden kann , genügt es , wenn wir ſagen , daß die Oberſeite grünblau , die Unterſeite gelbbraun , das Auge dunkelbraun , der Schnabel hochroth und der Fuß lebhaft mennigroth iſt .	brehm_thierleben04_1867-3770-37
d Bräutigam setzen sich absondern von ihr in d hinterst Teil d Fahrzeug $ und d jung Bursche müssen diese zu Fuß folgen $ da d Ausstattung zu viel Raum einnehmen $ um sie noch Sitz zu gestatten $	21	0	Fu	Der Bräutigam ſetzte ſich abgeſondert von ihr in den hinterſten Theil des Fahrzeuges , und die jungen Burſche mußten dieſem zu Fuße folgen , da die Ausſtattung zu viel Raum einnahm , um ihnen noch Sitze zu geſtatten .	immermann_muenchhausen03_1839-527-21
$ weil nun d Welt gewohnt schon sein $ von Rom zu dependieren $ so werden $ so lang man Fuß küssen $ diese Reich nicht exspirieren $	20	0	Fu	„ Weil nun die Welt gewohnt schon ist , Von Rom zu dependiren ; So wird , so lang man Füße küßt , Dieß Reich nicht exspiriren .	poelitz_poetik_1825-5331-20
d Vogel diese Ordnung haben eine stark $ oben erhaben Schnabel von mittelmäßig Größe $ und kurz Fuß $	17	0	Fu	Die Vögel dieser Ordnung haben einen starken , oben erhabnen Schnabel von mittelmäßiger Größe , und kurze Füße .	blumenbach_naturgeschichte_1821-2448-17
