sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
nachdem diese geschehen sein $ öffnen man d Form und zerschneiden d ganz $ oft eine Kubikmeter und mehr haltend starr Seifenblock mittels gespannt dünn Eisendraht in Stück von d gewünscht Größe $	16	0	Kubikmeter	Nachdem dies geſchehen iſt , öffnet man die Form und zerſchneidet den ganzen , oft ein Kubikmeter und mehr haltenden ſtarren Seifenblock mittels geſpannter dünner Eiſendrähte in Stücke von der gewünſchten Größe .	samter_erfindungen_1896-12335-16
in jede Stunde werden 45 Kubikmeter auf d Höhe von 3,3 Meter fördern $ $	5	0	Kubikmeter	In jeder Stunde wurden 45 Kubikmeter auf die Höhe von 3,3 Meter gefördert . “	gerstner_mechanik03_1834-5991-5
d Unterbringung von 100 Kilogr. Wiesenheu oder Grumt erfordern 2--2 .5 Kubikmeter $ eine Fuhre Wiesenheu zu 800 Kilogr. 10--20 Kubikmeter $ 100 Kilogr. Kleeheu 0.7--0 .8 Kubikmeter Dachraum $	11	0	Kubikmeter	Die Unterbringung von 100 Kilogr. Wieſenheu oder Grummet erfordert 2—2 .5 Cubikmeter , einer Fuhre Wieſenheu zu 800 Kilogr. 10—20 Cubikmeter , 100 Kilogr. Kleeheu 0.7—0 .8 Cubikmeter Dachraum .	krafft_landwirthschaft01_1875-5151-11
diese beide Wert sein für 1 Kilogrm. aus d Kessel tretend Dampf als Bruchteil eine Kubikmeter ausdrücken $ 0,3637 und 0,3690 $	15	0	Kubikmeter	Diese beiden Werthe sind für 1 Kilogrm. aus dem Kessel tretenden Dampfes als Bruchtheil eines Cubikmeter ausgedrückt : 0,3637 und 0,3690 .	clausius_waermetheorie_1856-722-15
d Leistung eine Person bei d Düngerarbeit betragen per Tag $ Dünger laden 9--12 zweispanneig Fuhre à 0.6--0 .7 Kubikmeter oder 500--750 Kilogr. $ Dünger breit 0.17--0.25 Hektar $ Dünger einstreif 0.40--0.46 Hektar $	19	0	Kubikmeter	Die Leiſtung einer Perſon bei der Düngerarbeit beträgt per Tag : Dünger laden 9—12 zweiſpännige Fuhren à 0.6—0 .7 Cubikmeter oder 500—750 Kilogr. , Dünger breiten 0.17—0.25 Hectar , Dünger einſtreifen 0.40—0.46 Hectar .	krafft_landwirthschaft01_1875-3611-19
d Menge d Gesamtausleerung können zu 0.524 Kubikmeter à 930 Kilogr. veranschlagen werden $	7	0	Kubikmeter	Die Menge der Geſammtausleerungen kann zu 0.524 Cubikmeter à 930 Kilogr. veranſchlagt werden .	krafft_landwirthschaft01_1875-3709-7
75 Million Kubikmeter Erde müssen in Bewegung bringen werden $ um d über 160 Km lang $ durchaus über 8 M tief $ an d Sohle nirgends wenige als 22 M breit Kanal zu graben und er gegen Flugsand durch Damm zu schützen $ eine halb Million Kubikmeter Erde und Schlamm müssen jährlich nachbaggern werden $ um d Wasserstraße in klagelos fahrbar Zustand zu erhalten $	2	0	Kubikmeter	75 Millionen Cubikmeter Erde mussten in Bewegung gebracht werden , um den über 160 km langen , durchaus über 8 m tiefen , an der Sohle nirgends weniger als 22 m breiten Canal zu graben und ihn gegen Flugsand durch Dämme zu schützen ; eine halbe Million Cubikmeter Erde und Schlamm muss jährlich nachgebaggert werden , um die Wasserstrasse in klaglos fahrbarem Zustande zu erhalten .	lehnert_seehaefen01_1891-3583-2
d Harzgas sein etwa von d Güte d Steinkohlengas $ aus 100 Kg Harz erhalten man im Mittel 60 Kubikmeter Gas $	19	0	Kubikmeter	Das Harzgas iſt etwa von der Güte des Steinkohlengaſes ; aus 100 kg Harz erhält man im Mittel 60 Kubikmeter Gas .	samter_erfindungen_1896-4916-19
Lesseps schätzen d zu bewegend und auszuhebend Erdemasse auf 73 Million Kubikmeter $	11	0	Kubikmeter	Lesseps schätzte die zu bewegenden und auszuhebenden Erdmassen auf 73 Millionen Cubikmeter .	lehnert_seehaefen02_1892-3082-11
haben wir z. B. in eine Zimmer eine Temperatur von 8 $ C. $ so betragen d Sättigungsmenge $ d. h. d in 1 Kubikmeter diese Luft im gut Falle enthalten Wassermenge nach genau Bestimmung 8,3 G. sein diese Zimmerluft nun wirklich so feucht $ und erwärmen man sie durch Heizen auf 20 $ C. $ so dehnen sich 1 Kubikmeter auf 1,043 Kubikmeter aus $ enthalten nun also im Kubikmeter nur 7,96 G Wasser $	63	0	Kubikmeter	Haben wir z. B. in einem Zimmer eine Temperatur von 8 ° C. , ſo beträgt die Sättigungsmenge , d. h. die in 1 Kubikmeter dieſer Luft im beſten Falle enthaltene Waſſermenge nach genauen Beſtimmungen 8,3 g. Iſt dieſe Zimmerluft nun wirklich ſo feucht , und erwärmt man ſie durch Heizen auf 20 ° C. , ſo dehnt ſich 1 Kubikmeter auf 1,043 Kubikmeter aus , enthält nun alſo im Kubikmeter nur 7,96 g Waſſer .	samter_erfindungen_1896-5213-63
