sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
ich sprechen im März über d hoch Berufsbildung d Frau vor eine mindestens zur Hälfte aus Frau bestehend Publikum $ unter welche auch d Lyzeum stark vertreten sein $	24	0	Lyzeum	Ich sprach im März über die höhere Berufsbildung der Frauen vor einem mindestens zur Hälfte aus Frauen bestehenden Publicum , unter welchem auch das Lyceum stark vertreten war .	duehring_berufsbildung_1885-667-24
dort sein d elegant Geschäft für Luxusartikel $ d Theater $ Klub und Hotel $ an d Parastraße liegen d gartenumgeben groß kaiserlich Lyzeum Galata-Serai und d griechisch und armenisch Kirche $	23	0	Lyzeum	Dort sind die elegantesten Geschäfte für Luxusartikel , die Theater , Clubs und Hôtels ; an der Perastrasse liegt das gartenumgebene grosse kaiserliche Lyceum Galata-Serai und die griechische und armenische Kirche .	lehnert_seehaefen01_1891-1513-23
nebst d 1862 gegründet Universität $ d Lyzeum Richelieu sein abseits zahlreich Volksschule noch mehrere Gymnasium und Privatinstitut vorhanden $ unter letztere d in eine schön Park gelegen Institut d adelig Fräulein $	7	0	Lyzeum	Nebst der 1862 gegründeten Universität , dem Lyceum Richelieu sind abseits zahlreicher Volksschulen noch mehrere Gymnasien und Privatinstitute vorhanden , unter letzteren das in einem schönen Parke gelegene Institut der adeligen Fräulein .	lehnert_seehaefen01_1891-2264-7
d in ihr letzte in Vergleichung gestellt Fall d Abgang früh Lehrer d Lyzeum treffen bei ich nicht zu $	13	0	Lyzeum	Der in Ihrem Letzten in Vergleichung gestellte Fall des Abgangs früherer Lehrer des Lyceums trifft bei mir nicht zu .	duehring_berufsbildung_1885-730-13
Brachelli zitieren dagegen 62 real- und 9 Oberrealschule $ a. a. o. s. 542 $ $ jene mit zweijahrig Kursus $ diese in Verbindung mit eine Gymnasium und Lyzeum $	28	0	Lyzeum	Brachelli citirt dagegen 62 Real- und 9 Oberrealſchulen ( a. a. O. S. 542 ) , jene mit zweijährigem Curſus , dieſe in Verbindung mit einem Gymnaſium und Lyceum .	stein_verwaltungslehre05_1868-4085-28
wie sich d Leitung d Lyzeum künstlich Publikum zu verschaffen und d sonst nicht zu stande kommend Vorlesung eine wenig zu füllen suchen haben $ sein in d vorletzt Nummer diese Schrift angeben $ und es werden wir überhaupt von bedeutend Gegenstand ablenken $ wenn auf d vorliegend Bogen auch noch eine ausführlich Kritik d form- und prinziplos Berliner Anstalt mit ihr spät immer chaotisch geratend Abänderungsversuch Platzfinden sollen $	5	0	Lyzeum	Wie sich die Leitung des Lyceums künstlich Publicum zu verschaffen und die sonst nicht zu Stande kommenden Vorlesungen ein wenig zu füllen gesucht hat , ist in der vorletzten Nummer dieser Schrift angegeben , und es würde uns überhaupt von bedeutenden Gegenständen ablenken , wenn auf den vorliegenden Bogen auch noch eine ausführliche Kritik der form- und principlosen Berliner Anstalt mit ihren später immer chaotischer gerathenden Abänderungsversuchen platzfinden sollte .	duehring_berufsbildung_1885-310-5
ihr englisch geschreiben Dank für meine vierjahrig $ jede Jahr etwas Neu bringend angestrengt Tätigkeit am Lyzeum müssen zwar $ in mein Deutsch übertragen $ Undank heißen $	16	0	Lyzeum	Ihr englisch geschriebener Dank für meine vierjährige , jedes Jahr etwas Neues bringende angestrengte Thätigkeit am Lyceum muss zwar , in mein Deutsch übertragen , Undank heissen .	duehring_berufsbildung_1885-681-16
im Sommer 1835 werden dann einige Stunde für d gymnastisch Unterricht an d damals bestehend Lyzeum Friedericianum festsetzen $ dann aber unterbleiben er wieder bis im Frühjahr 1838 eine bleibend Turn-Unterricht am Gymnasium einrichten werden $	15	0	Lyzeum	Jm Sommer 1835 wurden dann einige Stunden für den gymnaſtiſchen Unterricht an dem damals beſtehenden Lyceum Friedericianum feſtgeſetzt ; dann aber unterblieb er wieder bis im Frühjahr 1838 ein bleibender Turn-Unterricht am Gymnaſium eingerichtet wurde .	nn_turnkunst02_1844-1190-15
ins Leben rufen durch d Gesetz vom 11. Flor. an X. sollen wenigstens eine Lyzeum für jede Departement aufstellen werden $ $ $ aber die sein noch nicht einmal gegenwärtig erreichen $ $ 1809 35 Lücke $ 1859 erst 68 $ jetzt 75 $ $	14	0	Lyzeum	Ins Leben gerufen durch das Geſetz vom 11. Flor. an X. ſollte wenigſtens Ein Lyceum für jedes Departement aufgeſtellt werden ) ; — aber das iſt noch nicht einmal gegenwärtig erreicht ! ( 1809 35 Lyceen , 1859 erſt 68 , jetzt 75 ) .	stein_verwaltungslehre05_1868-4704-14
Karl Friedrich Henkel $ gebären am 17. April 1864 zu Hannover $ besuchen zuerst d Vorklasse d dortig Realschule $ gehen aus Neigung in d dortig Lyzeum 1. über $ treten im Jahr 1875 in d neugegründet Kaiser-Wilhelm-Gymnasium $ die er bis zur Prima Angehörte $ und absolvieren seine Gymnasialkursus auf d Lyzeum Friedricianum zu Kassel $ wo er im Haus eine Oheim d Studie jung Verwandte überwachen $	26	0	Lyzeum	Karl Friedrich Henckell , geboren am 17. April 1864 zu Hannover , beſuchte zuerſt die Vorklaſſen der dortigen Realſchule , ging aus Neigung in das dortige Lyceum 1. über , trat im Jahre 1875 in das neugegründete Kaiſer-Wilhelm-Gymnaſium , dem er bis zur Prima angehörte , und abſolvirte ſeinen Gymnaſialkurſus auf dem Lyceum Friedricianum zu Kaſſel , wo er im Hauſe eines Oheims die Studien jüngerer Verwandten überwachte .	arent_dichtercharaktere_1885-3537-26
in welchem Zusammenhang d dargestellt Rank am Lyzeum mit d Verhalten d Berliner Universität gegen meine vierzehnjahrig frei Dozentenstellung an dieselbe gestehen haben $ brauchen ich hier nicht zu wiederholen $ da ich in meine Buch von 1882 $ Sache $ Leben und Feind $ auch über jen Angelegenheit d erforderlich Mitteilung machen haben $	7	0	Lyzeum	In welchem Zusammenhange die dargestellten Ränke am Lyceum mit dem Verhalten der Berliner Universität gegen meine vierzehnjährige freie Docentenstellung an derselben gestanden haben , brauche ich hier nicht zu wiederholen , da ich in meinem Buch von 1882 „ Sache , Leben und Feinde “ auch über jene Angelegenheit die erforderlichen Mittheilungen gemacht habe .	duehring_berufsbildung_1885-826-7
d nächst Prospekt d Lyzeum vom Herbst 1876 enthalten folgend Wort $	4	0	Lyzeum	Der nächste Prospect des Lyceums vom Herbst 1876 enthielt folgende Worte :	duehring_berufsbildung_1885-743-4
die letztere werden im Jahr 1878 durch d Initiative d Rektor d Lyzeum $ Eduard De La Barra $ gründen und sein in fünf groß Saal d Lyzeum installieren $	12	0	Lyzeum	Das letztere wurde im Jahre 1878 durch die Initiative des Rectors des Lyceums , Eduard de la Barra , gegründet und ist in fünf grossen Sälen des Lyceums installirt .	lehnert_seehaefen02_1892-4171-12
da nun d Lyzeum auf Pensionat gründen sein $ so sein d Lyzeum dadurch d Vorbildungsanstalt d gesamt besitzend Klasse für alle Berufszweig werden $	3	0	Lyzeum	Da nun das Lyceum auf Pensionnats gegründet iſt , ſo iſt das Lyceum dadurch die Vorbildungsanſtalt der geſammten beſitzenden Klaſſe für alle Berufszweige geworden .	stein_verwaltungslehre05_1868-4712-3
