sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
d kaiserlich Truppe ziehen im Juli ab $ aber zugleich schließen Graf Lützow mit d dankbar Kurie eine geheim Vertrag $ Kraft die Österreich sich verpflichten $ d Souveränität d Papst unter alle Umstand aufrechterhalten $ also beim nächst Aufstand d Kirchenstaat sogleich wieder zu besetzen $	34	0	aufrechterhalten	Die kaiſerlichen Truppen zogen im Juli ab , aber zugleich ſchloß Graf Lützow mit der dankbaren Curie einen geheimen Vertrag , kraft deſſen Oeſterreich ſich verpflichtete , die Souveränität des Papſtes unter allen Umſtänden aufrechtzuerhalten , alſo beim nächſten Aufſtande den Kirchenſtaat ſogleich wieder zu beſetzen .	treitschke_geschichte04_1889-1116-34
erst auf Schöler dringend Vorstellung gestatten er endlich $ daß Nesselrode in eine beschwichtigend Rundschreiben an d Gesandtschaft d Ernst diese Drohung etwas abschwächen $ d angeordnet Vorbereitung $ heißen es da $ verfolgen nur d Absicht $ d Frieden und d vertragsmäßig Ordnung Europa aufrechterhalten $ hoffentlich werden schon d Ankündigung genügen $ um $ diese Zweck d Erhaltung $ zu erreichen $	45	0	aufrechterhalten	Erſt auf Schöler’s dringende Vorſtellungen geſtattete er endlich , daß Neſſelrode in einem beſchwichtigenden Rundſchreiben an die Geſandtſchaften den Ernſt dieſer Drohungen etwas abſchwächte : die angeordneten Vorbereitungen , hieß es da , verfolgten nur die Abſicht , den Frieden und die vertragsmäßige Ordnung Europas aufrechtzuerhalten ; hoffentlich werde ſchon die Ankündigung genügen , um „ dieſen Zweck der Erhaltung “ zu erreichen .	treitschke_geschichte04_1889-891-45
d Rechtsordnung $ die auf diese Weise gewahren und aufrechterhalten werden $ weichen gegen d Ende mehr und mehr in d klein Territorium zurück $ sie entlehnen ihr ganz Lebenskraft nur aus d Fortbestand d Gerichtsbarkeit d Reichsgericht $	9	0	aufrechterhalten	Die Rechtsordnung , die auf diese Weise gewahrt und aufrechterhalten wird , weicht gegen das Ende mehr und mehr in die kleinen Territorien zurück ; sie entlehnt ihre ganze Lebenskraft nur aus dem Fortbestande der Gerichtsbarkeit der Reichsgerichte .	mayer_verwaltungsrecht01_1895-743-9
daraus ergeben sich $ daß nach Ablauf d gegenwärtig zur Beratung stehend Gesetz d dreijahrig Dienstzeit von selbst wieder aufleben werden $ und daß d zweijahrig nur durch rechtzeitig Vereinbarung eine neu Gesetz aufrechterhalten werden können $	33	0	aufrechterhalten	Daraus ergebe ſich , daß nach Ablauf des gegenwärtig zur Berathung ſtehenden Geſetzes die dreijährige Dienſtzeit von ſelbſt wieder aufleben würde , und daß die zweijährige nur durch rechtzeitige Vereinbarung eines neuen Geſetzes aufrechterhalten werden könnte .	nn_maehrisches243_1892-189-33
man sagen vielleicht $ d Disziplin sein nicht aufrechterhalten $ $ aber man wissen sie doch in entgegengesetzt Fall so prächtig zu handhaben $	8	0	aufrechterhalten	man sagt vielleicht , die Disziplin sei nicht aufrechtzuerhalten , ‒ aber man weiß sie doch in entgegengesetzten Fällen so prächtig zu handhaben ?	nn_nrhz080_1848-105-8
d Dichtung haben seit d Herstellung d mechanisch Naturauffaßung d in sich verschließen $ keine Erklärung zugänglich groß Gefühl d Leben in d Natur aufrechterhalten $ wie sie überall schützen $ was erleben werden $ aber nicht begreifen werden können $ daß es nicht in d zerlegend Operation d abstrakt Wissenschaft sich verflüchtigen $	24	0	aufrechterhalten	Die Dichtung hat ſeit der Herſtellung der mechaniſchen Naturauffaſſung das in ſich verſchloſſene , keiner Erklärung zugängliche große Gefühl des Lebens in der Natur aufrechterhalten , wie ſie überall ſchützt , was erlebt wird , aber nicht begriffen werden kann , daß es nicht in den zerlegenden Operationen der abſtrakten Wiſſenſchaft ſich verflüchtige .	dilthey_geisteswissenschaften_1883-5311-24
in gewiß Umfang sehen wir d frei Verfügung d Dienstherr über d Amt schlechthin aufrechterhalten $	14	0	aufrechterhalten	In gewissem Umfange sehen wir die freie Verfügung des Dienstherrn über das Amt schlechthin aufrechterhalten .	mayer_verwaltungsrecht02_1896-4079-14
d Eigentum schützen $ heißen d Unverletzlichkeit d Produkt alle Arbeit aufrechterhalten $ so wie d Unabhängigkeit und Zuverlässigkeit d Besitztum $ diese unerläßlich Grundlage bürgerlich Freiheit $ gewährleisten $	11	0	aufrechterhalten	Das Eigenthum schützen , heißt die Unverletzlichkeit der Produkte aller Arbeiten aufrechterhalten , so wie die Unabhängigkeit und Zuverlässigkeit des Besitzthums , dieser unerläßlichen Grundlagen bürgerlicher Freiheit , gewährleisten .	nn_nrhz157b_1848-202-11
was wollen sie denn mehr $ als eine so fest garantiert $ so streng aufrechterhalten Ruhe $ $	14	0	aufrechterhalten	Was wollt ihr denn mehr , als eine so fest garantirte , so streng aufrechterhaltene Ruhe ?! —	nn_nrhz183_1848-129-14
nach zweijahrig Beratung legen d Kommission d Monarch d $ Resultat $ ihr Verhandlung vor $ sie empfehlen $ d rheinisch Recht vorläufig $ bis zur Revision d preußisch Gesetzbuch $ aufrechterhalten und schildern in eine ausführlich Gutachten $ wie d Schwurgericht d Rechtsidee im Volk lebendig erhalten $ d Gesetz beliebt machen $ d Beamtenwillkür beschränken $ d Einseitigkeit d juristisch Fachbildung durch d frei welt- und Menschenkenntnis d Laie ergänzen $	31	0	aufrechterhalten	Nach zweijähriger Berathung legte die Commiſſion dem Monarchen die „ Reſultate “ ihrer Verhandlungen vor : ſie empfahl , das rheiniſche Recht vorläufig , bis zur Reviſion der preußiſchen Geſetzbücher , aufrechtzuerhalten und ſchilderte in einem ausführlichen Gutachten , wie das Schwurgericht die Rechtsidee im Volke lebendig erhalte , das Geſetz beliebt mache , die Beamtenwillkür beſchränke , die Einſeitigkeit der juriſtiſchen Fachbildung durch die freie Welt- und Menſchenkenntniß der Laien ergänze .	treitschke_geschichte02_1882-3114-31
