sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
diese Ofen haben entweder rechteckig Grundform $ sein oben durch eine Tonnengewölbe überspannen und etwa 15 M lang $ 3.5 bis 5 M breit und ebenso hoch $ oder sie sein zylindrisch bauen und oben durch eine Kuppelgewölbe abdecken bei 8.5 M Durchmesser $ und 3.5 M Höhe bis zum Gewölbe $ oder endlich sie haben Kegelform bei 8.5 bis 9 M Durchmesser an d Grundfläche und 6 bis 8.5 M Höhe $	12	0	berspannen	Diese Oefen haben entweder rechteckige Grundform , sind oben durch ein Tonnengewölbe überspannt und etwa 15 m lang , 3.5 bis 5 m breit und ebenso hoch ; oder sie sind cylindrisch gebaut und oben durch ein Kuppelgewölbe abgedeckt bei 8.5 m Durchmesser , und 3.5 m Höhe bis zum Gewölbe ; oder endlich sie haben Kegelform bei 8.5 bis 9 m Durchmesser an der Grundfläche und 6 bis 8.5 m Höhe .	ledebur_eisenhuettenkunde_1884-1065-12
diese Strom sein etwa so breit wie d Elbe bei Dresden $ aber wasserreich $ und in seine Lauf durch d Hauptstadt von vier mächtig Pfahlbrücke überspannen $	26	0	berspannen	Dieser Strom ist etwa so breit wie die Elbe bei Dresden , aber wasserreicher , und in seinem Lauf durch die Hauptstadt von vier mächtigen Pfahlbrücken überspannt .	berg_ostasien01_1864-4003-26
es geschehen diese mit Hilfe eine klein Siebchen $ die man sich herstellen $ indem man eine daumendick Bambusrohr schräg durchschneiden und d Schnitt mit fein Musselin $ Gaze oder Drahtgeflecht überspannen $	31	0	berspannen	Es geschieht dies mit Hülfe eines kleinen Siebchens , das man sich herstellt , indem man ein daumendickes Bambusrohr schräg durchschneidet und den Schnitt mit feinem Musslin , Gaze oder Drahtgeflecht überspannt .	rein_japan02_1886-7327-31
zu Dschumba am Zarbstrome $ die sich tief durch diese ganz Alpenmasse durchwinden $ nur überspannen von einige Brücke aus schwank Flechtwerk $ werden d Bürgermeister $ Maleck $	15	0	berspannen	Zu Dſchumba am Zarbſtrome ( der ſich tief durch dieſe ganze Alpenmaſſe durchwindet , nur überſpannt von einigen Brücken aus ſchwankem Flechtwerk ) wurde der Bürgermeiſter ( Malek )	schweiger_armenien_1878-1425-15
erstere überspannen in eine dünn Schicht d Boden überall da $ wo er aus Geröll bestehen $ letztere siedeln sich auf d Sterbebett d Flechte an $	1	0	berspannen	Erſtere überſpannt in einer dünnen Schicht den Boden überall da , wo er aus Geröll beſteht ; letztere ſiedelt ſich auf dem Sterbebette der Flechte an .	brehm_thierleben04_1867-8357-1
außerhalb d Stadt sein noch 39 Bogen d römisch Wasserleitung $ die hier eine Tal überspannen $ zu sehen $	15	0	berspannen	Ausserhalb der Stadt sind noch 39 Bogen der römischen Wasserleitung , die hier ein Thal überspannte , zu sehen .	lehnert_seehaefen01_1891-6453-15
d Ganze sein eigentlich stehen gebleiben Fels mit Quader von Kalkstein umbauen $ vielleicht mit Granit bekleiden sein $ eine oben offen $ breit $ 5 Meter $ Gang gehen von d Nordseite zu d offen Kammer $ die sehr groß $ kaum mit einzeln Stein überspannen gedenken werden können $	46	0	berspannen	Das Ganze ist eigentlich stehen gebliebner Fels mit Quadern von Kalkstein umbaut , vielleicht mit Granit bekleidet gewesen ; ein oben offener , breiter ( 5 métres ) Gang geht von der Nordseite zu der offnen Kammer , die sehr groß , kaum mit einzelnen Steinen überspannt gedacht werden kann .	erbkam_tagebuch01_1842-1580-46
d Tonnengewölbe lagern als ungegliedert fortlaufend Halbkreisbogen d Länge nach auf d Mauer $ die es d Quere nach überspannen $	19	0	berspannen	Das Tonnengewölbe lagert als ungegliedert fortlaufender Halbkreisbogen der Länge nach auf den Mauern , die es der Quere nach überſpannt .	vischer_aesthetik030201_1852-1464-19
als es sich 1801 als Notwendigkeit herausstellen $ d alt London-Bridge abreissen und eine neu Brücke an ihr Stelle zu errichten $ arbeiten Telford d Entwurf eine gußeisern Brücke aus $ welche in eine Bogen von 600 Fuß Spannweite d ganz Breite d Themse überspannen sollen $ eine Entwurf $ die an Schönheit alle ander Brücke London übertreffen haben werden $	44	0	berspannen	Als es sich 1801 als Notwendigkeit herausstellte , die alte London-bridge abzureiſsen und eine neue Brücke an ihrer Stelle zu errichten , arbeitete Telford den Entwurf einer guſseisernen Brücke aus , welche in einem Bogen von 600 Fuſs Spannweite die ganze Breite der Themse überspannen sollte : ein Entwurf , der an Schönheit alle anderen Brücken Londons übertroffen haben würde .	beck_eisen04_1899-5268-44
in d Schlafkammer klappen eine Schranktür und d Gerufene treten hervor $ in die eine Hand eine sogenannt Holzschenvioline $ d. h. eine alt Holzschuh $ mit drei bis vier zerschabt Geigensaite überspannen $ in die andere eine Bogen $ ganz d Instrument würdig $	32	0	berspannen	In der Schlafkammer klappte eine Schrankthür und der Gerufene trat hervor , in der einen Hand eine ſogenannte Holzſchenvioline , d. h. einen alten Holzſchuh , mit drei bis vier zerſchabten Geigenſaiten überſpannt , in der andern einen Bogen , ganz des Inſtrumentes würdig .	droste_letzte_1860-1046-32
