sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
an d nächst Brücke aber durchstechen eine Nationalgarde eins d Pferd und so werden d Herr Minister packen $	17	0	packen	An der nächsten Brücke aber durchstach ein Nationalgarde eins der Pferde und so wurde der Herr Minister gepackt .	nn_nrhz114_1848-350-17
ich legen an $ drücken ab $ $ ich haben fehlen $ d Tier springen mit glühend Auge auf ich zu $ ich sein verlieren $ haben ich nicht Besinnenheit genug $ d Jagdmesser herausreissen $ die ich d Tier $ als es mich packen wollen $ tief in d Gurgel stoßen $ so daß d Blut ich über Hand und Arm spritzen $	44	0	packen	Ich legte an , druͤckte ab , — ich hatte gefehlt , das Thier ſprang mit gluͤhenden Augen auf mich zu , ich war verloren , hatte ich nicht Beſonnenheit genug , das Jagdmeſſer herauszureißen , das ich dem Thier , als es mich packen wollte , tief in die Gurgel ſtieß , ſo daß das Blut mir uͤber Hand und Arm ſpritzte .	hoffmann_nachtstuecke02_1817-781-44
meine Bursche kommen herbei $ wir packen d Mensch $ und führen er nach Haus $ wo ich er in d Turm bei d Nebengebäude einsperren lassen $ und d nächst Morgen $ d Vorfall d Obrigkeit anzeigen wollen $	6	0	packen	Meine Burſche kamen herbei , wir packten den Menſchen , und fuͤhrten ihn nach Hauſe , wo ich ihn in den Thurm bei dem Nebengebaͤude einſperren ließ , und den naͤchſten Morgen , den Vorfall der Obrigkeit anzeigen wollte .	hoffmann_elixiere01_1815-1356-6
schließlich packen man auch er $ um er wegführen $	1	0	packen	Schließlich packte man auch ihn , um ihn wegzuführen .	kretzer_timpe_1888-2578-1
zusammenschrecken d Rittersmann $ es packen er $ wie mit Kralle $ an $ und schütteln er $ wie Fieber $ Hinüber und herüber $	5	0	packen	Zusammenschrak der Rittersmann ; Es packt' ihn , wie mit Krallen , an , Und schüttelt' ihn , wie Fieber , Hinüber und herüber .	engel_poetik_1806-2198-5
dann beginnen eine toll Jagen durch d Gezweig $ bis die eine d ander im buchstäblich Sinn d Wort beim Kragen packen haben und beide nun $ unfähig $ noch zu fliegen $ wirbeln zum Boden herabstürzen $	21	0	packen	Dann beginnt ein tolles Jagen durch das Gezweig , bis der eine den andern im buchſtäblichen Sinne des Worts beim Kragen gepackt hat und beide nun , unfähig , noch zu fliegen , wirbelnd zum Boden herabſtürzen .	brehm_thierleben03_1866-3327-21
er liegen dabei zu Bett $ plötzlich werfen er d Decke ab $ erheben sich $ wollen sie packen und hinwerfen $	18	0	packen	Er lag dabei zu Bett , plötzlich warf er die Decke ab , erhob sich , wollte sie packen und hinwerfen .	freud_hysterie_1895-2374-18
$ Hoiho $ $ schreien er und packen er noch fest $ $ wollen sehen $ wer es von wir beide am lang aushalten $ $	7	0	packen	„ Hoiho ! ” ſchrie er und packte ihn noch feſter ; „ wollen ſehen , wer 's von uns Beiden am längſten aushält ! ”	storm_schimmelreiter_1888-190-7
Hr erst Gang sein in d Scheune $ wo sie eine Arm voll Heu packen $ und gerade dasjenig $ worin d arm Daumesdick liegen und schlafen $	14	0	packen	hr erster Gang war in die Scheune , wo sie einen Arm voll Heu packte , und gerade dasjenige , worin der arme Daumesdick lag und schlief .	grimm_maerchen01_1850-2784-14
'bindet d Sack auf $ Herr Fuchs $ binden d Sack auf $ rufen er d Katze zu $ aber d Hund haben er schon packen und halten er fest $	25	0	packen	‘Bindet den Sack auf , Herr Fuchs , bindet den Sack auf ,’ rief ihm die Katze zu , aber die Hunde hatten ihn schon gepackt und hielten ihn fest .	grimm_maerchen01_1850-4604-25
so packen sie mit rasch Bissen d roh Eisen $ glätten es zu rundlich Draht $ welche aus d Schlangenmaul nehmen in tausend Krümmung gewunden werden $	1	0	packen	So packen sie mit raschen Bissen das rohe Eisen , glätten es zu rundlichem Draht , welcher aus dem Schlangenmaule genommen in tausend Krümmungen gewunden wird .	beck_eisen02_1895-7571-1
wenn du aus d Fenster kugeln $ so packen du d Schwerkraft mit ihr furchtbar Geierkralle $ ob du nun im tief Dusel alle Sinn liegen $ taub $ blind und gefühlsstumpf sein oder ob du deine Sinn alle hell beisammen haben $ sie packen dich im Verhältnis zu deine real Körpermasse und fragen sonst absolut nach gar nichts $	44	0	packen	Wenn du aus dem Fenſter kugelſt , ſo packt dich die Schwerkraft mit ihren furchtbaren Geierkrallen , ob du nun im tiefſten Duſel aller Sinne liegſt , taub , blind und gefühlsſtumpf biſt oder ob du deine Sinne alle hell beiſammen haſt , ſie packt dich im Verhältnis zu deiner realen Körpermaſſe und fragt ſonſt abſolut nach gar nichts .	boelsche_liebesleben01_1898-2108-44
daß d abgenehmen Kopf d amerikanisch Schildkröte noch am ander Tag eine entgegen gehalten Stock fest mit d Kinnbacke packen haben $ haben ich aus eigen Erfahrung d englisch ober Gardner erzählen $	19	0	packen	Daß der abgenommene Kopf der amerikanischen Schildkröte noch am andern Tage einen entgegen gehaltenen Stock fest mit den Kinnbacken gepackt habe , hat mir aus eigener Erfahrung der englische Obriste Gardner erzählt .	blumenbach_kleineschriften_1800-440-19
ich sein immer vor er davonlaufen und haben immer d groß Angst haben $ er packen ich irgendwo unversehens $	15	0	packen	Ich bin immer vor ihm davongelaufen und hab’ immer die grösste Angst gehabt , er packt mich irgendwo unversehens .	freud_hysterie_1895-1886-15
es helfen sie aber nichts $ wenn d Habicht sie einmal packen haben $ müssen sie sterben $	11	0	packen	Es hilft ihr aber Nichts — wenn der Habicht ſie einmal gepackt hat , muß ſie ſterben .	brehm_thierleben03_1866-9421-11
Merk d übrig Pferd d Wolf $ so gehen sie ohne weit auf er zu und hauen $ wenn er nicht weichen $ mit d Vorderhuf auf er los $ ja d Hengst packen er auch mit d Zahn $	33	0	packen	Merken die übrigen Pferde den Wolf , ſo gehen ſie ohne weiteres auf ihn zu und hauen , wenn er nicht weicht , mit den Vorderhufen auf ihn los , ja die Hengſte packen ihn auch mit den Zähnen .	brehm_thierleben01_1864-10854-33
und als ich kommen vor Heidelberg hinan $ da packen ich d Bettelvogt gleich hinten und vorne an $ d eine packen ich hinten $ die andere packen ich vorn $ $ Ei ihr verflucht Bettelvogt $ so lassen ich ungeschoren $ $	9	0	packen	Und als ich kam vor Heidelberg hinan , Da packten mich die Bettelvoͤgte gleich hinten und vornen an ; Der eine packt mich hinten , der andre packt mich vorn ; „ Ey ihr verfluchte Bettelvoͤgt , ſo laßt mich ungeſchorn . “	arnim_wunderhorn01_1806-826-9
er wollen weiter reden $ aber eine von d Himmelsbewohner haben er am Kragen packen und schieben er mit unwiderstehlich Gewalt hinaus $	14	0	packen	Er wollte weiter reden , aber einer von den Himmelsbewohnern hatte ihn am Kragen gepackt und schob ihn mit unwiderstehlicher Gewalt hinaus .	grimm_maerchen02_1850-3493-14
selbst wenn d Tier schon ziemlich satt sein $ fällen es über Kaninchen $ Taube oder Huhn wie rasen her $ packen sie im Genick und lassen sie nicht eher los $ als bis seine Beute sich nicht mehr rühren $	21	0	packen	Selbſt wenn das Thier ſchon ziemlich ſatt iſt , fällt es über Kaninchen , Tauben oder Hühner wie raſend her , packt ſie im Genick und läßt ſie nicht eher los , als bis ſeine Beute ſich nicht mehr rührt .	brehm_thierleben01_1864-14429-21
ich schleichen ich hinein $ verstehen sich mit d gespannt Zwilling $ bind' d Kerl gleich Hand $ und Fuß $ zusammen $ als wie man_es mit eine Rehbock machen $ und packen er bei d Gurgel $	32	0	packen	Jch ſchleich’ mich hinein — verſteht ſich mit dem g’ſpannten Zwilling — bind’ dem Kerl gleich Händ ’ und Füß ’ zuſammen , als wie man’s mit einem Rehbock macht , und pack’ ihn bei der Gurgl .	pocci_komoedienbuechlein06_1877-4243-32
$ ich glauben immer $ jetzt müssen ich sterben $ und ich sein sonst couragiert $ ich gehen überall allein hin $ in d Keller und hinunter über d ganz Berg $ aber wenn so eine Tag sein $ an die ich die haben $ dann trauen ich mich nirgends hin $ ich glauben immer $ es stehen jemand hinter ich und packen ich plötzlich an $ $	62	0	packen	„ Ich glaub’ immer , jetzt muss ich sterben , und ich bin sonst couragirt , ich geh’ überall allein hin , in den Keller und hinunter über den ganzen Berg , aber wenn so ein Tag ist , an dem ich das hab’ , dann trau’ ich mich nirgends hin , ich glaub’ immer , es steht jemand hinter mir und packt mich plötzlich an . “	freud_hysterie_1895-1749-62
d erst Hund welche ankommen $ werden augenblicklich von d Känguru packen und zunächst mit d Vorderfuß $ dann aber mit d Hinterfuß unter d Wasser drücken und dort solange festhalten $ bis er ertränken sein $	11	0	packen	Der erſte Hund welcher ankommt , wird augenblicklich von dem Känguru gepackt und zunächſt mit den Vorderfüßen , dann aber mit den Hinterfüßen unter das Waſſer gedrückt und dort ſolange feſtgehalten , bis er ertränkt iſt .	brehm_thierleben02_1865-1164-11
sie Trank wohl leer aus $ wohl rein auf d Nagel $ da bringen d Meister eine ander Hagel $ hui Bube stellen ihr wieder ein $ packen hurtig an es $ es müssen nur sein $ Pot Velti zum schmeissen $ wie oft müssen ich_es heißen $ wie lang müssen ich da stehen $ schlagen alle zusammen $ es werden keine erlahmen $ jetzt werden_es erst recht angehen $	27	0	packen	Sie trankens wohl leer aus , wohl rein auf den Nagel , Da brachte der Meiſter ein anderen Hagel ; Hui Buben ſtellt euch wieder ein , Packt hurtig an es , es muß nur ſein , Potz Velti zum ſchmeißen , wie oft muß ichs heißen , Wie lang muß ich da ſtehn , Schlagt alle zußammen , 's wird keiner erlahmen , Jezt wirds erſt recht angehn .	arnim_wunderhorn02_1808-694-27
nur für er sein sie d Evangelium $ sie kennen keine Mensch außer er $ sondern nur knechten und Bösewicht $ also sprechen sie $ du sein gut gebären und können d gut $ so du nur wollen $ auf deine eigen Kraft stehen du $ keine Gott und keine Mensch nehmen du ab $ was du zu tun haben $ aber deine Kraft genügen zum siegen $ wenn du sie gebrauch $ du wollen leben $ so wirken $ leben sein Arbeit $ unausgesetzt Arbeit $ nicht Arbeit für du $ wie d Egoismus sie tun $ noch Arbeit für andere $ wie d negativ Egoismus $ d asketisch Selbstaufopferung $ sie tun $ sondern schlichtweg zu leisten jede Tag $ was immer man können $ weil man es können und weil es zu leisten sein $ du sollen eben tun wozu du da sein $ und du sein aus göttlich samen entsprießen und sollen mitarbeiten die reich deine Gott aufrichten und zu verteidigen $ wo immer eine böse Feind diese reich sich zeigen $ stracks gehen auf er los und schlagen er nieder ohne zag $ mit welchen Schreckbild er dich grau machen $ mit welchem Zauber er dich verführen wollen $ packen kräftig zu und halten fest $	204	0	packen	nur für ihn ist sie das evangelium ; sie kennt keinen menschen auſser ihm , sondern nur knechte und bösewichter . also spricht sie . du bist gut geboren und kannst das gute , so du nur willst . auf deiner eignen kraft stehst du , kein gott und kein mensch nimmt dir ab , was du zu tun hast . aber deine kraft genügt zum siege , wenn du sie gebrauchst . du willst leben : so wirke . leben ist arbeit , unausgesetzte arbeit , nicht arbeit für dich , wie der egoismus sie tut , noch arbeit für andere , wie der negative egoismus , die asketische selbstaufopferung , sie tut , sondern schlechtweg zu leisten jeden tag , was immer man kann , weil man es kann und weil es zu leisten ist . du sollst eben tun wozu du da bist . und du bist aus göttlichem samen entsprossen und sollst mitarbeiten das reich deines gottes aufzurichten und zu verteidigen . wo immer ein böser feind dieses reiches sich zeigt , straks geh auf ihn los und schlag ihn nieder ohne zagen ; mit welchen schreckbildern er dich grauen machen , mit welchem zauber er dich verführen will , packe kräftig zu und halte fest :	wilamowitz_tragoedie_1889-1510-204
darauf packen er d Katze und stechen sie d Auge aus $ nun fehlen nur noch d Herz $	1	0	packen	Darauf packte er die Katze und stach ihr die Augen aus ; nun fehlte nur noch das Herz .	grimm_maerchen02_1857-1616-1
