sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ wollen man d Weib einmal nichts andere lassen $ als d beliebt Nähen $ Strick $ Bandmal oder Sticken $ und was damit verwenden sein mögen $ so sollen man ich gegen eine Arbeit wie diese $ wenn ich es je bis dahin bringen $ d Nase wahrhaftig nicht rümpfen $ denn d Strickerin wollen ich doch sehen $ d schön Masche und künstlich Filet vorweisen können $ als sie $ mein Fräulein $ hier bei diese Linie und Gerade machen haben $ $	66	0	vorweisen	„ Will man den Weibern einmal nichts Anderes laſſen , als das beliebte Nähen , Stricken , Bandmalen oder Sticken , und was damit verwandt ſeyn mag , ſo ſollte man mir gegen eine Arbeit wie dieſe , wenn ich es je bis dahin brächte , die Naſe wahrhaftig nicht rümpfen , denn die Strickerin wollt’ ich doch ſehen , die ſchönere Maſchen und künſtlichere Filets vorweiſen könnte , als Sie , mein Fräulein , hier bei dieſen Linien und Graden gemacht haben ! “	moerike_nolten02_1832-1822-66
diese Befehl müssen sofort oder spätestens innerhalb d nächst 24 Stunde d Beteiligte vorweisen werden $	13	0	vorweisen	Dieser Befehl muß sofort oder spätestens innerhalb der nächsten 24 Stunden dem Betheiligten vorgewiesen werden .	nn_nrhz081_1848-194-13
ihr Gatte lassen sie nicht allein Geld erwerben $ auch er verschaffen sich hübsch Einnahme $ indem er sogenannt Panorama vorweisen $ die auf Deutsch sagen in nichts Andere bestehen $ als in eine groß Guckkasten mit verschieden Glas $	20	0	vorweisen	Jhr Gatte ließ ſie nicht allein Geld erwerben ; auch er verſchaffte ſich huͤbſche Einnahmen , indem er ſogenannte Panoramen vorwies , die auf Deutſch geſagt in nichts Anderem beſtanden , als in einem großen Guckkaſten mit verſchiedenen Glaͤſern .	holtei_vagabunden03_1852-2562-20
wer d Fischfang außerhalb eingefriedet Örtlichkeit ausüben $ müssen mit eine Bescheinigung seine Befugnis zum Fischfang in d betreffend Fischwasser versehen sein und diese Bescheinigung d Aufsichtsorgan auf Verlangen vorweisen $	29	0	vorweisen	Wer den Fischfang auſserhalb eingefriedeter Örtlichkeiten ausübt , muſs mit einer Bescheinigung seiner Befugnis zum Fischfange in dem betreffenden Fischwasser versehen sein und diese Bescheinigung den Aufsichtsorganen auf Verlangen vorweisen .	schwappach_forstpolitik_1894-4710-29
$ d Verhaftbefehl sollen d Verhaftete vorweisen und zustellen werden $ $	6	0	vorweisen	„ Der Verhaftbefehl soll dem Verhafteten vorgewiesen und zugestellt werden “ .	nn_nrhz067_1848-136-6
d Kreuzritter-Spionage nach alle vier Weltgegend haben unsere Knecht auch zu seine Standrechtsbruder Simons führen $ die er dann d Bescherung vorweisen $	21	0	vorweisen	Die Kreuzritter-Spionage nach allen vier Weltgegenden hatte unsern Knecht auch zu seinem Standrechtsbruder Simons geführt , der ihm dann die Bescherung vorwies .	nn_nrhz290_1849-104-21
durch d Vermittlung jen jung Mann $ die sich wieder bei ich in einige Kredit zu setzen wünschen $ werden ich d Direktor von Hagedorn vorstellen $ die ich seine Sammelung mit groß Güte vorweisen $ und sich an d Enthusiasmus d jung Kunstfreund höchlich ergötzen $	34	0	vorweisen	Durch die Vermittelung jenes jungen Mannes , der ſich wieder bey mir in einigen Credit zu ſetzen wuͤnſchte , ward ich dem Director von Hagedorn vorgeſtellt , der mir ſeine Sammlung mit großer Guͤte vorwies , und ſich an dem Enthuſiasmus des jungen Kunſtfreundes hoͤchlich ergetzte .	goethe_leben02_1812-1153-34
die haben man ihr schon neulich vor Gericht vorweisen $	8	0	vorweisen	Die hat man euch Schon neulich vor Gerichte vorgewieſen .	schiller_stuart_1801-656-8
es dürfen bei hart Ahnung keine jung Mensch in Dienst und Lehre nehmen werden $ die nicht seine Schulentlaßungsschein vorweisen $	19	0	vorweisen	Es darf bei harter Ahndung kein junger Menſch in Dienſt und Lehre genommen werden , der nicht ſeinen Schulentlaſſungsſchein vorweiſet .	jahn_volksthum_1810-2082-19
Präsident Hermann verlesen eine eben abgegeben Erklärung d Abg. Sachs aus Mannheim auf Ehrenwort $ daß er Uhl persönlich eine Legitimationsurkunde d badenschen Regierung zum Eintritt in d Nationalversammlung vorweisen haben $	29	0	vorweisen	Präsident Hermann verliest eine eben abgegebene Erklärung des Abg. Sachs aus Mannheim auf Ehrenwort , daß ihm Uhl persönlich eine Legitimationsurkunde der badenschen Regierung zum Eintritt in die Nationalversammlung vorgewiesen habe .	nn_nrhz074_1848-386-29
