sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
in jede weitgreifend Handlung wagen d Herz $ wenn nicht sich $ doch sein Glück $ nur wenige Glückliche haben d Schicksal eine rein Verhältnis zum Tun bescheiden $ alle gut Wille d Absicht reichen nicht aus $ da wir obwohl nicht für d Erfolg aber doch für die Berechnung $ die oft eine d Unendliche sein $ zu stehen haben $	2	0	weitgreifend	In jeder weitgreifenden Handlung wagt das Herz , wenn nicht ſich , doch ſein Gluͤck ; nur wenigen Gluͤcklichen hat das Schickſal ein reines Verhältniß zum Thun beſchieden , aller guter Wille der Abſicht reicht nicht aus , da wir obwohl nicht fuͤr den Erfolg aber doch fuͤr deſſen Berechnung , die oft eine des Unendlichen iſt , zu ſtehen haben .	paul_katzenberger02_1809-1059-2
von eine solch Koalitions-Ministerium sein freilich von vorne herein eine weitgreifend Veränderung in d Person nicht zu erwarten $	10	0	weitgreifend	Von einem ſolchen Coalitions-Miniſterium war freilich von vorne herein eine weitgreifende Veränderung in den Perſonen nicht zu erwarten .	hc_1050205_1848-298-10
Vergil sein durch d ganz Tendenz seine Dichtung zu weitgreifend Umgestaltung d Laokoonepisode nötigen $	9	0	weitgreifend	Vergil war durch die ganze Tendenz seiner Dichtung zu weitgreifenden Umgestaltungen der Laokoonepisode genötigt .	robert_griechische_1881-2041-9
mit eine tief Blick in d Wesen d O. und geleiten von eine weitgreifend Idee $ machen er im Julius diese Jahr $ 1797 $ d Vorschlag $ alle h. Gr. abschaffen $	13	0	weitgreifend	Mit einem tiefen Blick in das Weſen des O. und geleitet von einer weitgreifenden Idee , machte er im Julius dieſes Jahres ( 1797 ) den Vorſchlag : alle h. Gr. abzuſchaffen .	fessler_eleusinien02_1803-2614-13
so verstehen sich $ daß diese eben so schwer als weitgreifend Aufgabe $ besonders weil jen Einwirkung $ wie d organisch Ausbildung d Kultus selbst $ größtenteils jenseits d Historie liegen $ hier nichts wenige als eigentlich lösen $ sondern bloß auf eine aphoristisch Weise berühren werden können $ $	10	0	weitgreifend	ſo verſteht ſich , daß dieſe eben ſo ſchwere als weitgreifende Aufgabe — beſonders weil jene Einwirkung , wie die organiſche Ausbildung des Cultus ſelbſt , groͤßtentheils jenſeits der Hiſtorie liegt — hier nichts weniger als eigentlich geloͤst , ſondern blos auf eine aphoriſtiſche Weiſe beruͤhrt werden kann . —	mueller_hellenische02_1824-4975-10
d persönlich bestehen darin $ zu zeigen $ dass ich eine Reihe von Behauptung weitgreifend Art nicht etwa aus Laune oder aus träge Beharren beim alt $ sondern aus Grund ablehnen $ die hier nun zu jedermann Prüfung vorliegen $	14	0	weitgreifend	Das persönliche bestand darin , zu zeigen , dass ich eine Reihe von Behauptungen weitgreifender Art nicht etwa aus Laune oder aus trägem Beharren beim alten , sondern aus Gründen ablehne , die hier nun zu jedermanns Prüfung vorliegen .	curtius_sprachforschung_1885-1759-14
aber auch vorurteilsfrei Forscher sehen in diese Hinschwinden etwas rätselhaft $ so Waitz 1 $ 173 $ wenigstens in Beziehung auf Australien und Polynesien $ da hier eine Hauptursache d Entvölkerung $ welche in Amerika so wirksam sein $ d Druck durch d weiß $ in Polynesien ganz wegfallen $ in Australien wenigstens nicht weitgreifend wirken haben $	54	0	weitgreifend	Aber auch vorurtheilsfreie Forscher sehen in diesem Hinschwinden etwas Räthselhaftes , so Waitz 1 , 173 , wenigstens in Beziehung auf Australien und Polynesien , da hier eine Hauptursache der Entvölkerung , welche in Amerika so wirksam war , der Druck durch die Weissen , in Polynesien ganz wegfalle , in Australien wenigstens nicht weitgreifend gewirkt habe .	gerland_naturvoelker_1868-282-54
aus d Bemerkung $ dass d Rest von c negativ werden können $ entwickeln sich d Keim zu sehr weitgreifend Nachforschung $	19	0	weitgreifend	Aus der Bemerkung , daſs der Rest von c negativ werden kann , entwickelt sich der Keim zu sehr weitgreifenden Nachforschungen .	herbart_psychologie01_1824-1838-19
nach Nicolais Tod haben Göckingk eine kurz Biographie von er herausgeben $ die eine äußer Umriß seine Erlebnis enthalten $ aber über seine weitgreifend literarisch Wirksamkeit nur wenig Andeutung geben $	23	0	weitgreifend	Nach Nicolais Tode hatte Göckingk eine kurze Biographie von ihm herausgegeben , die einen äußeren Umriß seiner Erlebnisse enthält , aber über seine weitgreifende litterarische Wirksamkeit nur wenig Andeutungen giebt .	parthey_jugenderinnerungen01_1871-2198-23
an Höhe d Begabung und an weitgreifend Einfluß sein er bis auf Michelangelo keine zu vergleichen $	6	0	weitgreifend	An Höhe der Begabung und an weitgreifendem Einfluss ist ihm bis auf Michelangelo keiner zu vergleichen .	burckhardt_cicerone_1855-5403-6
