sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
man vergegenwärtigen sich $ dass d meiste d letztere durch hoch Temperatur unter Austreibung d Schwefelsäure zersetzen werden $	16	0	zersetzen	Man vergegenwärtige sich , dass die meisten der letzteren durch hohe Temperatur unter Austreibung der Schwefelsäure zersetzt werden .	ledebur_eisenhuettenkunde_1884-2649-16
schon 1819 haben Grishow zeigen $ daß d Pilz überhaupt niemals Kohlensäure zersetzen $ sondern immer nur Sauerstoff einatmen und Kohlensäure aushauchen $ was 1834 von Marcet noch weiter ausführen werden $ nachdem schon vorher 1822 Th. De Saussure eine ausgezeichnet Untersuchung über d Sauerstoffatmung d Blüte publizieren haben $ eine Arbeit $ welche zugleich d erst Grundlage für d Theorie d vegetabilisch Eigenwärme werden $ worauf wir noch zurückkommen $	12	0	zersetzen	Schon 1819 hatte Grishow gezeigt , daß die Pilze überhaupt niemals Kohlenſäure zerſetzen , ſondern immer nur Sauerſtoff einathmen und Kohlenſäure aushauchen , was 1834 von Marcet noch weiter ausgeführt wurde , nachdem ſchon vorher 1822 Th. de Sauſſure eine ausgezeichnete Unterſuchung über die Sauerſtoffathmung der Blüthen publicirt hatte , eine Arbeit , welche zugleich die erſte Grundlage für die Theorie der vegetabiliſchen Eigenwärme wurde , worauf wir noch zurückkommen .	sachs_botanik_1875-3854-12
$ d Prozeß $ durch welche d Eiweißstoff im tierisch Leben zersetzen werden $ sein noch sehr wenig bekannt $ wir vermuten $ dass neben andere wegen d Umwandlung auch diejenige d sogenannt Selbstzersetzung und diejenige $ welche durch Alkalien einleiten werden $ in Anwendung bringen sein $	11	0	zersetzen	— Die Prozesse , durch welche die Eiweissstoffe im thierischen Leben zersetzt werden , sind noch sehr wenig bekannt ; wir vermuthen , dass neben andern Wegen der Umwandlung auch derjenige der sogenannten Selbstzersetzung und derjenige , welcher durch Alkalien eingeleitet wird , in Anwendung gebracht ist .	ludwig_physiologie01_1852-687-11
$ so aber treffen d Sonnenstrahl unsere Erde $ werden von d fest Maß dieselbe zersetzen $ und lassen dabei ihr Wärmestoff fahren $ dadurch werden d unter Schicht d Atmosphäre stark ausdehnen und müssen in d Höhe steigen $ um eine kalt Luft Platz zu machen $ welche überall in er niedersinken und eine Art Bewegung in d Luft verursachen $	15	0	zersetzen	– So aber treffen die Sonnenſtrahlen unſere Erde , werden von der feſten Maſſe derſelben zerſetzt , und laſſen dabei ihren Wärmeſtoff fahren ; dadurch wird die untern Schicht der Atmosphäre ſtark ausgedehnt und muß in die Höhe ſteigen , um einer kälteren Luft Platz zu machen , welche überall in ihn niederſinkt und eine Art Bewegung in der Luft verurſacht .	nn_oktavgfeo79_1828-3406-15
doch ersehen ich so viel $ daß d Sohle $ welche aus Metallstreifen zusammensetzen sein $ bei d Berührung mit d Wasser dasselbe unter lebhaft Aufbrausen so stark zersetzen $ daß eine Einsinken unmöglich werden $	28	0	zersetzen	Doch erſah ich ſo viel , daß die Sohlen , welche aus Metallſtreifen zuſammengeſetzt waren , bei der Berührung mit dem Waſſer dasſelbe unter lebhaftem Aufbrauſen ſo ſtark zerſetzten , daß ein Einſinken unmöglich wurde .	lasswitz_seife_1890-606-28
in konzentriert erhitzt Schwefelsäure werden er vollkommen zersetzen $ entwickeln Fluorwasserstoff $ was Glas ätzen $	7	0	zersetzen	In concentrirter erhitzter Schwefelſäure wird er vollkommen zerſetzt , entwickelt Fluorwaſſerſtoff , was Glas ätzt .	quenstedt_mineralogie_1854-7983-7
d tierisch Magen können man mit vollkommen Recht als eine chemisch Retorte bezeichnen $ in welche d sich begegnend Stoff ganz nach d allgemein Gesetz chemisch Affinität sich zersetzen $ verbinden u. s. W. eine in d Magen eingebringt Gift können durch eine chemisch Gegengift in dieselbe Weise entkräften werden $ als haben man diese Prozedur außerhalb dieselbe vornehmen $ eine krankhaft $ in demselben angesammelt Stoff werden durch eingeführt chemisch Mittel ebenso neutralisieren und zerstören $ wie in jede beliebig Gefäß $	28	0	zersetzen	Den thieriſchen Magen kann man mit vollkommenem Recht als eine chemiſche Retorte bezeichnen , in welcher die ſich begegnenden Stoffe ganz nach den allgemeinen Geſetzen chemiſcher Affinität ſich zerſetzen , verbinden u. ſ. w. Ein in den Magen eingebrachtes Gift kann durch ein chemiſches Gegengift in derſelben Weiſe entkräftet werden , als hätte man dieſe Procedur außerhalb deſſelben vorgenommen ; ein krankhafter , in demſelben angeſammelter Stoff wird durch eingeführte chemiſche Mittel ebenſo neutraliſirt und zerſtört , wie in jedem beliebigen Gefäß .	buechner_kraft_1855-1437-28
diese bilden eine farbelos $ wasserhell Flüßigkeit von eigentümlich Geruch und nur gering Beständigkeit $ sie müssen an eine kühl Ort vor Licht schützen aufbewahren werden $ auch gut verschließen sein $ da sie sich schon an d Luft $ wenn auch langsam $ zersetzen $	44	0	zersetzen	Dieſe bildet eine farbloſe , waſſerhelle Flüſſigkeit von eigentümlichem Geruch und nur geringer Beſtändigkeit ; ſie muß an einem kühlen Ort vor Licht geſchützt aufbewahrt werden , auch gut verſchloſſen ſein , da ſie ſich ſchon an der Luft , wenn auch langſam , zerſetzt .	ganswindt_faerberei_1889-6671-44
einmal $ indem er d Acker neu nahrhaft Materie für d Pflanze mitteilen $ und zweitens $ indem er d darin schon erhalten Stoff durch chemisch Wechselwirkung zersetzen $ und wiederum so verbinden $ daß sie dadurch zum Übergang in d Pflanze fähig werden $ vielleicht auch indem er d Lebenstätigkeit d Pflanze $ wodurch sie sich diese Stoff aneignen $ aufregen $	27	0	zersetzen	Einmal : indem er dem Acker neue nahrhafte Materien fuͤr die Pflanzen mittheilt , und zweitens : indem er die darin ſchon erhaltenen Stoffe durch chemiſche Wechſelwirkung zerſetzt , und wiederum ſo verbindet , daß ſie dadurch zum Uebergange in die Pflanzen faͤhig werden ; vielleicht auch indem er die Lebensthaͤtigkeit der Pflanzen , wodurch ſie ſich dieſe Stoffe aneignen , aufregt .	thaer_landwirthschaft02_1810-3149-27
nun sein freilich unter d Kupferkieskruste d Fahlerz gewöhnlich zersetzen $ so daß d Kieskruste leicht abspringen $ und man versuchen werden $ dieselbe als eine Verwitterungsprodukt d Fahlerz ansehen $	9	0	zersetzen	Nun iſt freilich unter der Kupferkieskruſte das Fahlerz gewöhnlich zerſetzt , ſo daß die Kieskruſte leicht abſpringt , und man verſucht wird , dieſelbe als ein Verwitterungsprodukt des Fahlerzes anzuſehen .	quenstedt_mineralogie_1854-13504-9
