sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
d Erfahrung im $ Aufeinanderabstimmen von Veranstaltung verschieden Charakter $ so $ daß sie einander wirkungsvoll ergänzen $ mögen heute wohl nur am Rand d groß Ereignis d Festspiel liegen $	28	0	Festspiel	Die Erfahrungen Im . Aufeinanderabstimmen von Veranstaltungen verschiedensten Charakters , so , daß sie einander wirkungsvoll ergänzen , mögen heute wohl nur am Rande des großen Ereignisses der Festspiele liegen .	2532889X_1959-06-18_01_056.tcf.xml-54-28
anlaßlich d Festspiel haben d Frederic $ Chopin $ Gesellschaft eine Buch über $ Chopin Reise in Niederschlesien $ veröffentlichen $ d zahlreich alt Kupferstich diejenige Ort enthalten $ d Chopin auf seine Reise durch Niederschlesien besuchen	2	0	Festspiel	Anlaßlich der Festspiele hat die Frederic - Chopin - Gesellschaft ein Buch über „ Chopins Reisen in Niederschlesien " veröffentlicht , das zahlreiche alte Kupferstiche derjenigen Orte enthält , die Chopin auf seinen Reisen durch Niederschlesien besuchte	2532889X_1953-08-20_01_067.tcf.xml-10-2
besonders hervorheben sein d Aufführung d bachsch Matthaus-Passion durch d Staatskapelle unter Leitung von Peter Schreier $ die auch d Partie d Evangelist singen d Philharmonie bieten zum Abschluß d Festspiel Handeis $ Judas Makkabäus $ unter d Leitung von Herbert Kegel $	30	0	Festspiel	Besonders hervorzuheben ist die Aufführung der Bachschen Matthäus-Passion durch die Staatskapelle unter Leitung von Peter Schreier , der auch die Partie des Evangelisten singt Die Philharmonie bietet zum Abschluß der Festspiele Händeis „ Judas Makkabäus " unter der Leitung von Herbert Kegel .	2532889X_1985-05-25_01_062.tcf.xml-40-30
d Zögern viel Brigade vor- d Festspiel sein längst vergessen $	6	0	Festspiel	Das Zögern vieler Brigaden vor- den Festspielen ist längst vergessen .	2532889X_1972-01-02_01_324.tcf.xml-50-6
in Deutschland sein er besondern $ in d Jahr 1930/1932 als eine d Hauptdirigent d Bayreuther Festspiel bekanntwerden $	16	0	Festspiel	In Deutschland ist er besonder « in den Jahren 1930/1932 als einer der Hauptdirigenten der Bayreuther Festspiele bekanntgeworden .	2532889X_1946-04-25_01_009.tcf.xml-4-16
bei d Festspiel werden 40 Veranstaltung auf Fre Lichtbühnen durchführen $ zu die d frei Zutritt haben $	2	0	Festspiel	Bei den Festspielen werden 40 Veranstaltungen auf Fre lichtbühnen durchgeführt , zu denen die freien Zutritt hat .	26120215_1952_06_26_01_035.tcf.xml-5-2
es liegen auf d gleich Linie d Entwicklung $ wenn anläßlich d gegenwärtig Festspiel d ländlich Laienkunst in d russisch Föderation d Minister für Kultur d RSFSR. T. Sujewa $ auf d notwendig ständig Unterstützung durch d Berufskünstler hinweisen	13	0	Festspiel	Es liegt auf der gleichen Linie der Entwicklung , wenn anläßlich der gegenwärtigen Festspiele der ländlichen Laienkunst in der Russischen Föderation der Minister für Kultur der RSFSR. T. Sujewa . auf die notwendige ständige Unterstützung durch die Berufskünstler hinwies	26120215_1954_03_19_01_176.tcf.xml-34-13
Heinrich Lübke sein während d Festspiel in Bad Hersfeld anwesend $ und es sein zu erwarten $ daß durch er d künstlerisch Begegnung in ungebührlich und unangemessen Weise politisch belasten werden $	5	0	Festspiel	Heinrich Lübke Ist während der Festspiele in Bad Hersfeld anwesend , und es ist zu erwarten , daß durch ihn die künstlerische Begegnung in ungebührlicher und unangemessener Weise politisch belastet wird .	2532889X_1965-07-10_01_024.tcf.xml-13-5
d 9. Festspiel stehen im Zeichen d 50. Jahrestag d groß sozia- iistischen Oktoberrevolution $	2	0	Festspiel	Die 9. Festspiele stehen im Zeichen des 50. Jahrestages der Großen Sozia- Iistischen Oktoberrevolution .	2532889X_1966-08-04_01_060.tcf.xml-64-2
die aber müssen man in Bayreuth vorher merken und regulieren $ d eigentlich Aufgabe d Festspiel fangen ja erst dort an $ wo d musikalisch Erstrangigkeit gesichert Voraussetzung sein $	15	0	Festspiel	Das aber muß man in Bayreuth vorher merken und regulieren ; die eigentliche Aufgabe der Festspiele fängt ja erst dort an , wo die musikalische Erstrangigkeit gesicherte Voraussetzung ist .	26120215_1955_08_18_01_031.tcf.xml-25-15
Radio DDR Ii 10.45 d Episode $ 13.10 Mitschnitt-Service 15.05 Opernkonzert $ 16.00 Klaviermusik $ 17.45 Folklore hin $ Folklore her $ 19.30 Salzburger Festspiel 1977 $ 21.45 Montag $ Viertel vor zehn $	24	0	Festspiel	Radio DDR II 10.45 Die Episode ; 13.10 Mitschnitt-Service 15.05 Opernkonzert ; 16.00 Klaviermusik ; 17.45 Folklore hin — Folklore her : 19.30 Salzburger Festspiele 1977 ; 21.45 Montag , Viertel vor zehn .	2532889X_1977-08-15_01_165.tcf.xml-2-24
seine persönlich Bekanntschaft mit d DDR beschränken sich auf d Gastspiel d deutsch Theater zu d Edinburgher Festspiel im Jahr 1970 $ wo sich d DDR unter groß Applaus mit $ Frieden $ von Aristophanes Hacks präsentieren $	17	0	Festspiel	Seine persönliche Bekanntschaft mit der DDR beschränkt sich auf das Gastspiel des Deutschen Theaters zu den Edinburgher Festspielen im Jahre 1970 , wo sich die DDR unter großem Applaus mit „ Frieden " von Aristophanes— Hacks präsentierte .	2532889X_1973-05-05_01_266.tcf.xml-13-17
auch künstlerisch Veranstaltung wie d jährlich durchgeführt international Festspiel erhalten durch d	8	0	Festspiel	Auch künstlerische Veranstaltungen wie die jährlich durchgeführten Internationalen Festspiele erhalten durch die	26120215_1968_06_05_01_084.tcf.xml-6-8
d deutsch Bank fördern Boris Becker $ d Grundkreditbank d berliner Festspiel GmbH $	11	0	Festspiel	Die Deutsche Bank fördert Boris Becker ; die GrundkreditBank die Berliner Festspiele GmbH .	26120215_1990_05_12_01_172.tcf.xml-3-11
während in d vergangen Jahr d Veranstaltung d Festspiel in München $ Salzburg und Bayreuth bereits Monat vorher ausverkaufen sein $ bleiben diese Jahr $ offensichtlich aus wirtschaftlich Erwägung $ viel Besucher aus $	8	0	Festspiel	Während in den vergangenen Jahren die Veranstaltungen der Festspiele in München , Salzburg und Bayreuth bereits Monate vorher ausverkauft waren , blieben dieses Jahr - offensichtlich aus wirtschaftlichen Erwägungen — viele Besucher aus .	2532889X_1967-08-17_01_179.tcf.xml-2-8
musizieren werden diesmal d im Jahr 1713 aus Anlaß d Frieden von Utrecht komponieren Tedeum $ womit d Friedensgedanke in Handeis Musik abermals voll ertönen $ und $ als eine d wenige Beispiel zeitgenössisch Schaffen $ die d diesjährig Festspiel enthalten Prokofjew einzigartig Kantate $ Alexander Newski $ $	39	0	Festspiel	Musiziert wurde diesmal das im Jahre 1713 aus Anlaß des Friedens von Utrecht komponierte Tedeum , womit der Friedensgedanke In Händeis Musik abermals voll ertönte , und — als eines der wenigen Beispiele zeitgenössischen Schaffens , das die diesjährigen Festspiele enthielten Prokofjews einzigartige Kantate „ Alexander Newski " .	2532889X_1961-06-28_01_048.tcf.xml-43-39
