sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Johanna lassen alle ander Arbeit stehen und liegen $ bereiten heiß Wasse $ und versuchen $ d schwarz Schmiere damit zu entfernen $	18	0	Schmiere	Johanna ließ alle anderen Arbeiten stehn und liegen , bereitete heißes Wasse . und versuchte , die schwarze Schmiere damit zu entfernen .	26120215_1952_03_07_01_076.tcf.xml-60-18
d braun Schmiere hinterlassen Fleck $ die sich aus d Kleidungsstück kaum mehr entfernen lassen $	2	0	Schmiere	Die braune Schmiere hinterläßt Flecke , die sich aus den Kleidungsstücken kaum mehr entfernen lassen .	26120215_1952_02_24_01_227.tcf.xml-6-2
die bedeuten $ daß zuerst d Maschine durch d Betriebsingenieur auf ihr Leistungsfähigkeit prüfen werden und daß eine genau Anleitung über d Ölen und Schmiere d Maschine geben werden $	24	0	Schmiere	Das bedeutet , daß zuerst die Maschinen durch die Betriebsingenieure auf ihre Leistungsfähigkeit geprüft werden und daß eine genaue Anleitung über das Ölen und Schmieren der Maschinen gegeben wird .	2532889X_1951-10-13_01_064.tcf.xml-8-24
in eine Temperatur von über dreißig Grad $ in eine Inferno von dröhnend $ knatternd und gellend Laute $ d nackt Schulter am zuckend Gerät $ bedeckt von eine Schmiere aus Gesteinsstaub und Wasser $ denn d Bohrer laufen in Wasser $ vollbringen d Aktivist diese Kameradschaft tagein $ tagaus ihr Schicht $	29	0	Schmiere	In einer Temperatur von über dreißig Grad , in einem Inferno von dröhnenden , knatternden und gellenden Lauten , die nackte Schulter am zuckenden Gerät , bedeckt von einer Schmiere aus Gesteinsstaub und Wasser — denn die Bohrer laufen in Wasser — vollbringen die Aktivisten dieser Kameradschaft tagein , tagaus ihre Schicht .	26120215_1950_05_05_01_054.tcf.xml-17-29
alle früh Rechenmaschine beruhen auf rein mechanisch Vorgang $ die Geschwindigkeit sich durch klug Konstruktion und fleißig Schmiere steigern lassen $ jedoch an d leidig Trägheit d Material eine unüberwindlich Schranke finden $	17	0	Schmiere	Alle früheren Rechenmaschinen beruhen auf rein mechanischen Vorgängen , deren Geschwindigkeit sich durch kluge Konstruktion und fleißiges Schmieren steigern läßt , jedoch an der leidigen Trägheit des Materials eine unüberwindliche Schranke findet .	2532889X_1956-09-01_01_145.tcf.xml-21-17
sie sein d richtig Reinigungsmittel für $ alle $ die mit ölen und Schmiere zu tun haben $	13	0	Schmiere	Sie ist das richtige Reinigungsmittel für . alle , die mit öl und Schmiere zu tun haben .	2532889X_1949-10-12_01_084.tcf.xml-6-13
$ d Qualm kleben wie eine schlei- $ Nige $ fett Schmiere auf d Haut $	11	0	Schmiere	„ Der Qualm klebt wie eine schlei- ¦ nige , fette Schmiere auf der Haut .	2532889X_1953-05-22_01_048.tcf.xml-49-11
können du Vorschlag machen $ d Verbrauch an Schmiere und Ql ?u verringern $	8	0	Schmiere	Kannst du Vorschlage machen , den Verbrauch an Schmiere und Ql ?u verringern ?	2532889X_1952-09-05_01_058.tcf.xml-29-8
Märchenspiel von Kasten Film d d Sowjetunion $ nehmend 17.00 Fett und Schmiere Besuch d MMM Pawel Maljarewski 17.00 $ f $ Nachricht Kinderfernsehen 17.25 $ f $ Nachricht Geschichte Stummfilmgroteske in Leipzig 15.40 $ f $ d neu straßen- 17.03 $ f $ Quedlinburg 18.00 $ f $ Medizin nach 17.30 $ f $ sieben Seite dec 16.30 $ f $ Sturm auf d 18.00 $ f $ Medizin nach Verkehrsordnung $ 3 $	12	0	Schmiere	Märchenspiel von kasten Film des der Sowjetunion ■ nehmenden 17.00 Fett und Schmiere Besuch der MMM Pawel Maljarewski 17.00 ( F ) Nachrichten Kinderfernsehens 17.25 ( F ) Nachrichten Geschichten Stummfilmgrotesken in Leipzig 15.40 ( F ) Die neue Straßen- 17.03 ( F ) Quedlinburg 18.00 ( F ) Medizin nach 17.30 ( F ) Sieben Seiten dec 16.30 ( F ) Sturm auf den 18.00 ( F ) Medizin nach verkehrsordnung ( 3 )	26120215_1977_11_17_01_166.tcf.xml-14-12
bei d deutsch Reichsbahn können durch Venwendung von Tha d Frist für d Schmiere d Achserollenlager von 50000 auf 400000 Fahrkilometer erhöhen werden $	13	0	Schmiere	Bei der Deutschen Reichsbahn konnte durch Venwendung von THA die Frist für das Schmieren der Achsrollenlager von 50000 auf 400000 Fahrkilometer erhöht werden .	26120215_1965_01_28_01_054.tcf.xml-9-13
schmal Straße $ durch die auch Straßenbahn quietschen kurven $ ziehen wir an $ es dämmern natürlich bereits $ an schütter Schaufenster werden Rollo herunterlassen $ Verputz bröckeln $ und d Glas weisen Schmiere auf $ wir kommen auf eine etwas groß Platz $ rechteckig $ $ Wilhelm Liebknecht $ $ eine etwas ängstlich Sozialdemokrat $ aber irnmeiihin Vater $ $ wo gehen n hier zum lindenauer Markt $ und breit sächsisch $	33	0	Schmiere	schmale Straße , durch die auch Straßenbahnen quietschend kurvten , zog uns an , es dämmerte natürlich bereits , an schütteren Schaufenstern wurden Rollos heruntergelassen , Verputz bröckelte , und das Glas wies Schmieren auf , wir kamen auf einen etwas größeren Platz , rechteckig , „ Wilhelm Liebknecht " , ein etwas ängstlicher Sozialdemokrat , aber irnmeiihin Vater , „ wo geht n hier zum Lindenauer Markt ? und breitestes Sächsisch :	2532889X_1990-09-15_01_399.tcf.xml-19-33
