sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
d Abteilung für Luftschiff Ahrt in Petersburg haben seine Vorschlag für eine Ganzmetall-Luftschift mit d Begründung ablehnen $ nder Widerstand $ die d Luft d Bewegung derartig Luftschiff entgegensetzen werden so groß sein $ daß sie eine Spielball d Wind sein $ $ deshalb unternehmen Ziolkowski Versuch über Luftströmung $	37	0	Spielball	Die Abteilung für Luftschiff ahrt in Petersburg hatte seinen Vorschlag für ein Ganzmetall-Luftschift mit der Begründung abgelehnt : nDer Widerstand , den die Luft der Bewegung derartiger Luftschiffe entgegensetzt würde so groß sein , daß sie ein Spielball des Windes wären . ' Deshalb unternahm Ziolkowski Versuche über Luftströmungen .	26120215_1960_08_21_01_561.tcf.xml-10-37
werden diese Mensch sich jetzt zum Spielball eine neu Hetze zwischen Ost und West machen lassen $	6	0	Spielball	Werden diese Menschen sich jetzt zum Spielball einer neuen Hetze zwischen Ost und West machen lassen ?	2532889X_1953-11-24_01_040.tcf.xml-17-6
sie warten sehnsüchtig auf d Beendigung d unerträglich Verkehrskalamität $ denken sich ihr Teil und haben nur d eine Wunsch $ daß auch d beteiligt Eisenbahner $ die sich zum- Spielball fremd Interesse hergeben $ d Lehre aus d Affäre ziehen $	30	0	Spielball	Sie warten sehnsüchtig auf die Beendigung der unerträglichen Verkehrskalamität , denken sich ihr Teil und haben nur den einen Wunsch , daß auch die beteiligten Eisenbahner , die sich zum- Spielball fremder Interessen hergaben , die Lehren aus der Affäre ziehen .	26120215_1949_06_23_01_226.tcf.xml-26-30
d Stadt jung Geschichte $ rekruten- un d verpflegungsheferant für Krupp und eine Kaiser im erst Weltkrieg $ Spielball von Nflation und Arbeitslosigkeit in d folgend	18	0	Spielball	Der Stadt jüngere Geschichte : Rekruten- un d Verpflegungsheferant für Krupp und einen Kaiser im ersten Weltkrieg ; Spielball von nflation und Arbeitslosigkeit in den folgenden	26120215_1951_10_07_01_034.tcf.xml-7-18
Erzbischof Makario werden mit verstärkt Energie seine Neutralitätspolitik durchsetzen versuchen $ diese zielen darauf $ d Inselrepublik endgültig von ihr Rolle als Spielball imperialistisch Mittelmeerstrategie zu befreien $	22	0	Spielball	Erzbischof Makarios werde mit verstärkter Energie seine Neutralitätspolitik durchzusetzen versuchen , Diese zielt darauf , die Inselrepublik endgültig von ihrer Rolle als Spielball imperialistischer Mittelmeerstrategie zu befreien .	26120215_1973_04_01_01_096.tcf.xml-51-22
nach kurz Blüte aber taumeln es dann Jahrhundert als Spielball ander Macht durch d Geschichte	9	0	Spielball	Nach kurzer Blüte aber taumelte es dann Jahrhunderte als Spielball anderer Mächte durch die Geschichte	26120215_1973_07_11_01_132.tcf.xml-13-9
für d deutsch Volk sein es nicht annehmbar $ sich zu eine Spielball fremd Politik machen zu lassen $	12	0	Spielball	Für das deutsche Volk ist es nicht annehmbar , sich zu einem Spielball fremder Politik machen zu lassen .	26120215_1948_10_23_01_009.tcf.xml-68-12
von Ugo-Führerh ausgeführt Zerschlagung d Gewerkschaftsbewegung in Westberlin mit verstärkt Kraft d Zersetzung und d ideologisch Einflußnahme d Klassenfeind entgegenwirken $ haben d frei Gewerkschaft zusehen $ wie d Arbeiter und Angestellte Westberlin wahren d letzte zwei Jahr zum Spielball d Imperialist werden $	39	0	Spielball	von UGO-Führerh ausgeführten Zerschlagung der Gewerkschaftsbewegung in Westberlin mit verstärkter Kraft der Zersetzung und der ideologischen Einflußnahme des Klassenfeindes entgegenzuwirken , haben die Freien Gewerkschaften zugesehen , wie die Arbeiter und Angestellten Westberlins wahrend der letzten zwei Jahre zum Spielball der Imperialisten wurden .	2532889X_1950-05-17_01_050.tcf.xml-23-39
mit diese Satz deuten er an $ daß seine Elf nicht gewillt sein $ nur zum Spielball d ander zu werden $	16	0	Spielball	Mit diesem Satz deutete er an , daß seine Elf nicht gewillt ist , nur zum Spielball der anderen zu werden .	2532889X_1984-11-16_01_180.tcf.xml-25-16
dort ankommen werden er bald zum Spielball übel Gauner alle Schattierung $	6	0	Spielball	Dort angekommen wird er bald zum Spielball übler Gauner aller Schattierungen .	26120215_1974_03_09_01_186.tcf.xml-22-6
