sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
eine national Entwicklunesbehörde sollen d Investitionstätigkeit kontrollieren $ damit d Weg zur ökonomisch Unabhängigkeit nicht verbauen werden $	15	0	verbauen	Eine nationale Entwicklunesbehörde soll die Investitionstätigkeit kontrollieren , damit der Weg zur ökonomischen Unabhängigkeit nicht verbaut wird .	2532889X_1978-08-26_01_085.tcf.xml-25-15
von Menschlichkeit und Frieden schwätzen $ tatsächlich aber versuchen $ durch provokatorisch Forderung und d willkürlich Konstruktion von irgendwelche $ Junktim d Weg zur Entspannung zu verbauen und d Tür für d Weiterführung d Revanchepolitik eine Adenauer $ Erhard oder Kiesinger offenhalten $	26	0	verbauen	von Menschlichkeit und Frieden geschwätzt , tatsächlich aber versucht , durch provokatorische Forderungen und die willkürliche Konstruktion von irgendwelchen „ Junktims den Weg zur Entspannung zu verbauen und die Tür für die Weiterführung der Revanchepolitik eines Adenauer , Erhard oder Kiesinger offenzuhalten .	26120215_1970_11_06_01_027.tcf.xml-7-26
Mellies noch einmal $ daß mit d Aufrüstung d Weg zur schnell Wiedervereinigung Deutschland verbauen werden $ was wohl nur als ungeheuerlich Selbstanklage werten werden können $	14	0	verbauen	Mellies noch einmal , daß mit der Aufrüstung der Weg zur schnellen Wiedervereinigung Deutschlande verbaut würde , was wohl nur als ungeheuerliche Selbstanklage gewertet werden kann .	2532889X_1955-07-17_01_019.tcf.xml-32-14
d Weg $ die durch d Remilitarisierung $ d Atomrüstung und d Pariser Vertrag in Westdeutschland verbauen werden $ d Weg zur friedlich Lösung d deutsch Frage und zur Wiedervereinigung $ müssen mit Hilfe eine Friedensvertrag jetzt frei machen werden $	16	0	verbauen	Der Weg , der durch die Remilitarisierung , die Atomrüstung und die Pariser Verträge in Westdeutschland verbaut wurde , der Weg zur friedlichen Lösung der deutschen Frage und zur Wiedervereinigung , muß mit Hilfe eines Friedensvertrages jetzt frei gemacht werden .	2532889X_1961-06-16_01_005.tcf.xml-183-16
daran haben auch d Regierungserklärung Kiesinger $ völkerrechtlich nichts verbauen $ $ schreiben d Vorstandsmitglied d revanchistisch $ sudetendeutsch Landsmannschaft $ $ d ehemalig bayrisch Kultusminister Hans Schütz $ Christlich-Soziale_Union $ $ in d Zeitschrift $ Echo d Zeit $ $	9	0	verbauen	Daran hätte auch die Regierungserklärung Kiesingers „ völkerrechtlich nichts verbaut " , schreibt das Vorstandsmitglied der revanchistischen .. Sudetendeutschen Landsmannschaft " , der ehemalige bayrische Kultusminister Hans Schütz ( CSU ) , in der Zeitschrift „ Echo der Zeit " .	26120215_1967_01_06_01_026.tcf.xml-4-9
dabei können bisherig Arbeit sehr leicht zum Hindernis werden $ d weit Weg verbauen $	13	0	verbauen	Dabei kann bisherige Arbeit sehr leicht zum Hindernis werden , den weiteren Weg verbauen .	26120215_1977_06_04_01_133.tcf.xml-29-13
wer diese in Frage stellen $ verbauen auch alle Möglichkeit für ernsthaft Fortschritt bei d Entwicklung d Beziehung zwischen d DDR und d Brd $	6	0	verbauen	Wer diese in Frage stelle , verbaue auch alle Möglichkeiten für ernsthafte Fortschritte bei der Entwicklung der Beziehungen zwischen der DDR und der BRD .	26120215_1989_12_20_01_148.tcf.xml-16-6
ohne d Zusammenschluß alle friedeliebend Deutsche zu eine breit Volksbewegung $ die durch d Aktionseinheit d Arbeiterklasse ihr entscheidend Schlagkraft erhalten müssen $ werden d Weg in d Abgrund nicht zu verbauen sein $	31	0	verbauen	Ohne den Zusammenschluß aller friedliebenden Deutschen zu einer breiten Volksbewegung , die durch die Aktionseinheit der Arbeiterklasse ihre entscheidende Schlagkraft erhalten muß . wird der Weg in den Abgrund nicht zu verbauen sein .	2532889X_1957-12-15_01_026.tcf.xml-46-31
gegen d sowjetisch Initiative $ die d Weg zur Fortsetzung d Wettrüsten bei nuklear Rüstung in Europa verbauen $ wehren sie sich mit alle Kraft und versuchen $ sie zu entstellen und in eine falsch Licht zu rücken $	17	0	verbauen	Gegen die sowjetischen Initiativen , die den Weg zur Fortsetzung des Wettrüstens bei nuklearen Rüstungen in Europa verbauen , wehren sie sich mit allen Kräften und versuchen , sie zu entstellen und in ein falsches Licht zu rücken .	26120215_1983_01_28_01_048.tcf.xml-9-17
aber vorläufig scheinen da d Weg durch finanziell Schwierigkeit verbauen	9	0	verbauen	Aber vorläufig scheint da der Weg durch finanzielle Schwierigkeiten verbaut	2532889X_1961-01-23_01_045.tcf.xml-9-9
