sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
wie es in eine Mitteilung d Ddr-Postministerium heißen $ sein es noch notwendig $ d Postleitzahl auf Sendung in d jeweils ander Deutschland d Vermerk D beziehungsweise DDR voranstellen $ da viel d Zahl zur Zeit noch doppelt besetzen sein $	28	0	voranstellen	Wie es in einer Mitteilung des DDR-Postministeriums heißt , sei es noch notwendig , den Postleitzahlen auf Sendungen in das jeweils andere Deutschland den Vermerk D beziehungsweise DDR voranzustellen , da viele der Zahlen zur Zeit noch doppelt besetzt sind .	2532889X_1990-08-10_01_123.tcf.xml-4-28
indem d Dokument aus d Sowjetunion voranstellen sein $ werden noch einmal unterstreichen $ daß d Lösung d kulturell-geistig Problem d deutsch Demokra $	6	0	voranstellen	Indem die Dokumente aus der Sowjetunion vorangestellt sind , wird noch einmal unterstrichen , daß die Lösung der kulturell-geistigen Probleme der Deutschen Demokra -	26120215_1960_11_04_01_073.tcf.xml-15-6
am Namen d Volk $ $ so lauten d verlogen Formulierung $ die Hitler Bluu Richter ihr Todesurteil über Tausend unschuldig Mensch voranstellen $	22	0	voranstellen	Am Namen des Volkes " — so lautete die verlogene Formulierung , die Hitlers BluU richter ihren Todesurteilen über Tausende unschuldiger Menschen voranstellten .	26120215_1958_11_26_01_176.tcf.xml-2-22
$ auf d Feld Kulikowo werden Rußland gebären $ $ heißen es in d Vorspruch $ d Juri Schaporin seine monumental sinfonie- Kantate voranstellen $	23	0	voranstellen	„ Auf dem Felde Kulikowo wurde Rußland geboren " , heißt es in dem Vorspruch , den Juri Schaporin seiner monumentalen Sinfonie- Kantate voranstellte .	2532889X_1949-01-26_01_074.tcf.xml-2-23
d indisch Ministerpräsident Nehru $ d Freitag nochmals d Wort ergreifen $ schlagen vor $ daß d Entschließung gegen d Aufrechterhaltung d Kolonialregime eine Erklärung voranstellen werden $ in die d Unterwerfung d Volk unter fremd Herrschaft $ als Verletzung d Menschenrecht und d Prinzip * er Un-Charta $ verurteilen werden $	25	0	voranstellen	Der indische Ministerpräsident Nehru , der Freitag nochmals das Wort ergriff , schlug vor . daß den Entschließungen gegen die Aufrechterhaltung des Kolonialregimes eine Erklärung vorangestellt werde , in der die Unterwerfung des Volkes unter fremde Herrschaft „ als Verletzung der Menschenrechte und der Prinzipien * er UN-Charta " verurteilt wird .	26120215_1955_04_23_01_007.tcf.xml-11-25
Johannes R. Becher Vers $ Traum von räte- Deutschland $ sein eine neu An' $ hologie d Aufbau-Verlag voranstellen un d aeben sie d Namen $	18	0	voranstellen	Johannes R. Bechers Verse „ Traum von Räte- Deutschland " sind einer neuen An' . hologie des Aufbau-Verlages vorangestellt un d aeben ihr den Namen .	26120215_1968_11_03_01_472.tcf.xml-92-18
d nun folgend Stellungnahme d Handelsbetrieb und d Vertreter d Staatsapparat sein voranstellen $	12	0	voranstellen	Den nun folgenden Stellungnahmen der Handelsbetriebe und der Vertreter des Staatsapparates sei vorangestellt :	26120215_1970_09_03_01_040.tcf.xml-4-12
d Bemerkenswerteste an Chrlstel Philipp sein aber $ daß Sis trotz dienstlich Belastung $ trotz fünf- Personen-Haushalt und labil Gesundheit d Hilfe für andere stets voranstellen $	25	0	voranstellen	Das Bemerkenswerteste an Chrlstel Philipp ist aber , daß sis trotz dienstlicher Belastung , trotz Fünf- Personen-Haushalt und labiler Gesundheit die Hilfe für andere stets voranstellt .	2532889X_1972-03-18_01_325.tcf.xml-14-25
Oberbürgermeister Erhard Krack beziehen sie alle in d gut Bilanz ein $ die er d Gesprächsrunde voranstellen $	16	0	voranstellen	Oberbürgermeister Erhard Krack bezog sie aller in die gute Bilanz ein , die er der Gesprächsrunde voranstellte .	2532889X_1985-05-21_01_034.tcf.xml-151-16
reich Wettbewerb $ die d Arbeiter d Motto voranstellen $	8	0	voranstellen	reichen Wettbewerb , dem die Arbeiter das Motto voranstellten :	2532889X_1980-10-15_01_049.tcf.xml-44-8
d Volkskongreß sein eine erst Schritt $ die erkennen lassen $ daß d deutsch Volk in eine einheitlich Staat leben und dabei d demokratisch Grundsatz voranstellen wollen $	25	0	voranstellen	Der Volkskongreß war ein erster Schritt , der erkennen läßt , daß das deutsche Volk in einem einheitlichen Staat leben und dabei die demokratischen Grundsätze voranstellen will .	2532889X_1947-12-12_01_032.tcf.xml-45-25
d BSO haben eingangs eine vorn tun seltsam anmutend Werk gebieten $ L von David Ellis $ eine Lfl $ Jl gebären englisch Komponist $ die d römisch $ 50 $ seine Op. 41 voranstellen $ und zwar als Ausdruck d Verehrung für eine Freund $ Dessenso $	34	0	voranstellen	Das BSO hatte eingangs ein vorn Tue seltsam anmutendes Werk geboten .. L von David Ellis . einem lfl .' Jl geborenen englischen Komponisten , der die römische „ 50 " seinem op. 41 voranstellte , und zwar als Ausdruck der Verehrung für einen Freund . dessenSO .	26120215_1982_10_11_01_046.tcf.xml-4-34
$ d Zukunft gehören d Buch und nicht d Bombe $ d Frieden und nicht d Krieg $ $ diese von Victor Hugo stammend Satz sein Motto d international Buchkunst-Ausstellung Lba 89 in Leipzig und werden d 35. Urania Universum voranstellen $	40	0	voranstellen	„ Die Zukunft gehört dem Buch und nicht der Bombe , dem Frieden und nicht dem Krieg " — dieser von Victor Hugo stammende Satz war Motto der Internationalen Buchkunst-Ausstellung lba 89 in Leipzig und wurde dem 35. Urania Universum vorangestellt .	2532889X_1989-10-21_01_455.tcf.xml-1-40
d Presseagentur DPA steuern direkt auf d Kern d Bestrebung westdeutsch Politiker und Ideologe zu $ als sie d Meldung über d Kreml-Runde d Schlagzeile voranstellen $	25	0	voranstellen	Die Presseagentur DPA steuerte direkt auf den Kern der Bestrebungen westdeutscher Politiker und Ideologen zu , als sie der Meldung über die Kreml-Runde die Schlagzeile voranstellte :	2532889X_1968-05-11_01_302.tcf.xml-12-25
so sein d Bildreihe einige Blatt aus d Anfang eine sozialkritisch ausgerichtet Grafik in Kolumbien voranstellen $	15	0	voranstellen	So sind der Bildreihe einige Blätter aus den Anfängen einer sozialkritisch ausgerichteten Grafik in Kolumbien vorangestellt .	2532889X_1980-02-26_01_072.tcf.xml-12-15
diese Aussicht werden meist eine $ Wetterlage voranstellen $ in die d typisch Merk $	7	0	voranstellen	Diesen Aussichten wird meist eine „ Wetterlage vorangestellt , in der die typischen Merk -	26120215_1954_08_26_01_330.tcf.xml-15-7
so fügen sich Gedicht und Lied über wir heute von Heinz Kahlau $ Günther Deicke $ Helmut Preißler $ Günter Kunert $ Volker Braun $ Uwe Berger $ Jo Schulz ausgezeichnet ein und erfüllen auf ihr Weise d bechersch Forderung $ die als Motto voranstellen sein $ $ $ Gedicht wandeln sich zu Tat $	44	0	voranstellen	So fügten sich Gedichte und Lieder über uns heute von Heinz Kahlau , Günther Deicke , Helmut Preißler , Günter Kunert , Volker Braun , Uwe Berger , Jo Schulz ausgezeichnet ein und erfüllten auf ihre Weise die Bechersche Forderung , die als Motto vorangestellt war : „ ... Gedichte wandeln sich zu Taten .	26120215_1971_10_12_01_069.tcf.xml-5-44
voranstellen sein d brecht- Wort $ wer d Hilferuf nicht hören $ werden d hören d leise Ruf d Liebste $	0	0	voranstellen	Vorangestellt waren die Brecht- Worte „ Wer den Hilferuf nicht hört , wird der hören den leisen Ruf des Liebsten ?	26120215_1990_01_30_01_267.tcf.xml-3-0
derartig Information sein d düster Rückblick auf 1977 zu entnehmen $ die d südafrikanisch Finanzminister Horwood seine Budget für 1978/79 voranstellen $	20	0	voranstellen	Derartige Informationen waren dem düsteren Rückblick auf 1977 zu entnehmen , den der südafrikanische Finanzminister Horwood seinem Budget für 1978/79 voranstellte .	2532889X_1978-07-10_01_231.tcf.xml-15-20
man taufl d Antwort auf dl Frage $ was um an Erzeugnis d Petrolchemie bringen werden $ einige Feststellung voranstellen $ wie wir wissen $ lösen d petroliaemfe ta be $	19	0	voranstellen	Man taufl der Antwort auf dl Frage , was um an Erzeugnissen die Petrolchemie bringen wird , einige Feststellungen voranstellen , wie wir wissen , löst die Petroliaemfe ta be -	26120215_1964_04_19_01_388.tcf.xml-4-19
voranstellen sein d Brecht-Wort $ wer d Hilferuf nicht hören $ werden d hören d leise Ruf d Liebste $ $ $	0	0	voranstellen	Vorangestellt waren die Brecht-Worte „ Wer den Hilferuf nicht hört , wird der hören den leisen Ruf des Liebsten ? " .	2532889X_1990-01-30_01_169.tcf.xml-3-0
jeweils voranstellen haben Rentzsch übrigens Vorbemerkung $ die d Leser ebenso knapp wie präzis auf d folgend Geschichte $ einstimmen $ $	1	0	voranstellen	Jeweils vorangestellt hat Rentzsch übrigens Vorbemerkungen , die den Leser ebenso knapp wie präzise auf die folgende Geschichte „ einstimmen " .	2532889X_1980-08-02_01_254.tcf.xml-20-1
es müssen alle voranstellen werdon $ wir erleben eine Spiel $ die sowohl für d Ungarn $ es sein ihr 410. $ als auch und besonders für wir $ es sein unsere 60. $ als eine niveauvoll Spiel in Die' Landerspielgeschichte einschreiben werden können $	3	0	voranstellen	Es muß allem vorangestellt werdon ; Wir erlebten ein Spiel , das sowohl für die Ungarn ( es war ihr 410. ) als auch und besonders für uns ( es war unser 60. ) als ein niveauvolles Spiel in die' Länderspielgeschichte eingeschrieben werden kann .	2532889X_1965-05-24_01_149.tcf.xml-21-3
eine gerecht kritisch Wertung seine literarisch und geistig Lebensleistung erfordern $ sie voranstellen wo er am Ende seine Leben stehen $ sein Bild von 1945 $ eine ehrewürdig groß Erscheinung d deutsch Nationalliteratur $ noch zuletzt von d Glauben an eine zutiefst sich erneuernd Deutschland $	12	0	voranstellen	Eine gerechte kritische Wertung seiner literarischen und geistigen Lebensleistung erfordert , ihr voranzustellen wo er am Ende seines Lebens stand , sein Bild von 1945 : eine ehrwürdig große Erscheinung der deutschen Nationalliteratur , noch zuletzt von dem Glauben an ein zutiefst sich erneuerndes Deutschland .	26120215_1962_11_16_01_079.tcf.xml-15-12
in Nr. 1. d eine Geleitwort d Oberbürgermeister d Stadt -Berlin voranstellen sein werden in eine Vorwort Rler Redaktion als Zweck d Zeitschrift bezeichnen $ $ durch d Anregung in ihr Veröffentlichung dazu beitragen $ d Neuaufbau d "r öffentlich Verwaltung zu vereinheitlicheo und damit zu erleichtern $ $	11	0	voranstellen	In Nr. 1. der ein Geleitwort des Oberbürgermeisters der Stadt -Berlin vorangestellt ist wird in einem Vorwort rler Redaktion als Zweck der Zeitschrift bezeichnet , „ durch die Anregungen in ihren Veröffentlichungen dazu beizutragen , den Neuaufbau d "r öffentlichen Verwaltung zu vereinheitlicheo und damit zu erleichtern " .	2532889X_1946-05-28_01_052.tcf.xml-3-11
d Biografie $ d jeweilig Text voranstellen $ machen d deutsch Leser Angabe zugänglich $ die bislang allenfalls in sorbischspracheig Nachschlagewerken erreichbar sein $ bringen jedoch auch viel eigen Erkundung und Bewertung ein $	6	0	voranstellen	Die Biografien , den jeweiligen Texten vorangestellt , machen dem deutschen Leser Angaben zugänglich , die bislang allenfalls in sorbischsprachigen Nachschlagewerken erreichbar waren , bringen jedoch auch viele eigene Erkundungen und Bewertungen ein .	26120215_1981_08_19_01_089.tcf.xml-9-6
neben d Nachricht $ die d groß Morgenzeitung d Hauptstadt rot Schlagzeile voranstellen $ haben sich immer mehr prominent Kommentator mit d Besuch $ d Entwicklung freundschaftlich Beziehung Ddr- Var und d empörend Bonner Reaktion beschäftigen $	12	0	voranstellen	Neben den Nachrichten , denen die großen Morgenzeitungen der Hauptstadt rote Schlagzeilen voranstellten , haben sich immer mehr prominente Kommentatoren mit dem Besuch , der Entwicklung freundschaftlicher Beziehungen DDR- VAR und der empörenden Bonner Reaktion beschäftigt .	2532889X_1965-02-06_01_076.tcf.xml-5-12
eine Urlaub $ die man gut und gern d klein Wortchen sportlich voranstellen können $	12	0	voranstellen	Ein Urlaub , dem man gut und gern das kleine Wörtchen sportlich voranstellen kann .	2532889X_1988-04-02_01_128.tcf.xml-12-12
aus diese Grund haben mendes- France $ klug genug $ d Schicksal seine neu Kabinett nicht mit d aussichtslos Sache d EVG zu verbinden $ nunmehr in London im Prinzip d aggressiv Plan d Wiederaufrüstung Westdeutschland $ die Kern d Antikommunismus sein $ d national Interesse Frankreich und d Friedensinteresse alle europäisch Volk voranstellen $	53	0	voranstellen	Aus diesen Gründen hat Mendes- France — klug genug , das Schicksal seines neuen Kabinetts nicht mit der aussichtslosen Sache der EVG zu verbinden — nunmehr in London im Prinzip die aggressiven Pläne der Wiederaufrüstung Westdeutschlands , deren Kern der Antikommunismus ist . den nationalen Interessen Frankreichs und den Friedensinteressen aller europäischen Völker vorangestellt .	2532889X_1954-10-12_01_111.tcf.xml-22-53
diese Spruch haben Joachim Knappe d $ Aufstieg d Tote $ Überschnebenen erst Buch seine Romantrilogie voranstellen $	16	0	voranstellen	Diesen Spruch hat Joachim Knappe dem „ Aufstieg der Toten " überschnebenen ersten Buch seiner Romantrilogie vorangestellt .	26120215_1979_05_10_01_056.tcf.xml-4-16
dabei müssen immer d Überlegung voranstellen werden $ ob es nicht vernünftig sein $ hierfür Plast oder Metall einsetzen $	5	0	voranstellen	Dabei muß immer die Überlegung vorangestellt werden , ob es nicht vernünftiger ist , hierfür Plast oder Metall einzusetzen .	2532889X_1976-10-30_01_542.tcf.xml-31-5
mit Recht sein deshalb diese Teil d weit Abschnitt über d Rechte d Parlament und d Regierung voranstellen werden $	17	0	voranstellen	Mit Recht ist deshalb dieser Teil den weiteren Abschnitten über die Rechte des Parlamentes und der Regierung vorangestellt worden .	2532889X_1947-02-06_01_119.tcf.xml-4-17
weshalb ich diese ungewöhnlich Angabe voranstellen $ werden sie $ verehrt Leser $ spät deutlich werden $	5	0	voranstellen	Weshalb ich diese ungewöhnlichen Angaben voranstelle , wird Ihnen , verehrte Leser , später deutlich werden .	26120215_1966_10_02_01_461.tcf.xml-6-5
eine Geleitwort $ die Stephan Hermlin seine Erinnerungsbuch voranstellen $ stehen auch über diese Fernsehfilm $ $ Tausend von jung Deutsche haben in eine Kampf ihr Leben opfern $ die d ganz Menschheit führen und weiter führen $ um als Menschheit zu bestehen $	8	0	voranstellen	Ein Geleitwort , das Stephan Hermlin seinem Erinnerungsbuch voranstellte , steht auch über diesem Fernsehfilm : „ Tausende von jungen Deutschen haben in einem Kampf ihr Leben geopfert , den die ganze Menschheit führte und weiter führt , um als Menschheit zu bestehen .	26120215_1987_04_18_01_132.tcf.xml-9-8
so sein d einfühlsam Vorwort d $ Peter Theek d Arbeit d Freund voranstellen haben $ zugleich eine Nachruf werden $	13	0	voranstellen	So ist das einfühlsame Vorwort das , Peter Theek der Arbeit des Freundes vorangestellt hat , zugleich ein Nachruf geworden .	2532889X_1981-10-24_01_436.tcf.xml-25-13
d in Melbourne anwesend Journalist d DDR und einige Funktionär unsere Delegation $ unter ander auch Nok-Präsident Heinz Schöbel $ sein d Verfasser d lebendig geschreiben Beitrag $ die eine Geleitwort d amerikanisch Ioc-Präsident Avery Brundage voranstellen werden $	36	0	voranstellen	Die in Melbourne anwesenden Journalisten der DDR und einige Funktionäre unserer Delegation , unter anderem auch NOK-Präsident Heinz Schöbel . sind die Verfasser der lebendig geschriebenen Beiträge , denen ein Geleitwort des amerikanischen IOC-Präsidenten Avery Brundage vorangestellt wurde .	26120215_1957_07_31_01_240.tcf.xml-5-36
nein $ es sein voranstellen $ hier walten Geschmack wer nun aber nichts wissen über Hölderlin $ haben er nach anderthalb Filmstunde etwas erfahren über er $	4	0	voranstellen	Nein , es sei vorangestellt , hier waltet Geschmack Wer nun aber nichts weiß über Hölderlin , hat er nach anderthalb Filmstunden etwas erfahren über ihn ?	26120215_1985_04_26_01_071.tcf.xml-5-4
voranstellen sein d Hinweis auf eine bedeutsam $ verlegerisch Unternehmen $	0	0	voranstellen	Vorangestellt sei der Hinweis auf ein bedeutsames , verlegerisches Unternehmen .	26120215_1967_12_17_01_418.tcf.xml-5-0
voranstellen sein überragend Jubiläumsereigmsse d Jahr wie d 75. Geburtstag Walter Ulbricht $ d Novemberrevolution und 50 Jahr KPD sowie eine Vietnam-Schilderung durch eine vietnamesisch Autor $	0	0	voranstellen	Vorangestellt sind überragende Jubiläumsereigmsse des Jahres wie der 75. Geburtstag Walter Ulbrichts , die Novemberrevolution und 50 Jahre KPD sowie eine Vietnam-Schilderung durch einen vietnamesischen Autor .	26120215_1968_10_20_01_467.tcf.xml-5-0
schade $ daß d Dokumentenauswahl nicht eine etwas ausführlich Vorwort voranstellen werden $ in d zeitgeschichtlich Umstand genau beleuchten und so zum Nachdenken darüber anregen werden sein $ ob es in d damalig brisant Situation eine wirklich Alternative zum Bau d Mauer geben $	10	0	voranstellen	Schade , daß der Dokumentenauswahl nicht ein etwas ausführlicheres Vorwort vorangestellt wurde , in dem zeitgeschichtliche Umstände genauer beleuchtet und so zum Nachdenken darüber angeregt worden wäre , ob es in der damaligen brisanten Situation eine wirkliche Alternative zum Bau der Mauer gab ,	2532889X_1990-09-28_01_369.tcf.xml-15-10
$ d Einigung Deutschland im westlich Sinn $ $ $ sein nur noch eine Frage $ Dtr Zelt $ aber wenn d Bevölkerung Westendeutschland d Frage d Einheit alle ander Frage voranstellen $ dann laufen sie Gefahr $ in keine Richtung etwas zu erreichen $	31	0	voranstellen	- Die Einigung Deutschlands im westlichen Sinne ( ! ) Ist nur noch eine Frage " dtr Zelt . aber wenn die Bevölkerung Westdeutschlands die Frage der Einheit allen anderen Fragen voranstellt , dann läuft sie Gefahr , in keiner Richtung etwas zu erreichen .	2532889X_1949-06-22_01_057.tcf.xml-162-31
voranstellen sein Christa Wolfs Laudatio aus Anlaß d Verleihung d Kleist-Preis im Oktober 1987 in Frankfurt am Main $	0	0	voranstellen	Vorangestellt ist Christa Wolfs Laudatio aus Anlaß der Verleihung des Kleist-Preises im Oktober 1987 in Frankfurt am Main .	2532889X_1990-09-14_01_429.tcf.xml-4-0
er sich in dicknanne Abrechnung für d Jahr 1966 bis 1970 vertiefen d d*r Direktive voranstellen sein $ werden auch daraus eine Gefühl d Sicherheit gewinnen $	15	0	voranstellen	er sich in dicknanne Abrechnung für die Jahre 1966 bis 1970 vertieft die d*r Direktive vorangestellt ist . wird auch daraus ein Gefühl der Sicherheit gewinnen :	26120215_1971_05_07_01_004.tcf.xml-20-15
was d Rezensent über d $ Hintergrund $ $ d $ abseitsstehend Hintergrund $ $ $ und d $ Grundmotiv sagen $ sein so unkonkret und phrasenhaft $ daß man sich d Eindruck nicht erwehren können $ er haben es als eine Art Alibi voranstellen $ um dann desto ungezwingen nörgeln zu dürfen $	44	0	voranstellen	Was der Rezensent über den „ Hintergrund " ( den „ abseitsstehenden Hintergrund " ! ) und das „ Grundmotiv sagt , ist so unkonkret und phrasenhaft , daß man sich des Eindrucks nicht erwehren kann , er habe es als eine Art Alibi vorangestellt , um dann desto ungezwungener nörgeln zu dürfen .	2532889X_1949-10-26_01_029.tcf.xml-20-44
d Spatvorstellung eine stuck- Querschnitt $ Lied mit Umfeld aus Lerner $ Loewe $ My Fair Lady $ $ sein noch zwei ausgedehnt Runde mit Etüde und Melodie vor alle d 20er Jahr in mehrere Interpretationsvariante voranstellen $	36	0	voranstellen	Der Spätvorstellung eines Stuck- Querschnitts ( Lieder mit Umfeld aus Lerner / Loewes „ My Fair Lady " ) sind noch zwei ausgedehnte Runden mit Etüden und Melodien vor allem der 20er Jahre in mehreren Interpretationsvarianten vorangestellt .	26120215_1986_08_16_01_087.tcf.xml-9-36
diese Schlußsatz weisen auf d ähnlich lautend Schluß in Thomas Mann $ Tod in Venedig' $ 1913 $ hin $ die d Buch als Motto voranstellen sein $	25	0	voranstellen	Dieser Schlußsatz weist auf den ähnlich lautenden Schluß in Thomas Manns „ Tod in Venedig' ( 1913 ) hin , der dem Buch als Motto vorangestellt ist .	2532889X_1955-07-17_01_083.tcf.xml-44-25
diese Wort d Genosse Paul Verner fallen zwar erst in seine Schlußwort $ sie sein dennoch voranstellen $ weil sie in gewiß Sinn d Atmosphäre d Tagung widerspiegeln $ ihr Frische und ihr lustbetont Verlauf $ wie d Pädagoge sagen $	16	0	voranstellen	Diese Worte des Genossen Paul Verner fielen zwar erst in seinem Schlußwort , sie seien dennoch vorangestellt , weil sie in gewissem Sinne die Atmosphäre der Tagung widerspiegelten , ihre Frische und ihren lustbetonten Verlauf , wie der Pädagoge sagt .	2532889X_1963-05-26_01_089.tcf.xml-6-16
