sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
hit ankomma resande $ upp grekista aktiv ariuecn till $ man $ utom $ öfwade matros $	6	0	aktiv	hit ankommen resande , uppgifwer Grekista aktiva ariuecn till 80,000 man , utom 30,020 öfwade matroser . 	bib19277346_18240821_147394_34_0002_alto.xml-7-6
som aktiv will bära den kostbar och ny $ af stg sjelf komma til den naturlig och enkel $ astwingar ni hon den sä werkar dock twäng ingen bättring $ och med första frihet utbryta $ i löjcliga och kostbar fymptomer $	1	0	aktiv	som aktiv will bära det kostbara och nya , af stg sjelf komma til det naturliga och enkla ; Astwingar Ni henne det sä werkar dock twäng ingen bättring , och med första frihet utbryter Mode-sjukan i löjcliga och kostbara fymptomer . 	bib11653792_18111012_146919_41_0002_alto.xml-12-1
rysk trupp framrycka från all håll emöt donau $ och den vara väl ingen tvifvel underkastadt $ att man arnar blockera en turluska denan fästning och tillika operera aktiv ifrån varna $	28	0	aktiv	Ryska trupperna framrycka från alla håll emöt Donau , och det är väl ingen tvifvel underkastadt , att man arnar blockera de Turluska Denan fästningarna och tillika operera aktivt ifrån Varna . 	bib11653828_18290416_144028_88_0003_alto.xml-4-28
härtill vara $ dels att man vilja skona soldat $ helsa $ som mycket lida genom den stark hetta $ dels att den aktiv armé ej tycka	23	0	aktiv	härtill är , dels att man vill skona soldaten » helsa , som mycket lider genom den starka hettan , dels att den aktiva armés ej tyckes 	bib11653828_18290707_144028_153_0003_alto.xml-23-23
länge drbgdcs nied eldsläckningsämne $ som dock i rätkan lid wisade sig fkrträffcliga $ menighet mar nu simma aktiv $ oförtrulen och arbetsam $ utan liten otäkighel öfwer den swära watlubärningen $	18	0	aktiv	längre drbgdcs nied Eldsläckningsämnet , som dock i rätkan lid wisade sin fkrträffcliga wärkan^ Menigheten mar nu sam aktiv , oförtrulen och arbetsam , utan minsta otäkighel öfwer den swära watlubärningen . 	bib15650837_17941210_146391_98_0003_alto.xml-3-18
häruti skaffa sig en värn mot den aktiv armé $	7	0	aktiv	häruti skaffa sig ett värn mot den aktiva armén . 	bib11653828_18290204_144028_28_0004_alto.xml-3-7
regering spsielsätter sig med organisering as aktiv milis $ simma	6	0	aktiv	Regeringen spsielsätter sig med organisering as aktiva Milisen / sam 	bib19223423_18221026_145063_86_0001_alto.xml-0-6
de äro i sälffap aktiv alswarsamme $ sällan se man en mor le $ au	4	0	aktiv	De äro i sälffap aktiv alswarsamme ; sällan ser man en Mor le , aU 	bib11653828_17960323_144028_67_0002_alto.xml-16-4
låta anteckna sig till aktiv tjenstgöring $ hafwa tills widare blvkt $ blifwit anta $ dels för att icke alltför mycket blott hufwudstaden pk mili $ tärcr $ dels af financiella orsak denna trupp äro fördelta pa tjugu i hamn ligga transportfartyg $ och stola med första gynnande wind gä under segel $	4	0	aktiv	låtit anteckna sig till aktiv tjenstgöring , hafwa tills widare blvkt 3,000 blifwit antagne , dels för att icke alltför mycket blotta hufwudstaden pK mili » tärcr , dels af financiella orsaker Dessa trupper äro fördelta pa tjugu i hamnen liggande transportfartyg , och stola med första gynnande wind gä under segel . 	bib11653828_18240522_144028_118_0003_alto.xml-11-4
$ $ grefwe toll ha blifwil utnämna list riddare af $ georgs orden andra klaff $ till belöning för en förljenster han ädagalagt fä chef sbr aktiv arim $ under sednaste fältläg $	26	0	aktiv	' : Grefwe Toll har blifwil utnämnd list Riddare af S:t GeorgS Ordens andra klaff , till belöning för de förljenster han ädagalagt fäftin chef sbr aktiva Arim-ens General-Stab under sednaste fältläg . 	bib19277277_18291116_147682_266_0001_alto.xml-4-26
den aktiv och den passiv person $ sfvensom sjelfva ceremoni med all den $ äro behandla med all önsklig utförlighet $ af en motsvara moralisk styggelse äro en mången andra karakter och uppträde här teckna $	1	0	aktiv	den aktiva och den passiva personen , Sfvensom sjelfva ceremonien med alla dess detaljer^ äro behandlade med all önsklig utförlighet — Af en motsvarande moralisk styggelse äro de flesta andra karakterer och uppträden här tecknas . 	bib11653828_18301018_144028_241_0003_alto.xml-2-1
$ uppehålla senat ha $ z utfärda en senatskonsiilt af innehälla att en styrka af $ stola stalla till krigsminister disposition för att föröka en aktiv armcerna $ nemi $	25	0	aktiv	— Uppehållande Senaten har d. z utfärdat ett Senatskonsiilt af innehäll att en styrka af 180,000 stola stallas till Krigsministerns disposition för att föröka de aktiva Armcerna , nemi . 	bib19225772_18130430_148004_48_0001_alto.xml-11-25
$ magnus $ få äfwenledes reglera aua bolag aktiv och	8	0	aktiv	E. Magnus , fom äfwenledes reglerar aUa Bolagets Aktiva och 	bib19225772_18160830_148004_99_0004_alto.xml-12-8
$ vag testamentera hälft af inina privitdomäner till en qwarlefwande officer öch $ soldat wid franspssa arinen $ som frän 1792 till i3rs fäkta för nation ära och sjelfständighet utdelning ssall sse i förhällande till den tid $ de warit i aktiv tjenstgöring $	41	0	aktiv	, vag testamenterar hälften af inina privitdomäner till de qwarlefwande Officerare öch ' soldater wid Franspssa arinen , som frän 1792 till i3rs fäktat för nationens ära och sjelfständighet- Utdelningen ssall sse i förhällande till den tid , de warit i aktiv tjenstgöring . 	bib11653828_18240913_144028_212_0001_alto.xml-0-41
