sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
hos bokbindare $ $ eulebius eller dygd lo nu få tid $ $ 8 d helig skritt berättelse vch lära samla af $ k $ $ öfwcrsatte frän tyska vch bearbeta af olof lärling $	30	0	bearbeta	HoS Bokbindaren Lys-n : Eulebius eller Dygdens lon nu får tiden , » 8 D:n Heliga Skritts Berättelser vch Läror samlade af F. K ?hlrauch , öfwcrsatte frän Tyskan vch bearbetade af Olof Lärling . 	bib15650837_18140914_146391_73_0002_alto.xml-5-30
$ win tanka enda sätt att wärdigt bearbeta denna ämne $ $	7	0	bearbeta	* win tanka enda sättet att wärdigt bearbeta detta ämne . " 	bib11653828_18070907_144028_206_0002_alto.xml-0-7
som i sterbhus ärva styldigc $ eller tro sig haswa nägon fordran $ äfweusom de hwilka derstädes inlemna tyg till bearbeta $ att sädant anmäla hos underteckna ihnfet $ 2 $ qwarteret fatebnrsbrunn witz högbergsgatan $ få tredje gäng knngöres $	20	0	bearbeta	som i Sterbhuset ärv styldigc , eller tro sig haswa nägon fordran , äfweusom de hwilka derstädes inlemnat Tyger till bearbetande , att sädant anmäla hos undertecknad iHnfet N:o 2 , Qwarteret Fatebnrsbrunn witz HögbergSgatan ; fom tredje gängen knngöres . 	bib11653823_18210328_144010_73_0007_alto.xml-5-20
bearbeta den an widare och slutligen till allmän nvtta utzifwa den ifrän tryck $ dä offentlig bibliotek i paris $ so $ $ äga rättighet att titt öda pris $ $ hivarsöre böcter	0	0	bearbeta	bearbeta den an widare och slutligen till allmän nvtta utzifwa den ifrän trycket , dä offentliga Biblioteket i Paris , so » » äger rättighet att titt ött pris , , hivarsöre böcter 	bib11653828_18060801_144028_174_0003_alto.xml-15-0
$ mängfaldig i sig skrift $ lik sjelfwa shakespeare $ delta mäste de med $ zifwa som känna han don juan $ bearbeta han hwarke förcmäl i den $ leni $ $ liga lifwet och locka frän hwarje sträng af den gudomlig harpa sä wäl en mild $ som en kraftig $ hjertskakande tonér $	22	0	bearbeta	" Mängfaldig i sina skrifter , likt sjelfwa Shakespeare — delta mäste de med » zifwa som känna hans Don Juan — bearbetade han hwarke förcmäl i det » leni ? » liga lifwet och lockade frän hwarje sträng af den gudomliga harpan sä wäl de mildaste , som de kraftigaste , hjertskakande tonér . 	bib11653828_18250416_144028_86_0003_alto.xml-7-22
hch ungdom $ 4 $ theodora $ $ af $ åkerholm $ 8 $ everats oumbärlig brandbok $ för all stad och landsförsamling $ eller tydlig underrättelse om konst atr förekomma eldswädor $ att fläcka en uppkomma $ och att rädda lif och egendom $ bearbeta efter parifista spruckvrpscns grundsats af i $	45	0	bearbeta	hch ungdom , 4 st. Theodora , Legend-Jniitatiou af S. Åkerholm , 8 st. Everats oumbärliga Brandbok , för alla Stads- och Landsförsamlingar , eller tydliga underrättelser om konsten atr förekomma Eldswädor , att fläcka de uppkomna , och att rädda lif och egendom , bearbetad efter Parifista Spruckvrpscns grundsatser af I . 	bib19227306_18300602_147700_22_0004_alto.xml-12-45
iehovah $ s bud $ den stöna bathseba beta af änger $ dest $ $ föremal $ framställa mcd enkel och djup uttryck $ äro wärda att bearbeta af en konstnär $ som jhittrottligt sträfwar att mäla faittlingen och $ $	27	0	bearbeta	Iehovah ' s bud , den stöna Bathseba betagen af änger , dest . , föremal , framställda mcd enkla och djupa uttryck , äro wärda att bearbetas af en Konstnär , som JHittrottligt sträfwar att mäla faittlingen och stönhet^n . 	bib11653828_18180520_144028_112_0003_alto.xml-4-27
en engelsk bolag tro söka tillständ $ att fä bearbeta en rik gellivare jernmalm $ fält t lappland $	9	0	bearbeta	Ett Engelskt Bolag tros söka tillständ , att fä bearbeta de rika Gellivare jernmalms » fälten t Lappland . 	bib19223423_18250212_145063_12_0002_alto.xml-8-9
$ $ $ $ sedan nybygga $ fälunda bearbeta $ $ hinna sä wida $ att den kunna föda fin man $ böra bemälde kronofullmäktig trä predikstol $ eller $ lt $ $	8	0	bearbeta	R:dr . — " Sedan nybygger , fälunda bearbetat » , hunnit sä wida , att det kan föda fin man , bör bemälde kronofullmäktig trän predikstolen , eller & lt ; ? 	bib11653828_18240614_144028_135_0002_alto.xml-2-8
somlige säga $ att man dertill vilja utse person $ hvilka sjelfva icke äro valbar $ emedan mången $ som $ ro sig kunna ha utsigt att bli välja $ undanbedt sig denna ära $ andra säga $ att alinistrarne ärna icke nämna någon president förrän hel korrt före val $ i afsigt att derigenom förekomma all o fientlig opinera om de $ men i sån fall huru skola de kunna på förhand bearbeta val i ministérens anda $	73	0	bearbeta	Somlige säga , att man dertill ville utse personer , hvilka sjelfva icke äro valbara , emedan många , som ( ro sig kunna ha utsigt att bli valda , undanbedt sig denna ära ; andra säga , att Alinistrarne ärnade icke nämna några Presidenter förrän helt korrt före valen , i afsigt att derigenom förekomma allt o fientligt opinerande om dem ; men i sådant fall huru skulle de kunna på förhand bearbeta valen i Ministérens anda ? 	bib11653828_18300618_144028_138_0003_alto.xml-2-73
en fvrliastadt begär till obestämd frihet skola bemästra sig någon ädclt tänkaude person $ öro defia fiende ifrig att bearbeta en tänkesätt $ som de äro ur stånd att begripa $ och ultra royalister presentera sig under drägten af konung mörda rcpublicaner $	19	0	bearbeta	ett fvrliastadt begär till obestämd frihet skulle bemästra sig några ädclt tänkaude personer , öro defia fiender ifrige att bearbeta ett tänkesätt , som de äro ur stånd att begripa , och ultra royalister presentera sig under drägten af konungar mördande rcpublicaner . 	bib13506739_18300820_144030_191_0001_alto.xml-34-19
$ den rysk skald thaddäus bulgarin ha utgifvit en historisk roman $ kalla den falsk demetrius $ hvari han säga $ den han bjuda till att vid ämne bearbeta $ samvetsgrann begagna den historisk deri $ samt ati göra den $ som dikt måste tillägga $ så analog som möjlig med tradition $ och skildra icke allenast ryssland och polen då vara tillstånd $ utan älv denna stat politisk förhållande till den öfrig europa $	28	0	bearbeta	= Den Ryska skalden Thaddäus Bulgarin har utgifvit en historisk roman , kallad Den falska Demetrius , hvari han säger , det han bjudit till att vid ämnets bearbetande , samvetsgrant begagna det historiska deri , samt ati göra det , som dikten måste tillägga , så analogt som möjligt med traditionerna , och skildra icke allenast Rysslands och Polens då varande tillstånd , utan älven dessa Staters politiska förhållande till det öfriga Europa . 	bib11653828_18300330_144028_73_0004_alto.xml-1-28
en engelstt bolag ha erbjuda sig att bearbeta guld och filfwergrufworna	7	0	bearbeta	Ett Engelstt bolag har erbjudit sig att bearbeta guld- och filfwergrufworna 	bib11653828_18250525_144028_117_0001_alto.xml-8-7
bearbeta $ fördela denna första ämne $ til dest hwar och man deraf utdra sit bärgningstuedel $	0	0	bearbeta	bearbeta , fördela detta första ämne , til dest hwar och en deraf utdragit sit bärgningstuedel . 	bib11653828_17940425_144028_93_0003_alto.xml-1-0
oswersatte och bearbeta af glo carling $ med företal $ docka ioh $	2	0	bearbeta	oswersatte och bearbetade af Glos Carling , med företal r.s Dockor Ioh . 	bib11653825_18141006_145134_112_0004_alto.xml-2-2
räkna han nu här ibland deni $ svin nied mästerlig säkerhet och frihet bearbeta marmor $ $ $	13	0	bearbeta	räknas han nu här ibland deni , svin nied mästerlig säkerhet och frihet bearbeta marmorn - ) . 	bib11653828_18200222_144028_43_0002_alto.xml-0-13
