sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
dä dc ij rike mången stad wargnde $ sysielsätta sig nied färgning och beredning af sadant gods $ som ej wid hallrätterne uppgisives $ kunna icke eller belopp och wärdet deraf mi komma i beräkning $	13	0	beredning	Dä dc ij Rikets flesta Städer wargnde Färgeri-idkare sysielsätta sig nied färgning och beredning af sadant gods , som ej wid HallRätterne uppgisives , kan icke eller beloppet och wärdet deraf mi komma i beräkning . 	bib11653823_18270323_144010_69_0002_alto.xml-13-13
hos elias tauson försäijes nysaltad sill $ kardustobak $ norrköping mjöl och grynforter samt fiere sort sällader med cugeltk beredning $	19	0	beredning	Hos Elias Tauson försäijes nysaltad Sill , Kardustobak , Norrköpings Mjöl och Grynforter samt fiere sorter Sällader med Cugeltk beredning . 	bib19225772_18080108_148004_2_0003_alto.xml-4-19
$ päminnes de som $ gt $ ör lång lid inlemna läder till beredning $ att den med	13	0	beredning	A-wen päminnes de som & gt ; ör längre lid inlemnat läder till beredning , att det med 	bib13506739_18190507_144030_104_0007_alto.xml-7-13
underteckna sär närmed rekommendera flg hos ben respektive allmäuhettn $ ali bereda all sort kläde $ est fransta och tyst beredning $ äswen $ moitages kläde frän wäfstolen och förfärdiga de hos pröflaren $ samt emotta präflning $ jemte $ swerstär gammal kläder simma stola wäudas $ lill lik godhet som de sirnt ha warit af $ mathias printz $	20	0	beredning	Undertecknad sär Närmed rekommendera flg hos ben respektive Allmäuhettn , ali bereda alla sorters kläde » ester Fransta och Tysta beredningen ; äswen » moitages kläden frän Wäfstolen och förfärdigar dem hoS Pröflaren , samt emottager präflning , jemte - swerstär gamla kläder sam stola wäudas , lill lika godhet som de sirnt har warit af LfwerstLrarmLst-ren Mathias Printz . 	bib19277277_18260201_147682_26_0004_alto.xml-16-20
en pålitlig och ordentlig man $ sora i flera vara handhatt och flott en stor läderfabrik $ med fullkomlig kännedom af all hwad till engelstt sulläder beredning hörer $ önstar sig employ säsom mästare $	26	0	beredning	En pålitlig och ordentlig Man , sora i flera är handhatt och flott en större Läderfabrik , med fullkomlig kännedom af allt hwad till Engelstt Sulläders beredning hörer , önstar sig employ säsom Mästare . 	bib11653823_18300816_144010_187_0004_alto.xml-3-26
inom stockholm försälja rä hud icke allenast lil garfware och andra läder behöswande handtwäikerier $ utan äswen til en öfrig denna stad jnnewänare $ dock til en sen endast til beredning för de husbälls förnödenhet $ äswensom kongl $	30	0	beredning	inom Stockholm försälja rä Hudarne icke allenast lil Garfware och andra Läder behöswande Handtwäikerier , utan äswen til de öfrige denne Stadens Jnnewänare , dock til de senare endast til beredning för deras husbälls förnödenhet ; äswensom Kongl . 	bib13506739_17940729_144030_169_0001_alto.xml-5-30
skola depe $ wara inlemna till beredning eller försälde $ sä inlösa en mot fäldt pris $	6	0	beredning	Skulle depe ' wara inlemnade till beredning eller försälde , sä inlösas de mot fäldt pris . 	bib19225772_18240109_148004_3_0004_alto.xml-8-6
underteckna emotta af de $ som ästunda jag beredning $ stor och föga rå orhiidar till nedsatt pris $ v $ an $ $ $ i i jag försäljningsbod wid korsgata $ midtför stor apotheket $	8	0	beredning	Undertecknad emottager af dem , som ästunda min Beredning , större och mindre råa Orhiidar till nedsatt pris , v » an » iiUa&gt ; i i min Försäljningsbod wid Korsgatan , midtför stora Apotheket . 	bib19225792_18261014_147359_39_0008_alto.xml-8-8
utmärka god gitbeborgs szlläder $ i beredning och godhet alldeles lika med veritabel engelsst $ hos gnst $	6	0	beredning	Utmärkt godt GitbeborgS SZlläder , i beredning och godhet alldeles lika med veritabelt Engelsst , hos Gnst . 	bib13506739_18261108_144030_249_0004_alto.xml-7-6
jord $ hwilkcn boffupen begärlig förtära $ om gwotiip i $ $ och medel till se afstaffande m $ m $ $ b $ miilk och medel deremot $ rosenmjöl till tstilliga behof wid matlagning $ beredning af arti $ k ielt maéogony $ fernika pä träd $ som motstå koka wattea $	36	0	beredning	Jord , hwilkcn Boffupen begärligt förtär ; Om Gwotiip i Äygznad^r , och medel till Ses afstaffande m . m . L-n b !ö Miilk och medel deremot ; Rosenmjöl till tstilliga behof wid Matlagning ; Beredning af Arti » K ielt Maéogony ; FerniKa pä Träd , som motstår kokande wattea . 	bib13506739_18081111_144030_263_0003_alto.xml-3-36
