sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
nätt bröllop $ önffadcs likiräl att ej nögre andra flg anmäla $ än	1	0	brllop	nätt Bröllop ; önffadcs likiräl att ej nögre andre flg anmäla , än 	bib13506739_18051207_144030_284_0008_alto.xml-14-1
en stor rosenstensring $ en $ $ $ $ o $ 5 dag bröllop och	13	0	brllop	En stor Rosenstensring , en D&gt ; amanrs-ked&gt ; o , 5 dagars bröllop och 	bib19223423_17900320_145063_12_0002_alto.xml-5-13
morgon söndag den 8 aprill uppföra $ öre och efter bröllop $ eller den förställa enfaldighet $ comedie mi 4 acker $	10	0	brllop	morgon Söndag den 8 Aprill uppföres porrp« öre och efter Bröllopet , eller Den förställda Enfaldigheten , Comedie mi 4 Acker . 	bib15650837_18100407_146391_28_0002_alto.xml-0-10
$ när man betienar sig af hyrwagn att bjuda och $ till bröllop och begrafi nlngar $ i stad och pä malmarne $ eller dä man pä flere häll i stad och pä malmarne besöka eller fara pä visit $ betala för hwarje timma t $ $ i i $ men eliest till bröllop och begrasningar samt annan ä render $ dä man $ $ köra mer än pz twä a tre ställe $ betala för en wagn $ första timma $ $ $ g $ andra timma $ $ $ $ $ $ $ $ $	12	0	brllop	E. när man betienar sig af Hyrwagn att bjuda och notifie^a till Bröllop och Begrafi nlngar , i Staden och pä Malmarne , eller dä man pä flere hällen i Staden och pä Malmarne besöker eller far pä visiter , betalas för hwarje timma t » — i i _ Men eliest till Bröllop och Begrasningar samt andra ä render , dä man e&gt ; kör mer än pZ twä a tre ställen , betalas för en Wagn , första timman - - - g _ Andra timman - - - - - - * _ ! 	bib13506739_18230116_144030_12_0002_alto.xml-0-12
ägta par $ bwars ägtenstav $ u vara af inge $ betydenhet $ och som nu hafwa at bccaia dubbel $ och bröllop $ omkostnad $	22	0	brllop	ägta par , bwars ägtenstav » u är af inge » betydenhet , och som nu hafwa at bccaia dubbla wlgnmgs- och bröllops - omkostnader . 	bib19225772_18011008_148004_116_0002_alto.xml-7-22
och redan förlida söndag och tisdag $ sprktakal $ den första $ anielie och wontrose $ och andra $ före och est bröllop $ hwilka begge $ $ $ r icke tillförene warit ha uppföra $	22	0	brllop	och redan förliden Söndag och TiSdag gifmitL.ne Sprktakal : det första , Anielie och Wontrose , och andra : Före och ester bröllopet , hwilka begge Pi&lt ; , r icke tillförene warit har Uppförde . 	bib19277277_18280731_147682_176_0001_alto.xml-5-22
bröllop i cana $ a swen en guld bröstnål med pärla och harmatra $ $ guldring $ den ena med plär och jnssiiption $ en par guld armknoppar med blä emalj $ iwa par pläter skospänne $ cn liten dosa med en liten postlinskorg uti $ cn silswer blyartspenna $ nägra rakkniswar samt annan smätta $ som ej sä noga kunna erinra $	0	0	brllop	Bröllopet i Cana , a swen en Guld Bröstnål med Pärlor och Harmatra ; 2:ne Guldringar , den ena med Plär och Jnssiiption ; ett par Guld Armknoppar med blä Emalj ; Iwa par Pläter Skospännen ; cn liten Dosa med en liten Postlinskorg uti ; cn Silswer Blyartspenna , nägra Rakkniswar samt annat smätt , som ej sä noga kan erinras . 	bib13506739_18060725_144030_168_0003_alto.xml-22-0
imedlertid ha han wigt öfwer loa pär äkta folk $ döpa mänga barn $ begrafwit lik $ uldclat nattwarden 0 $ $ $ $ och nu mäste de döpa barn döpa ä nyo $ och en nygift göra ny bröllop $ eller ätminstone ny $ $ men med bcgrasningarna lärer wäl blifwa wid den som gjordt vara $	39	0	brllop	Imedlertid har han wigt öfwer loa pär äkta folk , döpt mänga barn , begrafwit lik , uldclat Nattwarden 0 . s. w. ; och nu mäste de döpta barnen döpas ä nyo ; och de nygifta göra ny bröllops » eller ätminstone ny ivignings-kostnad ; men med bcgrasningarna lärer wäl blifwa wid det som gjordt är . 	bib11653825_18011014_145134_121_0002_alto.xml-13-39
$ skola likwll nägon yusbvnde eller matmoder hofwa rom eller bränwin i sig hnj böra nägon främmande ekler utom gärd $ därmed wanligtwis icke utan mat $ rokteros $ utan endast nyttja till busbehof pä den sätt $ att $ $ $ d ingen andra än tzögtideliga tillfalla $ däraf ta eller meddela mer ln en sup till hwärle verso wid niällider $ vch böra denna gälla l $ wc o $ $ gt $ gille och gästabud $ bröllop $ birndvp $ kyrkogång vch begrafning $ sä framt denna stärka och stadeliga dryck icke stär att alldeles attlggas $ hwilket likwll lr en stäste församling ledamot bnstan $ dock warder bära under icke begripa den händelse da nägon enskild wän eller stäktinge komma ott göra besök $ den man will med inåt och dryck $ $ dfägna $	79	0	brllop	— Skulle likwLl nägon Yusbvnde eller Matmoder hofwa Rom eller Bränwin i sitt hnj bör nägon främmande ekler utom gärds , därmed wanligtwis icke utan mat » rokteros , utan endast nyttjas till buSbehof pä det sätt , att , w&gt ; d inga andra än tzögtideliga tillfallen , däraf toges eller meddelas mer Ln en sup till hwärle verson wid niällider , vch bör detta gälla L ' wcn o » & gt ; gillen och gästabud , Bröllop , Birndvp , Kyrkogångar vch Begrafningar , sä framt denna stärka och stadeliga dryck icke stär att alldeles attLggas , hwilket likwLl Lr de stäste Församlingens Ledamöters bnstan ; Dock warder bär under icke begripet den händelse da nägon enskilt wän eller stäktinge kommer ott göra besök , den man will med inåt och dryck » » dfägna . 	bib19227291_18130109_145289_2_0004_alto.xml-2-79
nas för en rätt $ wid begrasningar $ bröllop $ barnsöl och kyrkogångsöl sär intet öfwcrflöd aga rum $ utan stall wio sädane tillfälle möjlig sparsamhet och måttlighet iaktta $	8	0	brllop	nas för en rätt 5:0 Wid Begrasningar , Bröllop , Barnsöl och Kyrkogångsöl sär intet öfwcrflöd aga rum , utan stall wio sädane tillfällen möjligaste sparsamhet och måttlighet iakttagas . 	bib19227291_18170924_145289_39_0002_alto.xml-9-8
fade $ de 2nie herre äro $ god ängel $ som komma att ledsaga ni dotter till $ cwigt bröllop i himmel $	19	0	brllop	fade : De 2Nie Herrarne äro 2.me goda Änglar , som komma att ledsaga er Dotter till «tt Cwigt Bröllop i Himmelen . 	bib15650837_18240814_146391_65_0003_alto.xml-13-19
bestrifning om swensta allmoge sinnelag $ sed wid en ärlig högtid $ frieri $ bröllop $ barndop $ begrafning $ widstepelser $ lefnadvsatt i mat och oryck $ klädcdrägt $ sjukdom och läka $ medel $	14	0	brllop	Bestrifning om Swensta Allmogens Sinnelag , Seder wid de ärliga Högtider , Frierier , Bröllop , Barndop , Begrafningar , Widstepelser , Lefnadvsatt i Mat och Oryck , Klädcdrägt , Sjukdomar och Läke , medel . 	bib13506739_18060314_144030_60_0005_alto.xml-8-14
af oldsbach eller den bepröfwade dygd $ drome 1 3 sicter $ derefter gifives för l $ sta gång $ den cvbetänksanima eller den narra äbbeen $ comedie i i slct $ fri öfiversättnlng af hr biörn $ til stur blifwer $ endast denna gäng $ skärgårdsflickans bröllop eller mor annika och styrbom $ diverristemrnl med säng $	47	0	brllop	af Oldsbach eller Den bepröfwade Dygden , Drome 1 3 Sicter ; derefter gifives för l - sta gången : Den cvbetänksanima eller Den Narrade Äbbeen , Comedie i I Slct , fri öfiversättnlNg af Hr Biörn ; til stur blifwer , endast denna gäng : Skärgårdsflickans Bröllop eller Mor Annika och Styrbom , Diverristemrnl med Säng . 	bib11653828_17901018_144028_241_0003_alto.xml-3-47
