sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
intet annan än sand $ kull $ $ lager och törnbuffar $ boningshus giigga mycket enstaka $ jag ha se blott tiva usta by $	23	0	by	intet annat än sand , kullar , myrthén- lager- och törnbuffar : boningshusen giigga mycket enstaka ; jag har sett blott tiva usta byar . 	bib19225772_18300806_148004_88_0001_alto.xml-7-23
tisdag $ zo innewarande mars $ $ 10 $ m $ $ $ $ friwtllig auction a balltorp kongegärdcn $ i fäflbergs socken $ lösegendom ocft kärdsredstap $ samt utbjuda till arrende $ af nämna hemman $ tillika med 6 mark eller $ af pälfegarden i samma by som dermed vara i	47	0	by	Tisdagen d. zo innewarande Mars , kl. 10 f. m . , ^försäljes !genom friwtllig Auction a Balltorp Kongegärdcn , i Fäflbergs Socken , Lösegendom ocft Kärdsredstap , samt utbjudes till Arrende f:fccl af nämnde Hemman , tillika med 6 marker eller sj:del af Pälfegarden i samma by som dermed är i 	bib19225772_18240312_148004_30_0002_alto.xml-2-47
tid wisade sig en stark kifantexicolomie mcd en bel ca $ alleri pä mär höger tygel $ gen emot by nenkau $ och tränga i vörjan tillbaka wära förpost $	19	0	by	tid wisade sig en stark KifantexiColomie mcd en bel Ca » alleri pä mär högra Tygel , gent emot byn Nenkau , och trängde i vörjan tillbaka wära förposter . 	bib11653828_18130310_144028_57_0002_alto.xml-0-19
förfärlig storm nied by af hagel och regn ha beit i gär wäntade tttländika post nteblikwlt $	3	0	by	förfärlig storm nied byar af hagel och regn har beit i gär wäntade tttländika posten Nteblikwlt . 	bib19277277_18281025_147682_250_0001_alto.xml-3-3
till nära by för att staffa hjelp $ och en z öftigeqwarffanna wid packning $ men de sednare funno snar $ att de verwid ofelbar stulle tillsätta lifwet $ hwarföre de äswen begäfwo sig åstad $ följa en förra fotspår tills de innanför jdö stänga träffa fiffare $ som hulpo de till hendelöp $	2	0	by	till närmaste by för att staffa hjelp , och de z öftigeqwarffanna wid packningen , men de sednare funno snart , att de verwid ofelbart stulle tillsätta lifwet , hwarföre de äswen begäfwo sig åstad , följande de förres fotspår tills de innanför Jdö stäng träffade fiffare , som hulpo dem till hendelöp . 	bib19223423_18300213_145063_13_0001_alto.xml-11-2
denna ceremoni stall $ verkställa $ samla all en kraal eller by manner och satt sig pa mark i en cirkel $ yngling som vara ämna att inkomma i de samfund $ hälla sig pä nägot afstånd fran cirkel och böra sikta pä sig hala $	11	0	by	denna Ceremonien stall » verkställas , samlas alla en Kraals eller Bys Manner och satta sig pa marken i en cirkel , ynglingen som är ämnad att inkomma i deras samfund , häller sig pä nägot afstånd fran cirkeln och bör sikta pä sina halar . 	bib19225772_18050820_148004_94_0001_alto.xml-0-11
zon ha nära wid by jwenflöth $ uti en ganska fördelaktig position $ $ en bakterie af 4 aderton pundig canoner $ med 200 man infanteri till betjemng $ en bataillon af general boye brigade inta skansen $ förfölja fiende $ fästning canoner $ och $	4	0	by	zonen hade nära wid Byen Jwenflöth , uti en ganska fördelaktig position , upr^tai ett Bakterie af 4 aderton pundige canoner , med 200 man Infanteri till betjemng » En Bataillon af General Boyes Brigade intog Skansen , förföljde fienden in«nder Fästningens canoner , och . 	bib19227291_18140105_145289_1_0001_alto.xml-4-4
nemligen ben $ 9 instundandc september ä hcickinen boställe i heinijärwi by $ tawastkyro socken och öfre satagunda härad $ dea 22 i salnma månad pä rassa boställe i $ dliskallo by $ mouhijärwi socken och nedrcdels härad $ samt den 2r i beröra månad ä tzymbi boställe i birkala by $ kumo socken och nedre satagunda härad $ och soni herr affessoren lindeholms närivarairle $ ar c fånö $ sä warder ivalbemäftc 5 $ crr assessor härigenom kalla och stämma att ä fdre $ nämna dag cch ställe sig infinna $ att för desse $ boställe häfd $ byggnad redvwisa $ och erinra för öfrig hwad författning cm förfallolös uteblifwande stadga $ som andra gäng kungöra $ $	50	0	by	nemligen ben , 9 instundandc September ä Hcickinen Boställe i Heinijärwi By , Tawastkyro Socken och öfre Satagunda Härad ; dea 22 i salnma månad pä Rassa Boställe i , Dliskallo By , Mouhijärwi Socken och NedrcdelS Härad , samt den 2r i berörde månad ä tzymbi Boställe i Birkala By , Kumo Socken och Nedre Satagunda Härad , och soni Herr Affessoren Lindeholms närivarairLe wistclse-vrt ar c fånö ; sä warder ivalbemäftc 5 ) crr Assessor härigenom kallad och stämd att ä fdre * nämnde dagar cch ställen sig infinna , att för desse ' Boställens häfd «ch byggnad redvwisa ; och erinras för öfrigt hwad författningarne cm förfallolöst uteblifwande stadga : som andra gängen kungöre » . 	bib11653806_18060805_145120_81_0008_alto.xml-5-50
gifwit by utseende af en rik inta landsstad $ hwarest pä en längd af twä en $ zcissa mil den ena wackra landthus rasa sig intill andra $	1	0	by	gifwit byn utseende af en rik intagande landsstad , hwarest pä en längd af twä En » zcissa mil det ena wackra landthuset rasar sig intill andra . 	bib11653828_18150615_144028_136_0002_alto.xml-18-1
säga $ art gcnomiöia en by och enstaka hus $ som tilläfwentyrs finnas pä nägra lieues $ eronlkring och till bivonaken söra sä mycket hö och hafre $ som man kunna öfwerkomma $	5	0	by	säga , art gcnomiöia de byar och enstaka hus , som tilläfwentyrs finnaS pä nägra lieues » eronlkring och till bivonaken söra sä mycket hö och hafre , som man kan öfwerkomma . 	bib11653828_18100628_144028_148_0003_alto.xml-8-5
och den till tawastehus län lyda del af ruowesi socken i orihwesi by och soc $ k $	12	0	by	och den till Tawastehus Län lydande delen af Ruowesi Socken i Orihwesi By och Soc » ken . 	bib11653806_18011218_145120_141_0002_alto.xml-4-12
herrge kreditor i herr $ $ kommendöken vch riddärsn lars arnells gäldbunden by behaga allmän sammanträda fredag den 26 äng $	12	0	by	Herrge Kreditorer i Herr Stats-Serretekaren , Kommendöken vch Riddärsn Lars Arnells gäldbundna By behagade allmänt sammanträda Fredagen den 26 Äng . 	bib19277277_18250822_147682_192_0001_alto.xml-6-12
som bestå af 2200 man znfantcri och covaluri $ ankomma den dag mai afton till gata $ cn by $ belägen pä södra sida af den bergskedja $ som stiljer castilien isrän e $ siremadura $ och dag derefter anfalla den i trcbijo cn dragonpiket $ som $ $	18	0	by	som bestod af 2200 Man Znfantcri och CovalUri , ankom den dagen mai aftonen till Gata , cn by , belägen pä södra sidan af den bergskedja , som stiljer Castilien isrän E , siremadura , och dagen derefter anföll det i Trcbijo cn Dragonpiket , som commcnd.ra . 	bib11653828_18111014_144028_239_0001_alto.xml-7-18
verand $ hwilka woro o cuoerade $ jägare $ hwareft jag detachera batailloner $ få under tillhjelp af $ frän an $ $ stormning dr logera fiende frän den ena by est den andra $	30	0	by	veranden , hwilka woro o cuoerade af-fiendtliga Jägare , hwareft jag detacherade Batailloner , fom under tillhjelp af canon-elden frän an , geno.u stormning dr logerade fienden frän den ena byn ester den andra . 	bib13506739_18080511_144030_108_0003_alto.xml-19-30
fingo förmögen hustru $ men ingen flicka i by wille lyssna tia de broder frieri $ försök $	8	0	by	fingo förmögna Hustrur , men inga Flickor i byn wille lyssna tia deras BröderS frieri , försök . 	bib19223423_18270620_145063_49_0002_alto.xml-14-8
med en compagnie handtlangare och en detachement erouadicrcr $ under fiende eld $ bro bfwer sombre wid by marchicnue $ z samma fältkäg biwillode han charlcroys belägring och floget wid flrurus $	17	0	by	Med ett Compagnie Handtlangare och ett detachement Erouadicrcr , under fiendens eld , bron bfwer Sombre wid byn Marchicnue , Z samma fältkäg biwillode han Charlcroys belägring och floget wid Flrurus . 	bib11653828_18110709_144028_156_0002_alto.xml-2-17
$ med kemi socken a $ hemman i liedackala by $	9	0	by	' med Kemi Socken a H.rfwa Hemman i Liedackala By . 	bib11653806_18070807_145120_86_0002_alto.xml-3-9
om fredric jonson $ hwilken vara föda lili tenala socken $ hvgböle by $ och som uti flera vara segla till coovvaerdi $ ännu lefwer $ sä behaga hail derom lemna underrättelse till sig ännu lcswande moder $ som bo uti storby ä eckerö pä aland $	12	0	by	Om Fredric Jonson , hwilken är född lili Tenala Socken , Hvgböle By , och som uti flera är seglat till Coovvaerdi , ännu lefwer , sä behagade hail derom lemna underrättelse till sin ännu lcswande Moder , som bor uti Storby ä Eckerö pä Aland . 	bib11653823_18300904_144010_204_0004_alto.xml-9-12
att enka hustru catharina ersdotter i ekety socken och ekeby by $ olands härad och llpsala län $ vara med död $ de $ $ fistlidne augusti $	10	0	by	Att Enkan Hustru Catharina ErSdotter i Ekety Socken och Ekeby By , OlandS Härad och llpsala Län , är med döden af^änqea de » ?i fistlidne Augusti . 	bib11653825_18061206_145134_149_0003_alto.xml-7-10
by $ weftinwrst socken $ och dös denna år $ tillhörer jag all bo tillgång $ hwilket nämna mia hustru arfwingar härmed $ $	0	0	by	By , Weftinwrst Socken , och dös detta år , tillhörer mig alla Boets tillgångar ; hwilket nämnda mia Hustrus Arfwingar härmed ktingö- . 	bib11653823_18250808_144010_180_0003_alto.xml-6-0
jag komma tidig nog till brieg för att fa se en just fullända brygga $ tillhörig den ny simplon wägen $ hwilken $ för den betydeliga djuplek hwarur de $ mäste uppföra $ wisserligen icke hörer till denna oarbörda anläggning sista markwardigheter $ som blifwit företag pä frankrike bekostnad frän genf till by simplon $ men pä italiensk republik bekostnad fran simplon till majland $ hwarwid frankrike i hivarje afseende ha stor fördel $ ty en pä södra sida redan öfwerwundna och annu äterstäende iwärigheter alt öswerwinna förhålla sig mot de pä	52	0	by	Jag kom tidigt nog till Brieg för att fa se en just fulländad brygga , tillhörig den nya Simplon wägen , hwilken , för den betydeliga djuplek hwarur de » mäste uppföras , wisserligen icke hörer till denna oarbörda anläggnings sista markwardigheter , som blifwit företagen pä Frankrikes bekostnad frän Genf till byn Simplon , men pä Italienska Republikens bekostnad fran Simplon till Majland ; hwarwid Frankrike i hivarje afseende har största fördelen ; ty de pä Södra sidan redan öfwerwundna och annu äterstäende iwärigheter alt öswerwinna förhålla sig mot dem pä 	bib19225772_18051106_148004_128_0001_alto.xml-10-52
och ästerrikista armeen samt den fransysk ha i gär $ i nejd af by slapanitz $ $	13	0	by	och Ästerrikista Armeen samt den Fransyska har i gär , i nejden af byarna Slapanitz , . 	bib11653828_18051223_144028_297_0002_alto.xml-10-13
z satagnnda och $ $ fre satagnnda $ härad $ den 2c ianuarii nied lempälä och ben til tawasichus län lyda del af birkala och wesilax socken $ pä näsärö hemman i lägga by och furst $ nämna socken $	33	0	by	Z Satagnnda och ^&gt ; fre Satagnnda H-fredels Härads Domsaga- Den 2c Ianuarii nied Lempälä och ben til TawasichuS Län lydande del af Birkala och Wesilax Socknar , pä Näsärö Hemman i Lades By och furst » nämnde Socken . 	bib11653806_18001209_145120_143_0002_alto.xml-0-33
den $ $ dc december skörtade $ ä swan för den liten by barufiiii i waltelinerlander $ en börg ned i flod adda $ hämmad den lopp och förorsaka stor stada $	12	0	by	Den / : dc December skörtade , ä swan för den lilla byn Barufiiii i Waltelinerlander , ett Börg ned i floden Adda , hämmade dess lopp och förorsakade stor stada . 	bib11653828_18080126_144028_20_0003_alto.xml-9-12
derjemte wor han sä rik som trött nägon i by $ den bra jor $	9	0	by	Derjemte wor han sä rik som trötts nägon i byn ; den bästa jor » 	bib11653828_18280208_144028_33_0002_alto.xml-12-9
mark fridlysa sör odlare hand $ vara sädant hinderlig för odling och mära hemman ntwidgande $ at i wära sädesprovinser äro flera och stor och mera befolka by $ än i bergslagsorterne $ at odling i synnerhet i en $ provins öka sig ansenlig $ icke allenast inom secler tilbaka $ utan til och med inom 15 eller et anun liten antal ära hemmansägare i bergslagsormne sysselsätta sig hufwudsakli $	27	0	by	marker fridlysas sör odlarens hand , är sädant hinderligt för odlingen och mära Hemmans ntwidgande ; at i wära Sädesprovinser äro flera och större och mera befolkade Byar , än i Bergslagsorterne ; at odlingen i synnerhet i de ^rstnämnde Provinserne ökat sig ansenligt , icke allenast inom secler tilbaka , utan til och med inom 15 eller et anun mindre antal ärat Hemmansägaren i Bergslagsormne sysselsätter sig hufwudsakli ? 	bib11653828_17980314_144028_61_0003_alto.xml-9-27
ian janson i husby by och husby socken $ sami han esterlemnadc elika anna maria andersdotters bo äga fordran $ att densamma innan $ 7 pä aston ä andra rättegangsdagen as den lagtima ting $ som näst est natt och vara frän nämna dag $ gt $ härad infalla $ de fordran lagligen bewaka $ wid förlust af widare bclalnuigsrätt $ kungöra första gäng $	4	0	by	Ian Jansons i Husby By och Husby Socken , sami hans esterlemnadc Elika Anna Maria AnderSdotters Bo äga fordringar , att desamma innan kl. 7 pä astonen ä andra Rättegangsdagen as det Lagtima Ting , som näst ester natt och är frän nämnde dag & gt ; Häradet infaller , deras fordringar lagligen bewaka , wid förlust af widare bclalnuigsrätt , kungöres första gängen . 	bib11653823_18301001_144010_227_0003_alto.xml-7-4
pä all ställe $ mid paltmuori detachera fandrick paul med $ för att wid hjerwenpa $ der fiende fattadt posto $ ta han i höger flanquen och $ $ med den ö riga del af styrka avancera jag inåt landswägen tät på by $ vwarest fiende pä andra sida $ omkring 200 man med en canon $ mar plaenad utär landswägen $ samt för $ war sig gansta härdnackadt $	42	0	by	pä alla ställen , mid Paltmuori detacherades Fandrick Paul med Jägare-Division för att wid Hjerwenpa , der fienden fattadt posto , taga honom i högra flanquen och toutn.ra ; med den ö riga delen af styrkan avancerade jag inåt landswägen tätt på Byn , Vwarest fienden pä andra sidan , omkring 200 man med en canon , mar plaenad utär landswägen , samt för , warade sig gansta härdnackadt . 	bib13506739_18080923_144030_221_0001_alto.xml-1-42
z denna wagen passera man en by $ som heta waldai $ och ar bekant för sig m $ a wackra flicka $	6	0	by	z denna wagen passerar man en By , som heter Waldai , och ar bekant för sina m | a wackra flickor . 	bib19225772_18091201_148004_138_0001_alto.xml-0-6
wid fot åsberget saléve $ vara en stor by belägen $ wid namn chäne $ hwrraf ena hälft vara cattoist och lyou under savoyen $ och deli andra hälft prorestonlist $	8	0	by	wid foten åsberget Saléve , är en stor by belägen , wid namn Chäne , hwrraf ena hälften är Cattoist och lyou under Savoyen , och deli andra hälften Prorestonlist . 	bib11653828_18181016_144028_239_0003_alto.xml-8-8
armé öfverbefälhafvare sysselsätta sig med anskaffande af materialier tilt en öfvergång öfver donau vid silistria $ oell till denna ändamål i by eundeni vid flod arjis låtir bygga ponton för att vid vår början flott deni derifrån till denan $ och sedan på flod lota föra de till by kalarasch $ midt emot silistria $	48	0	by	arméns ÖfverBefälhafvare sysselsatt sig med anskaffande af materialier tilt en öfvergång öfver Donau vid Silistria , oell till detta ändamål i byn Eundeni vid floden Arjis låtir bygga pontoner för att vid vårens början flotta deni derifrån till Denan , och sedan på floden Lota föra dem till byn Kalarasch , midt emot Silistria . 	bib11653828_18290522_144028_117_0003_alto.xml-1-48
elston från westberg by $ seni $ jemte twänne f dea karl $ inom skallplarscn stulle skräma björn $ blek mycket skada af ben stor $	3	0	by	Elston från Westbergs By , seni , jemte twänne f dea karlar , inom Skallplarscn stulle skräma Björnarne , blek mycket skadad af ben stora . 	bib15650837_18300918_146391_75_0002_alto.xml-9-3
sä sagdt flyga klocka tolf i by och lördan sönk frän himmel bryn och söndan sad $ nu galler jag $	6	0	by	Sä sagdt flög klockan tolf i byn Och Lördan sönk frän himlens bryn Och Söndan sad : nu galler mig . 	bib19225772_18061224_148004_145_0001_alto.xml-5-6
pä fyen och i jutland $ i colding $ odensee ock deromkring l aga by $ hafwa fler $ eldswädor tima $ som tillffrifwas en inqwarterade fransta tropp wärdölöshet med $ engelffa orlogsffeppen orion och vanguard med en canon $ lt $ brigg $ $ lyfta den 16 april och gingo under segel söder ur i sund $	14	0	by	Pä Fyen och i Jutland , i Colding , Odensee ock deromkring l agande byar , hafwa fler » eldswädor timat , som tillffrifwas de inqwarterade Fransta tropparnas wärdölöshet med elden.^ Engelffa Orlogsffeppen Orion och Vanguard med en Canon & lt ; Brigg , ' lyfte den 16 April och gingo under segel söder ur i Sundet . 	bib11653825_18080425_145134_50_0006_alto.xml-6-14
12 $ 211itrt bi onoqwarrt med 2 par sten $ jemte cn tillhöra utjord om 2 sresland i mosta by $ l samma härad och socken $	19	0	by	12 ) 211iTrt Bi onoqwarrt med 2 par stenar , jemte cn tillhörande Utjord om 2 Sresland i Mosta by , l samma Härad och Socken . 	bib13506739_18251028_144030_250_0003_alto.xml-3-19
