sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
ingz med hwarannan en kemisk förenma $ dä jag twertom finna st $ i $ att $ blott anta ten blandning och sedan $ att wattn skilja fig frsn sprit genom utdunstning och torkning pä kärl yta $ sä vara klar $ att träkarl eller deg por aga förmåga $ ister $ teori $ att dekomponera bränwin $ d $ $ att åtskilja den chemie $	4	0	kemisk	ingZ med hwarannan en kemisk förenma , dä jag twertom funnit st , i / att ' blott antaga tn blandning och sedan , att wattnet skiljer fig frSn spriten genom utdunstning och torkning pä kärlets yta ; sä är klart , att träkarl eller deg porer aga förmåga » ister T. teori , att dekomponera bränwin , d , ä. att åtskilja den chemie ? 	bib11653828_18060528_144028_119_0003_alto.xml-9-4
$ $ banda $ strumpa $ $ $ ock kemisk $ rebert uppströms i lifstid kär mata helena iohansdootter $ föda den l januari 176 $	9	0	kemisk	Siden- , Band- , Strump , , Klädes- ock Kemiska Blekeri-Fakrittren Rebert Uppströms i lifstiden kära Mata Helena Iohansdootter , född den l Januari 176 ! 	bib13506739_18230819_144030_189_0002_alto.xml-0-9
all kyrka och kapell $ kemisk laboratorium $ tryckeri $ en 3	5	0	kemisk	Alla kyrkor och kapell , kemiska laboratorium , tryckeriet , de 3 	bib11653828_18220622_144028_143_0002_alto.xml-17-5
kunna den verklig patriot icke annan än med nöje böra omtala en kemisk afhandling $ utgifven af en den svensk lärdom akademisk representant $ gärna ifrån den lärosäte $ der en viss opinion förut vela insinuera $ att kemi tillstånd icke skola vara särdeles blomstra $	12	0	kemisk	kan den verkliga patrioten icke annat än med nöje böra omtalas en kemisk afhandling , utgifven af en den Svenske lärdomens akademiska representant , helst ifrån det lärosäte , der en viss opinion förut velat insinuera , att kemins tillstånd icke skulle vara särdeles blomstrande . 	bib11653828_18300607_144028_128_0001_alto.xml-7-12
$ en annan $ likaledes af hen uppfinna kemisk pulver $ kunna anwändas till här färgning pä häst och andra ljur $ med lika sz god följd som den förur gifna $	8	0	kemisk	— Ett annat , likaledes af henom uppfunnit Kemiskt Pulver , kan anwändas till härets färgning pä Hästar och andra Ljur , med lika sZ god följd som det förur gifna . 	bib13506739_18210323_144030_69_0008_alto.xml-5-8
stor o $ minbre parti $ lzedasta $ af hwad fort som hälst $ wkspeö mid kemisk fabrik wid björngärdsgatan $	16	0	kemisk	Större o » minbre partier - LZedasta , af hwad fort som hälst , WkSpeö mid Kemiska Fabriken wid Björngärdsgatan . 	bib13506739_18201106_144030_258_0012_alto.xml-6-16
$ en annan $ likaledes af bona uppfinna kemisk pulver $ kunna anwändas till hzrets färgning pä häst och andra ljur $ med lika sä god följd som den förut gifna $	8	0	kemisk	— Ett annat , likaledes af bonom uppfunnit Kemiskt Pulver , kan anwändas till HZretS färgning pä Hästar och andra Ljur , med lika sä god följd som det förut gifna . 	bib13506739_18210316_144030_63_0008_alto.xml-5-8
blckwil upv $ låta $ a äta universitet för dest bibliotek $ naturaliekabinett och kemisk laboratorium under en sen vara n ha en studerande antal beständig öka $ vara $ 319 utgiordc den 396 $ 1320 $	14	0	kemisk	blckwil upv ' lät » a ät universitetet för dest bibliotek , naturaliekabinett och kemiska laboratorium Under de senare är n har de studerandes antal beständigt ökats : är , 319 utgiordc det 396 ; 1320 . 	bib11653828_18240618_144028_139_0004_alto.xml-2-14
norrom tvsta brli k $ emottagas bomulisläriter och kambrick lill tryckning samt all sort $ oeh luinegods till kemisk eller vek liistdlekning $	18	0	kemisk	Norrom Tvsta Brli ken , emottagaS Bomulisläriter och Kambrick lill Tryckning samt alla sorter Bomiiils- oeh LuinegodS till Kemisk eller vek liistdlekning . 	bib13506739_18270517_144030_114_0008_alto.xml-14-18
kemisk bläckhorn och ljuskronglas $ finna till salu rit $	0	0	kemisk	Kemiska Bläckhorn och Ljuskronglas , finnaS till salu rit ! 	bib13506739_18200314_144030_61_0005_alto.xml-13-0
slutligen tro han $ att då della fluidum finna och man $ tued uppoffring af någon vacker mineralstycken $ kunna erhålla en tillräcklig qvantitet för att dermed företa en kemisk analys $ så böra nia kunna vänta att den brukbarhet i industriel väg sålunda skola kunna bestämma $	29	0	kemisk	Slutligen tror han , att då della fluidum finnes och man , tued uppoffring af några vackra mineralstycken , kan erhålla en tillräcklig qvantitet för att dermed företaga en kemisk analys , så bör nian kunna vänta att dess brukbarhet i industriel väg sålunda skall kunna bestämmas . 	bib11653828_18291215_144028_291_0004_alto.xml-12-29
