sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
denna anstryka träck i till 2 sänger $ för att gifwa den ej allenast behörig grundfärg $ $ som till uiseendel likna rast $ ulan äfwen brwara densamma emot röta $ hwarefter uti den öfwerblifne soppa ljutocker och krita $ eller heldre kalk $ tillblanda $ till dest astundad höjd af gul färg winne $ $ hwar $ med trä för sista gäng bestryka $	38	0	krita	detta anstrykes träck i till 2 sänger , för att gifwa det ej allenast behörig grundfärg , ( som till uiseendel liknar rast ) ulan äfwen brwara detsamma emot röta , hwarefter uti den öfwerblifne Soppan Ljutocker och Krita , eller heldre Kalk , tillblandas , till dest Astundad höjd af gul färg winne ? , hwar » med träet för sista gängen bestrykes . 	bib11653806_18030126_145120_9_0002_alto.xml-0-38
mal krita i stor och windre fastager $ stines till salu uti sus $ t6 wid kornhamnstorg $	1	0	krita	Malen Krita i större och windre Fastager , stines till salu uti Suset N:o t6 wid Kornhamnstorget . 	bib13506739_18160618_144030_139_0006_alto.xml-18-1
mycket god swart krita att rita med $ finna till salu för nedsatt pris uti bolbindaren olof en $ ans hus wid stads smedjegatan $ 165 $ 1c6 $	3	0	krita	Mycket god swart Krita att rita med , finnes till salu för nedsatt pris uti Bolbindaren Olof En » ans Hus wid Stads Smedjegatan N:v 165 & 1C6 . 	bib13506739_18051010_144030_235_0006_alto.xml-8-3
mal krita och linolja $ samt dubbel batavia arrack $ finna till fal i parti uti hufct $	1	0	krita	malen Krita och linolja , samt dubbel Batavia Arrack , finnas till fala i parti uti Hufct N:o 	bib13506739_18210807_144030_182_0006_alto.xml-6-1
sill t indela $ stärkelse $ krita $ norrjk sill $ makulatur och för $	6	0	krita	Sill t indelar , Stärkelse , Krita , Norrjk Sill , Makulatur och För » 	bib19225772_18260815_148004_93_0006_alto.xml-6-6
finmalen krita $ till billig pris $ i kryddbod wid stortorg $	1	0	krita	finmalen Krita , till billiga priser , i Kryddboden wid Stortorget . 	bib13506739_18290319_144030_65_0004_alto.xml-3-1
krita och tunnband $ $ bereda $ och bock $ $ skjälspäck och tran $ islandsull samt bastmatta $ pä kontor i hus $ 4 i bredgrsiiden wid skeppsbro $ $ till wcknfler i portgängen $ $ m $ $	0	0	krita	Krita och Tunnband , » beredda Fär- och Bockstin » , Skjälspäck och Tran , IslandsUll samt Bastmattor , pä Kontoret i Huset N:o 4 i BredgrSiiden wid Skeppsbro » , till wcknfler i portgängen , s. m . . 	bib13506739_18250420_144030_89_0006_alto.xml-10-0
frän england $ i $ lindberg $ med krita $	8	0	krita	Frän England , I . Lindberg , med Krita . 	bib19277277_18300626_147682_144_0002_alto.xml-18-8
pä fin krita vara nu tillgäng pä kontor i $ $ iö wid kornbamnstorget $	2	0	krita	Pä fin Krita är nu tillgäng pä Kontoret I H.iset N:o iö wid KornbamnStorget . 	bib13506739_18180512_144030_106_0007_alto.xml-13-2
stafwa någon likhet med husfluga $ hwilken man karr dränka i et wattenglas ända til dest hon sjunka ned pä botten och blifwit utswäld $ men bli ater lefwande i aflmörja eller fin rifwen krita $	34	0	krita	stafwa någon likhet med Husflugans , hwilken man karr dränka i et wattenglas ända til dest hon sjunkit ned pä botten och blifwit utswäld , men blir ater lefwande i aflmörja eller fin rifwen krita . 	bib11653828_17980328_144028_72_0002_alto.xml-4-34
gin mat krita fem likna btn holländsta i ffnhet och hwichrt $ tå $	2	0	krita	gin maten Krita fem liknar Btn Holländsta i ffnHet och hwichrt , tå ! 	bib13506739_18031024_144030_242_0006_alto.xml-0-2
mant i räd förordna $ $ att wägpcnningar i stockholiiis packhus stola erlägga endast för utrikes wigtgods $ stom derstädes ivid första angifning afwages $ tilen icke för waror $ forn efter annan beräkningsgrund än wigt $ förtnllas $ $ att wägpcnningar stola illgöras för krita en skcspund nied 2 $ 6 $ $ för har och kaninhär en lispund nied 15 $ 6 $ och för kamelhår med 3 $ $ $ alt som tull ä waror i nu gälla taxa vara bcräknadt uti swcnstt banko $ $ och stämpclpcnningarne i en fall dä en icke äro bestämma efter wigt eller stycketal $ lunn efter procent af wärdet $ stola utgä nied en procent af tull enligt taxa $ i ställ för 2 och $ procent af nomincla wärdet uti 1316 ära taxa $ som förut äga rum $ i följd af ordning för wägoch stälupelpenningars uppbära af den 22 januari 1817 $	45	0	krita	Mant i Räder förordnat : l:o Att Wägpcnningar i Stockholiiis Packhus stola erläggas endast för utrikes wigtgods , stom derstädes ivid första angifningen afwages , tilen icke för waror , forn efter annan beräkningsgrund än wigt , förtnllaS ; 2:o Att Wägpcnningar stola illgöras för Krita ett Skcspund nied 2 st. 6 rst. , för Har- och Kaninhär ett Lispund nied 15 st. 6 rst. och för Kamelhår med 3 sk. ; 3:o Alt som tullwärdet ä waror i nu gällande Taxa är bcräknadt uti Swcnstt Banko , Wäg- och Stämpclpcnningarne i de fall dä de icke äro bestämde efter wigt eller stycketal , lunn efter procent af wärdet , stola utgä nied en procent af Tullwärdet enligt Taxan , i stället för 2 och 1-4:dcdels procent af nomincla wärdet uti 1316 ärs Taxa , som förut ägt rum , i följd af Ordningarne för Wägoch Stälupelpenningars uppbärande af den 22 Januari 1817 . 	bib19277277_18260905_147682_205_0001_alto.xml-1-45
sig smälands tjära od $ torr $ fin $ hwit krita $ till billig pris $ hos kursell $	10	0	krita	Sin Smälands Tjära od ) torr , fin , hwit Krita , till billige priser , hos Kursell . 	bib19223423_18280531_145063_44_0003_alto.xml-7-10
olja $ hwn krita $ talg till sju $ th kopp af engeli $	3	0	krita	Olja , hwN Krita , Talg till Sjus , Th koppar af Engeli ? 	bib11653825_18130302_145134_27_0004_alto.xml-0-3
$ sig fikon $ walnötter $ danille $ sockradt och osockradt chokolad $ pudersocker $ li gerblad $ ostindisk mod flere dags fnöske $ ordinär och fin hwitå fruntimmer och mans handske $ skära postpapper $ krita i styck och fin malm $ stor och liten lie $ slipsten och bryn $ ja ftista citron finna hos $ jeremia moberg $	36	0	krita	Konfekt-och sina Fikon , Walnötter , Danille , sockradt och osockradt Chokolad , Pudersocker , Li gerblad , Ostindiskt mod flere dags Fnösken , ordinära och fina hwitå Fruntimmers och Mans Handske » skurit Postpapper , Krita i stycken och fin Malm , större och mindre Liar , Slipstenar och Brynen , jan ftista Citroner finnes hos , Jeremia Moberg . 	bib15650837_18060712_146391_55_0004_alto.xml-3-36
cockenille $ mala sandel $ krapp $ röd ock hwit krita $ eugeist	10	0	krita	Cockenille , malen Sandel , Krapp , röd ock hwit Krita , Eugeist 	bib19225772_18230604_148004_62_0003_alto.xml-11-10
win $ tobak t tjära t stenkol krita $ kalk $	7	0	krita	Win # Tobak t Tjära t Stenkol Krita » Kalk * 	bib19223423_18170709_145063_54_0003_alto.xml-0-7
och stärkelse $ god matolja pa flalkor $ kamfert $ röd och swart krita $	13	0	krita	och Stärkelse , god Matolja pa flalkor , Kamfert , röd och swart Krita , 	bib19225772_18040307_148004_28_0004_alto.xml-3-13
utmärka fin $ mala och stamma krita $ $ i tunna 01 $ eirka 20 $ wigt $ fiunes beständig till billig pris wid rörstrands $ $ der äswen eldfast sten och oglaserad kakel finna att tillgä $	6	0	krita	Utmärkt fin , malen och stammad Krita , inpackad i tunnor 01 » eirka 20 lisp. wigt , fiuneS beständigt till billiga priser wid Rörstrands PvstelinS-Fabrik , der äswen eldfast Sten och oglaserad Kakel finnes att tillgä . 	bib19277277_18250311_147682_58_0003_alto.xml-8-6
man kunna swärligen sinna mera $ än man be finna $ ty blott i en ffatull fannö en myckenhet salsta guldmynt $ cch dä man söka widare $ upptäcka man äkffilliga fila $ rn flasta $ ned stedwatten $ stödja krita $ ett vara myntstämpel och andra werktpg $	40	0	krita	Man kan swärligen sinna mera , än man ber fann ; ty blott i ett ffatull fannö en myckenhet salsta guldmynt ; cch dä man sökte widare , upptäckte man äkffilliga filar , rn flasta » ned stedwatten , stött krita , ett var myntstämplar och andra werktpg . 	bib11653828_18080802_144028_176_0002_alto.xml-10-40
en pariie äkta hollandst färnbock $ samt en dito föga dansk fin och torr krita $ finitts till salu $ hwarom underrättelse lemna uti hus $ 75 wid regeringsgatan $ t nedra maning $	14	0	krita	Ett pariie äkta Hollandst Färnbock , samt ett dito mindre Dansk fin och torr Krita , finitts till salu : hwarom underrättelse lemnas uti Huset N^o 75 wid Regeringsgatan , t nedra maningen . 	bib13506739_18110411_144030_85_0006_alto.xml-5-14
gänga och sängkläder $ diverse $ $ en lzdfack $ bwilken sä wäl foyi en fastage krita vara att bese $ enär derom anmälan sser hos hr kryddkrarnhandlaren arfwidsson $ $ detz bod wid stor nygaian $	16	0	krita	Gäng- och Sängkläder , diverse Kryddkram-HandelSwa.or , en LZdfack , bwilken sä wäl foyi ett Fastage Krita är att bese , enär derom anmälan sser hos Hr Kryddkrarnhandlaren Arfwidsson : .ti detz Bod wid stora Nygaian . 	bib13506739_18211112_144030_265_0003_alto.xml-2-16
slamma blyerts och krita till bistå pris $ $ lie kryddbod wid dörnet af regeringsgatan och $ $ t jakob gränd $	3	0	krita	Slammad Blyerts och Krita till bista pris , » li Kryddboden wid dörnet af Regeringsgatan och @ : t Jakobs Gränd . 	bib19277277_18260517_147682_111_0003_alto.xml-21-3
malc $ krita flnnes till salu uti kryddbod wls hörn af drottninggatan och clara	2	0	krita	malc » Krita flnneS till salu uti Kryddboden wlS hörnet af Drottninggatan och Clara 	bib13506739_18190707_144030_153_0007_alto.xml-0-2
och husgeråd $ postlin och gus $ tam diverse glasmästare $ werttyg $ färdig ny fenster i bag $ flere sort glas $ gammal bly sch krita m $ m $	26	0	krita	och Husgeråd , Postlin och GUS , tamt diverse Glasmästare - Werttyg , färdiga nya Fenster i bagar , flere sorter Glas , gammalt Bly sch Krita m . m . 	bib19225772_18020526_148004_59_0004_alto.xml-1-26
diwerste sort finfft fönsterglas uti hel $ half och fjerndels kista $ flurad golf telgestcns trappa stor och liten $ fin krita uti stor och liten parti samt qv kugge och kafle af hwit bok $ äfwen ny och gammal half tegel $ fä til pris hos ioh $	21	0	krita	Diwerste sorter Finfft Fönsterglas uti hel , half och fjerndels kistor , flurad Golf Telgestcns Trappor större och mindre , fin Krita uti större och mindre partier samt Qv Kuggar och Kaflar af hwit Bok ; äfwen nytt och gammalt half Tegel , fäs til pris hos Ioh . 	bib15650837_18020717_146391_57_0004_alto.xml-1-21
uti hus $ 64 i stad wid skomakaregatan $ en trappa u $ $ där källare welt vara $ fin mal krita sör 12 si $	21	0	krita	Uti Huset N:o 64 i Staden wid Skomakaregatan , en trappa u » , där Källaren Welt är , fin malen Krita sör 12 si . 	bib13506739_18020618_144030_135_0003_alto.xml-14-21
sälläder och mal krita $ aegerhead $ samt all sort tobak och	3	0	krita	Sälläder och malen Krita , Aegerhead , samt alla sorter Tobak och 	bib19225772_18270821_148004_96_0003_alto.xml-7-3
cochenille $ mala sandel $ krapp $ lod och hwit krita $ engelff	10	0	krita	Cochenille , malen Sandel , Krapp , lod och hwit Krita , Engelff 	bib19225772_18230708_148004_75_0003_alto.xml-10-10
en undersöka ämne wörö smä strimla af gull $ silfwer $ kopp $ bly $ tenn $ smä eylindrar af glas $ styck af krita $ ben $ och flere sort träsplittror $	24	0	krita	De undersökta ämnen wörö smä strimlor af Gull » Silfwer , Koppar , Bly , Tenn , smä eylindrar af Glas , stycken af Krita , Ben » och flere sorter Träsplittror . 	bib11653806_18021119_145120_127_0002_alto.xml-8-24
v sig malcn krita finne $ till salu uu gustaf grek $ egendom i hörn af högberg $ $	3	0	krita	V Sin malcn Krita finne » till salu uU Gustaf Grek » Egendom i hörnet af Högberg » ! 	bib13506739_18131104_144030_256_0006_alto.xml-8-3
h $ mats enka försälja norrss sill $ ira sort swafwel $ altin $ piplera $ krita $ bunta	16	0	krita	H . Matsens Enka försäljer Norrss Sill , ira sort Swafwel , Altin , Piplera , Krita , buntade 	bib19225772_18290527_148004_59_0003_alto.xml-10-16
