sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
en för hwardera kön $ och desse stulle wara förse med hylla $ pä hwilka man lunde ställa lädor $ hwaruti beflrifning pä hwart och et mode förwarades $ jamte all en konstord och talesätt $ som more höra bartil $ och den uti samma ordning $ som böckerne uti ek bibliotheqve $ och desse rum stulle stänga med dubbel dörr $	26	0	mode	en för hwardera könet , och desse stulle wara försedde med hyllor , pä hwilka man lunde ställa lädor , hwaruti beflrifning pä hwart och et mode förwarades , jamte alla de konstord och talesätt , som more hörande bartil , och det uti samma ordning , som böckerne uti ek Bibliotheqve , och desse rum stulle stängas med dubbla dörrar . 	bib19225772_17971205_148003_97_0002_alto.xml-2-26
italiensk hatt till $ gt $ 2 $ $ gt $ ö a 2 $ $ $ $ florsband $ vllna $ diverse gcnrila sak passa till julklapp fbr en mycket santa pris i undertecknads mode och nipperhandel $ hörn af odcnz gränd och drottninggatan $	35	0	mode	Italienska Hattar till & gt ; 2 , & gt ; ö a 2 » R:dr R:gd , Florsband , vllna Shawlar.och diverse gcnrila saker passande till Julklappar fbr de mest santa pris i undertecknadS Mode- och Nipperhandel , hörnet af OdcnZ gränd och Drottninggatan . 	bib19277277_18261222_147682_298_0003_alto.xml-3-35
jag första croesus war tills cyrns honoin finna $ $ en $ för gammal mode man dertill lagga kunna $ $	14	0	mode	Mitt första Croesus war tills Cyrns honoin fann ( : Ett S. för gammal mode man dertill lagga kan : ) 	bib19277346_18200311_147394_11_0003_alto.xml-2-14
att all pastor bäve i en resormerte församling och $ lie de som hälla sig tvid augsburgsta confcflion stola $ dä de uröfwa sig ämbete $ bära swarta kläder efter fransta mode $ hafiva krage och kort mantel $	31	0	mode	att alla Pastorer bäve i de Resormerte församlingarne och » li de som hälla sig tvid Augsburgsta Confcflion stola , dä de uröfwa sitt ämbete , bära swarta kläder efter Fransta moden , hafiva kragar och korta mantlar . 	bib19225772_18040710_148004_78_0002_alto.xml-7-31
uti fru hasselhuhns mode och nipperhandelsbod wid drottninggatan $ lie grosth $	3	0	mode	Uti Fru HaSselhuhnS Mode- och NipperhandelSbod wid Drottninggatan » li Grosth . 	bib19277277_18261016_147682_240_0002_alto.xml-34-3
diverse sort hatta af ny mode finna till köpa hos träd törnqwist $	5	0	mode	Diverse sorter Hattar af nyaste mode finnas till köps hos Trädgärdsmästaren Törnqwist . 	bib15650837_18120205_146391_10_0003_alto.xml-6-5
i en engelst tidning berätta $ att mulåsna nu äro mpckct i mode uti london $	12	0	mode	I en Engelst Tidning berättas , att Mulåsnor nu äro mpckct i mode uti London . 	bib11653828_18060925_144028_221_0003_alto.xml-5-12
som fyr alta fett $ efter mäta pä en ny mode $ ästuntar	10	0	mode	som fyr alTa fettet FruntimMers.Kläder efter mätt pä de nyaste moden , ästuntar 	bib13506739_18171008_144030_233_0008_alto.xml-3-10
vara medelpunkt för hel den närvara berlinska lif veta $ samtalsämne i hög oell låg krets $ mode och $ lösen $ tidning thema och poet ämne $	17	0	mode	är medelpunkten för hela det närvarande Berlinska lif vet , samtalsämnet i högre oell lägre kretsar , mode- och galanteri-handlares lösen , tidningarnes thema och poeternas ämne . 	bib11653828_18290616_144028_136_0003_alto.xml-4-17
hos wagnmakaren n $ björkqwist wid kongsgätan en chais af ny mode $ samt en wal inrätt $ gt $ reskärra $ t brist af köpare kunna deta äkoon af säker person sä begagna ttll stockholm $ t tdlet as nästa irecka $	11	0	mode	Hos Wagnmakaren N . Björkqwist wid Kongsgätan en Chais af nyare mode , samt en wal inrätt & gt ; Reskärra ; t brist af Köpare kunna deta Äkoon af säkra Personer sä begagnas ttll Stockholm , t tdlet as nästa irecka . 	bib15650837_18160727_146391_60_0003_alto.xml-4-11
