sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
jandet med si n lön enligt en grund religion $ n uvpgifwer $ omisikänneligen tycka wara enda och sann motiv för den ädel täflan $ som nu mer än någon $ sig $ i anseende till $ w a $ görande werkningar sprida sä mycken tröst och $ swalelse äta nöd och elände barn $ samt i och med samma lisma den aktningswärdaste och ädel esprit blind en upplyst folk $ torde ma $ $	19	0	motiv	jandet med si n lön enligt de grunder religion » n uvpgifwer , omisikänneligen tyckes wara enda och sanna motivet för den ädla täflan , som nu mer än någon » sin , i anseende till si.ia w a ' görande werkningar sprider sä mycken tröst och hug« swalelse ät nöden och eländets barn , samt i och med samma lismar den aktningswärdaste och ädlaste Esprit blind ett upplyst folk — torde ma ! ) 	bib19227291_18201004_145289_40_0006_alto.xml-3-19
ilag sig sörestrifwen $ att ej gilla ekle ursäkta uppenbar moralista brott $ och iwan hök aldrig upphöra att warna för den lära $ att de af politlsta motiv kunna rättfärdig $	28	0	motiv	ilag sig sörestrifwen , att ej gilla ekler ursäkta uppenbart moralista brott , och iwan hök aldrig upphöra att warna för den lära , att de af politlsta motiv kunna rättfärdigas . 	bib11653828_18190209_144028_32_0003_alto.xml-11-28
$ lt $ m säll någon omdöme om motiv hos andra $ ssm icke se sak fran de s $ n $ $	8	0	motiv	& lt ; m sälla något omdöme om motiven hos andra , ssm icke se saken fran de s » n . ' 	bib13506739_18281125_144030_276_0001_alto.xml-19-8
handla om kanlifla philosophie $ $ $ finna man spä bertil i en mången öfrig här recensera lysia bok $ lil och med i en theologisia $ hwaraf man kunna stuta hwatz framsteg denna ny philosophie nu dagcligen göra i tyskland $ hwilket siter mäste bliswa et zodt motiv för swenffa philofopher och tänkande i gem at lara kanna deiisamuur	48	0	motiv	handlar om Kanlifla Philosophie , , , finner man spär bertil i de flesta öfriga här recenserade Lysia Böcker , lil och med i de Theologisia ; hwaraf man kan stuta hwatz framsteg denna nya Philosophie nu dagcligen gör i Tyskland , hwilket siter mäste bliswa et zodt motiv för Swenffa Philofopher och tänkande i gemen at lara kanna deiisamuur 	bib11653828_17950428_144028_94_0001_alto.xml-9-48
ingenting fruktansvärd $ än en blind nit $ hvars motiv vara en otydlig känsla $ ty $ liten menniska begripa orsak till hvad hon företa $ desto våldsam vara den drift i utförande $	9	0	motiv	ingenting fruktansvärdare , än ett blindt nit , hvars motiv är en otydlig känsla , ty ju mindre menniskan begriper orsaken till hvad hon företar , desto våldsammare är dess drift i utförandet . 	bib11653828_18301111_144028_262_0003_alto.xml-5-9
motiv $ som ligga till grund för $ lxstnad öfwer denna	0	0	motiv	motiv , som legat till grund för Förbunds-Församlingens lxstnad öfwer denna 	bib11653828_18191013_144028_237_0002_alto.xml-3-0
marka någon återhåll $ och ni lär wäl gista till motiv $	10	0	motiv	marka något återhåll , och Ni lär wäl gista till motivet . 	bib19225772_18301029_148004_124_0001_alto.xml-4-10
2g denna $ $ $ wära äkstilliga lidin gar angifma en stridig motiv r för lord godcrichs resignation $ men jag tro wig kunna anföra bestämd omständighet $ soln jag inhemkat af en wanligkwis mät underrätta man $	12	0	motiv	2g dennes : ' ' Wära äkstilliga lidin gar angifMa de stridigaste motiv r för Lord Godcrichs resignation ; men jag tror wig kunna anföra bestämdare omständigheter , soln jag inhemkat af en wanligkwis mät underrättad man . 	bib11653828_18280115_144028_12_0002_alto.xml-1-12
hon pz afton tillräcklig karakterisera dest moralisk wärde $ och få säkerligen as de mänga närwaraude kunna uppfatta $ cch bedim $ ma $ $ will man likwäl erinra hr b n $ att sä framt han icke inskära blottställa sig sir laglig näpst $ mäste han lemna jag och $ warje $ annan hederlig person i fred $ och skola $ oaktadt denna uppmaning $ en ny strsik gbra $ $ $ $ an wara bereda pä motiv $ $ $	78	0	motiv	hennes pZ aftonen tillräckligt karakteriserar dest moraliska wärde , och fom säkerligen as de mänga närwaraude kunde uppfatta » cch bedim » ma » , will man likwäl erinra Hr B n , att sä framt han icke inskar blottställa sig sir laglig näpst , mäste han lemna mig och » warje ; annan hederlig person i fred ; och skulle , oaktadt denna uppmaning , ett nytt strsik gbra » , ?all » an wara beredd pä motiv " - ! 	bib19277277_18290629_147682_146_0004_alto.xml-20-78
om nägon bemedla person $ som $ af ädel motiv an winningslnstnad $ skola st $ $ benägen an wilja biträda en hederlig civil tjensteman med lön pä star $ genom err län af 300 rdr banko $ emot laglig ränta och förbindelse arr hwarje half ar en sjerredcl af kapital pä dag betala $ sä afwakras rill den ifj ixnew $	9	0	motiv	Om nägon bemedlad Person , som , af ädlare motiv An winningslnstnad , skulle st , na§ benägen an wilja biträda en hederlig civil Tjensteman med lön pä star , genom err län af 300 Rdr Banko , emot laglig ränta och förbindelse arr hwarje halft Ar en sjerredcl af kapitalet pä dagen betalas , sä afwakraS rill den ifj ixnew . 	bib13506739_18300213_144030_36_0004_alto.xml-15-9
