sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
så blockera af vagn $ att växling äro så god som omöjlig att verkställa der $	1	0	blockera	så blockerad af vagnar , att växlingar äro så godt som omöjliga att verkställa der . 	bib11653838_19000330_147024_13_0001_alto.xml-76-1
blockera hamn vid $ $ så lära en kinesisk örlogsfartyg ej finna någon utväg att genom flykt kunna rädda sig $	0	0	blockera	blockera hamnen vid Wei-hai-wei , så lära de kinesiska örlogsfartygen ej finna någon utväg att genom flykten kunna rädda sig . 	bib15760600_18950129_146401_12_0003_alto.xml-17-0
för öga $ som norge under den sen tid ha rusta så kraftig $ den ha under strid hetta i sverige ifallit ord om att den $ i fall så behöfva $ skola vara en lätt sak att blockera norge kust och sålunda utsvälta land $	38	0	blockera	för ögonen , som Norge under den senare tiden har rustat så kraftigt ; det har under stridens hetta i Sverige ifallit ord om att det , i fall så behöfdes , skulle vara en lätt sak att blockera Norges kuster och sålunda utsvälta landet . 	bib11653830_18971101_146968_87_0003_alto.xml-52-38
genom att blockera denna kanal komma en stag att rikta mot kina $ som vara mera förlama än förlust af hel desi flotta $ och derför torde japanfla trupp nära rörelse gä ut pä att fä kanal fullständig i sig hand $	2	0	blockera	Genom att blockera denna kanal kommer ett stag att riktas mot Kina , som är mera förlamande än förlusten af hela desi flotta , och derför torde japanfla truppernas närmaste rörelser gä ut pä att fä kanalen fullständigt i sina händer . 	bib15650835_18950226_146472_17_0004_alto.xml-129-2
den spansk flotta ta ingen del i strid $ ty hanmkanalen blockera af den sänka kolångare merrimac $	11	0	blockera	Den spanska flottan tog ingen del i striden , ty hanmkanalen blockeras af den sänkta kolångaren Merrimac . 	bib11653830_18980620_146968_47_0003_alto.xml-98-11
$ hamn $ där $ räddningsfartyget heimdal $ hel torped båtsflottiljen och någon gammal fartyg äro $ $ sorn $ örlogshamn i melsamvik $ där pansarfartyg och en del andra effektiv fartyg ligga $ äro nu blockera af is $	36	0	blockera	Johans-värns hamn , där chefs-rijch räddningsfartyget Heimdal , hela torped båtsflottiljen och några äldre fartyg äro upplagda , sorn ’ örlogshamnen i Melsamvik , där pansarfartygen och en del andra effektiva fartyg ligga , äro nu blockerade af is . 	bib11653790_19000213_145648_13_0003_alto.xml-190-36
från köpenhamn telegrafera den 20 mars $ dansk $ binda ha i dag besluta förklara frihamn blockera från och med i morgon $	16	0	blockera	Från Köpenhamn telegraferas den 20 mars : Danska arbetareför¬ bundet har i dag beslutat förklara frihamnen blockerad från och med i morgon . 	bib11653811_19010322_145317_46_0003_alto.xml-29-16
land vägra efterkomma england fordran $ blockera i slut af april den utanför nicaragua vestra kust kryssa engelsk eskader den der belägen corinto $ och stad besätta af engelsman $	6	0	blockera	land vägrade efterkomma Englands fordringar , blockerade i slutet af april den utanför Nicaraguas vestra kust kryssande engelska eskadern det der belägna Corinto , och staden besattes af engelsmännen . 	bib19277277_18950506_147683_122_0005_alto.xml-132-6
nu vara marseille hamn måhända blockera $ echt jag $ som där skola aflämna jag passagerare samt äfven inta en last af europeisk möbel $ undervisningsmaterial $ lärobok $ instrument och maskin $ hvilka prins ali ben mobammed dels för egen $ dels för kalif räkning inköpa $ kunna troligen ej utföra denna utan att smyga jag ut ur hamn $ oeh den vilja jag inte $ äfven om jag skola lycjras $	5	0	blockera	Nu är Marseilles hamn måhända blockerad , echt jag , som där skulle aflämna mina passagerare samt äfven intaga en last af europeiska möbler , undervisningsmaterial , läroböcker , instrument och maskiner , hvilka prins Ali Ben Mobammed dels för egen , dels för kalifens räkning inköpt , kan troligen ej utföra detta utan att smyga mig ut ur hamnen , oeh det vill jag inte , äfven om jag skulle lycjras . 	bib19225758_18950216_144022_40_0012_alto.xml-47-5
järnvägarne voro i lördag mer eller föga blockera af snö $	7	0	blockera	Järnvägarne voro i lördags mer eller mindre blockerade af snö . 	bib15978012_18950131_148361_26_0003_alto.xml-31-7
$ politik $ 4 korrespondent telegrafera från kreta att konung adjutant meddela han att grekland svar på stormakt ultimatum skola lyda $ $ grekland vara redo att före frist utgång aflägsna sig flotta från en kretensisk farväl ten men $ öfverste vassos trupp stanna qvar på $ då grekland sålunda icke uppfylla makt anspråk $ bli följd den $ att stormakt blockera kreta och pirseus samt att krig utbryta i macedonien $	61	0	blockera	“ Politikens * 4 korrespondent telegraferar från Kreta att konungens adjutant meddelat honom att Greklands svar på stormakternas ultimatum skall lyda : “ Grekland är redo att före fristens utgång aflägsna sin flotta från de kretensiska farväl tnen men — öfverste Vassos trupper stanna qvar på Kreta.44 Då Grekland sålunda icke uppfyller makternas anspråk , blir följden den , att stormakterna blockera Kreta och Pirseus samt att kriget utbryter i Macedonien . 	bib11653811_18970306_145317_36_0003_alto.xml-82-61
