sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ visst $ visst $ mr junk $ bekräfta matros gnida sig pä axel $ ty båtsman ha åter gifvit sig fråga mera eftertryck genom en kraftig stöt $	27	0	stt	— Visst , visst , mr Junk , bekräftade matrosen gnidande sig pä axeln , ty båtsmannen hade åter gifvit sin fråga mera eftertryck genom en kraftig stöt . 	bib11653811_18951230_145317_202_0002_alto.xml-141-27
år vara jag i moder ställe $ då jag aldrig veta af någon annan mor $ $ du öfver du värnlös barn $ stöt jag icke tillbaka i den afgrund $ ur hvilken jag som genom ett under blifvit rädda $	23	0	stt	år varit mig i moders ställe , då jag aldrig vetat af någon annan mor , förbarma dig öfver ditt värnlösa barn — stöt mig icke tillbaka i den afgrund , ur hvilken jag som genom ett under blifvit räddad . 	bib11653838_19030717_147024_29_0002_alto.xml-215-23
$ höra nl $ ropa ban till kypare $ akta er med koffert $ stöt han icke mot räggeu $	14	0	stt	— Hör nl , ropade ban till kyparen , akta er med kofferten , stöt honom icke mot räggeu ! 	bib11653815_18960819_146944_66_0003_alto.xml-122-14
jag sitta och luta jag framåt i sadel då jag plötslig känna en förfärlig stöt $	14	0	stt	Jag satt och lutade mig framåt i sadeln då jag plötsligt kände en förfärlig stöt . 	bib19227462_18951022_147640_246_0006_alto.xml-120-14
den vara visserligen en fruktansvärd stöt $ som kasta all om hvarandra $ men utom någon slag och skråma aflöpa allt väl $	5	0	stt	Det var visserligen en fruktansvärd stöt , som kastade alla om hvarandra , men utom några slag och skråmor aflöpte allt väl . 	bib11653811_18960210_145317_22_0003_alto.xml-173-5
de $ $ kasta hullar örn buller $ af den häftig stöt $	11	0	stt	de " , kastades hullar örn buller , af den häftiga stöten . 	bib15978012_18950926_148361_224_0002_alto.xml-78-11
$ stark stöt samhällsbyggnad utsätta för $ desto mer bli den blott tydlig $ huru klipphård den vara $	2	0	stt	Ju starkare stötar samhällsbyggnaden utsattes för , desto mer blir det blott tydligt , huru klipphård den är . 	bib19225758_18950503_144022_102_0002_alto.xml-289-2
sofvo $ väcka af en stöt $ som kasta upp hyttdörr $ $ $ i den allmän förvirring och förskräckelse som uppstå lär en i kungsör hemmahörande passagerare vara nog kallblodig att yttra $ $ varén inte rädda $ den här båt vara van att gå på land $ $	5	0	stt	sofvo , väcktes af en stöt , som kastade upp hyttdörrar o. s. v. I den allmänna förvirring och förskräckelse som uppstod lär en i Kungsör hemmahörande passagerare varit nog kallblodig att yttra : » Varén inte rädda , den här båten är van att gå på land » . 	bib15873936_18960527_147385_61_0002_alto.xml-108-5
lugna flrifwelser frän myndighet kungöra $ och dä ingen widare stöt vrmärktes $ följa pä söndag oafbruten bön och gudstjenst i kyrka $ dit folk strömma med ljus och blomma $	10	0	stt	Lugnande flrifwelser frän myndigheterna kungjordes , och dä inga widare stötar vrmärktes , följde pä söndagen oafbruten bön och gudstjenst i kyrkorna , dit folk strömmade med ljus och blommor . 	bib15760690_18950601_145050_83_0002_alto.xml-150-10
$ af jern $ vara slagen tvär af $ hvilket bevisa att disk falla omkull med en hård stöt $	18	0	stt	( af jern ) var slagen tvärt af , hvilket bevisar att disken fallit omkull med en hård stöt . 	bib11653811_18951122_145317_181_0002_alto.xml-87-18
man bära nämligen upptäcka $ att den i byggnad källare $ af oförklarlig anledning $ förvara stor mängd dynamit $ som befinna sig i sån tillstånd $ att den kunna explodera vid den liten skakning eller stöt $	36	0	stt	Man bar nämligen upptäckt , att det i byggnadens källare — af oförklarlig anledning — förvaras stora mängder dynamit , som befinner sig i sådant tillstånd , att den kan explodera vid den minsta skakning eller stöt . 	bib11653830_18970726_146968_59_0003_alto.xml-162-36
$ frii $ j $ $ $ denna sista uttryck framkalla af en stöt $ som zita få och som slunga hon framåt $ och örn mark icke skydda sträcka sig arm ut emot hon $ så ha hon säkerligen slå sig illa mot vagn motsatt sidovägg $	13	0	stt	- frii » j ! “ , Detta sista uttryck framkallades af en stöt , som Zita fick och som slungade henne framåt , och örn Mark icke skyddande sträckt sina armar ut emot henne , så hade hon säkerligen slagit sig illa mot vagnens motsatta sidovägg . 	bib19227291_18960813_145289_97_0004_alto.xml-50-13
denna motstå stöt någon sekund $ men gaf derefter vika och falla på den tredje $ som i sig ordning falla på den fjerde $ $ $ $ så att slutligen hel den väldig öfverbyggnad falla ihop lik en korthus $	2	0	stt	Denna motstod stöten några sekunder , men gaf derefter vika och föll på den tredje , som i sin ordning föll på den fjerde o. s. v. , så att slutligen hela den väldiga Öfverbyggnaden föll ihop likt ett korthus . 	bib11653811_18990918_145317_143_0002_alto.xml-93-2
skada märka ej med undantag af en par obetydlig skråma i ansikte $ men medvetslöshet förorsaka enligt läkare utsago af en vidt utbre hjärnblödning $ framkalla af den häftig stöt vid fall och hvilken nu $ som nämna $ medföra död $	29	0	stt	skador märktes ej med undantag af ett par obetydliga skråmor i ansiktet , men medvetslösheten förorsakades enligt läkarnes utsago af en vidt utbredd hjärnblödning , framkallad af den häftiga stöten vid fallet och hvilken nu , som nämnts , medfört döden . 	bib19225758_18950527_144022_121_0003_alto.xml-109-29
att explosion kunna inträffa synas hafva ha sig orsak däri $ att stift $ som för utdragare påkänning komma något snedt $ i och med stöt snudda mot urfräsning i bössa $ och att hagelskott till all lycka ej ta den vanlig utväg framåt $ synas hafva bero på stöt kraft $ hvarigenom patron få sån fart $ att den redan hinna till en del lämna bössa $ då skott gå af $	25	0	stt	Att explosionen kunde inträffa synes hafva haft sin orsak däri , att stiftet , som för utdragarens påkänningar kommit något snedt , i och med stöten snuddat mot urfräsningen i bössan , och att hagelskottet till all lycka ej tog den vanliga utvägen framåt , synes hafva berott på stötens kraft , hvarigenom patronen fått sådan fart , att den redan hunnit till en del lämna bössan , då skottet gick af . 	bib11653790_18951129_145648_49_0003_alto.xml-44-25
$ af jern $ vara slagen tvär af $ hvilket bevisa att disk falla omkull med en hård stöt $	18	0	stt	( af jern ) var slagen tvärt af , hvilket bevisar att disken fallit omkull med en hård stöt . 	bib19227291_18951119_145289_138_0003_alto.xml-8-18
en kraftig grepp lyfta den gammal i höjd och våldsam slunga hon bort i en hörn $ där bo $ af den häftig stöt sjunka till hopa som en bylte $	23	0	stt	ett kraftigt grepp lyfte den gamla i höjden och våldsamt slunga henne bort i ett hörn , där bon , af den häftiga stöten sjönk till hopa som ett bylte . 	bib19225758_18950830_144022_201_0004_alto.xml-24-23
hända sig dock ej bra $ säga hudiksvall posten $ än att åska samtidig öfverrumpla $ hvilket äfven i telefon gaf sig till känna på en eftertrycklig sätt $ i den samtidig deri tala få en så kraftig stöt att han falla öfver en närstående stol $ tappa lur ur hand och få smärtsam känning i venstra sida arm och ben samt blånad omkring samma sida öga $	38	0	stt	hände sig dock ej bättre , säger Hudiksvalls Posten , än att åskan samtidigt Öfverrumplade , hvilket äfven i telefonen gaf sig till känna på ett eftertryckligt sätt , i det samtidigt deri talande fick en så kraftig stöt att han föll öfver en närstående stol , tappade luren ur handen och fick smärtsamma känningar i venstra sidans arm och ben samt blånad omkring samma sidas öga . 	bib11653838_19000615_147024_24_0002_alto.xml-160-38
