sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
innan vi gå vid $ stanna vi en ögonblick vid en nära fem fintryckta sida 158 $ 163 $ som inrymma en exposé af den harnackska uppfattning af apostolicum $	26	0	uppfattning	Innan vi gå vidare , stanna vi ett ögonblick vid de nära fem fintryckta sidorna 158 — 163 , som inrymma en exposé af den Harnackska uppfattningen af apostolicum . 	bib19227462_18950130_147640_25_0003_alto.xml-1-26
den måste erkänna $ och otvifvelaktig porträttlik $ men likväl af tämligen prosaisk uppfattning och säga vi jusi ingenting $	13	0	uppfattning	det måste erkännas , och otvifvelaktigt porträttlikt , men likväl af tämligen prosaisk uppfattning och säger oss jusi ingenting . 	bib19277277_18950512_147683_128_0005_alto.xml-104-13
af en dylik tillkännagifvande $ offentliggjordt på sjelfva den hög födelsedag $ vara den rätt naturlig att en mången skola få den uppfattning $ att konung med varm hand skänka $ krona till den välgörande ändamål och för en viss uppgifvet fall eventuel utlofva en lika stor summa $	22	0	uppfattning	Af ett dylikt tillkännagifvande , offentliggjordt på sjelfva den höga födelsedagen , var det rätt naturligt att de flesta skulle få den uppfattningen , att konungen med varm hand skänkt 20,000 kronor till det välgörande ändamålet och för ett visst uppgifvet fall eventuelt utlofvat en lika stor summa . 	bib15975090_18960213_148377_20_0002_alto.xml-62-22
der ha man måhända nära och med stor ifver än i någon annan politisk centrum studera den orientalisk fråga i den laser $ och den utbyte af åsigt $ som nyligen egt rum mellan ryssland oell $ leda man $ gifver uppfattning i donaustaden en särskild betydelse $	41	0	uppfattning	Der har man måhända närmare och med större ifver än i något annat politiskt centrum studerat den orientaliska frågan i dess laser , och det utbyte af åsigter , som nyligen egt rum mellan Rysslands oell Österrike-Ungerns ledande män , gifver uppfattningen i Donaustaden en särskild betydelse . 	bib19227291_18970525_145289_62_0003_alto.xml-123-41
den vara i japan den allmän uppfattning $ att krig icke vara öfverståndet $	6	0	uppfattning	Det är i Japan den allmänna uppfattningen , att kriget icke är öfverståndet . 	bib11653830_18950823_146968_96_0003_alto.xml-119-6
$ då böra ni ha bra uppfattning af hon son $ tycka jag $	6	0	uppfattning	— Då borde ni ha bättre uppfattning af hennes son , tycker jag . 	bib15761570_18951008_146176_166_0003_alto.xml-166-6
dels $ på grund af den ovanlig ringa barnantal och dels till följd af lärare hög ålder $ och blef denna skolråd uppfattning af stämma gilla och anta $ till församlingsombud vid den till den 30 maj $ ekonomisk besiktning å $ och klockareboställena utsågos nises lars andersson i åkerö ooh nygårds lars olsson i nor $ fråga örn intagning och lästid m $ m $ $ som stämma för den blifvande skolreglemente egde att bestämma $ uppskjuta tills vid $ ångbåtstrafik ä siljan ärm snar i full gång $ i den att ångare gustaf wasa nu uppta sig tur mellan mora och insjö $ och flottningsbolag ångare nu börja sig verksamhet för år $ ångare rättvik vänta till leksand den 16 maj för $ gång i år $ men antaglig vara $ att den till följd af den inåt rättvik drifna is måste ännu någon dag uppskjuta resa $ skrifves den 15 denna till länstidningen $	22	0	uppfattning	dels * på grund af det ovanligt ringa barnantalet och dels till följd af lärarens höga ålder , och blef denna skolrådets uppfattning af stämman gillad och antagen , Till församlingsombud vid den till den 30 maj utsatta ekonomiska besiktningen å komministers- och klockareboställena utsågos Nises Lars Andersson i Åkerö ooh Nygårds Lars Olsson i Noret , Frågan örn intagning och lästid m . m . , som stämman för det blifvande skolreglementet egde att bestämma , uppsköts tills vidare , Ångbåtstrafiken ä Siljan ärm snart i full gång , i det att ångaren Gustaf Wasa nu upptagit sina turer mellan Mora och Insjön , och flottningsbolagets ångare nu börjat sin verksamhet för året , Ångaren Rättvik väntades till Leksand den 16 maj för första gången i år , men antagligt är , att den till följd af den inåt Rättviken drifna isen måste ännu några dagar uppskjuta resan — skrifves den 15 dennes till Länstidningen . 	bib11653790_19000518_145648_39_0003_alto.xml-32-22
i nineteenth century kritisera gladstone för någon tid sedan mrs besants skildring af den konventionell ortodox försoningsteori $ han söka vederlägga hon uppfattning ooh fram sig egen i tolf punkt $	22	0	uppfattning	I Nineteenth Century kritiserade Gladstone för någon tid sedan mrs Besants skildring af den konventionella ortodoxa försoningsteorien ; han sökte vederlägga hennes uppfattning ooh framstälde sin egen i tolf punkter . 	bib19225758_18950622_144022_143_0006_alto.xml-53-22
sedan hon lemna kupé $ emellertid ej direkt till expedition utan i riktning mot norra utgångsgrinden $ hvadan konduktör häraf få den uppfattning $ att hon ämna utan vid aflägsna sig $	22	0	uppfattning	sedan hon lemnat kupén , emellertid ej direkt till expeditionen utan i riktning mot norra utgångsgrinden , hvadan konduktören häraf fick den uppfattning , att hon ämnade utan vidare aflägsna sig . 	bib11653838_19010816_147024_33_0001_alto.xml-176-22
när man lefver ensam i rukhen $ få man en annan uppfattning än förut af mången saka och ting $	11	0	uppfattning	När man lefver ensam i rukhen , får man en annan uppfattning än förut af många sakar och ting . 	bib11653815_18970908_146944_103_0003_alto.xml-124-11
