sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
dertill ha han ej styrka $ och han våga ej lemna hon i annan hand $ ty hvem svara han för hur hon uppfostran då leda $	23	0	uppfostran	dertill hade han ej styrka , och han vågade ej lemna henne i andras händer , ty hvem svarade honom för hur hennes uppfostran då leddes ? 	bib11653836_18950830_147011_35_0001_alto.xml-110-23
finsk folk offervillighet för kvinna uppfostran i så mycket bjärt och vacker dager i jemförelse med svensk folk öfverdrifna sparsamhet och försumlighet rörande denna så öfvermåttan viktig ärende $	5	0	uppfostran	finska folkets offervillighet för kvinnans uppfostran i så mycket bjärtare och vackrare dager i jemförelse med svenska folkets öfverdrifna sparsamhet och försumlighet rörande detta så öfvermåttan viktiga ärende . 	bib15873936_18951121_147385_137_0002_alto.xml-173-5
nu $ sedan en tyrannisk uppfostran ej länge utöfva sig inbytande öfver hon $ erinra hon i mycket örn den liten $ solig varelse $ som en gång leka här på terrass $	5	0	uppfostran	Nu , sedan en tyrannisk uppfostran ej längre utöfvade sitt inbytande öfver henne , erinrade hon i mycket örn den lilla , soliga varelse , som en gång lekt här på terrassen . 	bib15869824_18961230_145700_103_0003_alto.xml-231-5
greta vara en ung $ bortskämd flicka $ som få en $ amerikansk $ uppfostran $ $ $ $ att hon få göra $ som hon bedagad $ och för öfrig lurt sig $ att penning vara allt här på jord $ men greta vara i grund och botten en snäll och ömsint flicka $	14	0	uppfostran	Greta är en ung , bortskämd flicka , som fått en » amerikansk » uppfostran , d. v. s. att hon fått göra , som hon bedagat , och för öfrigt lurt sig , att penningen är allt här på jorden , Men Greta är i grund och botten en snäll och ömsint flicka . 	bib19277277_18950912_147683_248_0010_alto.xml-7-14
gammal dag flytta b $ med sig familj först till en liten landtställe i trakt af trosa och sedan till strengnäs i och för son uppfostran $	25	0	uppfostran	gamla dagar flyttade B . med sin familj först till ett litet landtställe i trakten af Trosa och sedan till Strengnäs i och för sonens uppfostran . 	bib15975090_18950205_148377_15_0002_alto.xml-125-25
en godmodig $ rätt sympatisk utseende och ha få god uppfostran $ han fader vara skollärare å fårö och i berga omständighet $ samt ha någon tid vistas i amerika $	10	0	uppfostran	ett godmodigt , rätt sympatiskt utseende och har fått god uppfostran — hans fader är skollärare å Fårö och i bergade omständigheter — samt har någon tid vistats i Amerika . 	bib11653811_18980117_145317_9_0002_alto.xml-38-10
få en mycket god uppfostran i studerkammare $ men en ännu grundlig i kök $	4	0	uppfostran	fick en mycket god uppfostran i studerkammaren , men en ännu grundligare i köket . 	bib19227291_18960218_145289_21_0004_alto.xml-82-4
uppfostran leda af en biskop och han ha en general till adjutant $	0	0	uppfostran	uppfostran ledes af en biskop och han har en general till adjutant . 	bib19227291_18950418_145289_46_0002_alto.xml-21-0
$ walrath vara en fin amerikansk dam med god uppfostran $	9	0	uppfostran	D:r Walrath är en fin amerikansk dam med god uppfostran . 	bib15975087_18951106_145596_172_0003_alto.xml-41-9
som ha en mången och stor förutsättning för att utwccklas till inbördes likhet $ person som warit barn af samma förälder $ sorn sätt samma uppfostran och undcrwisning och röna inflytande af samma omgifning $ samma lefnadshändelscr $ till och med de se wi sä olik $ att en stä som motsats till hwarandra $	25	0	uppfostran	som haft de flesta och största förutsättningar för att utwccklas till inbördes likhet : personer som warit barn af samma föräldrar , sorn sätt samma uppfostran och undcrwisning och rönt inflytande af samma omgifning , samma lefnadshändelscr — till och med dem se wi sä olika , att de stä som motsatser till hwarandra . 	bib19277301_18950418_145146_32_0002_alto.xml-53-25
i den första tal $ sorn afse både den teoretisk och praktisk pedagogik $ uppfostringskonsten $ $ att mål för en verklig mensklig uppfostran aldrig uppgå för en hednisk folk medvetande ooh att endast en sann kristlig verldsåskådning kunna gifva vi en rätt uppfostringsgrundsatserna $	23	0	uppfostran	i det första talet , sorn afser både den teoretiska och praktiska pedagogiken ( uppfostringskonsten ) , att målet för en verkligt mensklig uppfostran aldrig uppgått för de hedniska folkens medvetande ooh att endast en sant kristlig verldsåskådning kan gifva oss de rätta uppfostringsgrundsatserna . 	bib15760690_18951221_145050_197_0003_alto.xml-37-23
en $ försumma uppfostran $ på att de $ som skola bilda han till en god och nyttig samhällsmedlem ej göra sig plikt mot han $	3	0	uppfostran	en , försummad uppfostran , på att de , som skulle bildat honom till en god och nyttig samhällsmedlem ej gjort sin plikt mot honom . 	bib11653811_19001130_145317_186_0003_alto.xml-25-3
hvad alma eren uppfostran beträffa så vara denna knapt bra leda än valter $	3	0	uppfostran	Hvad Almas eren uppfostran beträffade så var denna knapt bättre ledd än Valters . 	bib11653830_18980407_146968_28_0003_alto.xml-139-3
såsom någon anmårkningsvärdt törtjenar nämna att kyrkoherde edelberg i ö $ sallerup å preatbeviset tillåta sig anteckna att den dömd åtnjuta en vårdslös uppfostran i en slarfvig hem $	23	0	uppfostran	Såsom något anmårkningsvärdt törtjenar nämnas att kyrkoherde Edelberg i ö . Sallerup å preatbeviset tillåtit sig anteckna att den dömde åtnjutit en vårdslös uppfostran i ett slarfvigt hem . 	bib11653815_18960115_146944_4_0003_alto.xml-22-23
under $ och $ kommo flera idiotanstalt till stånd i skild del af rike $ dels länsanstalter $ dels privat $ och stat börja sedan 1871 lämna bidrag till uppfostran af sinnesslö barn mellan 6 och 15 år $ såvida denna visa sig mottaglig för undervisning $	29	0	uppfostran	Under 1870- och 1880-talen kommo flera idiotanstalter till stånd i skilda delar af riket , dels länsanstalter , dels privata , och staten började sedan 1871 lämna bidrag till uppfostran af sinnesslöa barn mellan 6 och 15 år , såvida dessa visat sig mottagliga för undervisning . 	bib11653811_19030318_145317_44_0001_alto.xml-74-29
elevantal $ sorn under en följd af år vara begränsadt till 50 $ ha med anledning af den stegra efterfrågan på plats för barn $ som äro i behof af sån undervisning ocb uppfostran $ som hem på nannylund vara afsedt att lämna $ tack vara tillbyggnad $ nu kunna höja till en början till 60 $ och vid nästa intagning vara man bereda att motta ända till 70 $	33	0	uppfostran	Elevantalet , sorn under en följd af år varit begränsadt till 50 , har med anledning af den stegrade efterfrågan på plats för barn , som äro i behof af sådan undervisning ocb uppfostran , som hemmet på Nannylund är afsedt att lämna , tack vare tillbyggnaden , nu kunnat höjas till en början till 60 , och vid nästa intagning är man beredd att mottaga ända till 70 . 	bib11653811_19030112_145317_7_0002_alto.xml-51-33
sorn dag lycklig vinsttagaren i sällskap med sig båda vän $ kulisskunden bordier oeh $ sautelet fullkomna sig uppfostran till en modern dandy $	18	0	uppfostran	sorn dan lycklige vinsttagaren i sällskap med sina båda vänner , kulisskunden Bordier oeh vaudeville-författaren Sautelet fullkomnade sin uppfostran till en modern dandy . 	bib19277277_18950725_147683_199_0002_alto.xml-44-18
$ kunna ta för en så plötslig $ bära i fjär härad 1 halland finna hemlös harneus uppfostran ocb andra $ orteu for eu af got stam $	17	0	uppfostran	Förf. kunna tagas för de så plötsligt lader- bar i Fjäre härad 1 Halland funnit hemlösa harneus uppfostran ocb andra än- orteu for eu af goternas stammar . 	bib19227291_18950216_145289_20_0002_alto.xml-43-17
ni vara nog på riktig väg $ då ni synas antyda $ att den vara en grundfel i den svensk ungdom uppfostran som vålla olycka $	21	0	uppfostran	Ni är nog på riktig väg , då ni synes antyda , att det är ett grundfel i den svenska ungdomens uppfostran som vållar olyckan . 	bib11653811_19030311_145317_40_0002_alto.xml-79-21
och låta köparinnan veta $ att djur vara ett särdeles vanartig exemplar och ari den fan lejon mod beit annorlunda temperament och uppfostran ftn den som bo ha köpa $	22	0	uppfostran	och låt köparinnan veta , att djuret var ett särdeles vanartigt exemplar och ari det fans lejon mod beit annorlunda temperament och uppfostran ftn det som bon hade köpt . 	bib15650837_18950705_146391_153_0002_alto.xml-128-22
sällsynt företeelse $ att den väl skola man $ när han uppfostran skola vara slut och tank vapen skola vara härdadt för lifvets strid $ i ren intresselöshet icke gitta att bruka vapen $	11	0	uppfostran	sällsynt företeelse , att den väl skolade mannen , när hans uppfostran skulle vara slut och tankens vapen skulle vara härdadt för lifvets strider , i ren intresselöshet icke gitter att bruka vapnet . 	bib15761097_18950905_145020_105_0002_alto.xml-40-11
