sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
reply harbottle $ $ every lad to his own lass $	9	1	lass	replied Harbottle , " every lad to his own lass .	fic_1847_7149.txt-2762-9
meanwhile william and i be already on foot $ and our mule be lead on by the guide 's daughter $ a pretty little lass of ten or twelve $ who accompany us in the capacity of mule driver $	24	1	lass	Meanwhile William and I were already on foot , and our mules were led on by the guide 's daughter , a pretty little lass of ten or twelve , who accompanied us in the capacity of mule driver .	nf_1854_755030.txt-3112-24
you may present the furious little lass with her own image in a look glass $ tell her the passion which her peace annoy $ disturb her person $ and her mind destroy $ can only serve to make her tortur have breast an emblem of a raging hornet 's nest $ her friend will	6	1	lass	You may present the furious little lass With her own image in a looking glass -- Tell her the passion which her peace annoys , Disturbs her person , and her mind destroys , Can only serve to make her tortur 'd breast An emblem of a raging hornet 's nest ; Her friends will	fic_1818_7631.txt-309-6
intelligence office $ of which $ in common with all other country lass live in the neighborhood of the city $ she have hear much $ and like them $ think she have only to go there to get employment at once $	12	1	lass	intelligence offices , of which , in common with all other country lasses living in the neighborhood of the city , she had heard much ; and like them , thought she had only to go there to get employment at once .	fic_1844_7081.txt-543-12
' ah $ ben $ i see you have an understanding eye to the lass $	14	1	lass	' Ah , Ben , I see you have an understanding eye to the lasses .	fic_1844_7114.txt-736-14
while he be do this $ i catch sight of a knot of young lass $ who be sit near us on the grass surround by heap of flower which they be form into garland $	14	1	lass	Whilst he was doing this , I caught sight of a knot of young lasses , who were sitting near us on the grass surrounded by heaps of flowers which they were forming into garlands .	fic_1846_544.txt-2641-14
lad $ lass $ police $ <temp> $ &c $ costume brian <nul>	2	1	lass	Lads , Lasses , Police , &c., ; &c ; Costume BRIAN O'LINN.	fic_1860_8725.txt-8-2
but you be a father $ with a tight $ pretty lass of your own $ what care an old widower for bright een and sunny hair $	11	1	lass	but you are a father , with a tight , pretty lass of your own ; what cares an old widower for bright een and sunny hair ?	fic_1838_7086.txt-2825-11
say mr.- jones $ as the child could not make use of book $ and be the only teacher $ i be compel to throw the whole school into one $ lass $ and to teach theni all together on the inthnt schoot plan $	31	1	lass	Says Mr. Jones " As the children could not make use of books , and being the only teacher , I was compelled to throw the whole school into one ( lass , and to teach them all together on the inthnt schoot plan .	mag_1846_565490.txt-312-31
well $ then $ i believe that i do see the lass $ mon $	11	1	lass	Well , then , I believe that I did see the lass , mon !	fic_1844_7081.txt-1867-11
