sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
there be scarcely any child so young $ any peasant so ignorant $ or any savage so brutal and wild $ as not to be able to understand fully all the circumstance of the occasion $ and to feel the whole force of the moral lesson which the story convey $	15	1	savage	There is scarcely any child so young , any peasant so ignorant , or any savage so brutal and wild , as not to be able to understand fully all the circumstances of the occasion , and to feel the whole force of the moral lesson which the story conveys .	mag_1852_504502.txt-86-15
the subtle savage be about to gird thee in $ $	2	2	savage	The subtle savage is about to gird thee in . "	fic_1850_7304.txt-3244-2
heyward feel the grasp of the other at his throat $ and see the grim smile the savage give $ under the revengeful hope that he hurry his enemy to a fate similar to his own $ as he feel his body slowly yield to a resistless power $ and the young man experience the pass agony of such a moment in all its horror $	17	2	savage	Heyward felt the grasp of the other at his throat , and saw the grim smile the savage gave , under the revengeful hope that he hurried his enemy to a fate similar to his own , as he felt his body slowly yielding to a resistless power , and the young man experienced the passing agony of such a moment in all its horrors .	fic_1826_314.txt-1145-17
thereat one of the savage cry out $ $ yes $	4	2	savage	Thereat one of the savages cries out : " Yes !	fic_1848_8541.txt-396-4
he be an old woodsman $ and give me proper direction about hobble my horse at night $ and impart other precaution necessary to secure a man 's life against wild animal and savage $	33	2	savage	He was an old woodsman , and gave me proper directions about hobbling my horse at night , and imparted other precautions necessary to secure a man 's life against wild animals and savages .	nf_1851_758845.txt-913-33
in the cavalier $ that he have a wonderful skill in win the affection of the savage $	16	2	savage	in the cavalier , that he had a wonderful skill in winning the affections of the savages .	fic_1839_7297.txt-256-16
$ god himself only know where $ to be butcher and rent by the damnable invention of savage $	17	2	savage	, God himself only knows where , to be butchered and rent by the damnable invention of savages .	fic_1822_7243.txt-1575-17
$ your chief danger will be at the moment when the savage find out that they have be deceive $	11	2	savage	" Your chiefest danger will be at the moment when the savages find out that they have been deceived .	fic_1826_314.txt-4996-11
as we come up all the savage $ some six or eight in number $ rise quickly and appear much surprise at my appear thus suddenly amongst their umber $ but they offer d me no harm $ and they behave with most mark respect to my captor $ whom $ upon a close inspection $ i recognize to be black hawk himself $ $	6	2	savage	As we came up all the savages , some six or eight in number , rose quickly and appeared much surprised at my appearing thus suddenly amongst their umber ; but they offers d me no harm , and they behaved with most marked respect to my captor , whom , upon a close inspection , I recognized to be Black Hawk himself . "	nf_1834_755185.txt-2407-6
i be the more induce to impute to the savage the corruption of the air $ so murderous in some of the antilles $ that all the island find uninhabited be exceedingly wholesome $	9	2	savage	I am the more induced to impute to the savages the corruption of the air , so murderous in some of the Antilles , that all the islands found uninhabited were exceedingly wholesome .	nf_1836_747959.txt-1574-9
a citizen $ who enter this port $ which be now cut by a thousand keel $ in a log canoe $ tow by the wild savage $ and organize the first sabbath-school $ be still number in the rank of sabbath-school teacher $ and yet be but in the meridian of life $	26	2	savage	A citizen , who entered this port , which is now cut by a thousand keels , in a log canoe , towed by the wild savage , and organized the first Sabbath-school , is still numbered in the ranks of Sabbath-school teachers , and yet is but in the meridian of life .	mag_1854_566447.txt-26-26
there be many community $ small and savage $ an aggregation of family which live and hunt or fish together $ in which government $ under anyorganized form $ can be hardly say to exist $	7	2	savage	There are many communities , small and savage , an aggregation of families which live and hunt or fish together , in which government , under anyorganized form , can be hardly said to exist .	nf_1853_747555.txt-428-7
about the beginning of may $ scout bring in word that the track of the marauding savage tend toward fort duquesne $ as if on the return $	16	2	savage	About the beginning of May , scouts brought in word that the tracks of the marauding savages tended toward Fort Duquesne , as if on the return .	nf_1857_755095.txt-2769-16
they have deliver nearly or quite all their piece $ and if the savage be not flee in terror $ they be at the mercy of his arrow $	13	2	savage	they have delivered nearly or quite all their pieces ; and if the savage be not fled in terror , they are at the mercy of his arrows .	fic_1850_7304.txt-6010-13
among the white he come and go as he choose $ and also among the savage $ who respect him as a $ great medicine $ and prophet $ to injure whom would be to offend the great spirit $	15	2	savage	Among the whites he came and went as he chose , and also among the savages , who respected him as a " great medicine " and prophet -- to injure whom would be to offend the Great Spirit .	fic_1848_7005.txt-150-15
an awe that can not be name would steal over you as you sit by the side of this wane savage $ and see as strange thing in his face $	20	2	savage	An awe that can not be named would steal over you as you sat by the side of this waning savage , and saw as strange things in his face ,	fic_1851_746.txt-8825-20
will the grim savage of the nightly fold learn from their cry the blameless flock to spare $	3	2	savage	Will the grim savage of the nightly fold Learn from their cries the blameless flock to spare ?	fic_1820_7562.txt-1656-3
but $ at that moment $ when he appear most a stranger to the feeling of humanity $ the purpose of the savage be arrest as suddenly as if a supernatural agency have interpose in the behalf of uncas $	22	2	savage	But , at that moment , when he appeared most a stranger to the feelings of humanity , the purpose of the savage was arrested as suddenly as if a supernatural agency had interposed in the behalf of Uncas .	fic_1826_314.txt-5710-22
it be well know that colonel benjamin logan be then in the act of raise a large force in lincoln county $ and at the far would join them in twenty-four hour $ which would render them safe in pursue the savage $ and for this purpose the more prudent $ among whom be our old friend $ colonel boone $ advise their delay $ state $ as a reason $ that the indian be know to outnumber them all $ as three to one $ and	41	2	savage	It was well known that Colonel Benjamin Logan was then in the act of raising a large force in Lincoln county ; and at the furthest would join them in twenty-four hours ; which would render them safe in pursuing the savages ; and for this purpose the more prudent , among whom was our old friend , Colonel Boone , advised their delay ; stating , as a reason , that the Indians were known to outnumber them all , as three to one ; and	fic_1853_2486.txt-2893-41
our governor $ though ready to put down the heathen savage with an iron hand $ and with a will and courage that know no tremble nor hesitation $ seem not to understand the device of satan and the dangerous working of heresy on a people $ and so be timid and doubtful in these matter $ $	10	2	savage	our governor , though ready to put down the heathen savages with an iron hand , and with a will and courage that knows no trembling nor hesitation , seems not to understand the devices of Satan and the dangerous workings of heresies on a people , and so is timid and doubtful in these matters . "	fic_1860_9817.txt-896-10
syllable and letter of the name of g3d have be so transpose in dif ferent way $ and so strange and gutteral have be $ the indian pronunciation $ that it seem it take a long time to perceive that these savage be by tradition pronounce the name of the god of be rael $	41	2	savage	Syllables and letters of the name of G3d have been so transposed in dif ferent ways ; and so strange and gutteral has been , the Indian pronunciation , that it seems it took a long time to perceive that these savages were by tradition pronouncing the names of the God of Is rael .	nf_1823_747803.txt-1526-41
here he behold the wigwam of the renowned massapequas $ and find them to be an indolent devil-may-care set of savage $ forthwith take them under his kindly protection $	20	2	savage	Here he beheld the wigwams of the renowned Massapequas , and finding them to be an indolent devil-may-care set of savages , forthwith took them under his kindly protection .	fic_1853_9069.txt-923-20
all the kind attention which could suggest themselves to the mind of a savage $ be pay by her indian mother $	13	2	savage	All the kind attentions which could suggest themselves to the mind of a savage , were paid by her Indian mother .	fic_1824_7037.txt-2279-13
the astonish savage rapidly gather up their wound companion and return to the jungle once more $	2	2	savage	The astonished savages rapidly gathered up their wounded companions and returned to the jungle once more .	fic_1855_1209.txt-773-2
let me here give another brief tale of the power exert by the white man over the savage in a	17	2	savage	Let me here give another brief tale of the power exerted by the white man over the savage in a	fic_1856_2655.txt-1619-17
from these i be deliver only to be throw into the midst of savage $ to wage an endless and hopeless war with adept in kill $ with appetite that long to feast upon my bowel and to quaff my heart 's blood $	13	2	savage	From these I was delivered only to be thrown into the midst of savages , to wage an endless and hopeless war with adepts in killing ; with appetites that longed to feast upon my bowels and to quaff my heart 's blood .	fic_1827_9758.txt-4499-13
home among the star $ peck at the flag $ and incommode tashtego there $ this bird now chance to intercept its broad fluttering wing between the hammer and the wood $ and simultaneously feel that etherial thrill $ the submerge savage beneath $ in his death-gasp $ keep his hammer freeze there $ and so the bird of heaven $ with archangelic shriek $ and his imperial beak thrust upwards $ and his whole captive form fold in the flag of ahab $ go down with his ship $ which $ like satan $ would not sink to hell till she have drag a live part of heaven along with her $ and helmeted herself with it $	41	2	savage	home among the stars , pecking at the flag , and incommoding Tashtego there ; this bird now chanced to intercept its broad fluttering wing between the hammer and the wood ; and simultaneously feeling that etherial thrill , the submerged savage beneath , in his death-gasp , kept his hammer frozen there ; and so the bird of heaven , with archangelic shrieks , and his imperial beak thrust upwards , and his whole captive form folded in the flag of Ahab , went down with his ship , which , like Satan , would not sink to hell till she had dragged a living part of heaven along with her , and helmeted herself with it .	fic_1851_746.txt-10901-41
there be no blue in the transparent softness of the noonday sky $ there be no live green in the fresh sward of the luxuriant earth $ the song of the one $ and the mellow voice of the other $ receive their savage or sad tone wholly from the desolate or depraved soul which speak in the bosom of the fated actor $	43	2	savage	There is no blue in the transparent softness of the noonday sky -- there is no living green in the fresh sward of the luxuriant earth -- the songs of the one , and the mellow voices of the other , receive their savage or sad tones wholly from the desolate or depraved soul which speaks in the bosom of the fated actor .	fic_1841_7302.txt-4200-43
the wain-scoted wall around him be hang with costly painting $ mingle $ not untastefully $ with indian war club $ shield $ bow and arrow $ and other trophy win from the savage $	33	2	savage	The wain-scoted walls around him were hung with costly paintings , mingled , not untastefully , with Indian war clubs , shields , bows and arrows , and other trophies won from the savage .	fic_1838_7174.txt-401-33
when the morning break $ their horse have disappear $ and on examine the trail where they go $ they discover they have be lead away in indian file $ have be steal by savage $	34	2	savage	When the morning broke , their horses had disappeared , and on examining the trail where they went , they discovered they had been led away in Indian file , having been stolen by savages .	fic_1853_4303.txt-3287-34
the robust $ healthy $ intelligent $ brave savage be find in the possession of a large and more commodious wigwam $ of a buffalo 's skin more tastefully ornament $ of a fine horse $ of a comelier squaw $ and of superior influence $ perhaps of a commanding lead in the tribe $	8	2	savage	The robust , healthy , intelligent , brave savage is found in the possession of a larger and more commodious wigwam , of a buffalo 's skin more tastefully ornamented , of a finer horse , of a comelier squaw , and of superior influence , perhaps of a commanding lead in the tribe .	mag_1836_554391.txt-88-8
he determine to use that treachery $ which $ by savage $ be call stratagem $ and $ by civilized nation $ policy in war $	10	2	savage	He determined to use that treachery , which , by savages , is called stratagem , and , by civilized nations , policy in war .	mag_1832_564297.txt-73-10
a gigantic savage $ who all athirst for vengeance and for blood $ brandish his ponderous war-club round his head in the very act to smite $ while hamper by their numerous foemen $ neither hernando nor the page could possibly assist her at this fearful crisis $	2	2	savage	a gigantic savage , who all athirst for vengeance and for blood , brandished his ponderous war-club round his head in the very act to smite , while hampered by their numerous foemen , neither Hernando nor the page could possibly assist her at this fearful crisis .	fic_1844_7148.txt-1544-2
the veteran trapper and voyageur of lisa 's party shake their head as their comrade set out $ and take leave of them as of doom man $ and even lisa himself give it as his opinion $ after the traveller have depart $ they would never reach the shore of the pacific $ but would either perish with hunger in the wilderness $ or be cut off by the savage $	70	2	savage	The veteran trappers and voyageurs of Lisa 's party shook their heads as their comrades set out , and took leave of them as of doomed men ; and even Lisa himself gave it as his opinion , after the travellers had departed , they would never reach the shores of the Pacific , but would either perish with hunger in the wilderness , or be cut off by the savages .	nf_1836_749613.txt-2813-70
surround by this dark cloud of savage $ his fair countenance kindle by holy inspiration $ he look scarcely like a creature of earth $	6	2	savage	Surrounded by this dark cloud of savages , his fair countenance kindled by holy inspiration , he looked scarcely like a creature of earth .	fic_1827_7269.txt-1580-6
one mingle look of apprehension and affection be exchange $ and $ while the wood ring with the yell of the savage $ oronto and lena plunge into the abyss in their white canoe $	21	2	savage	One mingled look of apprehension and affection is exchanged , and , while the woods ring with the yells of the savages , Oronto and Lena plunge into the abyss in their white canoes .	nf_1856_755595.txt-2431-21
it be call the green corn dance $ or more properly speak $ the ceremony of thanksgiving for the first fruit of the earth $ the question continually recur $ whence come thing like these among the native of our continent $ or the american savage $ unless these savage be the very tribe of israel $	45	2	savage	It is called the Green Corn Dance ; or more properly speaking , the ceremony of thanksgiving for the first fruits of the earth " The question continually recurs , whence came things like these among the natives of our continent , or the American savages , unless these savages are the very tribes of Israel ?	nf_1823_747803.txt-2568-45
when do the hope of plunder fail to secure the savage $ $	10	2	savage	When did the hope of plunder fail to secure the savage ? "	fic_1850_7304.txt-2757-10
when the ship be about half disembowel $ you should have stoop over the hatchway $ and peer down upon him there $ where $ strip to his woollen drawer $ the tattooed savage be crawl about amid that dampness and slime $ like a green spotted lizard at the bottom of a well $	33	2	savage	when the ship was about half disembowelled , you should have stooped over the hatchway , and peered down upon him there ; where , stripped to his woollen drawers , the tattooed savage was crawling about amid that dampness and slime , like a green spotted lizard at the bottom of a well .	fic_1851_746.txt-8819-33
but savage be strange being $ at time you do not know exactly how to take them $	1	2	savage	But savages are strange beings ; at times you do not know exactly how to take them .	fic_1851_746.txt-1178-1
thus betray itself the simple vanity of the savage $ who $ with all his caution $ be unwilling that his prowess should remain conceal $ yet prefer its announcement from some tongue other than his own $	8	2	savage	Thus betrayed itself the simple vanity of the savage , who , with all his caution , was unwilling that his prowess should remain concealed ; yet preferred its announcement from some tongue other than his own .	fic_1857_2618.txt-2693-8
and in the heart of our city swell with prosperity $ within sound of our boast of progress and song of happiness $ exist a people more brutal than the savage whom givilization have never <nul>	30	2	savage	And in the hearts of our cities swollen with prosperity , within sound of our boasts of progress and songs of happiness , exists a people more brutal than the savages whom Givilization has never approached.	mag_1852_555767.txt-115-30
then very rare among the savage $ and but one of them be arm with bow and arrow $	5	2	savage	then very rare among the savages , and but one of them was armed with bow and arrows .	fic_1849_7230.txt-1780-5
