sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ all i know be he have a heart attack $	9	0	attack	" All I know is he had a heart attack .	fic_2002_30623.txt-303-9
at our clinic $ and at other top heart clinic across the country $ our patient almost never have heart attack $ $ agatston say $ $	20	0	attack	At our clinic , and at other top heart clinics across the country , our patients almost never have heart attacks , " Agatston says . "	mag_2007_387325.txt-12-20
$ i understand she have a heart attack $ $ regan say quietly $ $	7	0	attack	" I understand she had a heart attack , " Regan said quietly . "	fic_1993_25035.txt-820-7
it finally subside $ and though he be exhaust for day afterward $ he do not truly believe he have have a heart attack $	23	0	attack	It finally subsided , and though he was exhausted for days afterward , he did not truly believe he had had a heart attack .	fic_1994_54174.txt-61-23
some leader $ such as jack gravely $ executive secretary of the virginia branch of the national association for the advancement of color people $ point out that mr.- jackson $ through his unwillingness in the primary season to compromise and his relentless attack on some party practice $ have so change the standard against which black political leadership be measure that thing may never be the same $	43	0	attack	Some leaders , such as Jack Gravely , executive secretary of the Virginia branch of the National Association for the Advancement of Colored People , point out that Mr. Jackson , through his unwillingness in the primary season to compromise and his relentless attack on some party practices , has so changed the standards against which black political leadership is measured that things may never be the same .	news_1984_670941.txt-14-43
i think he be have a heart attack $ $	7	0	attack	I think he 's had a heart attack . "	fic_1982_780051.txt-4396-7
as a los angeles junk dealer $ foxx play a whining parent who dominate his son with phony heart attack and other transparent but successful ruse $	19	0	attack	As a Los Angeles junk dealer , Foxx plays a whining parent who dominates his son with phony heart attacks and other transparent but successful ruses .	mag_1972_278489.txt-11-19
i would have a sudden attack of swoon feminine weakness $	5	0	attack	I would have a sudden attack of swooning feminine weakness .	fic_1982_780070.txt-3698-5
in the heat of their anger $ many israeli interview today express frustration with the fruit of peace and rabin 's strategy for secure citizen against attack $ $	26	1	attack	In the heat of their anger , many Israelis interviewed today expressed frustration with the fruits of peace and Rabin 's strategy for securing citizens against attack . "	news_1994_606745.txt-26-26
german u-boat attack on american merchant ship have end three year of debate about whether the united state should enter the war $	2	1	attack	German U-boat attacks on American merchant ships had ended three years of debate about whether the United States should enter the war .	mag_2002_387140.txt-2-2
in the early 1990s $ pioneer hi-bred -- then the world 's big seed company $ now a subsidiary of dupont -- develop exactly the kind of transgenic $ herbicide-resistant sorghum that could fight off attack of striga $	35	1	attack	In the early 1990s , Pioneer Hi-Bred -- then the world 's biggest seed company , now a subsidiary of DuPont -- developed exactly the kind of transgenic , herbicide-resistant sorghum that could fight off attacks of Striga .	mag_1999_397639.txt-186-35
after its attack on president nixon 's foreign policy $ the agency transmit a straightforward	2	1	attack	After its attack on President Nixon 's foreign policy , the agency transmitted a straightforward	news_1972_729986.txt-6-2
last august the government uncover a military plot to end the war by kill saddam hussein in a bomb attack $	19	1	attack	last August the government uncovered a military plot to end the war by killing Saddam Hussein in a bomb attack .	mag_1984_299534.txt-14-19
the dreadful attack upon crystal knox have be the more dramatic aspect of it $ but the fact that $ even after that warning $ ted have actually be about to let himself be drag into the vortex of the so-called $ peace party $ movement be $ in ceil 's mind $ far more fundamental and frightening	2	1	attack	The dreadful attack upon Crystal Knox had been the more dramatic aspect of it ; but the fact that , even after that warning , Ted had actually been about to let himself be dragged into the vortex of the so-called " Peace Party " movement was , in Ceil 's mind , far more fundamental and frightening	fic_1968_781997.txt-4233-2
at any rate $ this poor old mr.- chandler have a heart attack last night $ that be all i know $	12	1	attack	At any rate , this poor old Mr. Chandler had a heart attack last night , that 's all I know .	fic_2000_29245.txt-31-12
one be that jordan 's attractive blond companion $ martha coleman $ 36 $ a longtime civil right worker in fort wayne $ be in any way involved in the attack $	30	1	attack	One was that Jordan 's attractive blond companion , Martha Coleman , 36 , a longtime civil rights worker in Fort Wayne , was in any way involved in the attack .	mag_1980_296744.txt-5-30
in our montana life my mother 's bad asthma attack mean pellmell dash of the ford into the night $ my father rush us through the black coil	9	1	attack	In our Montana life my mother 's worst asthma attacks meant pellmell dashes of the Ford into the night , my father rushing us through the black coil	fic_1993_25026.txt-440-9
they feel the war in vietnam could be conclude honorably if only the party concerned accepted u thant 's three point $ begin with the first which call for the suspension of air attack on north vietnam $	33	1	attack	They feel the war in Vietnam could be concluded honorably if only the parties concerned accepted U Thant 's three points , beginning with the first which calls for the suspension of air attacks on North Vietnam .	news_1966_725841.txt-34-33
ten day after the attack $ state department expert cataloged for powell a dozen $ silver lining $ $	4	1	attack	Ten days after the attacks , State Department experts cataloged for Powell a dozen " silver linings . "	mag_2001_412321.txt-16-4
at least one face be familiar to u.s.- investigator $ ramzi binalshibh $ a 29-year-old yemeni who appear wear a red kaffiyeh $ be name as an unindicted co-conspirator of zacarias moussaoui $ the french operative arrest in august and indict <nul> 11 for plan terrorist attack $	46	1	attack	At least one face is familiar to U.S. investigators : Ramzi Binalshibh , a 29-year-old Yemeni who appears wearing a red kaffiyeh , was named as an unindicted co-conspirator of Zacarias Moussaoui , the French operative arrested in August and indicted Dec. 11 for planning terrorist attacks .	mag_2002_371999.txt-12-46
active for islam specially in light of the terrorist attack of september 11 $ 2001 $ it be important to point out the deep ecological teaching inherent in islam $ and the very real onthe-ground project that have develop from them $	9	1	attack	Active for Islam specially in light of the terrorist attacks of September 11 , 2001 , it 's important to point out the deep ecological teachings inherent in Islam , and the very real onthe-ground projects that have developed from them .	mag_2002_398773.txt-149-9
nevertheless $ i need to know more $ to refute the attack bind to come from the temple $	11	1	attack	Nevertheless , I needed to know more , to refute the attacks bound to come from the Temple .	fic_1977_10624.txt-816-11
mubarak order his government to launch an attack on the economic malaise that many analyst consider to be the main cause of the discontent that threaten his regime $	7	1	attack	Mubarak ordered his government to launch an attack on the economic malaise that many analysts consider to be the main cause of the discontent that threatens his regime .	mag_1981_322209.txt-3-7
politician know how to exploit this appearance of be under attack and gain audience sympathy $	10	1	attack	politician knows how to exploit this appearance of being under attack and gain audience sympathy .	nf_1968_773502.txt-1151-10
it be $ say jerusalem 's liberal jewish mayor teddy kollek $ $ an attack and an insult $ not only to palestinian but to the very concept of coexistence between arab and jew $	14	1	attack	It was , said Jerusalem 's liberal Jewish Mayor Teddy Kollek , " an attack and an insult " not only to Palestinians but to the very concept of coexistence between Arabs and Jews .	news_1992_605779.txt-127-14
' some us official be also anger by what they suspect be assad ' s quiet encouragement of the attempted cross-border attack from southern lebanon into israel $	21	1	attack	' Some US officials are also angered by what they suspect is Assad ' s quiet encouragement of the attempted cross-border attacks from southern Lebanon into Israel .	news_1989_669714.txt-32-21
and yet $ despite the frequency and deadliness of their attack $ almost nothing be know about individual bomber $	10	1	attack	And yet , despite the frequency and deadliness of their attacks , almost nothing is known about individual bombers .	mag_2005_379002.txt-22-10
there be a history of recurrent episode of pneumonia in childhood the first often occur after an attack of whoop cough or measles $	17	1	attack	There is a history of recurrent episodes of pneumonia in childhood the first often occurring after an attack of whooping cough or measles .	nf_1975_773861.txt-1436-17
seize on a story with $ so to speak $ grass-root appeal $ some metropolitan newspaper and broadcaster devote more space and time to the cleanup issue last week $ than they do to the terrorist attack at the iraqi embassy in paris or anything go on in congress $	36	1	attack	Seizing on a story with , so to speak , grass-roots appeal , some metropolitan newspapers and broadcasters devoted more space and time to the cleanup issue last week , than they did to the terrorist attack at the Iraqi embassy in Paris or anything going on in Congress .	mag_1978_318618.txt-11-36
be his attack on the french revolution in reflection on the french revolution $ 1790 $ $	2	1	attack	was his attack on the French Revolution in Reflections on the French Revolution ( 1790 ) .	nf_1962_773607.txt-311-2
we believe that the united state should pursue $ on an urgent basis $ serious strategic arm control negotiation consistent with the maintenance of overall parity with the soviet union $ include $ to the full extent possible $ // - a mutual and verifiable freeze on the test $ production $ and deployment of nuclear warhead $ missile and other delivery system $ // - major $ mutual $ balance and verifiable reduction of nuclear force to lower equivalent level $ with special attention to destabilize weapon that be vulnerable to or capable of preemptive attack $ // - strict adherence by both side to all arm control agreement negotiate to date $ // - measure to prevent the use of nuclear weapon by each superpower $ such as expand political and technical mechanism to reduce the risk of war by accident or miscalculation $ including hot line among nuclear weapon state and joint united states/soviet station to enhance the command and control of nuclear weapon system $ // - systematic multilateral effort $ both political and technical $ to restrain the reckless commerce in sensitive	96	1	attack	We believe that the United States should pursue , on an urgent basis , serious strategic arms control negotiations consistent with the maintenance of overall parity with the Soviet Union , including , to the fullest extent possible : // - A mutual and verifiable freeze on the testing , production , and deployment of nuclear warheads , missiles and other delivery systems ; // - Major , mutual , balanced and verifiable reductions of nuclear forces to lower equivalent levels , with special attention to destabilizing weapons that are vulnerable to or capable of preemptive attack ; // - Strict adherence by both sides to all arms control agreements negotiated to date ; // - Measures to prevent the use of nuclear weapons by each superpower , such as expanding political and technical mechanisms to reduce the risk of war by accident or miscalculation , including hot lines among nuclear weapons states and joint United States/Soviet stations to enhance the command and control of nuclear weapons systems ; // - Systematic multilateral efforts , both political and technical , to restrain the reckless commerce in sensitive	news_1982_671107.txt-19-96
angry businessman the scope of the justide department 's attack on interlocking directorate be suggest by one of its target last month $ paul c.-a cabot $	9	1	attack	Angry Businessman The scope of the Justide Department 's attack on interlocking directorates is suggested by one of its targets last month , Paul C. Cabot .	news_1968_727226.txt-22-9
