sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
what length of time be require for him to amass sufficient dare to venture the narrow flight of stair to the attic land i can n't say $	22	0	land	What length of time was required for him to amass sufficient daring to venture the narrow flight of stairs to the attic landing I ca n't say .	fic_2002_46815.txt-448-22
they reach the last land and then the inner courtyard and now they see why they have not be challenge yet $ fire have break out following the explosion and the courtyard be fill with black smoke $	4	0	land	They reached the last landing and then the inner courtyard and now they saw why they had not been challenged yet : fires had broken out following the explosions and the courtyard was filled with black smoke .	fic_1971_782006.txt-4830-4
on the land she be wait patiently $ a girl without a calendar $	2	0	land	On the landing she 's waiting patiently ; a girl without a calendar .	fic_1982_10699.txt-8325-2
at the end of its land roll $ the plane reverse direction and lurch to a stop $	5	1	land	At the end of its landing roll , the plane reversed direction and lurched to a stop .	fic_2009_36915.txt-36-5
i look up and stand dumbstruck to see an actual airplane come stutter down to a land - just like in the movie wing $	16	1	land	I looked up and stood dumbstruck to see an actual airplane come stuttering down to a landing - just like in the movie Wings .	nf_1995_777121.txt-337-16
if the neacp be destroy on land $ the united state would lose its ability to respond properlyto a soviet attack $	6	1	land	If the NEACP was destroyed on landing , the United States would lose its ability to respond properlyto a Soviet attack .	fic_1984_10725.txt-353-6
it land on a girl at the next table $	1	1	land	It lands on a girl at the next table .	fic_1973_16200.txt-246-1
unlike most of the western park $ which be carve out of vast holding of federal land $ great smoky mountain national park be stitch together from thousands of small tract $ including farm and village that have exist for a century or more $	16	1	land	Unlike most of the western parks , which were carved out of vast holdings of federal land , Great Smoky Mountains National Park was stitched together from thousands of small tracts , including farms and villages that had existed for a century or more .	mag_2006_385056.txt-36-16
he land $ head first $ sprawl into the cop and knock about half of them off their foot $	1	1	land	He lands , head first , sprawling into the cops and knocking about half of them off their feet .	fic_2004_780501.txt-2632-1
but her last word be $ ' i be die a stranger in a strange land $ '	15	3	land	But her last words were , ' I 'm dying a stranger in a strange land . '	mag_1980_491790.txt-104-15
simultaneously $ local operative in the southeast china port of swatow $ the city near the planned land $ make hundreds of area photograph and closely monitor local chinese security force $	17	4	land	Simultaneously , local operatives in the Southeast China port of Swatow , the city near the planned landing , made hundreds of area photographs and closely monitored local Chinese security forces .	mag_1981_297525.txt-19-17
one of the // great achievement of omayyads be the conquest of spain follow the land of their famous general tarik on a rock now bear his name $ jabal-al-tarik mean the mountain of tarik ' or gibraltar $ $	15	4	land	One of the // great achievements of Omayyads was the conquest of Spain following the landing of their famous General Tarik on a rock now bearing his name ( Jabal-al-Tarik meaning the mountain of Tarik ' or Gibraltar ) .	nf_1988_773439.txt-1368-15
when the feather land $ some pile will be big than other $ $	3	4	land	When the feathers land , some piles will be bigger than others . "	news_1991_619078.txt-39-3
now about the land tonight $ $ $ you mean the spaceship be come	3	4	land	Now about the landing tonight -- " " You mean the spaceship 's coming	fic_1960_4460.txt-179-3
development of an economic surplus $ the differential possession of the land and its fruit become an additional criterion for evaluate family and individual $	11	6	land	development of an economic surplus , the differential possession of the land and its fruits became an additional criterion for evaluating families and individuals .	nf_1973_773528.txt-286-11
it -- be simply the legal application of aldo $ leopold 's land ethic $	12	6	land	It -- is simply the legal application of Aldo , Leopold 's land ethic .	news_1974_731515.txt-37-12
his 1988 itinerary have feature revival meeting $ drop-in at both u.s.- political convention and breakthrough tour in two communist land $	20	6	land	His 1988 itinerary has featured revival meetings , drop-ins at both U.S. political conventions and breakthrough tours in two Communist lands .	mag_1988_339648.txt-4-20
red man be never naked in his own land $	8	6	land	Red man is never naked in his own land .	fic_1988_10768.txt-6251-8
as the other ship approach the land $ long gangplank be run out and everyone scurry onto dry land $ happy to stretch their leg for the first time in day	18	6	land	As the other ships approached the landing , long gangplanks were run out and everyone scurried onto dry land , happy to stretch their legs for the first time in days	fic_2002_29283.txt-56-18
straight line may thus $ in hierarchical society $ have be associate with the movement of the king $ who literally $ rule the land $ $	24	6	land	Straight lines may thus , in hierarchical societies , have been associated with the movement of the king , who literally " ruled the land . "	fic_1993_25030.txt-2300-24
most of the flat land in the mountainous nation have long since be give over to city and need farm $ by necessity $ many green have be put on hillside $ where they result in the destruction of forest $ block stream and erosion $ $	4	6	land	Most of the flat land in the mountainous nation has long since been given over to cities and needed farms ; by necessity , many greens have been put on hillsides , where they result in the destruction of forests , blocked streams and erosion . "	mag_1973_280583.txt-9-4
no nation-state could be nut enough to blow up the world $ and the few barbaric exception be deal with $ if necessary with method that leave land aglow in the dark $	27	6	land	No nation-state could be nuts enough to blow up the world -- and the few barbaric exceptions were Dealt With , if necessary with methods that left land aglow in the dark .	fic_2006_27918.txt-381-27
from the taro swamp immediately behind the limestone plateau the land rise to low volcanic hill $ an extensive area of which have be plant with albizzia tree $	10	6	land	From the taro swamps immediately behind the limestone plateau the land rises to low volcanic hills , an extensive area of which has been planted with albizzia trees .	nf_1966_774177.txt-996-10
but the amount of movement that be possible be always less than in other land animal $	14	6	land	but the amount of movement that is possible is always less than in other land animals .	nf_1967_773667.txt-30-14
you can kill it by mow it regularly for four or five years-if your land be not too rough $ the vine be n't too thick and you have get the energy $	14	6	land	You can kill it by mowing it regularly for four or five years-if your land 's not too rough , the vines are n't too thick and you 've got the energy .	mag_2000_402541.txt-67-14
and rosy natural lip with but just a tiny down of sideburn wisp down the cheekbone a price they could afford $ without them she would have scare them off into the formal camp of complete ego-approach the kind american boy use for their lana turner in the rosy ballroom of the land $ use for their idea of what it be like to make lana turner and ava gardner and such $	52	6	land	and rosy natural lips with but just a tiny down of sideburn wisping down the cheekbone a price they could afford , without them she would have scared them off into the formal camps of complete ego-approach the kind American boys use for their Lana Turners in the rosy ballroom of the land , use for their idea of what it 's like to make Lana Turner and Ava Gardner and such .	fic_1972_10563.txt-303-52
the abyss between us and the past of the land seem impossible to bridge sometimes $	9	6	land	The abyss between us and the past of the land seems impossible to bridge sometimes .	fic_1993_25030.txt-1339-9
the land classification call for in this act be necessary in help the review commission formulate its recommendation $	1	6	land	The land classification called for in this act is necessary in helping the Review Commission formulate its recommendations .	nf_1972_774324.txt-151-1
i have see people blow each other to bit over a piece of land $	13	6	land	I 've seen people blow each other to bits over a piece of land .	fic_1986_16143.txt-1921-13
/// charlie ask $ as they bob and bump over the land scape $	11	6	land	/// Charlie asked , as they bobbed and bumped over the land scape .	fic_1993_25006.txt-5468-11
i myself have a family estate $ an ancient home and land $ descend unto me from my father $	11	6	land	I myself have a family estate , an ancient home and lands , descended unto me from my fathers .	fic_1976_14235.txt-1407-11
i also add $ $ i come as ambassador from the duke of lu $ a land as large and as rich as lydia $	16	6	land	I also added , " I come as ambassador from the duke of Lu , a land as large and as rich as Lydia .	fic_1981_10681.txt-9601-16
