sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
durch d völlig Analogie d Fall können d extensiv Interpretation d $ 4 Cit. rechtfertigen erscheinen $ wenn sie nicht d Charakter d Gesetz vom 4. Mai 1874 als eine Ausnahmegesetz entgegen stehen $	30	0	Ausnahmegesetz	Durch die völlige Analogie der Fälle könnte die extenſive Interpretation des § 4 cit. gerechtfertigt erſcheinen , wenn ihr nicht der Charakter des Geſetzes vom 4. Mai 1874 als eines Ausnahmegeſetzes entgegen ſtände .	laband_staatsrecht01_1876-2419-30
nachdem Hr. Arens sodann noch im Sinn d politisch Moral für Abstellung d Civilorden sprechen $ d Militärstand aber in diese Beziehung Ausnahmegesetz vindizieren haben $ ohne sich um d Ruf d Versammlung nach Schluß und um d Ermahnung d Präsident zur Kürze zu kümmern $ erscheinen Hr $	22	0	Ausnahmegesetz	Nachdem Hr. Ahrens sodann noch im Sinn der politischen Moral für Abstellung der Civilorden gesprochen , dem Militärstand aber in dieser Beziehung Ausnahmgesetze vindicirt hat , ohne sich um den Ruf der Versammlung nach Schluß und um die Ermahnung des Präsidenten zur Kürze zu kümmern , erscheint Hr .	nn_nrhz083_1848-43-22
eine Gegenstand d Spötter alle jen Elende $ die einst ihr Feldgeschrei daraus machen $ werden diese verkaufen $ geschändet $ an alle Straßeneck ausgebieten und verschachert Freiheit $ diese Freiheit $ welche d Possenreißer d Justemilieu sich mit Fußstoß einander zuwerfen $ diese gebrandmarkt und mit d Haspel d Ausnahmegesetz erwürgen Freiheit $ wieder durch ihr Vernichtung d Revolution von 1830 $ in eine groß Schmach und eine hündisch Schurkerei verwandeln $ $	50	0	Ausnahmegesetz	Ein Gegenſtand der Spötter aller jener Elenden , die einſt ihr Feldgeſchrei daraus gemacht , wird dieſe verkaufte , geſchändete , an allen Straßenecken ausgebotene und verſchacherte Freiheit ; dieſe Freiheit , welche die Poſſenreißer des Jüſte-Milieu ſich mit Fußſtößen einander zuwerfen ; dieſe gebrandmarkte und mit der Haſpel der Ausnahmsgeſetze erwürgte Freiheit , wieder durch ihre Vernichtung die Revolution von 1830 , in eine große Schmach und eine hündiſche Schurkerei verwandelt . “	boerne_paris05_1834-1904-50
während Caesar d auf d Nachricht von d pharsalischen Schlacht von d hauptstädtisch Pöbel umgestürzt Bildsäule Sullas wieder aufrichten befehlen und also es anerkennt $ dass über diese groß Mann einzig d Geschichte Gericht zu halten gebühren $ heben er zugleich d letzte noch nachwirkend Folge seine Ausnahmegesetz auf $ rufen d noch von d Kinnanischen und sertorianischen Wirre her Verbannte aus d Exil zurück und geben d Kind d von Sulla Geächtete d verloren passiv Wahlfähigkeit wieder $	47	0	Ausnahmegesetz	Während Caesar die auf die Nachricht von der pharsalischen Schlacht von dem hauptstädtischen Pöbel umgestürzten Bildsäulen Sullas wieder aufzurichten befahl und also es anerkannte , daſs über diesen groſsen Mann einzig der Geschichte Gericht zu halten gebühre , hob er zugleich die letzten noch nachwirkenden Folgen seiner Ausnahmegesetze auf , rief die noch von den cinnanischen und sertorianischen Wirren her Verbannten aus dem Exil zurück und gab den Kindern der von Sulla Geächteten die verlorene passive Wahlfähigkeit wieder .	mommsen_roemische03_1856-4491-47
d sechs Artikel sein keine Ausnahmegesetz $ wie d Liberale behaupten $ sie enthalten im Wesentliche nur d authentisch Interpretation bestehend Bundesgesetz $	5	0	Ausnahmegesetz	Die Sechs Artikel waren kein Ausnahmegeſetz , wie die Liberalen behaupteten , ſie enthielten im Weſentlichen nur die authentiſche Interpretation beſtehender Bundesgeſetze .	treitschke_geschichte04_1889-4219-5
vornehmlich auf Bayern Betrieb sein im Jahr 1824 d Giltigkeit diese Ausnahmegesetz verlängern werden $ gleichwohl haben d bayerisch Gesandte bei d Abstimmung d beiläufig Bemerkung einflechten $ man werden sie $ wie bisher $ befolgen $	11	0	Ausnahmegesetz	Vornehmlich auf Baierns Betrieb war im Jahre 1824 die Giltigkeit dieſer Ausnahmegeſetze verlängert worden ; gleichwohl hatte der bairiſche Geſandte bei der Abſtimmung die beiläufige Bemerkung eingeflochten , man werde ſie „ wie bisher “ befolgen .	treitschke_geschichte04_1889-3326-11
d Volk warten mit Spannung auf d Schicksal diese Ausnahmegesetz $	9	0	Ausnahmegesetz	Das Volk wartet mit Spannung auf das Schicksal dieses Ausnahmegesetzes .	nn_nrhz088089_1848-399-9
d Bayern rühmen sich gern $ daß bei sie allein d Karlsbader Beschluß nicht vollständig ausführen werden $ und allerdings lassen d münchener Hof nach wie vor nur politisch und statistisch Zeitschrift zensieren $ obgleich er doch selber einst am Bundestag d Verlängerung d Karlsbader Ausnahmegesetz durchsetzen haben $	45	0	Ausnahmegesetz	Die Baiern rühmten ſich gern , daß bei ihnen allein die Karlsbader Beſchlüſſe nicht vollſtändig ausgeführt würden ; und allerdings ließ der Münchener Hof nach wie vor nur politiſche und ſtatiſtiſche Zeitſchriften cenſiren , obgleich er doch ſelber einſt am Bundestage die Verlängerung der Karlsbader Ausnahmegeſetze durchgeſetzt hatte .	treitschke_geschichte05_1894-3069-45
dieselbe teilen ferner mit $ daß für Wanderversammlung $ welche d deutschnational Verein nach Bruck an d Leitha einberufen haben $ von d dortig Bezirkshauptmannschaft auf Grund d Ausnahmegesetz d Vorlage d Programm verlangen werden $ trotzdem Graf Taffe d bestimmt Versicherung abgeben haben $ daß d Ausnahmsgesetz nicht zu politisch Zwecke missbrauchen werden werden $	28	0	Ausnahmegesetz	Derſelbe theilt ferner mit , daß für Wanderverſammlungen , welche der Deutſchnationale Verein nach Bruck an der Leitha einberufen hatte , von der dortigen Bezirkshauptmannſchaft auf Grund der Ausnahmsgeſetze die Vorlage des Programms verlangt wurde , trotzdem Graf Taaffe die beſtimmte Verſicherung abgegeben hatte , daß das Ausnahmsgeſetz nicht zu politiſchen Zwecken mißbraucht werden wird .	nn_maehrisches71_1886-92-28
d General Pfuel $ von Höllenstein $ beginnen seine Friedensmission damit $ daß er d gemein Gesetz suspendieren und militärisch Ausnahmegesetz erlassen $	20	0	Ausnahmegesetz	Der General Pfuel ( von Höllenstein ) begann seine Friedensmission damit , daß er die gemeinen Gesetze suspendirte und militärische Ausnahmgesetze erließ .	nn_nrhz045_1848-12-20
