sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ laut meine Kundmachung vom 29. Mai L. J. haben d provisorisch Regierungsrat $ von die Bildung ich seine Majestät sogleich d alleruntertänigst Anzeige erstatten haben $ bis zur allerhoch Entscheidung nur d Bestimmung $ über solch d Wirkungskreis d Landesstelle überschreitend inner Landesangelegenheit zu entscheiden $ welche durch d außerordentlich Verhältnis in Folge d Ereignis in Wien Unverschieblich werden dürfen $	30	0	Entscheidung	„ Laut meiner Kundmachung vom 29. Mai l. J. hat der provisorische Regierungsrath , von dessen Bildung ich Seiner Majestät sogleich die allerunterthänigste Anzeige erstattet habe , bis zur allerhöchsten Entscheidung nur die Bestimmung , über solche den Wirkungskreis der Landesstelle überschreitende innere Landesangelegenheiten zu entscheiden , welche durch die außerordentlichen Verhältnisse in Folge der Ereignisse in Wien unverschieblich werden dürften .	nn_nrhz012013_1848-309-30
seine Ankunft $ die über seine Politik keine Zweifel übrig lassen $ tragen zur Entscheidung d Angelegenheit überhaupt bei $	14	0	Entscheidung	Seine Ankunft , die über ſeine Politik keinen Zweifel übrig ließ , trug zur Entſcheidung der Angelegenheit überhaupt bei .	ranke_reformation04_1843-4218-14
in d heutig Staat dagegen werden in d verschieden $ einander übergeordnet oder auch nebengeordnet Behörde d einheitlich Staatsgewalt tätig $ d Behörde sein durchweg auf eine Zusammenwirken anweisen und es sein daher eine Vollziehung d staatlich Geschäft gar nicht denkbar $ wenn nicht jede Beamte Entscheidung $ Verfügung und Requisition befolgen $ ohne d materiell Richtigkeit und Rechtmäßigkeit seinerseits nochmals zu prüfen und ohne von d Ausfall diese Prüfung es abhängig zu machen $ ob er seine Mitwirkung leisten oder versagen wollen $	46	0	Entscheidung	In dem heutigen Staate dagegen wird in den verſchiedenen , einander übergeordneten oder auch nebengeordneten Behörden die einheitliche Staatsgewalt thätig ; die Behörden ſind durchweg auf ein Zuſammenwirken angewieſen und es iſt daher eine Vollziehung der ſtaatlichen Geſchäfte gar nicht denkbar , wenn nicht jeder Beamte Entſcheidungen , Verfügungen und Requiſitionen befolgt , ohne die materielle Richtigkeit und Rechtmäßigkeit ſeinerſeits nochmals zu prüfen und ohne von dem Ausfall dieſer Prüfung es abhängig zu machen , ob er ſeine Mitwirkung leiſten oder verſagen will .	laband_staatsrecht01_1876-6017-46
d Entscheidung auf d Rekurs erfolgen endgültig durch d Reichs-Rayonkommission $	1	0	Entscheidung	Die Entſcheidung auf den Rekurs erfolgt endgültig durch die Reichs-Rayonkommiſſion “	laband_staatsrecht01_1876-5366-1
um in diese Alternative zu eine Entscheidung zu gelangen $ müssen wir jen Vorherrwissen für sich nehmen $ und sehen $ ob es absehen von d Kassaamt d Judas wahrscheinlich sein oder nicht $	6	0	Entscheidung	Um in dieser Alternative zu einer Entscheidung zu gelangen , müssen wir jenes Vorherwissen für sich nehmen , und sehen , ob es abgesehen von dem Cassenamt des Judas wahrscheinlich ist oder nicht ?	strauss_jesus02_1836-2656-6
es sein nur seltsam $ daß d Streit $ trotz d Entscheidung $ immer wieder von Neue aufwerfen werden können $	11	0	Entscheidung	Es war nur ſeltſam , daß der Streit , trotz der Entſcheidung , immer wieder von Neuem aufgeworfen werden konnte .	alexis_ruhe01_1852-660-11
für d Entscheidung über d Raubzug d Selektaner sein diese Fall Fliczek ungemein günstig $	2	0	Entscheidung	Für die Entſcheidung über den Raubzug der Selektaner war dieſer Fall Fliczek ungemein günſtig .	bierbaum_stilpe_1897-920-2
eine Partei $ welche für d Fall d sie ungünstig Ausgang d Rechtsstreit eine Anspruch auf Gewährleistung oder Schadloshaltung gegen eine dritt erheben zu können glauben oder d Anspruch eine dritt besorgt $ können bis zur rechtskräftig Entscheidung d Rechtsstreit d dritt gerichtlich d Streit verkünden $	37	0	Entscheidung	Eine Partei , welche für den Fall des ihr ungünſtigen Ausganges des Rechtsſtreits einen Anſpruch auf Gewährleiſtung oder Schadloshaltung gegen einen Dritten erheben zu können glaubt oder den Anſpruch eines Dritten beſorgt , kann bis zur rechtskräftigen Entſcheidung des Rechtsſtreits dem Dritten gerichtlich den Streit verkünden .	unknown_civilprozessordnung_1877-497-37
eine scharf Entscheidung sein für solch zweifelhaft Fall nur nötig $ wenn d Geber d Schenkung bereuen $ und auf d Grund d versäumen Insinuation anfechten wollen $	2	0	Entscheidung	Eine ſcharfe Entſcheidung iſt für ſolche zweifelhafte Fälle nur nöthig , wenn der Geber die Schenkung bereut , und auf den Grund der verſäumten Inſinuation anfechten will .	savigny_system04_1841-2548-2
eben in d Tag d Entscheidung in Mailand kommen man mit d Papst zum Abschluß $	5	0	Entscheidung	Eben in den Tagen der Entſcheidung in Mailand kam man mit dem Papſt zum Abſchluß .	ranke_reformation03_1840-1369-5
in Schutzbrief diese Zeit werden d Erledigung d reclamatio ad regis sententiam mitunter ausdrücklich auch d Entscheidung d Pfalzgraf vorbehalten $	16	0	Entscheidung	In Schutzbriefen dieser Zeit wird die Erledigung der reclamatio ad regis sententiam mitunter ausdrücklich auch der Entscheidung des Pfalzgrafen vorbehalten .	brunner_rechtsgeschichte02_1892-2595-16
so können er freilich keine Bürger leiden $ die sich diese Kampf entziehen $ die es bequem finden $ demselben wohlgeborgen zuschauen und d Entscheidung abwarten $ um sich dann d Sieger anschließen $	24	0	Entscheidung	ſo konnte er freilich keinen Bürger leiden , der ſich dieſem Kampfe entzog , der es bequem fand , demſelben wohlgeborgen zuzuſchauen und die Entſcheidung abzuwarten , um ſich dann den Siegern anzuſchließen .	curtius_alterthum01_1875-2865-24
zu ander Resultat gelangen Bindig a. O. $ d Beweisfrage sein selbstverständlich mit d theoretisch Entscheidung nicht zu verwechseln $	15	0	Entscheidung	Zu anderem Reſultate gelangt Binding a. O. — Die Beweisfrage iſt ſelbſtverſtändlich mit der theoretiſchen Entſcheidung nicht zu verwechſeln .	liszt_reichsstrafrecht_1881-2116-15
über d Frage $ ob d Fall zur Entscheidung d Reichsgericht eignen sein $ erkennen einzig und allein d Reichsgericht selbst $	8	0	Entscheidung	Ueber die Frage , ob der Fall zur Entscheidung des Reichsgerichts geeignet sei , erkennt einzig und allein das Reichsgericht selbst .	nn_nrhz157_1848-481-8
doch mögen im allgemein und ohne bestimmt Entscheidung für d privat- beziehungsweise vermögensrechtlich Charakter d einzeln Befugnis hinweisen werden $ auf d Recht zur ausschließlich Führung eine bestimmt Firma $ deutsch Handelsgesetzbuch Art. 15 Ff. $ $ auf d Recht zum ausschließlich Gebrauch bestimmt Warenzeichen und auf d aus erfindungs- und Einführungspatent hervorgehend Rechte $ $	7	0	Entscheidung	Doch mag im Allgemeinen und ohne bestimmte Entscheidung für den privat- beziehungsweise vermögensrechtlichen Charakter der einzelnen Befugnisse hingewiesen werden : auf das Recht zur ausschliesslichen Führung einer bestimmten Firma ( deutsches Handelsgesetzbuch Art. 15 ff. ) , auf das Recht zum ausschliesslichen Gebrauche bestimmter Waarenzeichen und auf die aus Erfindungs- und Einführungspatenten hervorgehenden Rechte . «	klostermann_eigenthum01_1867-2150-7
Ulpians Entscheidung beruhen hier auf demselben Grund wie bei d Schenkung $ nämlich auf d für diese speziell Geschäft fehlend Übereinstimmung $	1	0	Entscheidung	Ulpians Entſcheidung beruht hier auf demſelben Grunde wie bey der Schenkung , nämlich auf der für dieſes ſpecielle Geſchäft fehlenden Übereinſtimmung .	savigny_system04_1841-1938-1
2. d in sie enthalten Regel sein bald mit d einzeln Entscheidung verweben $ bald absondern aussprechen $ und dann als Grund d Entscheidung benutzen $ so daß sie in dieselbe Gestalt auch als Gesetz haben aufstellen werden können $ was nur hier nicht geschehen sein $	23	0	Entscheidung	2. Die in ihnen enthaltene Regel iſt bald mit der einzelnen Entſcheidung verwebt , bald abgeſondert ausgeſprochen , und dann als Grund der Entſcheidung benutzt , ſo daß ſie in derſelben Geſtalt auch als Geſetz hätte aufgeſtellt werden können , was nur hier nicht geſchehen iſt .	savigny_system01_1840-1469-23
wenn nun d Entscheidung wie eine Fallstrick oder eine Dieb in d Nacht eintreten $ so sollen du sorgen $ daß du wachend und betend erfinden werden $	3	0	Entscheidung	Wenn nun die Entscheidung wie ein Fallstrick oder ein Dieb in der Nacht eintritt , so sollst Du sorgen , daß Du wachend und betend erfunden werdest !	gutzkow_narren_1832-915-3
Entscheidung $ Beschluß und Anordnung d Gericht ohne mündlich Verhandlung 37 $ 46 $ 99 $ 117 $ 160 $ 187 $ 203 $ 225 $ 290 $ 304 $ 371 $ 451 $ 536 $ 647 $ 668 $ 684 $ 688 $ 776 $ 801 $ 806 $ 813 $ 816 $ 820 $ 824 einf.-g. § 7 $	0	0	Entscheidung	Entſcheidungen , Beſchlüſſe und Anordnungen der Gerichte ohne mündliche Verhandlung 37 . 46 . 99 . 117 . 160 . 187 . 203 . 225 . 290 . 304 . 371 . 451 . 536 . 647 . 668 . 684 . 688 . 776 . 801 . 806 . 813 . 816 . 820 . 824 Einf.-G. § 7 .	unknown_civilprozessordnung_1877-3685-0
er lassen sie nur 10 Minute Zeit zur Entscheidung $	8	0	Entscheidung	Er ließ ihnen nur 10 Minuten Zeit zur Entſcheidung .	hc_1381306_1832-97-8
d geschichtlich Bild wollen eine Anspannung d Gemüt $ wie Sittenbild und Landschaft sie nicht fordern $ da genügen nicht d still Vertiefung $ sondern da gelten es $ furchtbar Entscheidung mit d Entscheidung d eigen $ ganz Seelenkraft zu folgen $	33	0	Entscheidung	Das geſchichtliche Bild will eine Anſpannung des Gemüths , wie Sittenbild und Landſchaft ſie nicht fordert ; da genügt nicht die ſtille Vertiefung , ſondern da gilt es , furchtbaren Entſcheidungen mit der Entſcheidung der eigenen , ganzen Seelenkraft zu folgen .	vischer_aesthetik030203_1854-2807-33
d pfälzisch Angelegenheit entwickeln in d Unterhandlung mit Österreich $ Spanien $ Bayern und Pfalz unüberwindlich Schwierigkeit $ $ eine Verbindung mit Frankreich dagegen lassen bei d neu Richtung welche diese Macht nehmen $ eine baldig Entscheidung dieselbe durch d Waffe erwarten $	36	0	Entscheidung	Die pfaͤlziſche Angelegenheit entwickelte in der Unterhandlung mit Oeſtreich , Spanien , Baiern und Pfalz unuͤberwindliche Schwierigkeiten : — eine Verbindung mit Frankreich dagegen ließ bei der neuen Richtung welche dieſe Macht nahm , eine baldige Entſcheidung derſelben durch die Waffen erwarten .	ranke_paepste02_1836-5474-36
