sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
mit d angeboren liebenswürdig Frechheit glauben er d Verlorene wieder erobern zu können und dann auch schnell zu Amt $ Ehre und Kredit $ kurz $ zu alle zu gelangen was d Dasein wünschenswert machen $	4	0	Frechheit	Mit der angebornen liebenswürdigen Frechheit glaubte er das Verlorene wieder erobern zu können und dann auch schnell zu Amt , Ehre und Credit , kurz , zu Allem zu gelangen was das Dasein wünschenswerth macht .	weerth_schnapphahnski_1849-1012-4
da d Tollkühne aber auf ihr Entschluß beharren $ und mit eine wahrhaft unerbittlich Frechheit in er dringen $ eine Versuch zu wagen $ so gehen d verlegen Verleger zuletzt mit seine buchhändlerisch Herz zu Rate und nach einige Woche erscheinen denn auch d Zeitschrift $ Punch $ $ $ niemand denken daran $ daß sie schon nach eine halb Jahr viel Tausend von Abonnent haben werden $	14	0	Frechheit	Da die Tollkühnen aber auf ihrem Entschluß beharrten , und mit einer wahrhaft unerbittlichen Frechheit in ihn drangen , einen Versuch zu wagen , so ging der verlegene Verleger zuletzt mit seinem buchhändlerischen Herzen zu Rathe und nach einigen Wochen erschien denn auch die Zeitschrift „ Punch “ — — Niemand dachte daran , daß sie schon nach einem halben Jahre viele Tausende von Abonnenten haben werde .	nn_nrhz182_1848-172-14
auch nur mit dieselbe fest Ruhe allein können man d oft unerhört Frechheit und Verlogenheit weiblich Gauner erfolgreich gegenübertreten $ welche mit bodenlos Unverschämtheit alle Rücksicht d Weiblichkeit in Anspruch nehmen $ von die Entäußernng doch ihr Auftreten selbst eine so trüb Beweis geben $	12	0	Frechheit	Auch nur mit derſelben feſten Ruhe allein kann man der oft unerhörten Frechheit und Verlogenheit weiblicher Gauner erfolgreich gegenübertreten , welche mit bodenloſer Unverſchämtheit alle Rückſichten der Weiblichkeit in Anſpruch nehmen , von deren Entäußernng doch ihr Auftreten ſelbſt einen ſo trüben Beweis gibt .	avelallemant_gaunerthum02_1858-4038-12
$ d Staatsrat berichten über d Verhandlung mit Bowring und Maclane an Yi $ $ sie stellen eine Reihe Forderung $ mehr als eine wegen ihr Unvernunft und Frechheit unannehmbar $	28	0	Frechheit	— Der Staatsrath berichtete über die Verhandlungen mit Bowring und Maclane an Yi : » Sie stellten eine Reihe Forderungen , mehr als eine wegen ihrer Unvernunft und Frechheit unannehmbar .	berg_ostasien03_1873-3350-28
wahr Superiorität d Geist und Characters leisten er mit Freude $ was er sie schuldig sein $ er glauben sich selbst dadurch zu erheben $ wenn er d echt Verdienst ander anerkennt $ und sein fern von jen republikanisch Frechheit $ die eine Feindin jede Größe $ selbst diejenige $ die zur Erhaltung d Ganze unentbehrlich sein $ nicht ehe ruhen $ als bis sie dieselbe sich gleich $ die sein klein und nichtswürdig machen haben $	39	0	Frechheit	Wahrer Superioritaͤt des Geiſtes und Characters leiſtete er mit Freuden , was er ihr ſchuldig war ; er glaubte ſich ſelbſt dadurch zu erheben , wenn er das aͤchte Verdienſt anderer anerkannte , und war fern von jener republicaniſchen Frechheit , die eine Feindin jeder Groͤße , ſelbſt derjenigen , die zur Erhaltung des Ganzen unentbehrlich iſt , nicht ehe ruhet , als bis ſie dieſelbe ſich gleich , das iſt klein und nichtswuͤrdig gemacht hat .	fessler_eleusinien01_1802-1846-39
an Abschied und Begleit keine Gedanke $ d berüchtigt Jesuitenschüler Exvicomte Cormenin $ d so schön als Vorsitzer d Wahlzettel zu verfälschen wissen und zum Lohn dafür Vorsitzer in d Kerkerkommission werden $ besuchen diesmal d Verurteilte im Fort De L' Est und haben d unglaublich Frechheit zu sagen $ $ machen keine Anspruch auf Rücksicht $ sie sein Besiegte $ fügen ihr $ euer Verwandte dürfen ihr noch nicht begleiten $ erst wollen wir sehen $ ihr gefährlich Subjekt $ wie sie d Reise aushalten $ leben wohl $ meine Geschäft vergönnen ich nicht weiter mit ihr zu reden $ $	46	0	Frechheit	An Abschied und Begleiten kein Gedanke ; der berüchtigte Jesuitenschüler Exvicomte Cormenin ( der so schön als Vorsitzer die Wahlzettel zu verfälschen wußte und zum Lohn dafür Vorsitzer in der Kerkerkommission ward ) besuchte diesmal die Verurtheilten im Fort de L' Est und hatte die unglaubliche Frechheit zu sagen : „ macht keine Ansprüche auf Rücksichten , ihr seid Besiegte , fügt euch ; eure Verwandten dürfen euch noch nicht begleiten , erst wollen wir sehen , ihr gefährlichen Subjekte , wie ihr die Reise aushaltet ; lebt wohl , meine Geschäfte vergönnen mir nicht weiter mit euch zu reden . “	nn_nrhz085_1848-486-46
wenn sich glücklich Anlage und Scharfsinn so mit Frechheit und Anmaßung paaren $ vergessen man darüber d Haßenswürdige und Verwerfene $ was jede Abtrünnige $ jede Renegat $ und jede an seine angestammt Glauben seine Vater zum Verräter geworden ankleben $	8	0	Frechheit	Wenn ſich glückliche Anlagen und Scharfſinn ſo mit Frechheit und Anmaßung paaren , vergißt man darüber das Haſſenswürdige und Verworfene , was jedem Abtrünnigen , jedem Renegaten , und jedem an ſeinem angeſtammten Glauben ſeiner Väter zum Verräther gewordenen anklebt .	boerne_paris04_1833-2014-8
eine solch Übermaß unsauber Frechheit können in eine sittlich Volk nicht ohne Widerspruch hingehen $	4	0	Frechheit	Ein ſolches Uebermaß unſauberer Frechheit konnte in einem ſittlichen Volke nicht ohne Widerſpruch hingehen .	treitschke_geschichte04_1889-6769-4
ich sein meine bisherig Torheit und Frechheit müde $ hinter die ich doch eigentlich nur d Unmut verbergen $ daß für mein Herz $ für mein Gemüt auf diese Reise so wenig sorgen werden $ es brechen daher mein Inner mit Gewalt hervor $ und diese mögen d Ursache sein $ warum ich mich d einzeln Vorgang wenig erinnern $	6	0	Frechheit	Ich war meiner bisherigen Thorheiten und Frechheiten muͤde , hinter denen ich doch eigentlich nur den Unmuth verbarg , daß fuͤr mein Herz , fuͤr mein Gemuͤth auf dieſer Reiſe ſo wenig geſorgt werde ; es brach daher mein Inneres mit Gewalt hervor , und dieß mag die Urſache ſeyn , warum ich mich der einzelnen Vorgaͤnge wenig erinnere .	goethe_leben03_1814-1959-6
d Geschrei dieselbe ziehen eine Würgatzel herbei $ und diese verfolgen d Forscher über eine Stunde lang und nahen sich mit groß Frechheit $ als es d gefangen Vogelchen gelingen sein $ zu entkommen $ unzweifelhaft in d Absicht $ d schwach Vogel wegkapern $	22	0	Frechheit	Das Geſchrei deſſelben zog eine Würgatzel herbei , und dieſe verfolgte den Forſcher über eine Stunde lang und nahete ſich mit großer Frechheit , als es dem gefangenen Vögelchen gelungen war , zu entkommen , unzweifelhaft in der Abſicht , den ſchwachen Vogel wegzukapern .	brehm_thierleben03_1866-17992-22
