sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
dann kommen eine Päckchen mit fein gestickt Wäsche zum Vorschein $ Tuch und Manschette $ zuletzt Brief von d Mutter und von Elisabeth $	13	0	Manschette	Dann kam ein Päckchen mit feiner geſtickter Wäſche zum Vorſchein , Tücher und Manſchetten , zuletzt Briefe von der Mutter und von Eliſabeth .	storm_immensee_1852-231-13
d Kommissionär fahren sich schnell noch einmal mit d Hand über d Schnurrbart ziehen d Manschette unter d Ärmel vor und folgen d Diener $	15	0	Manschette	Der Kommiſſionär fuhr ſich ſchnell noch einmal mit der Hand über den Schnurrbart zog die Manſchetten unter den Ärmeln vor und folgte dem Diener .	polenz_buettnerbauer_1895-4576-15
daß d Kleid sechs Elle weit sein müssen und wo möglich d Staub auf d Straße kehren $ sein sie von hoch Wichtigkeit $ auch dürfen d Manschette nicht fehlen $ Mantille $ Kragen $ gestickt Taschentuch und Unterrock mit Frisur $	27	0	Manschette	Daß die Kleider ſechs Ellen weit ſein mußten und wo möglich den Staub auf der Straße kehren , war ihr von höchſter Wichtigkeit ; auch durften die Manſchetten nicht fehlen , Mantillen , Kragen , geſtickte Taſchentücher und Unterröcke mit Friſuren .	nathusius_kammerjungfer_1851-78-27
manchmal sehen ich über d Blatt hinaus im Zimmer umher $ wo ich hier eine rot Fischerkappe aus Neapel $ dort eine römisch Taschenmesser $ eine Korallenschnur oder eine silbern Haarpfeil erblicken $ dann sehen ich meine neu Beschützer aufmerksam und von Grund aus wohlwollend an $ seine weiß Weste $ seine Manschette $ und erst $ wenn er d Blatt umwenden $ fahren mein Blick wieder auf dasselbe $ um es noch einmal zu überfliegen $ ehe d nächst erscheinen $	52	0	Manschette	Manchmal ſah ich uͤber die Blaͤtter hinaus im Zimmer umher , wo ich hier eine rothe Fiſcherkappe aus Neapel , dort ein roͤmiſches Taſchenmeſſer , eine Korallenſchnur oder einen ſilbernen Haarpfeil erblickte ; dann ſah ich meinen neuen Beſchuͤtzer aufmerkſam und von Grund aus wohlwollend an , ſeine weiße Weſte , ſeine Manſchetten , und erſt , wenn er das Blatt umwandte , fuhr mein Blick wieder auf daſſelbe , um es noch einmal zu uͤberfliegen , ehe das naͤchſte erſchien .	keller_heinrich03_1854-83-52
nur zuweilen verraten sich d Mode durch eine klein Zug $ z. B. durch eine Öffnung d Kleid vorn von d Taille aufwärts $ sodaß eine geschnürt Leibchen und eine wenig von d Brust sichtbar werden $ oder es sein d Ärmel von ander Farbe als d Kleid $ oder d Vorstoß an d Hand $ welche damals bei eng Ärmel $ namentlich nach burgundisch Mode $ bis auf d Finger reichen $ sein im Gelenk zurückschlagen und gleich mit weiß Unterfutter zierlich aufgelegt Manschette $	84	0	Manschette	Nur zuweilen verräth ſich die Mode durch einen kleinen Zug , z. B. durch eine Oeffnung des Kleides vorn von der Taille aufwärts , ſodaß ein geſchnürtes Leibchen und ein wenig von der Bruſt ſichtbar wird ; oder es ſind die Aermel von anderer Farbe als das Kleid ; oder die Vorſtöße an den Händen , welche damals bei engen Aermeln , namentlich nach burgundiſcher Mode , bis auf die Finger reichten , ſind im Gelenk zurückgeſchlagen und gleichen mit weißem Unterfutter zierlich aufgelegten Manſchetten .	falke_trachten01_1858-3846-84
d fein Ton fordern $ daß man nie ohne rein Kragen $ sauber Manschette in d Gesellschaft erscheinen $ sollen deshalb im Gegensatz dazu d einzeln zu Haus d Berechtigung haben $ unsauber herumgehen $	13	0	Manschette	Der feine Ton fordert , daß man nie ohne reinen Kragen , saubere Manschetten in der Gesellschaft erscheine ; soll deshalb im Gegensatz dazu der einzelne zu Hause die Berechtigung haben , unsauber herumzugehen ?	hahn_verkehr_1898-25-13
von d Statue Papst Urban sein diejenige am Grab $ im Chor von S. Peter $ durch besonders niedlich Einzelpartie diese Art $ durchbrechen Manschette und Saum etc. $ diejenige im groß Saal d Konservatorenpalast dagegen durch keck Effektberechnung auf d Ferne merkwürdig $	24	0	Manschette	Von den Statuen Papst Urbans ist diejenige am Grabe ( im Chor von S. Peter ) durch besonders niedliche Einzelpartien dieser Art , durchbrochene Manschetten und Säume etc. , diejenige im grossen Saal des Conservatorenpalastes dagegen durch kecke Effectberechnung auf die Ferne merkwürdig .	burckhardt_cicerone_1855-12284-24
diesmal handeln es sich nicht um Manschette $ Hut und Hutband und sonstig Quisquilien $ sondern einfach um Kopf und Kragen $ Hals und Bein $ die deinige nämlich $	6	0	Manschette	Diesmal handelt es ſich nicht um Manſchetten , Hut und Hutbänder und ſonſtige Quisquilien , ſondern einfach um Kopf und Kragen , Hals und Beine , die Deinigen nämlich .	michelis_reiseschule_1869-605-6
sein es nicht lächerlich $ zu modisch Krawatte $ Frack und Manschette vorn eine mächtig Blumenstrauß zu stecken $	11	0	Manschette	Ist es nicht lächerlich , zu modischen Cravatten , Frack und Manschetten vorn einen mächtigen Blumenstrauß zu stecken ?	gutzkow_narren_1832-1391-11
d Ärmel schließen ziemlich eng an $ aber sie reichen kaum über d Ellbogen herab und sein hier in breit verziert $ Palten $ umschlagen $ aus die bis zum Handgelenk d weiß $ fein $ weitfaltig Hemdärmel mit schlafen Manschette hervortreten $	40	0	Manschette	Die Aermel ſchloſſen ziemlich eng an , aber ſie reichten kaum über den Ellbogen herab und waren hier in breiten verzierten „ Palten “ umgeſchlagen , aus denen bis zum Handgelenk die weißen , feinen , weitfaltigen Hemdärmel mit ſchlaffen Manſchetten hervortraten .	falke_trachten02_1858-2512-40
