sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
sein d Bruch abbauen $ und entstehen für d Oberfläche keine Schaden $ dann stürzen man sie am gut zusammen $ nachdem man d Pfeiler vollends abbauen haben $	3	0	abbauen	Iſt der Bruch abgebaut , und entſteht für die Oberfläche kein Schaden , dann ſtürzt man ſie am beſten zuſammen , nachdem man die Pfeiler vollends abgebaut hat .	baumstark_encyclopaedie_1835-3348-3
nebst diese beide sein noch ander künstlich Mechanismus angeben und versuchen $ aber alle wieder abbauen und d gewöhnlich zylindrisch Treibkorb abermals einführen werden $ weil diese Erfindung ihr Zwecke nur unvollkommen entsprechen haben $ mehrere Seilbruch und Reparatur vorfallen $ und dabei viel Göpelpferd zu Grund gehen sein $	15	0	abbauen	Nebst diesen beiden sind noch andere künstlichere Mechanismen angegeben und versucht , aber alle wieder abgebaut und die gewöhnlichen cylindrischen Treibkörbe abermals eingeführt worden , weil diese Erfindungen ihrem Zwecke nur unvollkommen entsprochen haben , mehrere Seilbrüche und Reparaturen vorgefallen , und dabei viele Göpelpferde zu Grunde gegangen sind .	gerstner_mechanik01_1831-5298-15
sie werden auf Rechnung d $ madame d' hayange abbauen $ die sie auf ihr Hütte zu sainte-fontaine und creutzwald verschmelzen $	9	0	abbauen	Sie wurden auf Rechnung der „ Madame d’ Hayange abgebaut , die sie auf ihren Hütten zu Sainte-Fontaine und Creutzwald verschmolz .	beck_eisen03_1897-17045-9
Sydney $ d Haupthafenstadt von Cape Breton $ liegen im Herz d Steinkohlenflöz $ die so gut sein $ als d gut von Newcastle $ vieren davon von 4'--7 $ Mächtigkeit werden abbauen $	32	1	abbauen	Sydney , die Haupthafenſtadt von Cape Breton , liegt im Herzen der Steinkohlenflötze , die ſo gut ſind , als die beſten von Newcaſtle , viere davon von 4′—7 ′ Mächtigkeit werden abgebaut .	quenstedt_mineralogie_1854-14140-32
d Turmhof Zug haben bereits für 4402427 Taler Erz liefern $ und können noch mehr Gezeugstrecke tief abbauen werden $ auf d hohebirkner Zug kommen d Meissner Stollen zwischen sechst und siebent Gezeugstrecke ein $ bis zur neunt haben dieselbe für 8469622 Taler Erz hergeben $ er sein dann bis zur äußerst Grenze seine Erzführung zu verfolgen $	17	1	abbauen	Der Thurmhöfer Zug hat bereits für 4402427 Thaler Erze geliefert , und kann noch mehr Gezeugstrecken tiefer abgebaut werden ; auf dem Hohebirkner Zug kommt der Meissner Stolln zwischen sechste und siebente Gezeugstrecke ein , bis zur neunten hat derselbe für 8469622 Thaler Erze hergegeben ; er ist dann bis zur äussersten Grenze seiner Erzführung zu verfolgen .	humboldt_gutachten_1838-109-17
d Eisensteinbergwerk werden indes zu Anfang d 16. Jahrhundert meistens noch ausschließlich nur über d Talsohle mit Stollenbetrieb abbauen $ Tiefbau sein für d geringpreisigen Eisenstein damals noch zu kostspielig $	18	1	abbauen	Die Eisensteinbergwerke wurden indes zu Anfang des 16. Jahrhunderts meistens noch ausschlieſslich nur über der Thalsohle mit Stollenbetrieb abgebaut , Tiefbau war für den geringpreisigen Eisenstein damals noch zu kostspielig .	beck_eisen02_1895-1384-18
obgleich Inschrift besagen $ dass d Fatmiden noch im Jahr 989 n. Chr. hier Bergbau betreiben haben $ so erklären sie d Ader für gänzlich abbauen $	25	1	abbauen	Obgleich Inschriften besagen , daſs die Fatmiden noch im Jahre 989 n. Chr. hier Bergbau betrieben haben , so erklären sie die Adern für gänzlich abgebaut .	beck_eisen01_1884-1203-25
wie an wenige Platz Europa haben d Natur auf Elba d reich Schatz d gut Eisenerz aufhäufen $ und wir dürfen annehmen $ dass keine Eisenerzlager in Europa so früh durch unterirdisch Bergbau abbauen werden $	33	1	abbauen	Wie an wenigen Plätzen Europas hatte die Natur auf Elba die reichsten Schätze des besten Eisenerzes aufgehäuft , und wir dürfen annehmen , daſs kein Eisenerzlager in Europa so früh durch unterirdischen Bergbau abgebaut wurde .	beck_eisen01_1884-8131-33
auch Lager hochhaltig Brauneisenerz werden an verschieden Punkt d Ural abbauen $ jekatharinenburg $ ir-kiskan u. a. a. o. $ $	10	1	abbauen	Auch Lager hochhaltiger Brauneisenerze werden an verschiedenen Punkten des Ural abgebaut ( Jekatharinenburg , Ir-Kiskan u. a. a. O. ) .	ledebur_eisenhuettenkunde_1884-9090-10
nach d Entdeckung diese und ander Erzlager beginnen d Engländer dieselbe abbauen und Eisenwerk zu errichten $ d ausgedehnt sein d d Graf von Cork in Munster $ die von Sir Charles Kot in d Grafschaft Roscommon und Leitrim in d Provinz Connaught und bei Mountrat in queens county in Leinster $ die d Graf von Londonderry zu Ballonakill in dieselbe Grafschaft $ die d Lordkanzler A. Loftus und d Viscount Ely zu Mountmelik in Kings County $ die d Sir John Dunbar in Fermanag in Ulster $ und eine andere in dieselbe Grafschaft am Ufer d Lough Erne von Sir Leonhard Blenerhasset $ die von einige londoner Kaufmann in d Grafschaft Thomond errichten $ außer noch einige an ander Platz $ die erst Erbauer unbekannt sein $	11	1	abbauen	Nach der Entdeckung dieser und anderer Erzlager begannen die Engländer dieselben abzubauen und Eisenwerke zu errichten . Die ausgedehntesten waren die des Grafen von Cork in Munster , die von Sir Charles Coote in den Grafschaften Roscommon und Leitrim in der Provinz Connaught und bei Mountrath in Queens County in Leinster , die des Grafen von Londonderry zu Ballonakill in derselben Grafschaft , die des Lordkanzlers A. Loftus und des Viscount Ely zu Mountmellick in Kings County , die des Sir John Dunbar in Fermanag in Ulster , und ein anderes in derselben Grafschaft am Ufer des Lough Erne von Sir Leonhard Blenerhaſset , die von einigen Londoner Kaufleuten in der Grafschaft Thomond errichteten , auſser noch einigen an anderen Plätzen , deren erste Erbauer unbekannt sind .	beck_eisen02_1895-19457-11
