sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
für d Einsetzen d Schlackenform werden im Mauerwerk d Gestelle zunächst eine entsprechend groß $ gewöhnlich 70 Cm hoch $ 50 Cm breit $ Öffnung aussparen und oben mit Eisenplatte C C abdecken $	32	0	abdecken	Für das Einsetzen der Schlackenform wird im Mauerwerk des Gestelles zunächst eine entsprechend grosse ( gewöhnlich 70 cm hohe , 50 cm breite ) Oeffnung ausgespart und oben mit Eisenplatten C C abgedeckt .	ledebur_eisenhuettenkunde_1884-5998-32
d Kellner rufen nun d Wartende herbei und beginnen dann d Speisetisch abdecken $	12	0	abdecken	Der Kellner rief nun den Wartenden herbei und begann dann die Speiſetiſche abzudecken .	dronke_polizeigeschichten_1846-1549-12
sollen sie aber mit Dachstein abdecken werden $ so betrachten man sie als besondere klein Dach $ und es sein dann alle dabei zu beobachten $ was wir bisher bei d Eindeckung groß Dachfläche sagen haben $	5	0	abdecken	Sollen ſie aber mit Dachſteinen abgedeckt werden , ſo betrachtet man ſie als beſondere kleine Dächer , und es iſt dann alles dabei zu beobachten , was wir bisher bei der Eindeckung großer Dachflächen geſagt haben .	menzel_maurer_1847-4284-5
d Oberfläche solch Mörtelgesims werden außerdem noch mit Zinkblech Nr. 12 abdecken $ damit d Feuchtigkeit nicht in d Mauerwerk dringen $	11	0	abdecken	Die Oberflächen ſolcher Mörtelgeſimſe werden außerdem noch mit Zinkblech Nr. 12 abgedeckt , damit die Feuchtigkeit nicht in das Mauerwerk dringe .	wanderley_bauconstructionslehre02_1878-4862-11
deshalb pflegen man dergleichen groß Dachfenster und Luke jetzt allgemein und gut mit Metall als mit Dachstein abdecken $	17	0	abdecken	Deshalb pflegt man dergleichen große Dachfenſter und Lucken jetzt allgemein und beſſer mit Metall als mit Dachſteinen abzudecken .	menzel_maurer_1847-4283-17
d zwischen d vier Viertelkreis $ die bei d Rotation durch d Scheitelpunkt d Wandbogen erzeugen werden $ liegend offen Raum c d c d c werden gewöhnlich durch eine scheitrecht Gewölbe schließen $ man legen aber auch nicht selten in diese Ebene eine jen vier Viertelkreis tangierend Kreis $ die durch eine aus d Leibung hervortretend Rippe auszeichnen werden $ diese inner Raum lassen sich dann noch durch eine klein flach böhmisch Kappe abdecken $	74	0	abdecken	Der zwiſchen den vier Viertelkreiſen , die bei der Rotation durch die Scheitelpunkte der Wandbögen erzeugt werden , liegende offene Raum c d c d c wird gewöhnlich durch ein ſcheitrechtes Gewölbe geſchloſſen ; man legt aber auch nicht ſelten in dieſe Ebene einen jene vier Viertelkreiſe tangirenden Kreis , der durch eine aus der Leibung hervortretende Rippe ausgezeichnet wird ; dieſer innere Raum läßt ſich dann noch durch eine kleine flache böhmiſche Kappe abdecken .	wanderley_bauconstructionslehre02_1878-4577-74
letztere sein oben durch Eisenplatte abdecken $ welche sich genau um d einzeln Heizrohr herum legen und auf angegießen Vorsprung an d Rohr aufruhen $ während d Krümmer sich oberhalb dieselbe befinden $	5	0	abdecken	Letztere ist oben durch Eisenplatten abgedeckt , welche sich genau um die einzelnen Heizrohre herum legen und auf angegossenen Vorsprüngen an den Rohren aufruhen , während die Krümmer sich oberhalb derselben befinden .	ledebur_eisenhuettenkunde_1884-6688-5
d Herdgrube werden vielmehr aus feucht Stübbe $ ähnlich wie eine Garherd $ schlagen und d Seitenwand nur zum Schutz gegen d Einwerfen d Beschickung oben mit eisern Platte abdecken $	29	0	abdecken	Die Herdgrube wurde vielmehr aus feuchter Stübbe , ähnlich wie ein Garherd , geschlagen und die Seitenwände nur zum Schutz gegen das Einwerfen der Beschickung oben mit eisernen Platten abgedeckt .	beck_eisen03_1897-10544-29
d schräg Oberfläche d Gesims werden aus Brett herstellen und mit Zinkblech abdecken $	12	0	abdecken	Die ſchräge Oberfläche des Geſimſes wird aus Brettern hergeſtellt und mit Zinkblech abgedeckt .	wanderley_bauconstructionslehre02_1878-4882-12
Schutzdach ordnen man mindestens 60zm über d groß Breite d Gerüst $ sie dürfen niemals über d Rinnstein nach d Straßendamm hinüber treten $ müssen von alle frei Seite mit eine 60zm hoch geschließen Brüstung versehen und mit 3zm stark Brett derartig doppelt abdecken sein $ daß d ober Brett d Fuge d unter hoch bedecken $	43	0	abdecken	Schutzdächer ordnet man mindeſtens 60zm über die größte Breite des Gerüſtes , ſie dürfen niemals über den Rinnſtein nach dem Straßendamme hinüber treten , müſſen von allen freien Seiten mit einer 60zm hohen geſchloſſenen Brüſtung verſehen und mit 3zm ſtarken Brettern derartig doppelt abgedeckt ſein , daß die oberſten Bretter die Fugen der unteren höher bedecken .	wanderley_bauconstructionslehre02_1878-2133-43
d Plattform d Gicht sein durch vier eisern Platte $ Toque $ abdecken $	12	0	abdecken	Die Plattform der Gicht war durch vier eiserne Platten ( taques ) abgedeckt .	beck_eisen03_1897-5262-12
auch hier sein d Uferzone $ welche bei tief Ebbe noch abdecken werden $ in jede Beziehung d reich und d Zahl d Art $ wie d Menge d Individuum nehmen in demselben Verhältnis ab $ als wir in d Tiefe dringen $ so daß bei tausend Fuß nur noch höchst selten Bewohner d Meeresboden finden werden $	11	0	abdecken	Auch hier iſt die Uferzone , welche bei tiefer Ebbe noch abgedeckt wird , in jeder Beziehung die reichſte und die Zahl der Arten , wie die Menge der Individuen nimmt in demſelben Verhältniſſe ab , als wir in die Tiefe dringen , ſo daß bei tauſend Fuß nur noch höchſt ſeltene Bewohner des Meeresbodens gefunden werden .	vogt_briefe02_1851-6057-11
d Absatz über d Unterbaugesims werden entweder als Wasserschlag schräg ablaufen in Zement und Dachziegel oder mit eine Rolleschicht in Zementmörtel $ oder mit sandstein- resp. Schieferplatte abdecken $	27	0	abdecken	Der Abſatz über dem Unterbaugeſims wird entweder als Waſſerſchlag ſchräg ablaufend in Cement und Dachziegeln oder mit einer Rollſchicht in Cementmörtel , oder mit Sandſtein- reſp. Schieferplatten abgedeckt .	wanderley_bauconstructionslehre02_1878-1492-27
über d Tiegel jede Abteilung befinden sich in d Decke d Ofen eine gemeinschaftlich Einsatzöffnung $ welche durch einzeln $ dicht neben einander liegend Deckel abdecken sein $	25	0	abdecken	Ueber den Tiegeln jeder Abtheilung befindet sich in der Decke des Ofens eine gemeinschaftliche Einsatzöffnung , welche durch einzelne , dicht neben einander liegende Deckel abgedeckt ist .	ledebur_eisenhuettenkunde_1884-12929-25
damit nicht Kohlenstück mit in d Bergetrog gelangen $ sein d Öffnung I durch eine Schirm n von oben her abdecken $	20	0	abdecken	Damit nicht Kohlenstücke mit in den Bergetrog gelangen , ist die Oeffnung i durch einen Schirm n von oben her abgedeckt .	ledebur_eisenhuettenkunde_1884-1393-20
sämtliche Kanal $ soweit d Bodenstein sich erstrecken $ werden nun durch eisern Platte abdecken $ auf diese kommen gewöhnlich eine Sandschicht $ o in Fig. 91 $ $ welche äußerlich durch Mauerwerk begrenzen werden $ und auf d Sandschicht werden nun erst d Bodenstein legen $	14	0	abdecken	Sämmtliche Kanäle , soweit der Bodenstein sich erstreckt , wurden nun durch eiserne Platten abgedeckt , auf diese kam gewöhnlich eine Sandschicht ( o in Fig. 91 ) , welche äusserlich durch Mauerwerk begrenzt wurde , und auf die Sandschicht wurde nun erst der Bodenstein gelegt .	ledebur_eisenhuettenkunde_1884-5861-14
man haben nur nötig $ sie mit eisern Platte als Schutz gegen Nässe und Beschädigung abdecken und rings herum mit eine etwa 3 M hoch Wand einfassen $ um d Gichtarbeiter eine Schutz gegen Sturm zu gewähren $	15	0	abdecken	Man hatte nur nöthig , sie mit eisernen Platten als Schutz gegen Nässe und Beschädigungen abzudecken und rings herum mit einer etwa 3 m hohen Wand einzufassen , um den Gichtarbeitern einen Schutz gegen Sturm zu gewähren .	ledebur_eisenhuettenkunde_1884-6299-15
sein d Kanal abdecken $ so werden entlang demselben eine 10 bis 15 Cm hoch Lage von Brassechen auftragen $ darüber d Platteln in wenig geneigt Lage so stellen $ dass d erst Reihe an d Brandmauer $ d folgend an d bereits aufgestellt sich anlehnen $	3	0	abdecken	War der Kanal abgedeckt , so wurde entlang demselben eine 10 bis 15 cm hohe Lage von Braschen aufgetragen , darüber die Blatteln in wenig geneigter Lage so gestellt , daſs die erste Reihe an die Brandmauer , die folgenden an die bereits aufgestellten sich anlehnten .	beck_eisen02_1895-16179-3
auch d Oberfläche d Gesims bestehen aus Brett $ die zum Schutz gegen d Nässe u. s. W. mit Zinkblech $ G $ abdecken werden $	23	0	abdecken	Auch die Oberfläche des Geſimſes beſteht aus Brettern , die zum Schutze gegen die Näſſe u. ſ. w. mit Zinkblech ( g ) abgedeckt wird .	wanderley_bauconstructionslehre01_1877-3217-23
d Fundament werden sowohl aus werk- $ bruch- als auch aus Ziegelstein herstellen und in d beide letzte Fall mit eine Rolleschicht $ Rolleschaar $ abdecken $	25	0	abdecken	Das Fundament wird ſowohl aus Werk- , Bruch- als auch aus Ziegelſteinen hergeſtellt und in den beiden letzten Fällen mit einer Rollſchicht ( Rollſchaar ) abgedeckt .	wanderley_bauconstructionslehre01_1877-1292-25
gewöhnlich werden zwei Schichte solch Stein über einander anbringen $ wobei natürlich d Fuge d unter Schicht durch d Stein d ober abdecken werden $	22	0	abdecken	Gewöhnlich werden zwei Schichten solcher Steine über einander angebracht , wobei natürlich die Fugen der unteren Schicht durch die Steine der oberen abgedeckt werden .	ledebur_eisenhuettenkunde_1884-5879-22
zum Zwecke d Umschaltung dagegen $ d. h. zur Absperrung d Gas drehen man d Rohr zur Seite in d durch Fig. 136 dargestellt Lage $ bringen durch Drehung d Hebel E d Gußeisenteller c vor d Öffnung d Rahmen S $ welche genau von demselben abdecken werden $ und drücken er durch Anziehen d Schraube I fest gegen d Rand dieselbe $ so dass in wenige Sekunde eine vollständig luftdicht Abschluß d Öffnung herstellen sein $	46	0	abdecken	Zum Zwecke der Umschaltung dagegen , d. h. zur Absperrung des Gases dreht man das Rohr zur Seite in die durch Fig. 136 dargestellte Lage , bringt durch Drehung des Hebels e den Gusseisenteller c vor die Oeffnung des Rahmens S , welche genau von demselben abgedeckt wird , und drückt ihn durch Anziehen der Schraube i fest gegen den Rand derselben , so dass in wenigen Secunden ein vollständig luftdichter Abschluss der Oeffnung hergestellt ist .	ledebur_eisenhuettenkunde_1884-6836-46
letztere sein durch eine aus Stück Feldspat oder Quarz gebildet Bett abdecken $	11	0	abdecken	Letzteres ist durch ein aus Stücken Feldspath oder Quarz gebildetes Bett abgedeckt .	ledebur_eisenhuettenkunde_1884-1403-11
bei hölzern Planke $ Umwehrunge $ sein Bretterwand nach Fig. 222 sehr üblich $ für gut Anlage verdienen aber d Anordnung nach Fig. 222 A--B und 224 A--B d Vorzug $ wobei gehobelt und gespundet Pfahl in Entfernung von 1,25m von einander stellen $ sie stehen entweder auf Schwelle oder sie stecken im Erdboden $ in welchem Falle d unter Ende verkohlen und teern werden $ damit d Holzwerk nicht verderben $ und oberhalb mit eine Helm abdecken werden $	77	0	abdecken	Bei hölzernen Planken ( Umwährungen ) ſind Bretterwände nach Fig. 222 ſehr üblich ; für beſſere Anlagen verdienen aber die Anordnungen nach Fig. 222 A—B und 224 A—B den Vorzug , wobei gehobelte und geſpundete Pfähle in Entfernungen von 1,25m von einander geſtellt ( ſie ſtehen entweder auf Schwellen oder ſie ſtecken im Erdboden , in welchem Falle das untere Ende verkohlt und getheert wird , damit das Holzwerk nicht verdirbt ) und oberhalb mit einem Helme abgedeckt werden .	wanderley_bauconstructionslehre01_1877-1526-77
d Haus eng bei einander $ d Nachbar gleichen $ wie eine Ei d ander $ weißgetüncht $ kahl $ mit Ziegel abdecken $	22	0	abdecken	Die Häuſer eng bei einander , den Nachbarn gleichend , wie ein Ei dem anderen , weißgetüncht , kahl , mit Ziegeln abgedeckt .	polenz_buettnerbauer_1895-6066-22
treten d Bauzaun nah als 1 M an d Rinnstein $ Gosse $ $ so sein diese durch eine eben und sorgfältig auf gezimmert Unterlage festgelegt Brettgang $ welche bis an d Bauzaun reichen $ mindestens 1 M breit sein und in gleich Höhe mit d Bürgersteig liegen müssen $ abdecken $ so daß gleichsam eine Fortsetzung d letztere bilden werden $	50	0	abdecken	Tritt der Bauzaun näher als 1 m an den Rinnſtein ( Goſſe ) , ſo iſt dieſer durch einen ebenen und ſorgfältig auf gezimmerten Unterlagen feſtgelegten Brettgang , welcher bis an den Bauzaun reicht , mindeſtens 1 m breit ſein und in gleicher Höhe mit dem Bürgerſteig liegen muß , abzudecken , ſo daß gleichſam eine Fortſetzung des letzteren gebildet wird .	wanderley_bauconstructionslehre02_1878-2114-50
d benachbart Konsole werden durch aufgeschraubt Schmiedeeisenträger verbinden $ zwischen welchen nach Erfordernis wieder kurz Querstück einschalten werden können $ schließlich werden d ganz Trägernetz mit aufgeschraubt gerippt Eisenblech abdecken $	29	0	abdecken	Die benachbarten Consolen werden durch aufgeschraubte Schmiedeeisenträger verbunden , zwischen welchen nach Erforderniss wieder kürzere Querstücke eingeschaltet werden können ; schliesslich wird das ganze Trägernetz mit aufgeschraubten gerippten Eisenblechen abgedeckt .	ledebur_eisenhuettenkunde_1884-6302-29
diese Ofen haben entweder rechteckig Grundform $ sein oben durch eine Tonnengewölbe überspannen und etwa 15 M lang $ 3.5 bis 5 M breit und ebenso hoch $ oder sie sein zylindrisch bauen und oben durch eine Kuppelgewölbe abdecken bei 8.5 M Durchmesser $ und 3.5 M Höhe bis zum Gewölbe $ oder endlich sie haben Kegelform bei 8.5 bis 9 M Durchmesser an d Grundfläche und 6 bis 8.5 M Höhe $	38	0	abdecken	Diese Oefen haben entweder rechteckige Grundform , sind oben durch ein Tonnengewölbe überspannt und etwa 15 m lang , 3.5 bis 5 m breit und ebenso hoch ; oder sie sind cylindrisch gebaut und oben durch ein Kuppelgewölbe abgedeckt bei 8.5 m Durchmesser , und 3.5 m Höhe bis zum Gewölbe ; oder endlich sie haben Kegelform bei 8.5 bis 9 m Durchmesser an der Grundfläche und 6 bis 8.5 m Höhe .	ledebur_eisenhuettenkunde_1884-1065-38
hier sein sechs Öffnung o o für ebenso viel Windform anbringen $ p sein eine siebent Öffnung $ welche durch d Tümpel abdecken und vorn durch d Wallstein schließen werden $ offen Brust $ $	22	0	abdecken	Hier sind sechs Oeffnungen o o für ebenso viele Windformen angebracht ; p ist eine siebente Oeffnung , welche durch den Tümpel abgedeckt und vorn durch den Wallstein geschlossen wird ( offene Brust ) .	ledebur_eisenhuettenkunde_1884-5694-22
d Block können man $ wie es bei d beide in Fig. 292 linksseitig gezeichnet Block geschehen sein $ mit eine aus feuerfest Materiale hergestellt Deckel $ welche eben noch willig in d Grube hineinpassen $ abdecken $ um d Kopf warm zu halten $ unbedingt notwendig sein jedoch diese Verfahren nicht $	36	0	abdecken	Die Blöcke kann man , wie es bei den beiden in Fig. 292 linksseitig gezeichneten Blöcken geschehen ist , mit einem aus feuerfestem Materiale hergestellten Deckel , welcher eben noch willig in die Grube hineinpasst , abdecken , um den Kopf wärmer zu halten ; unbedingt nothwendig ist jedoch dieses Verfahren nicht .	ledebur_eisenhuettenkunde_1884-14941-36
Markus $ die in d Verlegung d Szene nach Kapernaum mit Matthäus $ in Schilderung d groß Gedränge und d dadurch veranlaßt Besteigung d Dach mit Lukas zusammenstimmen $ gehen $ außerdem $ dass er d Zahl d Träger auf Viere festsetzen $ darin noch weiter als Lukas $ dass er dieselbe $ ohne Rücksicht auf d schon vorher vorhanden Türe $ d Dach abdecken und durch eine erst aufgegraben Öffnung d Kranke hinunterbefördern lassen $	64	2	abdecken	Markus , der in der Verlegung der Scene nach Kapernaum mit Matthäus , in Schilderung des grossen Gedränges und der dadurch veranlaſsten Besteigung des Daches mit Lukas zusammenstimmt , geht , ausserdem , daſs er die Zahl der Träger auf viere festsezt , darin noch weiter als Lukas , daſs er dieselben , ohne Rücksicht auf die schon vorher vorhandene Thüre , das Dach abdecken und durch eine erst aufgegrabene Öffnung den Kranken hinunterbefördern läſst .	strauss_jesus02_1836-788-64
auch wenn d Lattung zu weit sein $ und d Dachstein wenige als mindestens 3 Zoll einander überdecken $ sein es d Sturm leicht sich eine Loch zu machen und d Dach abdecken $	32	2	abdecken	Auch wenn die Lattung zu weit iſt , und die Dachſteine weniger als mindeſtens 3 Zoll einander überdecken , iſt es dem Sturme leicht ſich ein Loch zu machen und das Dach abzudecken .	menzel_maurer_1847-5350-32
$ wozu erst Haus abdecken und sich Flügel wachsen lassen $ wo man doch einfach per pedes durch d Haustür können $	4	2	abdecken	„ Wozu erſt Häuſer abdecken und ſich Flügel wachſen laſſen , wo man doch einfach per pedes durch die Hausthür kann ?	munzinger_japaner_1898-448-4
d Revolte entbrennen aufs wütend wieder $ da man d freigegeben Gefangene heute wieder verhaften haben $ $ .soeben ertönen Rottenfeuer d Militär in d Johannisgasse $ wo zwei Barrikade errichten und mehrere Haus abdecken sein $	34	2	abdecken	Die Revolte entbrennt auf's Wüthendste wieder , da man die freigegebenen Gefangenen heute wieder verhaftet hatte( !!! ) .Soeben ertönt Rottenfeuer des Militärs in der Johannisgasse , wo zwei Barrikaden errichtet und mehrere Häuser abgedeckt sind .	nn_nrhz105_1848-528-34
d Demolierung d $ gelb Haus $ am Stadterweiterungsplatz schreiten vorwärts und werden bereits d Dachstuhl abdecken $	16	2	abdecken	Die Demolirung des „ gelben Hauſes “ am Stadterweiterungsplatze ſchreitet vorwärts und wurde bereits der Dachſtuhl abgedeckt .	nn_maehrisches71_1886-490-16
es Kerchdach Unda eine Niederdurfe haben es Gelee halb abdecken $ sprechen De Leute $	9	2	abdecken	’s Kerchdach unda eim Niederdurfe hot ’s glee halb abgedeckt , ſprecha de Leute .	hauptmann_henschel_1899-268-9
denn es liegen wohl verstecken $ tief verstecken $ und d Dach werden er danach nicht abdecken lassen $ nun wollen ich auch mein Recht erleiden $ wie Recht sein $ sagen er hinter seine Wallhecke $	16	2	abdecken	denn es liegt wohl verſteckt , tief verſteckt , und das Dach wird er darnach nicht abdecken laſſen — nun will ich auch mein Recht erleiden , wie Recht iſt , ſagte er hinter ſeiner Wallhecke .	immermann_muenchhausen04_1839-342-16
endlich sein sie mit d Essen fertig $ d Tisch sein abdecken $ d Herd kehren und d Feuer aufschüren $	11	2	abdecken	Endlich waren sie mit dem Essen fertig , der Tisch war abgedeckt , der Heerd gekehrt und das Feuer aufgeschürt .	dickens_weihnachtsabend_1844-903-11
in eine nun sein d Hütte abdecken $ und einzeln Mensch hangen an Sparren und Balken $ um auch diese aus d Fuge zu reissen $ ja manche schweben noch oben herum $ als schon unten d Pfosten absägen sein $ d Gerippe hin- und wiederschwanken und jäh Einsturz drohen $	6	2	abdecken	In einem Nu war die Huͤtte abgedeckt , und einzelne Menſchen hingen an Sparren und Balken , um auch dieſe aus den Fugen zu reißen ; ja manche ſchwebten noch oben herum , als ſchon unten die Pfoſten abgeſaͤgt waren , das Gerippe hin- und wiederſchwankte und jaͤhen Einſturz drohte .	goethe_leben01_1811-2459-6
es geben auch z. B. im Glarnerland ganz Dorf $ da sie im Winter wochenlang keine Sonne sehen $ auch wenn sie d Dach abdecken $ nicht bloß d Vordach heruntersägen $	24	2	abdecken	Es giebt auch z. B. im Glarnerland ganze Dörfer , da ſie im Winter wochenlang keine Sonne ſehen , auch wenn ſie die Dächer abdeckten , nicht blos die Vordächer herunterſägten .	becker_arbeiter_1860-165-24
so erklären sich auch d Vorwurf $ die nach Strabo einige d Phidias darüber machen $ dass es scheinen $ als werden d Gott $ wenn er sich aufrichten $ d Dach abdecken müssen $	32	2	abdecken	So erklärt sich auch der Vorwurf , den nach Strabo Einige dem Phidias darüber machten , dass es scheine , als werde der Gott , wenn er sich aufrichte , das Dach abdecken müssen .	brunn_griechen01_1853-2853-32
d Dach werden mit Zinkblech Nr. 12 abdecken $ dagegen d Rinne aus sogenannt Schüsselblech herstellen $	7	2	abdecken	Das Dach wurde mit Zinkblech Nr. 12 abgedeckt , dagegen die Rinnen aus ſogenanntem Schüſſelblech hergeſtellt .	wanderley_bauconstructionslehre01_1877-2488-7
sie vergessen nicht einmal d Serviette ausschütteln $ als sie d Tisch abdecken $	12	2	abdecken	Sie vergaß nicht einmal die Servietten auszuſchuͤtteln , als ſie den Tiſch abdeckte .	boerne_paris03_1833-917-12
während d Winter bewohnt sie gewöhnlich d warm Ziegenstall $ treiben aber hier häufig Unfug $ indem sie Türe ausheben und so d Ziege und Schwein befreien $ Brett abdecken und andere derartig unerlaubt Ding ausführen $	29	2	abdecken	Während des Winters bewohnte ſie gewöhnlich den warmen Ziegenſtall , trieb aber hier häufig Unfug , indem ſie Thüren aushob und ſo die Ziegen und Schweine befreite , Breter abdeckte und andere derartige unerlaubte Dinge ausführte .	brehm_thierleben01_1864-2955-29
d Pferd werden $ am gut an eine schön warm Nachmittag $ mit eine leicht Decke bekleiden $ einspannen und im kurz Trab fahren $ sodann werden dasselbe ausspannen $ abdecken und d Schweiß mit eine geeignet Instrument abschaben $ Scraped $ $	30	3	abdecken	Das Pferd wird , am besten an einem schönen warmen Nachmittage , mit einer leichten Decke bekleidet , eingespannt und im kurzen Trabe gefahren ; sodann wird dasselbe ausgespannt , abgedeckt und der Schweiss mit einem geeigneten Instrumente abgeschabt ( scraped ) .	silberer_traber_1883-600-30
d vier Löwe sein abdecken $ und man haben Vitriol auf d Militär hinabgießen $	4	4	abdecken	Die vier Löwen sind abgedeckt , und man hat Vitriol auf das Militär hinabgegossen .	nn_nrhz296_1849-189-4
