sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
sein früh Hauptwerk $ in d entlegen Kirche d Abbazia $ links vom Portal $ sein eine groß ehemalig Türlünette $ d $ mater misericordiae $ $ von jen reich deutsch Lieblichkeit d Antlitz $ die aus so manche venezianisch Marmorkopf d xiv. Jahrh. herausschauen $ stehen zwischen klein kniend Mönch $ die Gebärde und Bildniszug d tief Andacht ausdrücken $ Engel halten d Gewand d Jungfrau über sie ausspannen $ d übrig Raum sein ausfüllen durch Laubwerk mit d Halbfigur von Prophet $ d Kind sein als Relief in d kolossal Agraffe versetzen $ welche d Mantel d Maria zusammenhalten $ eine in diese architektonisch Stil und in diese Zeit vollkommen glücklich Kühnheit $ $ zu d Seite zwei Engelstatue $ dekorativ und fast roh wie d Lünette auch $ aber von demselben tief Ausdruck $	69	0	ausspannen	Sein frühstes Hauptwerk , in der entlegenen Kirche der Abbazia ( links vom Portal ) ist eine grosse ehemalige Thürlunette ; die „ Mater misericordiæ “ , von jener reichen deutschen Lieblichkeit des Antlitzes , die aus so manchem venezianischen Marmorkopf des XIV. Jahrh. herausschaut , steht zwischen kleinern knieenden Mönchen , deren Geberden und Bildnisszüge die tiefste Andacht ausdrücken ; Engel halten das Gewand der Jungfrau über ihnen ausgespannt ; der übrige Raum ist ausgefüllt durch Laubwerk mit den Halbfiguren von Propheten ; das Kind ist als Relief in die colossale Agraffe versetzt , welche den Mantel der Maria zusammenhält — eine in diesem architektonischen Styl und in dieser Zeit vollkommen glückliche Kühnheit . — Zu den Seiten zwei Engelstatuen , decorativ und fast roh wie die Lunette auch , aber von demselben tiefen Ausdruck .	burckhardt_cicerone_1855-10934-69
um letztere auch auf groß Entfernung zu sicher $ können man auch eine Rahmen $ in welchem parallel drehen ausspannen sein $ anstatt eine einzeln Drahtpaar in d Schußlinie bringen $	19	0	ausspannen	Um Letzteres auch auf grössere Entfernungen zu sichern , kann man auch einen Rahmen , in welchem parallele Drähte ausgespannt sind , anstatt eines einzelnen Drahtpaares in die Schusslinie bringen .	siemens_abhandlungen_1881-344-19
ich haben es schon ziemlich früh merken $ schon früh haben ich auf meine Pilgerfahrt im Traum immer d Regenschirm ausspannen und alle Pinzgauern $ die paarweise hinter ich drein wallen $ zurufen $ sie sollen auch ihr Parapluie auseinandertuen $ damit man trocken in d Orient kommen und nicht d Kleid zu wechseln brauchen $ wo wegen d herrschend Wassermangel d Wäsche so teuer sein $	20	0	ausspannen	Ich hatte es schon ziemlich früh gemerkt , schon früh hatte ich auf meiner Pilgerfahrt im Traume immer den Regenschirm ausgespannt und allen Pinzgauern , die paarweise hinter mir drein wallten , zugerufen , sie sollten auch ihre Parapluies auseinanderthun , damit man trocken in den Orient käme und nicht die Kleider zu wechseln brauche , wo wegen des herrschenden Wassermangels die Wäsche so theuer sey .	steub_tirol_1846-6805-20
d Finger d Vorderfuß sein $ d Daumen ausnehmen $ lang als d ganz Körper diese Tier $ und zwischen dieselbe sein d zart Flatterhaut ausspannen $ $ 43. $ $	25	0	ausspannen	Die Finger der Vorderfüße sind , den Daumen ausgenommen , länger als der ganze Körper dieser Thiere ; und zwischen denselben ist die zarte Flatterhaut ausgespannt ( §. 43. ) .	blumenbach_naturgeschichte_1830-873-25
zwischen sie sein auch eben so wie zwischen jene eine Ligamentum Interosseum ausspannen $ $ 393. 397. $ u. s. W $	12	0	ausspannen	Zwischen ihnen ist auch eben so wie zwischen jenen ein ligamentum interosseum ausgespannt ( §. 393. 397. ) u. s. w .	blumenbach_knochen_1807-4153-12
d Zapfen sitzen gleichsam auf eine etwas schmal Halse $ hinter welche d Querband im erst Wirbel $ $ 226. $ ausspannen sein $	21	0	ausspannen	Der Zapfen sitzt gleichsam auf einem etwas schmalern Halse , hinter welchem das Querband im ersten Wirbel ( §. 226. ) ausgespannt ist .	blumenbach_knochen_1807-2733-21
diese einfach Instrument bestehen aus eine einzig Saite $ welche über eine Resonanzboden ausspannen sein $ und unter welche sich eine verschiebbar Steg befinden $ mittels die man d Saite abteilen und so beliebig Bruchteil dieselbe durch Anschlagen in Schwingung versetzen können $	13	0	ausspannen	Dieses einfache Instrument besteht aus einer einzigen Saite , welche über einen Resonanzboden ausgespannt ist , und unter welcher sich ein verschiebbarer Steg befindet , mittelst dessen man die Saite abtheilen und so beliebige Bruchtheile derselben durch Anschlagen in Schwingungen versetzen kann .	wundt_medizinische_1867-3076-13
bei d Fledermaus sein d an d Vorderfuß ungemein lang und dünne $ und zwischen sie sein eine zart Haut ausspannen $ die zum Flattern dienen $	20	0	ausspannen	Bey den Fledermäusen sind die an den Vorderfüßen ungemein lang und dünne ; und zwischen ihnen ist eine zarte Haut ausgespannt , die zum Flattern dient .	blumenbach_naturgeschichte_1821-535-20
diese christlich $ nicht römisch $ bürger- Charakter müssen frei und selbständig $ d. h. d Adel und d Geistlichkeit gegenüber $ $ denn wo sein Freiheit ohne Nebenfreiheit $ und Selbstständigkeit eine Stand ohne Gegenselbstständigkeit Andere $ ausbilden sein $ ehe Columbus und Vasco Di Gama ihr Segel ausspannen dürfen $	49	0	ausspannen	Dieſer chriſtliche , nicht Roͤmiſche , Buͤrger- Charakter mußte frei und ſelbſtſtaͤndig , d. h. dem Adel und der Geiſtlichkeit gegenuͤber , — denn wo iſt Freiheit ohne Nebenfreiheit , und Selbſtſtaͤndigkeit eines Standes ohne Gegenſelbſtſtaͤndigkeit Andrer — ausgebildet ſeyn , ehe Columbus und Vasco di Gama ihre Segel ausſpannen durften .	mueller_staatskunst02_1809-567-49
da es untunlich sein $ sie in d bieten hineinnehmen $ legen sie d Verunglückte in d Netz $ die sich unter ihr Bote ausspannen lassen $	24	0	ausspannen	Da es unthunlich war , ſie in das Bot hineinzunehmen , legten ſie die Verunglückten in das Netz , das ſich unter ihrem Bote ausſpannen ließ .	lasswitz_planeten01_1897-5368-24
