sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
es können also d allgemein Grundsatz hier voranstellen werden $	7	0	voranstellen	Es kann alſo der allgemeine Grundſatz hier vorangeſtellt werden :	beseler_kommentar_1851-9308-7
es sein sogar bequem für d Darstellung d Pädagogik $ d Unterrichts-Lehre voranstellen $ und d unmittelbar Rücksicht auf d Charakter-Bildung nachfolgen zu lassen $	12	0	voranstellen	Es ist sogar bequem für die Darstellung der Pädagogik , die Unterrichts-Lehre voranzustellen , und die unmittelbaren Rücksichten auf die Charakter-Bildung nachfolgen zu lassen .	herbart_psychologie02_1825-5575-12
$ Leute $ die bei ihr da Sint $ müssen Bauwn und reuten $ d Bebauen sein als d wesentlich $ wichtig d Reuten voranstellen $ ebenso Konrad $ Trojanerkr $ 6263 $	24	0	voranstellen	„ Liute , die bî ir dâ sint , müeʒen bûwn und riuten ( das Bebauen ist als das Wesentliche , Wichtigere dem Reuten vorangestellt ; ebenso Konrad , Trojanerkr . 6263 :	wackernagel_poetik_1873-5430-24
ich meinen d folgend Satz $ die ich noch eine paar ohnehin ersichtlich $ aber zu d Gruppe gehörend voranstellen haben $ 17 $ 18 $ [formel] 19 $ 20 $	19	0	voranstellen	Ich meine die folgenden Sätze , denen ich noch ein paar ohnehin ersichtliche , aber zu der Gruppe gehörende vorangestellt habe : 17 ) 18 ) [Formel] 19 ) 20 )	schroeder_logik03_1895-4680-19
als Grundsatz dürfen nunmehr voranstellen werden $ dass d Bildung d Verstand in eben d Maß d Willen entwickeln helfen $ als sie $ nach d Grundforderung Pestalozzi $ d Selbsttätigkeit in Anspruch nehmen $ und als d Stoffliche in sie sich d Formale unterordnen $	4	0	voranstellen	Als Grundsatz darf nunmehr vorangestellt werden : dass die Bildung des Verstandes in eben dem Maasse den Willen entwickeln hilft , als sie , nach der Grundforderung Pestalozzis , die Selbstthätigkeit in Anspruch nimmt , und als das Stoffliche in ihr sich dem Formalen unterordnet .	natorp_sozialpaedagogik_1899-2870-4
denn eben jen Idealgestalt $ welche sie als d endlich Ergebnis alle künstlerisch Bemühung ansehen $ welche sie in eine zu auffallend Übereinstimmung mit d Manierist ganz negativ als Ding erklären $ welche auch in Bezug auf d Form teils d wirklich entgegensetzen sein $ teils d Wirkliche übertreffen $ sein nicht d Ergebnis $ sondern d Voraussetzung ihr Darlegung $ welche sie als eine rund $ keine Entwicklung $ keine Beweis bedürftig Forderung voranstellen $ und als solch durch eine Entscheidend sollen oder müssen d Leser ankündigen $	74	0	voranstellen	Denn eben jene Idealgeſtalten , welche ſie als das endliche Ergebniß aller kuͤnſtleriſchen Bemuͤhungen anſehen , welche ſie in einer zu auffallenden Uebereinſtimmung mit den Manieriſten ganz negativ als Dinge erklaͤren , welche auch in Bezug auf die Form theils dem Wirklichen entgegengeſetzt ſind , theils das Wirkliche uͤbertreffen , ſind nicht das Ergebniß , ſondern die Vorausſetzung ihrer Darlegung , welche ſie als eine runde , keiner Entwickelung , keines Beweiſes beduͤrftige Forderung voranſtellen , und als ſolche durch ein entſcheidendes Soll oder Muß dem Leſer ankuͤndigen .	rumohr_forschungen01_1827-352-74
es können z. B. eine Philosophie eine verhältnismäßig schon reich und erfüllt metaphysisch Prinzip aufstellen haben $ und da d Ästhetik eine d richtig Probe eine Metaphysik sein $ so sollen man erwarten $ daß eine ebenso konkret ästhetisch Prinzip sich hier finden lassen $ die sich von selbst im System da einreihen $ wo zuerst d Grundidee in ihr weit Allgemeinheit voranstellen werden $ dann d abstrakt Moment ihr Entwicklung sich in ihr Gesamteinheit zusammenfassen $	62	0	voranstellen	Es kann z. B. eine Philoſophie ein verhältnißmäßig ſchon reiches und erfülltes metaphyſiſches Prinzip aufgeſtellt haben , und da die Aeſthetik eine der richtigſten Proben einer Metaphyſik iſt , ſo ſollte man erwarten , daß ein ebenſo concretes äſthetiſches Prinzip ſich hier finden laſſe , das ſich von ſelbſt im Syſtem da einreihe , wo zuerſt die Grundidee in ihrer weiteſten Allgemeinheit vorangeſtellt wird , dann die abſtracteren Momente ihrer Entwicklung ſich in ihre Geſammteinheit zuſammenfaſſen .	vischer_aesthetik01_1846-511-62
nicht alle Klasse von Vegetationsform sein gleich gut eignen $ d Beziehung zwischen Klima und besonders eingerichtet Periodizität zu zeigen $ wenn wir d wichtig herausgreifen wollen $ obgleich schließlich auch d unwichtig sich d durch sie scharf bezeichnet Periode mehr oder wenige ohne Änderung anschließen $ so sein d Baum in ihr nach groß Grundzug gescheiden Vegetationsform voranstellen $ außerdem mehrere auf einzeln Zone fast allein beschränkt Vegetationsklasse wie d Mangrove $ Liane $ Epiphyten $ stamm- und Blattsukkulente $ Dornstrauch $ Glaciale Stauden und d xerophil Form d Staudenklasse $	58	0	voranstellen	Nicht alle Klassen von Vegetationsformen sind gleich gut geeignet , die Beziehungen zwischen Klima und besonders eingerichteter Periodizität zu zeigen ; wenn wir die wichtigsten herausgreifen wollen , obgleich schliesslich auch die unwichtigeren sich der durch sie scharf bezeichneten Periode mehr oder weniger ohne Aenderung anschliessen , so sind die Bäume in ihren nach grossen Grundzügen geschiedenen Vegetationsformen voranzustellen , ausserdem mehrere auf einzelne Zonen fast allein beschränkte Vegetationsklassen wie die Mangroven , Lianen , Epiphyten , Stamm- und Blattsucculenten , Dornsträucher , glaciale Stauden und die xerophilen Formen der Staudenklasse .	drude_pflanzengeographie_1890-725-58
sie sein dann berechtigt und stehen mit d ganz Schulzesegen Bewegung vollständig auf eine Linie $ wenn sie d erziehend Tätigkeit $ d geistig Hebung voranstellen und erreichen $	25	0	voranstellen	Sie iſt dann berechtigt und ſteht mit der ganzen Schulze’ſchen Bewegung vollſtändig auf einer Linie , wenn ſie die erziehende Thätigkeit , die geiſtige Hebung voranſtellt und erreicht .	schmoller_kleingewerbe_1870-6005-25
von d ursprünglich Absicht $ demselben als Einleitung eine Geschichte d Entwicklung d Seeschiffahrt voranstellen $ müssen Umgang nehmen werden $ weil d Band sonst gar zu umfangreich werden sein $	14	0	voranstellen	Von der ursprünglichen Absicht , demselben als Einleitung eine Geschichte der Entwicklung der Seeschiffahrt voranzustellen , musste Umgang genommen werden , weil der Band sonst gar zu umfangreich geworden wäre .	lehnert_seehaefen01_1891-30-14
