sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ d Mittel d Verteidigung gegen solch Angriff sein $ 1 $ d Vorlage eine Laudum $ d. h. eine d Würdenträger d Woiwodschaft vorgelegt Attest d Wahlbeamte $ daß diese und diese rechtmäßig wählen sein $ 2 $ d Nachweis $ daß d gegen d gewählt eingelegt Protest von solch unterschreiben sein $ welche persönlich auf d Landtag nicht gegenwärtig sein sein $ oder daß sie 3 $ obwohl gegenwärtig ihr Widerspruch bei d Wahl nicht laut erklären haben $ 4 $ daß d Protestierende ohne Grundbesitz im Bezirk sein $ 5 $ daß gegen sie selbst Condemnate vorliegen $ oder endlich 6 $ d Einbringen eine Verzicht auf d Condemnat von Seite die $ auf die Klage es erlassen sein $	99	0	vorliegen	„ Die Mittel der Vertheidigung gegen ſolche Angriffe waren : 1 ) die Vorlage eines laudum , d. h. eines den Würdenträgern der Woiwodſchaft vorgelegten Atteſtes der Wahlbeamten , daß dieſer und dieſer rechtmäßig gewählt ſei ; 2 ) der Nachweis , daß der gegen den Gewählten eingelegte Proteſt von ſolchen unterſchrieben ſei , welche perſönlich auf dem Landtage nicht gegenwärtig geweſen wären , oder daß ſie 3 ) obwohl gegenwärtig ihren Widerſpruch bei der Wahl nicht laut erklärt hätten ; 4 ) daß die Proteſtirenden ohne Grundbeſitz im Bezirk wären ; 5 ) daß gegen ſie ſelbſt Condemnate vorlägen , oder endlich 6 ) das Einbringen eines Verzichts auf das Condemnat von Seiten deſſen , auf deſſen Klage es erlaſſen war .	roepell_polen_1876-2258-99
es sein eine solch Verhältnis auch gar nicht vorliegen $ vielmehr sein d Grund d Mehrausgabe von jährlich 159,000 Thlr $ für d Kriegsministerium in eine zu kompliziert Geschäftsführung $ in eine Verwaltung zu suchen $ wo immer eine d ander kontrollieren $ bis endlich eine Antrag $ die vielleicht eine ganz Jahr hindurch von eine Hand in d ander gehen sein $ schließlich mit d beliebt Entscheidung $ $ wegen Beiratehigkeit d Mittel $ ad acta $ $ beseitigen werden $ obgleich 28 Million jährlich bei zweckmäßig Verwendung und wenn man nicht immer und ewig von d Idee ausgehen $ $ unsere Heeresverwaltung sein unverbesserlich $ daran dürfen nicht entfernt rütteln werden $ $ obgleich 28 Mill $ doch eine sehr bedeutend Spielraum gewähren $ um d als gut erkennt Verbesserung ins Leben zu führen $	8	0	vorliegen	Es ist ein solches Verhältniß auch gar nicht vorliegend , vielmehr ist der Grund der Mehrausgabe von jährlich 159,000 Thlr . für das Kriegsministerium in einer zu complizirten Geschäftsführung , in einer Verwaltung zu suchen , wo immer Einer den Andern controllirt , bis endlich ein Antrag , der vielleicht ein ganzes Jahr hindurch von einer Hand in die andere gegangen ist , schließlich mit der beliebten Entscheidung : „ wegen Beiräthigkeit der Mittel ‒ ad acta , “ beseitigt wird , obgleich 28 Millionen jährlich bei zweckmäßiger Verwendung und wenn man nicht immer und ewig von der Idee ausginge : „ unsere Heeresverwaltung ist unverbesserlich , daran darf nicht entfernt gerüttelt werden , “ obgleich 28 Mill . doch einen sehr bedeutenden Spielraum gewähren , um die als gut erkannten Verbesserungen ins Leben zu führen .	nn_nrhz279ii_1849-14-8
hierdurch müssen d Arbeit d Gepräge eine allgemein Tierkunde erhalten $ und da diese Allgemeinheit nun einmal anbahnen $ beschließen ich $ d ursprünglich Plan so zu erweitern $ wie er jetzt in d Ausführung vorliegen $	35	0	vorliegen	Hierdurch mußte die Arbeit das Gepräge einer allgemeinen Thierkunde erhalten , und da dieſe Allgemeinheit nun einmal angebahnt , beſchloß ich , den urſprünglichen Plan ſo zu erweitern , wie er jetzt in der Ausführung vorliegt .	brehm_thierleben01_1864-28-35
doch geben ich d Trügerische diese Argumentation zu $ obgleich bei d Fülle d zu Tag gekommen Vase voraussetzen werden dürfen $ dass wir d meiste wirklich populär und verbreitet Type vorliegen $	31	0	vorliegen	Doch gebe ich das Trügerische dieser Argumentation zu , obgleich bei der Fülle der zu Tage gekommenen Vasen vorausgesetzt werden darf , daſs uns die meisten wirklich populären und verbreiteten Typen vorliegen .	robert_griechische_1881-929-31
an diese punkten nun sein schon in d Kapiteln über Solon $ s. 51 $ klar werden $ dass Aristoteles von eine fremd Erzählung abhängen $ und weil es hier so besonders deutlich sein $ und auch die schon feststehen $ dass dieselbe Erzählung hier in d Schiderung und oben in d geschichtlich Darstellung zu Grund liegen $ haben ich ich diese auf d Schluß aufsparen $ es haben für ich völlig ausreichen $ zu schließen $ dass d ganz Darstellung d Verfassung nichts sein als eine stark und ungleich kürzend $ einzeln natürlich besondere licht aufsetzend $ namentlich latent polemisierend $ und wie sich für eine Schriftstellern von Reputation $ die in Athen schreiben $ schicken $ durchgehends auf d Zustand d derzeit geltend recht hin revidiert Wiedergabe fremd Arbeit $ ich haben mich d Mühe nicht verdrießen lassen $ d ganz Partie Stück für Stück durchsprechen $ und bedauern d Monotonie meine Darstellung nicht $ aber ich wissen von vorn herein $ dass d Ergebnis keine andere sein können $ als was d eine Exempel auch schon erkennen lassen $ ich können nicht in jede einzeln fallen beschwören $ dass Aristoteles und nicht eine Abschreiber etwas weglassen haben $ ich können häufig nicht entscheiden $ ob unsere Grammatikerüberlieferung d aristotelisch Bericht zu Grund legen und aus ander parallel Überlieferung ergänzen haben $ oder aber d Grammatikerüberlieferung auf dieselbe Tradition direkt zurückgehen $ die auch Aristoteles ausziehen haben $ vorkommen sein beide $ ich können fast nie sagen $ ob Aristoteles d attisch Gesetz selbst benutzen haben $ oder $ was ich persönlich für d ziemlich immer zutreffend halten $ wie bei d Θεσμοϑετῶν Ἀνάκϱισις eine schriftlich Verarbeitung $ ich können keine Sonderung seine vorliegen vornehmen $ und ich hüten mich wohl mit d Name Androtion oder andere zu spielen $ die sein alle für ich als Schriftstellern unbehaglich $	285	0	vorliegen	An diesem punkte nun ist schon in dem capitel über Solon ( s. 51 ) klar geworden , daſs Aristoteles von einer fremden erzählung abhängt , und weil es hier so besonders deutlich ist , und auch das schon feststeht , daſs dieselbe erzählung hier in der schiderung und oben in der geschichtlichen darstellung zu grunde liegt , habe ich mir dies auf den schluſs aufgespart . es hat für mich völlig ausgereicht , zu schlieſsen , daſs die ganze darstellung der verfassung nichts ist als eine stark und ungleich kürzende , einzeln natürlich besondere lichter aufsetzende , namentlich latent polemisirende , und wie sich für einen schriftsteller von reputation , der in Athen schreibt , schickt , durchgehends auf den zustand des derzeit geltenden rechtes hin revidirte wiedergabe fremder arbeit . ich habe mich der mühe nicht verdrieſsen lassen , die ganze partie stück für stück durchzusprechen , und bedaure die monotonie meiner darstellung nicht ; aber ich wuſste von vorn herein , daſs das ergebnis kein anderes sein könnte , als was das eine exempel auch schon erkennen lieſs . ich kann nicht in jedem einzelnen falle beschwören , daſs Aristoteles und nicht ein abschreiber etwas weggelassen hat . ich kann häufig nicht entscheiden , ob unsere grammatikerüberlieferung den aristotelischen bericht zu grunde gelegt und aus anderer paralleler überlieferung ergänzt hat , oder aber die grammatikerüberlieferung auf dieselbe tradition direct zurückgeht , die auch Aristoteles ausgezogen hatte . vorgekommen ist beides . ich kann fast nie sagen , ob Aristoteles die attischen gesetze selbst benutzt hat , oder , was ich persönlich für das ziemlich immer zutreffende halte , wie bei der ϑεσμοϑετῶν ἀνάκϱισις eine schriftliche verarbeitung . ich kann keine sonderung seiner vorlagen vornehmen , und ich hüte mich wol mit dem namen Androtion oder anderen zu spielen . das ist alles für mich als schriftsteller unbehaglich :	wilamowitz_aristoteles01_1893-1232-285
als aber jetzt d Entwurf vollenden vorliegen $ da erheben sich eine allgemein Sturm am Hof $ unter d Adel $ im Ministerium selbst $	6	0	vorliegen	Als aber jetzt die Entwürfe vollendet vorlagen , da erhob ſich ein allgemeiner Sturm am Hofe , unter dem Adel , im Miniſterium ſelbſt .	treitschke_geschichte03_1885-1726-6
auch d Plan d Klassensteuer erscheinen $ wie er vorliegen $ noch sehr unfertig $ fast roh $	9	0	vorliegen	Auch der Plan der Klaſſenſteuer erſchien , wie er vorlag , noch ſehr unfertig , faſt roh .	treitschke_geschichte03_1885-1351-9
es fragen sich aber $ ob nicht anderweitig Tatsache vorliegen $ die nur in diese Annahme ihr Erklärung finden können $ und diese sollen besonders noch nach eine Seite hin beleuchten werden $	9	0	vorliegen	Es fragt sich aber , ob nicht anderweitige Thatsachen vorliegen , die nur in dieser Annahme ihre Erklärung finden können , und dies soll besonders noch nach einer Seite hin beleuchtet werden .	weismann_keimplasma_1892-4257-9
so kommen $ in Beantwortung d erst Frage unsere speziell Problem $ d Klasse A nur vor in Verbindung mit b c d1 + b c1 δ + b1 c d1 + b1 c1 δ + b1 c1 d1 $ und wo eine von diese fünf Kombination vorliegen $ da können auch a sich finden $ A1 aber kommen nur mit d drei b c δ + b c1 d1 + b1 c δ verbinden vor $ und entweder bei mindestens eine von d fünf werden A oder bei mindestens eine von d drei werden A1 sich auch finden müssen $ da nicht alle Glied $ die Summe ja = 1 sein $ zugleich verschwinden können $	47	0	vorliegen	So kommt — in Beantwortung der ersten Frage unsres speziellen Problems — die Klasse a nur vor in Verbindung mit b c d1 + b c1 d + b1 c d1 + b1 c1 d + b1 c1 d1 , und wo eine von diesen fünf Kombinationen vorliegt , da kann auch a sich finden ; a1 aber kommt nur mit den dreien b c d + b c1 d1 + b1 c d verbunden vor ; und entweder bei mindestens einer von den fünfen wird a oder bei mindestens einer von den dreien wird a1 sich auch finden müssen , da nicht alle Glieder , deren Summe ja = 1 ist , zugleich verschwinden können .	schroeder_logik01_1890-8162-47
dass weder d Vernunft die $ was hier vorliegen $ ausdenken $ noch d schauend Verstand es deuten können $ machen es nicht wenige wirklich $	8	0	vorliegen	Dass weder die Vernunft das , was hier vorliegt , ausdenken , noch der schauende Verstand es deuten kann , macht es nicht weniger wirklich .	chamberlain_grundlagen02_1899-850-8
