sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
diese Abgesang gehen zart in d wohlig Schnarchen eine Schläfer über $ die jedoch iah abbrechen $ als eine $ Prost $ $ aus fünf $ sechs Kehle erklingen und danach d $ achtzehn $ zwanzig Zwo eine Skatrunde $	1	0	Abgesang	Dieser Abgesang ging zart in das wohlige Schnarchen eines Schläfers über , das jedoch iah abbrach , als ein „ Prost ! " aus fünf , sechs Kehlen erklang und danach das „ Achtzehn — zwanzig zwo einer Skatrunde .	26120215_1989_10_21_01_225.tcf.xml-11-1
nachdem Fischbacher d Berufung eine eigen bayerisch Staatspräsident verlangen haben $ schließen er mit d Ruf $ Bayern d Bayern $ und Lügte zum Abgesang hinzu $	24	0	Abgesang	Nachdem Fischbacher die Berufung eines eigenen bayerischen Staatspräsidenten verlangt hatte , schloß er mit dem Ruf „ Bayern den Bayern " und lügte zum Abgesang hinzu :	26120215_1947_11_16_01_038.tcf.xml-4-24
nun kommen im Film leider eine unerträglich Länge $ Kaulsdorfer Hausfrau und Berufstätige ziehen unter d endelos Abgesang d Lied $ d Wandern sein d Müller Lust $ in d umliegend Ortsteile $ um einkaufen $	17	0	Abgesang	Nun kommt im Film leider eine unerträgliche Länge : Kaulsdorfer Hausfrauen und Berufstätige ziehen unter dem endlosen Abgesang des Liedes „ Das Wandern ist des Müllers Lust " in die umliegenden Ortsteile , um einzukaufen .	26120215_1961_05_27_01_236.tcf.xml-24-17
d gemeinsam Abgesang $ Ad6 zur gut Nacht $ Iipb d schonen und stimmungsvoll Nachmittac und mit er d Kultur Woche harmonisch ausklinken $	2	0	Abgesang	Der gemeinsame Abgesang .. Ad6 zur guten Nacht " IipB den schonen und stimmungsvollen Nachmittac und mit ihm die Kultur woche harmonisch ausklinken .	2532889X_1946-06-09_01_061.tcf.xml-35-2
Alfons werden mit Blikken regulär sturmreif schießen und tänzeln bald wie dunnemals d dick Falstaff mit d Abgesang $ wie freuen ich ich $ We freuen ich ich $ wie treiben ich d Verlan $	17	0	Abgesang	Alfons wurde mit Blikken regulär sturmreif geschossen und tänzelte bald wie dunnemals der dicke Falstaff mit dem Abgesang „ Wie freu ich mich , we freu ich mich , wie treibt mich das Verlan -	26120215_1952_02_03_01_263.tcf.xml-9-17
gegen 0.30 Uhr marschieren d Faschist auf d Befehl $ Kompanie marschieren und unter Abgesang d Lied $ d Fahne hoch $ d Reihe fest schließen $ randalieren d Kreuzbergstraße entlang $	14	0	Abgesang	Gegen 0.30 Uhr marschierten die Faschisten auf den Befehl „ Kompanie marsch und unter Abgesang des Liedes „ Die Fahne hoch , die Reihen fest geschlossen " randalierend die Kreuzbergstraße entlang .	26120215_1955_07_06_01_015.tcf.xml-5-14
noch keine Woche nach ihr Abgesang $ Allerletztes aus d Dadaer $ stellen sich hans-ek- $ Ktuüt Wenzel und Steffen Mensching in d Akademie d Kunst $ pushen von d buschfunk- Produktion $ auf d neu politisch Tat-Sache um und ein $ -hundekomödie $ nennen sie ihr $ neu Clownsabend $ $	5	0	Abgesang	Noch keine Woche nach ihrem Abgesang „ AllerLetztes aus der DaDaeR " stellten sich Hans-Ek- ■ ktuüt Wenzel und Steffen Mensching in der Akademie der Künste , gepusht von der Buschfunk- Produktion , auf die neuen politischen Tat-Sachen um und ein . -Hundekomödie " nennen sie ihren „ neuen Clownsabend " :	26120215_1990_10_13_01_206.tcf.xml-2-5
8. Riemenwerk d Zugtier $ 9. d auf d Strophe und Gegenstrophe folgend Abgesang $ 11. Streitmacht $ 13. Nordostfranzosische Textilindustriestadt $	13	0	Abgesang	8. Riemenwerk der Zugtiere ,' 9. der auf die Strophe und Gegenstrophe folgende Abgesang , 11. Streitmacht , 13. nordostfranzosische Textilindustriestadt .	26120215_1975_06_27_01_111.tcf.xml-3-13
58 gebiegen Haltevorrichtung $ 60. d auf d Strophe und Geaenstrophe folgend Abgesang $ 62. Staat in Vorderasien $ 64. griechisch Gott $ 8s $	12	0	Abgesang	58 gebogene Haltevorrichtung , 60. der auf die Strophe und Geaenstrophe folgende Abgesang , 62. Staat in Vorderasien , 64. griechischer Gott , 8S .	26120215_1975_11_29_01_366.tcf.xml-27-12
im Gegenteil $ d $ Figaro $ haben darauf hinweisen können $ daß d unsterblich Komödiengestalt $ die er seine Namen verdenken $ in eine Krisenzeit schaffen werden sein $ d d unsere ähneln $ und daß vielleicht schon eine neu Beaumarchais am Werk sein $ um eine sterbend Klasse d satirisch Abgesang zu schreiben $	52	0	Abgesang	Im Gegenteil : der „ Figaro " hätte darauf hinweisen können , daß die unsterbliche Komödiengestalt , der er seinen Namen verdenkt , in einer Krisenzeit geschaffen worden ist . die der unseren ähnelt , und daß vielleicht schon ein neuer Beaumarchais am Werke ist , um einer sterbenden Klasse den satirischen Abgesang zu schreiben .	26120215_1947_02_18_01_055.tcf.xml-24-52
