sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
gründen werden diese Bau als hoch Mädchenschule $ Cecilien Lyzeum $ im Jahr 1910 $	9	0	Lyzeum	Gegründet wurde dieser Bau als höhere Mädchenschule „ Cecilien Lyzeum " im Jahre 1910 .	26120215_1988_02_23_01_213.tcf.xml-3-9
unvergeßlich Eindruck von ihr Aufenthalt in Berlin schildern polnisch Jugendliche d Xxv. allgemeinbildend Lyzeum $ J. Wybicki $ aus Warschau in ihr Brief an Erich Honecker $	13	0	Lyzeum	Unvergeßliche Eindrücke von ihrem Aufenthalt in Berlin schilderten polnische Jugendliche des XXV. Allgemeinbildenden Lyzeums „ j. Wybicki " aus Warschau in ihrem Brief an Erich Honecker .	26120215_1986_07_26_01_021.tcf.xml-11-13
diese Geschichte enthüllen wir d wahr Charakter Braguelottes $ denn $ wie wir nachher erfahren $ zeigen er d gleich Haltung d Inspektor d rumänisch Lyzeum d Stadt gegenüber $	25	0	Lyzeum	Diese Geschichte enthüllte uns den wahren Charakter Braguelottes . denn , wie wir nachher erfuhren , zeigte er die gleiche Haltung dem Inspektor des Rumänischen Lyzeums der Stadt gegenüber .	26120215_1950_04_06_01_040.tcf.xml-30-25
zwischen d ernst- Thälmann-Oberschule Schwedt und d Lyzeum $ Juliusz Slowadci $ in Debno entwickeln sich eine eng Zusammenarbeit $	7	0	Lyzeum	Zwischen der Ernst- Thälmann-Oberschule Schwedt und dem Lyzeum „ Juliusz Slowadci " in Debno entwickelt sich eine enge Zusammenarbeit .	2532889X_1973-12-23_01_198.tcf.xml-2-7
wegen d Ausschreitung in eine Lyzeum d Stadt müssen d gesamt Unterricht einstellen werden $	5	0	Lyzeum	Wegen der Ausschreitungen in einem Lyzeum der Stadt mußte der gesamte Unterricht eingestellt werden .	26120215_1978_01_12_01_209.tcf.xml-4-5
Tag d neu Jahr polnisch Gast zu Besuch $ lieben Freund $ die wir seit Jahr kennen $ d Direktor d ökonomisch Lyzeum von Zielona Gora $ Jan Konieczny $ sein Stellvertreter Mieczyslaw Bartkowlak und die Frau Irena sowie $ d polnisch Deutschlehrerin Irena Rajewska mit ihr Ehemann $	22	0	Lyzeum	Tagen des neuen Jahres polnische Gäste zu Besuch , liebe Freunde , die wir seit Jahren kennen : der Direktor des ökonomischen Lyzeums von Zielona Gora , Jan Konieczny , sein Stellvertreter Mieczyslaw Bartkowlak und dessen Frau Irena sowie ^ die polnische Deutschlehrerin Irena Rajewska mit ihrem Ehemann .	2532889X_1972-01-23_01_065.tcf.xml-3-22
d studierend Jugend d staatlich pädagogisch Lyzeum in Warschau besitzen eine ausgezeichnet organisiert Ultur=ensemble $ die Leistung sich durch hoch künstlerisch Niveau Ausz Eichnen $	6	0	Lyzeum	Die studierende Jugend des Staatlichen Pädagogischen Lyzeums in Warschau besitzt ein ausgezeichnet organisiertes ultur=Ensemble , dessen Leistungen sich durch hohes künstlerisches Niveau ausz eichnen .	2532889X_1952-04-18_01_079.tcf.xml-1-6
nach seine Rückkehr 1936 sein er als Pädagoge in Tirana und danach bis 1939 am Lyzeum Jn Korea tätig $ wo er zu eine d aktiv Führer d kommunistisch Gruppe werden $	15	0	Lyzeum	Nach seiner Rückkehr 1936 war er als Pädagoge in Tirana und danach bis 1939 am Lyzeum Jn Korea tätig , wo er zu einem der aktivsten Führer der kommunistischen Gruppe wurde .	2532889X_1985-04-12_01_113.tcf.xml-4-15
Ueckermünde regelmäßig finden Erfahrungsaustausch zwischen Schüler und Lehrer d Kopernikus-Oberschule Torgelow und d kopernikus- Lyzeum in Kolobrzeg statt $	14	0	Lyzeum	Ueckermünde Regelmäßig finden Erfahrungsaustausche zwischen Schülern und Lehrern der Kopernikus-Oberschule Torgelow und dem Kopernikus- Lyzeum in Kolobrzeg statt .	2532889X_1977-04-22_01_071.tcf.xml-1-14
seit 20 Jahr verbinden d Lyzeum von Kowary und d karl-pflugbeil- Oberschule fest Freundschaft $	5	0	Lyzeum	Seit 20 Jahren verbindet das Lyzeum von Kowary und die Karl-Pflugbeil- Oberschule feste Freundschaft .	2532889X_1984-08-04_01_400.tcf.xml-7-5
gegen d Kriegsvertrag sprechen sich auch d Facharbeiter und Techniker eine Werft in Montreuil $ d sozialistisch Sektion und d kommufmstische Parteiorganisation von Etueffont im Gebiet von Beifort $ kommunistisch und sozialistisch Arbeiter in St. Saulve im Departement Nord $ d Lehrer d pariser Lyzeum Buffon sowie 131 Arbeiter eine Lyoner Hüttenwerk aus $	44	0	Lyzeum	Gegen die Kriegsverträge sprachen sich auch die Facharbeiter und Techniker einer Werft in Montreuil , die sozialistische Sektion und die kommufMstische Parteiorganisation von Etueffont im Gebiet von Beifort , kommunistische und sozialistische Arbeiter in St. Saulve im Departement Nord , die Lehrer des Pariser Lyzeums Buffon sowie 131 Arbeiter eines Lyoner Hüttenwerkes aus .	26120215_1954_02_16_01_020.tcf.xml-10-44
d Film nutzen vor alle text- und Bilddokument aus d groß Vernichtungslager d Angkar $ einrichten in d früh Lyzeum Tuol Sleng in Phnom Penh $ sowie d Aussage von sieben Mann $ die als einzig diese Hölle überleben haben $	19	0	Lyzeum	Der Film nutzt vor allem Text- und Bilddokumente aus dem größten Vernichtungslager der Angkar , eingerichtet in dem früheren Lyzeum Tuol Sleng in Phnom Penh , sowie die Aussagen von sieben Männern , die als einzige diese Hölle überlebt haben .	26120215_1981_12_12_01_073.tcf.xml-10-19
sie sollen eine gut Lehrerin sein $ aber ihr Ansicht sein vielleicht d eine Lyzeum d Jahrhundertwende $	14	0	Lyzeum	Sie soll eine gute Lehrerin sein , aber ihre Ansichten sind vielleicht die eines Lyzeums der Jahrhundertwende .	26120215_1949_10_26_01_035.tcf.xml-75-14
hier leuchten d erst elektrisch Birne Aut $ werden d erst hundert Rundfunkapparat anschließen $ zehn neu stebenklatslge Schule $ eine Lyzeum $ zahlreich Kulturhelm $ vier neuerbaut Lichtspielhaus haben ihr Pforte für d nach Kultur dürstend Seele öffnen im Land D*r lieb Berg geben es nun neu Besdiaftigungazwelge $	21	0	Lyzeum	Hier leuchteten die ersten elektrischen Birnen aut , wurden die ersten hundert Rundfunkapparate angeschlossen , Zehn neue stebenklatslge Schulen , ein Lyzeum , zahlreiche Kulturhelme , vier neuerbaute Lichtspielhäuser haben ihre Pforten für die nach Kultur dürstenden Seelen geöffnet Im Lande d*r lieben Berge gibt es nun neue Besdiaftigungazwelge .	26120215_1954_12_29_01_032.tcf.xml-53-21
Paris 50000 Lehrer d technisch Lyzeum und Fachschule sein in ganz Frankreich in eine 48stündigen Ausstand treten $	5	0	Lyzeum	Paris 50000 Lehrer der technischen Lyzeen und Fachschulen sind in ganz Frankreich in einen 48stündigen Ausstand getreten .	2532889X_1972-09-29_01_152.tcf.xml-5-5
d heutig Lyzeum $ Josef Haltrich d nur wenige Meter unterhalb d Gipfel d Burgberg errichten werden $ zählen etwa 600 Schüler $	2	0	Lyzeum	Das heutige Lyzeum „ Josef Haltrich das nur wenige Meter unterhalb des Gipfels des Burgberges errichtet wurde , zählt etwa 600 Schüler .	26120215_1976_06_10_01_086.tcf.xml-24-2
Beruf $ Sportlehrer am Lyzeum und in d Papierfabrik von Tervakoski	4	0	Lyzeum	Beruf : Sportlehrer am Lyzeum und In der Papierfabrik von Tervakoski	2532889X_1962-07-02_01_061.tcf.xml-3-4
