sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
d Versklavung d zu 70 Prozent von Kreole und Mestize $ zu 27 Prozent von Mulatte und Neger bewohnt Land werden für d Volk immer unerträglich $	15	0	Mulatte	Die Versklavung des zu 70 Prozent von Kreolen und Mestizen , zu 27 Prozent von Mulatten und Negern bewohnten Landes wird für das Volk immer unerträglicher .	2532889X_1971-08-05_01_101.tcf.xml-14-15
$ verzeihen sie d Störung $ Maestro $ klingen eine angenehm Stimme $ und eine Gesicht treten in d Lichtschein d Morgensonne $ fremdartig und dunkel $ d Antlitz eine Mulatte $	30	0	Mulatte	„ Verzeihen Sie die Störung , Maestro . klang eine angenehme Stimme , und ein Gesicht trat in den Lichtschein der Morgensonne , fremdartig und dunkel — das Antlitz eines Mulatten .	26120215_1952_03_23_01_046.tcf.xml-11-30
und sein nicht d Mulatte in seine Begleitung $ die tückisch Antlitz sie $ als sie gestern abend d Balsa verlassen $ sehen und d sie unter Tausend wiedererkennen wollen $	4	0	Mulatte	Und war nicht der Mulatte In seiner Begleitung , dessen tückisches Antlitz sie , als sie gestern abend die Balsa verließ , gesehen und den sie unter Tausenden wiedererkennen wollte ?	26120215_1952_05_17_01_215.tcf.xml-4-4
mit diese Roman $ Flucht nach Santarim $ $ er werden in diese Jahr im Militärverlag erscheinen $ schließen sie nach $ Hochzeit mit d Tod $ und $ Mordkommando $ weiß Wind $ $ d Geschichte d Mulatte Orestes $ eine Hafenarbeiter aus Brasilien $ ab $	38	0	Mulatte	Mit diesem Roman „ Flucht nach Santarim " , er wird in diesem Jahr im Militärverlag erscheinen , schließen Sie nach „ Hochzeit mit dem Tod " und „ Mordkommando . Weißer Wind ' " die Geschichte des Mulatten Orestes , eines Hafenarbeiters aus Brasilien , ab .	26120215_1985_04_13_01_109.tcf.xml-10-38
mein Vater sein Mulatte $ d roßvater Neger und d Ur roßvater Affe $	3	0	Mulatte	Mein Vater war Mulatte , der roßvater Neger und der Ur roßvater Affe .	2532889X_1966-10-22_01_285.tcf.xml-5-3
aus d Tür d Kombüse schauen eine Kopf mit d weiß Mütze eine Koch heraus $ und gleich danach erscheinen eine flink Mulatte $ die ich meine Koffer abnehmen und sie in d für ich reserviert Kabine bringen $	22	0	Mulatte	Aus der Tür der Kombüse schaute ein Kopf mit der weißen Mütze eines Kochs heraus , und gleich danach erschien ein flinker Mulatte , der mir meine Koffer abnahm und sie in die für mich reservierte Kabine brachte .	26120215_1950_01_21_01_041.tcf.xml-73-22
Fortunato entgehen d Blick nicht $ die d Mulatte wie unwillkürlich dabei nach Jacinta hinüberschweifen lassen $ ohne daß d Bursche dabei eine Miene verziehen haben $	8	0	Mulatte	Fortunato entging der Blick nicht , den der Mulatte wie unwillkürlich dabei nach Jacinta hinüberschweifen ließ , ohne daß der Bursche dabei eine Miene verzogen hätte .	26120215_1952_05_17_01_215.tcf.xml-62-8
d Kritik in d Artikel $ $ d Mulatte $ in d Meisterstufoe $ kommen für unsere Kombinat im recht Moment $	8	0	Mulatte	Die Kritik in dem Artikel „ . Der Mulatte ' in der Meisterstufoe " kam für unser Kombinat im rechten Moment .	2532889X_1970-12-14_01_145.tcf.xml-7-8
$ wenn sie s denn mit klar Wort hören wollen $ $ brummen d Mulatte $ $ so können ich d auch recht sein $	14	0	Mulatte	„ Wenn Ihr s denn mit klaren Worten hören wollt " , brummte der Mulatte , „ so kann mir 's auch recht sein .	26120215_1952_06_01_01_032.tcf.xml-18-14
heute Verörfent leihen wir d zweit Antwort auf unsere kritisch Beitrag $ d Mulatte in d Meisterstube $ $	13	0	Mulatte	Heute verörfent liehen wir die zweite Antwort auf unseren kritischen Beitrag „ Der Mulatte in der Meisterstube " .	2532889X_1970-09-21_01_057.tcf.xml-1-13
sie klagen über d Hitze $ über Da3 -Afrikanische Klima Brasilien $ diese unzivilisiert Klimaj d nur für Neger und Mulatte schaffen sein $ $	20	0	Mulatte	Sie klagte über die Hitze , über da3 -afrikanische Klima Brasiliens , dieses unzivilisierte Klimaj das nur für Neger und Mulatten geschaffen ist " .	2532889X_1955-04-27_01_122.tcf.xml-18-20
neben er d riesig Mulatte auf eine Pferd $ mit die er d General fast um eine ganz Körperlänge überragen $	4	0	Mulatte	Neben ihm der riesige Mulatte auf einem Pferde , mit dem er den General fast um eine ganze Körperlänge überragte .	26120215_1952_05_30_01_041.tcf.xml-12-4
in d Stadt Port Elizabeth stoßen eine 24-jahrig Mulatte auf seine Fahrrad mit eine Lastwagen zusammen und bleiben mit schwer Verletzung liegen $	8	0	Mulatte	In der Stadt Port Elizabeth stieß ein 24jähriger Mulatte auf seinem Fahrrad mit einem Lastwagen zusammen und blieb mit schweren Verletzungen liegen .	2532889X_1955-12-07_01_073.tcf.xml-4-8
tatsachelich entstehen die erst $ ernsthaft Zerwürfnis mit meine Teilhaber $ die zu meine Austritt aus d Geschäft führen $ durch $ inen Zwischenfall diese Art. Me- Orab haben eine Schar ausgezeichnet Leute aus Nord-Carolina mitbringen $ darunter eine ungewöhnlich hübsch jung Frau mit eine niedlich klein Junge $ die gerade $ u sprechen anfangen $ sehr hell Mulatte $ Gie haben wirklich als Weiße $ reiten können $	58	0	Mulatte	Tatsachlich entstand das erst « ernsthafte Zerwürfnis mit meinen Teilhabern , das zu meinem Austritt aus dem Geschäft führte , durch « inen Zwischenfall dieser Art. Me- Orab hatte eine Schar ausgezeichneter Leute aus Nord-Carolina mitgebracht , darunter eine Ungewöhnlich hübsche junge Frau mit einem niedlichen kleinen Jungen , der gerade « U sprechen anfing — sehr helle Mulatten , gie hätten wirklich als Weiße « reiten können .	26120215_1954_06_10_01_032.tcf.xml-21-58
$ da schlagen d Knall d beide abgefeuert Gewehr an sein Ohr $ die sein d verabredet Zeichen eine drohend Gefahr $ und Major Barbadoes schauen in Verzweiflung zu d leer Fenster hinauf $ denn wie eine Blitz sein d klein Mulatte zurückspringen $ um in seine Uniform zu fahren und seine Säbel umschnallen $	41	0	Mulatte	— Da schlug der Knall der beiden abgefeuerten Gewehre an sein Ohr — das war das verabredete Zeichen einer drohenden Gefahr , und Major Barbadoes schaute in Verzweiflung zu dem leeren Fenster hinauf , denn wie ein Blitz war der kleine Mulatte zurückgesprungen , um in seine Uniform zu fahren und seinen Säbel umzuschnallen .	26120215_1952_06_22_01_263.tcf.xml-44-41
ermutigen Durch^das $ Bejt spielen d amerikanisch $ Negerdichter lang hughes $ spuren Guillen d kulturell Widerstand auf $ die in d populär Sons $ d Tanzlied d Mulatte $ stecken $	28	0	Mulatte	Ermutigt durch^das , BeJt spiel des amerikanischen ^ Negerdichters Längsten Hughes , spurt Guillen den kulturellen Widerstand auf , der in den populären Sons , den Tanzliedern der Mulatten , steckt .	2532889X_1982-07-10_01_068.tcf.xml-9-28
