sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Unsicherheit $ Unentschlossenheit beweisen $ auch sein Haarschnitt eine unbenennbar Zwischenform von Bürstenfrisur und langhaarig korrektheit- obwohl er nicht	2	0	Unentschlossenheit	Unsicherheit , Unentschlossenheit bewies ' auch sein Haarschnitt eine unbenennbare Zwischenform von Bürstenfrisur und langhaariger Korrektheit- Obwohl er nicht	2532889X_1973-10-06_01_142.tcf.xml-82-2
unter d Westmächte herrschen $ Uneinigkeit $ Unentschlossenheit und Ungewißheit $ über d jetzt einzuschlagend Politik $ schreiben d Usa-Journalist Shackford in eine Kommentar zur international Lage $	7	0	Unentschlossenheit	Unter den Westmächten herrsche „ Uneinigkeit , Unentschlossenheit und Ungewißheit " über die jetzt einzuschlagende Politik , schreibt der USA-Journalist Shackford in einem Kommentar zur internationalen Lage .	26120215_1950_11_30_01_009.tcf.xml-3-7
nach d kürzlich vorgenehmen Umbildung d Organisationskomitee bestehen nun $ nach eine lang Phase d Unentschlossenheit $ Klarheit über notwendig Erweiterung und Modernisierung von Sportanlage und d Bau neu Sportstätte sowie städtebaulich und verkehrstechnisch Veränderung $	15	0	Unentschlossenheit	Nach der kürzlich vorgenommenen Umbildung des Organisationskomitees besteht nun — nach einer längeren Phase der Unentschlossenheit - Klarheit über notwendige Erweiterungen und Modernisierungen von Sportanlagen und den Bau neuer Sportstätten sowie städtebauliche und verkehrstechnische Veränderungen .	2532889X_1980-10-29_01_138.tcf.xml-7-15
so glauben d berliner sich schon am Ziel alle Wunsch $ als Seier in halbrecht Position eine Unentschlossenheit in d jenaer Hintermannschaft zum Ausgleich nutzen $	17	0	Unentschlossenheit	So glaubten die Berliner sich schon am Ziel aller Wünsche , als Seier in halbrechter Position eine Unentschlossenheit in der Jenaer Hintermannschaft zum Ausgleich nutzte .	26120215_1987_08_27_01_094.tcf.xml-24-17
andererseits scheinen d Unbeholfenheit und Unentschlossenheit d jung Mann mehr und mehr d Eigenart d gesamt Roman zu bestimmen $	5	0	Unentschlossenheit	Andererseits scheint die Unbeholfenheit und Unentschlossenheit des jungen Mannes mehr und mehr die Eigenart des gesamten Romans zu bestimmen .	26120215_1981_03_11_01_094.tcf.xml-29-5
nach torlos erst Hälfte $ in die d Unentschlossenheit d Gastgeber bei Torschuß wieder einmal auffallen $ ergeben eine kraß Fehler d recht	8	0	Unentschlossenheit	Nach torloser erster Hälfte , in der die Unentschlossenheit des Gastgebers bei Torschüssen wieder einmal auffiel , ergab ein krasser Fehler der rechten	26120215_1973_09_23_01_058.tcf.xml-16-8
d BSV haben es gegen d Meister Nordstern in d Hand $ eine Unentschieden zu erzwingen $ mangelnd Einsatzfreudigkeit und Unentschlossenheit Dea zusammenhanglos Wilmersdorfer Sturm $ verhindern Iedoch eine Punkteteilung $	20	0	Unentschlossenheit	Der BSV hatte es gegen den Meister Nordstern in der Hand , ein Unentschieden zu erzwingen — mangelnde Einsatzfreudigkeit und Unentschlossenheit dea zusammenhanglosen Wilmersdorfer Sturms - verhinderten iedoch eine Punkteteilung .	2532889X_1950-03-14_01_099.tcf.xml-3-20
Herzog Johann $ die zum Hochverräter an seine Land werden $ aber durch d Unentschlossenheit Eriks schließlich doch d Macht ergreifen können $ werden von Christoph Engel als blaßfüchsiger Intrigant spielen $	14	0	Unentschlossenheit	Herzog Johann . der zum Hochverräter an seinem Land wird , aber durch die Unentschlossenheit Eriks schließlich doch die Macht ergreifen kann , wird von Christoph Engel als blaßfüchsiger Intrigant gespielt .	26120215_1974_03_28_01_276.tcf.xml-34-14
da kommen es denn zu $ Lähmungserscheinung $ d amerikanisch Propaganda $ wie $ d Welt $ resigniert feststellen $ d Tag $ nennen d Zustand $ labil $ unentschlossen und zögernd $ und suchen dabei vergessen zu machen $ daß es für eine ehrlich Deutsche $ für eine aufrecht Patriot $ für d ganz deutsch Volk in d Frage d Einheit Deutschland $ d Abzug d Besatzungsmacht und eine Friedensvertrag überhaupt keine $ Zögern und keine $ Unentschlossenheit $ geben	78	0	Unentschlossenheit	Da kommt es denn zu „ Lähmungserscheinungen " der amerikanischen Propaganda , wie „ Die Welt " resigniert feststellt - Der Tag " nennt den Zustand „ labil , unentschlossen und zögernd " und sucht dabei vergessen zu machen , daß es für einen ehrlichen Deutschen , für einen aufrechten Patrioten , für das ganze deutsche Volk in der Frage der Einheit Deutschlands , des Abzugs der Besatzungsmächte und eines Friedensvertrages überhaupt kein „ Zögern und keine „ Unentschlossenheit " gibt	26120215_1951_02_11_01_006.tcf.xml-27-78
d Unentschlossenheit bei Göbel Nachschuß zum Vorwärts-L:0 setzen sich fort $	1	0	Unentschlossenheit	Die Unentschlossenheit bei Göbels Nachschuß zum Vorwärts-l:0 setzte sich fort .	26120215_1976_06_14_01_111.tcf.xml-21-1
