sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Tatsache sein auch $ daß Steuerflucht und d gesetzlich Umgehung von Steuer und Erbschaftssteuer d Ungleichheit zwischen reich und arm aufrechterhalten werden und daß d wirtschaftlich Macht unter d Labour-Plan immer in Hand d Kapitalist bleiben werden $ b2s	20	0	aufrechterhalten	Tatsache ist auch , daß Steuerflucht und die gesetzliche Umgehung von Steuern und Erbschaftssteuer die Ungleichheit zwischen reich und arm aufrechterhalten werden und daß die wirtschaftliche Macht unter dem Labour-Plan immer in Händen der Kapitalisten bleiben wird . B2S	26120215_1957_08_03_01_265.tcf.xml-29-20
sie zeigen aber auch d Härte d Auseinandersetzung mit jen Kraft $ die d unwürdig Dasein unter d Bedingung d Ausbeutung d Mensch durch d Mensch $ aufrechterhalten und d Gefahr d atomar Untergang über d Volk heraufbeschwören $	27	0	aufrechterhalten	Sie zeigten aber auch die Härte der Auseinandersetzung mit jenen Kräften , die das unwürdige Dasein unter den Bedingungen der Ausbeutung des Menschen durch den Menschen . aufrechterhalten und die Gefahr des atomaren Untergangs über die Völker heraufbeschwören .	2532889X_1986-04-22_01_013.tcf.xml-83-27
d dfd- Mitglied danken d Sicherheitskräfte dafür $ daß sie durch ihr Handeln d Ordnung aufrechterhalten $	15	0	aufrechterhalten	Die DFD- Mitglieder danken den Sicherheitskräften dafür , daß sie durch ihr Handeln die Ordnung aufrechterhalten .	26120215_1989_10_10_01_150.tcf.xml-60-15
aus d Dokument gehen hervor $ daß d damalig führend Politiker und Staatsmann Großbritannien $ vor alle d Urheber d Münchener Abkommen $ Neville Chamberlain $ bis zum Überfall Hitlerdeutschland auf Polen alle tun $ um zu Hitler und seine Umgebung freundschaftlich Beziehung aufrechterhalten $	43	0	aufrechterhalten	Aus den Dokumenten geht hervor , daß die damaligen führenden Politiker und Staatsmänner Großbritanniens , vor allem der Urheber des Münchener Abkommens , Neville Chamberlain , bis zum Überfall Hitlerdeutschlands auf Polen alles taten , um zu Hitler und seiner Umgebung freundschaftliche Beziehungen aufrechtzuerhalten .	2532889X_1970-01-03_01_200.tcf.xml-5-43
von d Entsetzen d Botschafter werden daraufhin offensichtlich auch Oberland selbst Genackt $ so daß er sich außerstande erklären $ seine Zusage zur Teilnahme an eine Fernsehsendung in d geplant Form aufrechterhalten $	31	0	aufrechterhalten	Von dem Entsetzen des Botschafters wurde daraufhin offensichtlich auch Oberländer selbst genackt , so daß er sich außerstande erklärte , seine Zusage zur Teilnahme an einer Fernsehsendung in der geplanten Form aufrechtzuerhalten .	2532889X_1960-02-21_01_091.tcf.xml-14-31
es kommen jetzt darauf an $ durch d Beseitigung d Mißstand und durch offen Aussprache eine gut Verhältnis zwischen d Staatsorgan und d Werktätige aufrechterhalten $	24	0	aufrechterhalten	Es komme jetzt darauf an , durch die Beseitigung der Mißstände und durch offene Aussprachen ein gutes Verhältnis zwischen den Staatsorganen und den Werktätigen aufrechtzuerhalten .	2532889X_1956-07-28_01_044.tcf.xml-13-24
von hier aus scheinen es notwendig $ während d ganz Raumflug etwa durch wechselseitig funk- und Fernsehübertragung eine ständig Kontakt mit d Pilot aufrechterhalten $ um er d Gefühl d passiv Ausgeliefertsein $ d Vereinsamung und Isolierung zu nehmen $	23	0	aufrechterhalten	Von hier aus scheint es notwendig , während des ganzen Raumfluges etwa durch wechselseitige Funk- und Fernsehübertragung einen ständigen Kontakt mit dem Piloten aufrechtzuerhalten , um ihm das Gefühl des passiven Ausgeliefertseins , der Vereinsamung und Isolierung zu nehmen .	2532889X_1961-03-12_01_132.tcf.xml-35-23
$ d sowjet- $ d Union haben alle unternehmen und werden auch weiterhin alle tun $ um d Freundschaft mit d chinesisch Volk aufrechterhalten und d Beziehung zwischen beide Land zu normalisieren $ $	23	0	aufrechterhalten	„ Die Sowjet- „ Die union hat alles unternommen und wird auch weiterhin alles tun , um die Freundschaft mit dem chinesischen Volk aufrechtzuerhalten und die Beziehungen zwischen beiden Ländern zu normalisieren . "	2532889X_1967-02-05_01_100.tcf.xml-3-23
mit diese Manöver hoffen er offensichtlich auch d wachsend sozialistisch-kommunistisch Einheitsbewegung zur Beendigung d Krieg in algeerlen abbremsen und d Spaltung aufrechterhalten $	21	0	aufrechterhalten	Mit diesem Manöver hofft er offensichtlich auch die wachsende sozialistisch-kommunistische Einheitsbewegung zur Beendigung des Krieges In Algerlen abzubremsen und die Spaltung aufrechtzuerhalten .	2532889X_1956-05-29_01_091.tcf.xml-23-21
d $ Anwesenheit d wir verbündet Truppe $ in d berliner Westensektor müssen unbedingt aufrechterhalten werden $	14	0	aufrechterhalten	Die „ Anwesenheit der uns verbündeten Truppen " in den Berliner Westsektoren müsse unbedingt aufrechterhalten werden .	26120215_1959_04_18_01_005.tcf.xml-11-14
d Westmächte trauen d bonner Regierung nicht zu $ ihr Regime aufrechterhalten zu können $ wenn d Besatzunßsmächte nicht bleiben $	11	0	aufrechterhalten	Die Westmächte trauen der Bonner Regierung nicht zu , ihr Regime aufrechterhalten zu können , wenn die Besatzunßsmächte nicht bleiben .	26120215_1963_10_10_01_023.tcf.xml-41-11
Charlamow werden um Präzlsierung d Wort $ Kontakt aufrechterhalten $ im letzte Satz d Kommunique fragen $	8	0	aufrechterhalten	Charlamow wurde um Präzlsierung der Wörter „ Kontakte aufrechterhalten " im letzten Satz des Kommuniques gefragt .	26120215_1961_06_05_01_004.tcf.xml-49-8
mit ihr Hilfe werden d Einheit d Arbeiterklasse in d Westensektor Berlin hintertreiben $ ihr Spaltung aufrechterhalten $	16	0	aufrechterhalten	Mit ihrer Hilfe wurde die Einheit der Arbeiterklasse in den Westsektoren Berlins hintertrieben , ihre Spaltung aufrechterhalten .	2532889X_1966-10-18_01_075.tcf.xml-23-16
werden als $ subversiv Aktion $ von Leute beschimpfen $ die daran interessieren sein $ d Abhängigkeit $ Rückständigkeit und d Elend d lateinamerikanisch Volk aufrechterhalten $	25	0	aufrechterhalten	wird als . subversive Aktion ' von Leuten beschimpft , die daran interessiert sind , die Abhängigkeit , Rückständigkeit und das Elend der lateinamerikanischen Völker aufrechtzuerhalten .	2532889X_1965-12-12_01_083.tcf.xml-17-25
sie wollen ihr freundschaftlich Beziehung zu Indien $ Bangladesh $ Iran $ Pakistan und d VR China aufrechterhalten und weiterentwickeln	17	0	aufrechterhalten	Sie will ihre freundschaftlichen Beziehungen zu Indien , Bangladesh , Iran , Pakistan und der VR China aufrechterhalten und weiterentwickeln	2532889X_1978-12-06_01_108.tcf.xml-12-17
$ für wir kommen es jetzt darauf an $ um jede Preis d während d Streik erzielt Einheit aufrechterhalten $	18	0	aufrechterhalten	„ Für uns kommt es jetzt darauf an , um jeden Preis die während des Streiks erzielte Einheit aufrechtzuerhalten .	26120215_1963_04_05_01_058.tcf.xml-19-18
d geg $ nwärtlee Brotration in d Blzone können unter keine Umstand bis zur nächst Ernte aufrechterhalten werden $	16	0	aufrechterhalten	Die geg « nwärtlee Brotration in der Blzone kann unter keinen Umständen bis zur nächsten Ernte aufrechterhalten werden .	2532889X_1948-12-05_01_111.tcf.xml-2-16
