sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
im Backofen zersetzen sie d schwarz Kruste $ im WC eindeutig Ablagerung $ im verstopft Abfluß irgendwelche Manikürerest $	2	0	zersetzen	Im Backofen zersetzen sie die schwarze Kruste , im WC eindeutige Ablagerungen , im verstopften Abfluß irgendwelche Manikürereste .	26120215_1990_04_28_01_478.tcf.xml-3-2
d geplant Experiment $ Kalziumkarbonat sollen thermisch zersetzen werden liegen schon hinter d Schuler diese acht Klasse $	7	0	zersetzen	Das geplante Experiment — Kalziumkarbonat sollte thermisch zersetzt werden liegt schon hinter den Schulern dieser achten Klasse .	26120215_1983_04_23_01_133.tcf.xml-3-7
d Energieproduktion erfolgen dadurch $ daß d aus eine unedel Metall gefertigt Elektrode im Verlauf eine elektrochemisch Reaktion allmählich zersetzen werden $	19	0	zersetzen	Die Energieproduktion erfolgt dadurch , daß die aus einem unedlem Metall gefertigte Elektrode im Verlauf einer elektrochemischen Reaktion allmählich zersetzt wird .	2532889X_1989-09-09_01_213.tcf.xml-7-19
Bakterie $ die in relativ kurz Zeit bei Havarie ausgefließen Erdöl zersetzen können $ sein im westsibirisch Forschungsinstitut für geologisch Erkundung züchten werden $	11	0	zersetzen	Bakterien , die in relativ kurzer Zeit bei Havarien ausgeflossenes Erdöl zersetzen können , sind im westsibirischen Forschungsinstitut für geologische Erkundungen gezüchtet worden .	2532889X_1984-10-27_01_180.tcf.xml-1-11
dadurch werden d Kunststoff bis zu d Zustand zersetzen $ in die er von d Mikroorganismus d Boden vollständig absorbieren werden und schließlich sogar Pflanze als Nährstoff dienen $	8	0	zersetzen	Dadurch wird der Kunststoff bis zu dem Zustand zersetzt , in dem er von den Mikroorganismen des Bodens vollständig absorbiert wird und schließlich sogar Pflanzen als Nährstoff dient .	26120215_1981_05_02_01_139.tcf.xml-6-8
d in d Sandwirbelschicht eingebringt Kunststoffabfall zersetzen sich innerhalb wenige Sekunde zu Pyrolysegas $	6	0	zersetzen	Die in die Sandwirbelschicht eingebrachten Kunststoffabfälle zersetzen sich innerhalb weniger Sekunden zu Pyrolysegas .	26120215_1988_11_26_01_391.tcf.xml-6-6
bis zu 14 Tag nach d Befruchtung sein $ d Muttertier $ jedoch in d Lage $ d Keimling mit körpereigen Stoff zu zersetzen und in ihr Körper auflösen $	23	0	zersetzen	Bis zu 14 Tagen nach der Befruchtung sind , die Muttertiere , jedoch in der Lage , die Keimlinge mit körpereigenen Stoffen zu zersetzen und in ihrem Körper aufzulösen .	2532889X_1966-12-11_01_233.tcf.xml-4-23
danach sein d Strohstruktur so stark zersetzen $ daß sich d Mahlpumpe direkt anschließen können $	6	0	zersetzen	Danach ist die Strohstruktur so stark zersetzt , daß sich die Mahlpumpe direkt anschließen kann .	26120215_1988_09_17_01_158.tcf.xml-11-6
d organisch Masse von Bakterie zersetzen werden $ $ erklären Doktor Gerhard Breitschuh $ Mitarbeiter d kooperativ Abteilung Melioration und organisch Düngung d Agrar-Industrie-Vereinigung AIV Berlstedt $	5	0	zersetzen	die organische Masse von Bakterien zersetzt wird " , erklärt Dr. Gerhard Breitschuh , Mitarbeiter der Kooperativen Abteilung Melioration und organische Düngung der Agrar-Industrie-Vereinigung AIV Berlstedt .	26120215_1983_11_07_01_032.tcf.xml-10-5
sie schlagen vor $ in d Flöz durch Bohrloch Bakterie eindrücken $ die d eingeschließen Methan zersetzen und es in Kohlendioxid und Wasser spalten $	16	0	zersetzen	Sie schlugen vor , in das Flöz durch Bohrlöcher Bakterien einzudrücken , die das eingeschlossene Methan zersetzen und es in Kohlendioxid und Wasser spalten .	2532889X_1972-09-23_01_175.tcf.xml-5-16
sie veranlassen er zu Wutausbruch aus lächerlich Anlaß $ und nach seine Tod $ am 17. August vergangen Jahr $ stellen d Arzt bei d Autopsie fest $ daß seine Muskel und Knochen in eine solch Maß zersetzen sein $ daß es d Arzt eine Rätsel bleiben $ wie sich Blaiberg überhaupt bewegen können $	37	0	zersetzen	Sie veranlaßten ihn zu Wutausbrüchen aus lächerlichen Anlässen , und nach seinem Tode , am 17. August vergangenen Jahres , stellten die Ärzte bei der Autopsie fest , daß seine Muskeln und Knochen in einem solchen Maße zersetzt waren , daß es den Ärzten ein Rätsel blieb , wie sich Blaiberg überhaupt bewegen konnte .	26120215_1970_01_31_01_063.tcf.xml-13-37
Klärschlamm müssen eine bestimmt Konsistenz aufweisen $ bevor er in d Faulturm effektiv biologisch zersetzen werden können $	14	0	zersetzen	Klärschlamm muß eine bestimmte Konsistenz aufweisen , bevor er in den Faultürmen effektiv biologisch zersetzt werden kann .	2532889X_1986-04-05_01_411.tcf.xml-34-14
wenn sie absterben $ sinken sie auf d Boden $ zersetzen sich und entwickeln dabei Stoff $ die d Wasser weiter belasten $	10	0	zersetzen	Wenn sie absterben , sinken sie auf den Boden , zersetzen sich und entwickeln dabei Stoffe , die das Wasser weiter belasten .	26120215_1983_06_04_01_467.tcf.xml-21-10
Mikroorganismus $ d Erdölprodukt zersetzen und damit d Verschmutzung d Meer entgegenwirken $ sein im sowjetisch Laboratorium für Sanitärmikrobiologie in Sewastopol züchten und vermehrt werden $	4	0	zersetzen	Mikroorganismen , die Erdölprodukte zersetzen und damit der Verschmutzung der Meere entgegenwirken , sind im sowjetischen Laboratorium für Sanitärmikrobiologie in Sewastopol gezüchtet und vermehrt worden .	26120215_1973_07_08_01_244.tcf.xml-2-4
Doktor Delaunay $ ständig Begleiter d $ Tour De France $ $ rechnen mit d Drahtzieher hinter d Kulisse d groß Etappenrennen in d westlich Land ab $ mit einige gewissenlos Manager $ die mit Hilfe d Doping leuchtend Stern am Himmel d Radsport hervorzaubern $ von die wenige Jahr spät jedoch nichts mehr leisten werden $ weil d Körper von d Aufpeitschungsmittel zersetzen und d normal Leistungsvermögen untergraben werden sein $ Bobet Krankheit sein auf ähnlich $ Mittelchen $ zurückführen $ daran dürfen es keine Zweifel geben $	63	0	zersetzen	Dr. Delaunay , ständiger Begleiter der „ Tour de France ' , rechnete mit den Drahtziehern hinter den Kulissen der großen Etappenrennen In den westlichen Ländern ab , mit einigen gewissenlosen Managern , die mit Hilfe des Dopings leuchtende Sterne am Himmel des Radsports hervorzauberten , von denen wenige Jahre später jedoch nichts mehr geleistet wurde , weil der Körper von den Aufpeitschungsmitteln zersetzt und das normale Leistungsvermögen untergraben worden war , Bobets Krankheit ist auf ähnliche . Mittelchen " zurückzuführen , daran dürfte es keinen Zweifel geben .	26120215_1956_03_04_02_033.tcf.xml-29-63
so geben es beispielsweise Bakterienart $ die d krebserzeugend Benzol zersetzen $ die oft d Untergrund von Teerfabrik oder Kokerei vergiften $	10	0	zersetzen	So gibt es beispielsweise Bakterienarten , die das krebserzeugende Benzol zersetzen , das oft den Untergrund von Teerfabriken oder Kokereien vergiftet .	26120215_1987_02_07_01_156.tcf.xml-13-10
und Blutkonserve halten sich im günstig Falle 3 bis 4 Woche $ weil sich dann d rot Blutkörperchen zersetzen $ die Zerfallsprodukt d Körper nicht vertragen $	18	0	zersetzen	Und Blutkonserven halten sich im günstigsten Falle 3 bis 4 Wochen , weil sich dann die roten Blutkörperchen zersetzen , deren Zerfallsprodukte der Körper nicht verträgt .	26120215_1956_11_25_02_177.tcf.xml-15-18
d zu reichlich $ Futter $ sinken jedoch ab $ weil es nicht fressen bzw. von Bakterie zersetzen werden und reichern sich deshalb am Meeresboden an $	17	0	zersetzen	Das zu reichliche „ Futter " sank jedoch ab , weil es nicht gefressen bzw. von Bakterien zersetzt wurde und reicherte sich deshalb am Meeresboden an .	2532889X_1968-10-26_01_124.tcf.xml-94-17
im Lauf d Jahr von d heiß Abgas zersetzen $ müssen sie erneuern werden $	8	0	zersetzen	Im Laufe der Jahre von den heißen Abgasen zersetzt , mußten sie erneuert werden .	2532889X_1971-08-09_01_029.tcf.xml-6-8
eine Rest schließlich erreichen d Grund d Gewässer $ wo er unter Mitwirkung von Sauerstoff zersetzen werden $	15	0	zersetzen	Ein Rest schließlich erreicht den Grund des Gewässers , wo er unter Mitwirkung von Sauerstoff zersetzt wird .	2532889X_1976-11-13_01_450.tcf.xml-16-15
Wissenschaftler d Institut für Mikrobiologie d texanisch Rutgers-Universität sollen es nunmehr gelingen sein $ Pilz zu züchten $ d Gummi zersetzen $	20	0	zersetzen	Wissenschaftlern des Instituts für Mikrobiologie der texanischen Rutgers-Universität soll es nunmehr gelungen sein , Pilze zu züchten , die Gummi zersetzen .	2532889X_1969-04-19_01_193.tcf.xml-2-20
sie zersetzen sich an d Luft bei eine Temperatur von 240 °c $	1	0	zersetzen	Sie zersetzen sich an der Luft bei einer Temperatur von 240 °C .	2532889X_1987-10-24_01_365.tcf.xml-5-1
Chlor oder Blausäure gefüllt alt Behältnis $ von die wir glauben haben $ die sein alle schon zersetzen $	17	0	zersetzen	Chlor oder Blausäure gefüllte alte Behältnisse , von denen wir geglaubt haben , das sei alles schon zersetzt .	2532889X_1990-08-31_01_211.tcf.xml-27-17
da keine groß Tier beobachten werden $ die diese Überrest fressen haben können $ müssen sie von Bakterie oder ander Mikroorganismus zersetzen werden sein $	21	0	zersetzen	Da keine größeren Tiere beobachtet wurden , die diese Überreste gefressen haben könnten , müssen sie von Bakterien oder anderen Mikroorganismen zersetzt worden sein .	2532889X_1978-07-22_01_205.tcf.xml-9-21
er stellen auch fest $ daß bei $ Britta etwas nicht stimmen $ d Farbstoff zersetzen sich $	15	0	zersetzen	Er stellte auch fest , daß bei „ Britta etwas nicht stimmte , der Farbstoff zersetzte sich .	2532889X_1959-10-09_01_097.tcf.xml-57-15
im Prinzip handeln es sich um eine Elektrolyse $ bei die d Metall genau dort zersetzen werden $ wo sonst d Drehstahl d Span abheben $	15	0	zersetzen	Im Prinzip handelt es sich um eine Elektrolyse , bei der das Metall genau dort zersetzt wird , wo sonst der Drehstahl den Span abhebt .	2532889X_1976-11-20_01_219.tcf.xml-25-15
Armee die es zu zersetzen oder wenigstens teilweise auf seine Seite herüberziehen versuchen $	4	1	zersetzen	Armee die es zu zersetzen oder wenigstens teilweise auf seine Seite herüberzuziehen versuchte .	2532889X_1953-04-15_01_066.tcf.xml-47-4
die sein um so notwendig $ als d Leugnung d Allgemeinsultigkeit d auf d Leninismus beruhend Grundmodell d Sozialismus bezwecken $ d proletarisch Internationalismus zu zersetzen und d bürgerlich Nationalismus als ideologisch Sprengmittel gegen d Einheit d sozialistisch Weltsvstems einsetzen $ wie es überhaupt charakteristisch sein $ daß auf ideologisch Gebiet neben offen antikommunistisch Methode immer mehr flexibel $ verfeinern zur Verfälschung d Sozialismus zum Einsatz kommen $	25	1	zersetzen	Das ist um so notwendiger , als die Leugnung der Allgemeinsultigkeit des auf dem Leninismus beruhenden Grundmodells des Sozialismus bezweckt , den proletarischen Internationalismus zu zersetzen und den bürgerlichen Nationalismus als ideologisches Sprengmittel gegen die Einheit des sozialistischen Weltsvstems einzusetzen , wie es überhaupt charakteristisch ist , daß auf ideologischem Gebiet neben offenen antikommunistischen Methoden immer mehr flexiblere , verfeinerte zur Verfälschung des Sozialismus zum Einsatz kommen .	26120215_1970_08_16_01_038.tcf.xml-40-25
gegenüber d Behauptung in Aer Anklageschrift $ d Kommunist haben d Weimarer Verfassung zersetzen $ antworten Ernst that mann in seine Notiz zur Anklageschrift $	13	1	zersetzen	Gegenüber der Behauptung in aer Anklageschrift , die Kommunisten hätten die Weimarer Verfassung zersetzt , antwortete Ernst That mann in seinen Notizen zur Anklageschrift :	2532889X_1953-02-08_01_037.tcf.xml-142-13
unter d Parole von d $ Erneueruns $ $ von eine $ neu Modell d Sozialismus $ und vom $ Sozialismus mit menschlich Antlitz $ werden d Grundprinzip d Sozialismus zerstören $ d Partei und d ganz Gesellschaftssystem zersetzen und d freundschafts- und Bündnisbande mit d UdSSR zerschlagen $	38	1	zersetzen	Unter den Parolen von der „ Erneueruns '' . von einem „ neuen Modell des Sozialismus " und vom „ Sozialismus mit menschlichem Antlitz " wurden die Grundprinzipien des Sozialismus zerstört , die Partei und das ganze Gesellschaftssystem zersetzt und die Freundschafts- und Bündnisbande mit der UdSSR zerschlagen .	26120215_1971_05_14_01_333.tcf.xml-19-38
d'o irr~- "_v .'-li-' :- $ $ $ .-. dn coi' $ gim $ 'enste bedienen sich Mil besondere Vorliebe d Tito-Agent $ um d Arbeiterbewegung zu zersetzen und ihr spionage- und Sabotagetätigkeit in d Lander d Frieden und d Demokratie $ durchführen $	27	1	zersetzen	D'o irr~- "_v .'-li-' :- : ; . .-. Dn COi' . Gim : 'enste bedienen sich mil besonderer Vorliebe der Tito-Agenten , um die Arbeiterbewegung zu zersetzen und ihre Spionage- und Sabotagetätigkeit in den Landern des Friedens und der Demokratie , durchzuführen .	2532889X_1950-05-14_01_034.tcf.xml-344-27
wie d Staatsanwalt in seine Anklagerede behaupten $ sein d Klebezettel mit d Aufschrift wie $ nicht Amisöldner $ sondern Aktivist d Aufbaüs wollen wir sein $ und $ Westberliner Jugend kämpfen um Lehrstelle und Arbeitsplatz $ dazu antuen $ d Moral $ $ $ d Besatzungssoldat zu zersetzen und d öffentlich Sicherheit in Westberlin zu gefährden $	48	1	zersetzen	Wie der Staatsanwalt in seiner Anklagerede behauptete , seien die Klebezettel mit der Aufschrift wie „ Nicht Amisöldner , sondern Aktivisten des Aufbaüs wollen wir sein " und „ Westberliner Jugend kämpft um Lehrstellen und Arbeitsplätze " dazu angetan , die Moral ( ! ) der Besatzungssoldaten zu zersetzen und die öffentliche Sicherheit in Westberlin zu gefährden .	2532889X_1950-03-29_01_082.tcf.xml-6-48
