sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
som mili hustru anna susanna almgren $ hwilkcn vara 1811 ling öswergas $ alltsedan icke låta hora af sig $ sä antyda hon $ att inom ett vara $ sig hvs jag $ rmeömi jag eljest ämna trä i annan $ wermdö och östra ekeinil don t febr $	21	0	antyda	Som mili Hustru Anna Susanna Almgren , hwilkcn är 1811 ling öswergas , alltsedan icke låtit hora af sig , sä antydes hon , att inom ett är infinna sig hvS mig , rmeömi jag eljest ämnar träda i annat äktenskap.- Wermdö och Östra Ekeinil don t Febr . 	bib11653823_18300218_144010_40_0003_alto.xml-21-21
all de som af $ njuta understöd $ antyda härmedelst $	8	0	antyda	Alla de som af Nödhiclps-CaHan njuta understöd , antydas härmedelst ! 	bib13506739_18071217_144030_293_0002_alto.xml-11-8
sam wid en sidst hällne $ här utk stad mur och husdel befinna ä mänga ställe bristfällig och böra bättra $ attsä antyda $ $ aarne bertill $ att innan ben $ nästkommande september sädane bristfäklighetrr i ständ sätta $ emedan $ om wid den $ $ $ svin samma dag $ 8 $ m $ komma $ att hälla $ nägot finna wara försumma och uturagtkätit bita bristfällig pä egaren $ bekostnad genom legofolk sk $ ll genast i ständ fätia $ $ kkahlun ben 23 junti 1819 $	22	0	antyda	Sam wid de sidst hällne Brand-Syner här utk Staden murar och husdelar befunnits ä mänga ställen bristfälligt och böra bättras , attsä antyda » , Aarne bertill , att innan ben 1:sta nästkommande September sädane bristfäklighetrr i ständ sätta , emedan , om wid den Brand-Sy » , svin samma dag kl. 8 f. m . kommer , att hällas , nägot finnes wara försummat och uturagtkätit bet bristfälligt pä egaren » bekostnad genom legofolk sk .. ll genast i ständ fätia » , kkahlun ben 23 Junti 1819 . 	bib11653792_18190703_146919_26_0002_alto.xml-3-22
de som wcra sig haswa pant uti hus $ 5 wid norra tullportsgata $ $ antyda att de inlösa inom den 15 denna $ eljest blifwa de sig löserätrighet sirlustige $	15	0	antyda	De som wcra sig haswa Panter uti Huset N:o 5 wid norra Tullportsgata » , antydas att dem inlösa inom den 15 dennes , eljest blifwa de sin löserätrighet sirlustige . 	bib13506739_18200404_144030_76_0008_alto.xml-1-15
en som weta kig hafwa pant uti hus $ $ 3 $ qwar bergsklippan stor ä kung $ $ olinen $ anmoda att de igenlösa till en $ $ gt $ 5 april $ i annan fall $ en sig $ förlnstige och pant lagligen försälde $ hwilket första gäng $ den eller en $ som weta sig hafwa pantsätta lösöreperiedlar $ sr elter annan $ för erbällne penningel uti hnset $ $ j och s wid norrbro $ men de $ samma ej ännu inlösa $ antyda härmed $ att wid förlust af lösningsrätt $ de $ samma igenlösa hos längifwaren $ uti sus $ $ gt $ 8 $ qw $	87	0	antyda	De som weta kig hafwa Panter uti huset N:o - 3 , Qwarteret Bergsklippan större ä Kungs !&gt ; olinen , anmodas att dem igenlösa till de » & gt ; 5 April , i annat fall b.ifwa de sin löse-rätt förlnstige och Panterna lagligen försälde , hwilket första gängen kungöreS^ Den eller de , som weta sig hafwa pantsatt LöSöreperiedlar , Sr elter annat , för erbällne penningel uti Hnset N:S - j och S wid Norrbro , men de » samma ej ännu inlöst , antydas härmed , att wid förlust af Lösningsrätt , de » samma Igenlösa hoS Längifwaren , uti Suset N:o & gt ; 8 , Qw . 	bib19277277_18250322_147682_67_0002_alto.xml-15-87
ogamttige i denna län bemma warandc sjöman $ scm lärit fia förhyra till tjenst pä kongl $ bri $ lt $ is $ cttan $ antyda härmedelst $ att den j $ april $ flocka 6 vä morgon mangrann ina tig wid sjömanshus i norrköping $ sörsevde med tillräckrkig beklädnad $ för att samma dag afe med kronl skjuts och underhåll till carlskrona $	25	0	antyda	oGamttige i detta Län bemma warandc Sjömän , scm lärit fia förhyras till tjenst pä Kongl , bri & lt ; iS ( cttan , antydas härmedelst , att den j tiästinstlit.dande April , flockan 6 vä morgonen mangrant inA tig wid Sjömanshuset i Norrköping , sörsevde med tillräckrkig beklädnad , för att samma dag afe med Kronl skjuts och underhåll till Carlskrona . 	bib15650837_18090318_146391_22_0003_alto.xml-3-25
ung broder petter hillersten i tuna socken $ och som testamente wunnit kaga kraft $ och jag as min sistnämdc broder vara besullmägtigad o $ en utestäende fordran $ sä wil jag härigenon antyda en hwar $ som weta flg wara ffyldige $ at hos jag underteckna innom den 15 februarii line stuldek betala $ emedan därom i förledit vara redan vara inlimerat $	33	0	antyda	yngre Broder Petter Hillersten i Tuna Socken , och som Testamentet wunnit kaga kraft , och jag as min sistnämdc Broder är besullmägtigad ot in-castera de utestäende fordringar ; Sä wil jag härigenon antyda en hwar , som weta flg wara ffyldige , at hos mig undertecknad innom den 15 Februarii line stuldek betala , emedan därom i förledit är redan är inlimerat . 	bib13506739_17920202_144030_27_0004_alto.xml-11-33
$ och warda $ t anledning af derjämte ffedd begaran $ en forstarkningskarlar ifrån fahlu län $ som kunna uppehålla sig $ $ r i stad $ antyda att genast förfoga fig till hemort $ samt ä $ i fahlo $ anmäla ull erhålla af widare anwisning om rjenstgöringsstället $	27	0	antyda	_ Och warda , t anledning af derjämte ffedd begaran , de Forstarkningskarlar ifrån Fahlu Län , som kunna uppehålla sig h&gt ; r i Staden , antydde att genast förfoga fig till Hemorten , samt ä kands-Kanfliet i Fahlo » anmäla Ull erhållande af widare anwisning om rjenstgöringsstället . 	bib13506739_18130421_144030_90_0001_alto.xml-2-27
orkomst till frankrike $ markis de livrons resa till london $ ben ynnest de till egvp $ ten osgängne europciste officerarns nu änyo derstädes åtnjuta $ samt de instruktiv $ ner $ pascha $ stall $ killsändt sig son ibrahim $ att inställa sig operation i grekland $ allt delta tycka antyda en mogrt öfwerlogd plan att ofstudda port ok $ $	51	0	antyda	orkomst till Frankrike , Markis de Livrons resa till London , ben ynnest de till Egvp , ten osgängne Europciste Officerarns nu änyo derstädes åtnjuta , samt de instruktiv » ner , Pascha » stall ha^wa killsändt sin son Ibrahim , att inställa sina operationer i Grekland , allt delta tyckes antyda en mogrt öfwerlogd plan att ofstudda Portens ok . " 	bib11653828_18270818_144028_192_0003_alto.xml-9-51
antyda $ att $ inom natt och vara est denna kttttgökelses datlim $ till medel äterlyftning $ sig hos konung befallningsyafwande härstädes anmäla $ och dcrwid e $ föga förete en utfärda devositionsbewistn $ än med dom och utstag nied mera $ styrka stil agandcrätb till dc nedsätta medel $ för att $ efter sordringsanspräkens pröfning och godkännande $ emot $ äterställande $ niidkä anordning ä belopp $ ffolandes en af ifrägawarande deposition $ till hwilkas urtagande någon i behörig ordning sig icke anmäla $ est den föreflrifne lid förlopp $ insända till kgl $	0	0	antyda	antydas , att , inom natt och är ester denna Kttttgökelses datlim , till medlens äterlyftning , sig hos Konungens BefallningSyafwande härstädes anmäla , och dcrwid e ) mindre förete de utfärdade Devositionsbewistn , än med Domar och Utstag nied mera , styrka stil agandcrätb till dc nedsatte medlen , för att , efter sordringsanspräkens pröfning och godkännande , emot DepvsirionS-ättesterncS äterställande , Niidkä anordning ä beloppen ; ffolandes de af ifrägawarande Depositioner , till hwilkas urtagande någon i behörig ordning sig icke anmält , ester den föreflrifne lidens förlopp , insändas till Kgl . 	bib11653823_18300203_144010_27_0003_alto.xml-7-0
