sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ dey i algier blockera ännu hamn uti tunis $	4	0	blockera	— Deyen i Algier blockerar ännu hamnarna uti Tunis . 	bib19225772_18140729_148004_85_0001_alto.xml-6-4
pä caudia mar fullkomlig $ lugn anda lill flyta af april $ dä ö hastig säga sig blockera af 31 cassotista och $ 7 sphakiotista stepp $	17	0	blockera	Pä Caudia mar fullkomlige » lugnt anda lill flutet af April , dä ön hastigt säg sig blockerad af 31 Cassotista och - 7 Sphakiotista stepp . 	bib11653823_18210915_144010_216_0003_alto.xml-7-17
ifrån ragusa förmalcs $ at flera ditkommen fartyg deruti instämma $ at engländarne och neapolitanerne mi nied et ansenlig antal troppa landstiga vå malta $ och at fransta besättning $ som af inmånarne vara hjerteligcn harad $ aldeles innesluta sig i fästning balletta $ som på sjösida blifwer sträng blockera $	49	0	blockera	Ifrån Ragusa förmalcs , at flera ditkomna fartyg deruti instämma , at Engländarne och Neapolitanerne mi nied et ansenligt antal Troppar landstigit vå Malta ; och at Fransta Besättningen , som af inmånarne är hjerteligcn harad , aldeles inneslutit sig i fästningen Balletta , som på sjösidan blifwer strängt blockerad . 	bib11653825_18000405_145134_37_0002_alto.xml-7-49
$ amiral collingwood blockera med 9 liniestepp af $ hamn i cadix $	3	0	blockera	— Amiral Collingwood blockerar med 9 Liniestepp af Kalialflot-tan hamnen i Cadix . 	bib19225772_18050710_148004_77_0001_alto.xml-1-3
consul ha imedlertid gifwit dey stänka af stor ivärde $ och derpä förnya en gammal tractaterna $ lil hwilka den ny artikel konimit $ at all algierist egendom $ under hwilken flagg som hälft $ stall wara fri $ äfmen om han ware sand til en blockera hamn $	46	0	blockera	Consulen har imedlertid gifwit Deyen stänker af stort ivärde , och derpä förnyat de gamla Tractaterna , lil hwilka den nye artikeln konimit , at all Algierist egendom , under hwilken flagg som hälft , stall wara fri , äfmen om han ware sand til en blockerad hamn . 	bib11653825_18001030_145134_119_0001_alto.xml-2-46
d $ $ ar han $ den hota tyrol och kunna tillika hota fiende höger flank $ om den wil blockera fästning braunau och framrycka emot linz $	20	0	blockera	D & ' ar han n«ra det hotade Tyrol och kan tillika hota fiendens högra flank , om den wil blockera fästningen Braunau och framrycka emot LinZ . 	bib19225772_18001209_148004_141_0001_alto.xml-11-20
$ fransta tropp $ loi iimefluta $ sebastian $ stol wisierligen campera $ emedan man dittransporterar en manzd tält $ $ man ha nu lyckas atc bäve till watt och land blockera $ sebastian $ hwarföre den rros $ att man will twinga den genom hunger att gä öfwer $	31	0	blockera	— Fransta tropparna , loin iimefluta S. Sebastian , stols wisierligen campera , emedan man dittransporterar en manzd tält . — Man har nu lyckats atc bäve till watten och land blockera S. Sebastian , hwarföre det rros , att man will twinga det genom hunger att gä öfwer . 	bib11653823_18230607_144010_129_0002_alto.xml-0-31
$ ön hydra $ befästad af sjetfivl natureh $ $ sörfwarah af kärna utaf grekista tropp och förse med krig $ och munftrräd $ stall bliswa otillgänglig ech ointaglig söva fiende sälunda stola denna öboar flotta $ liksom jpä sarioterncs $ hwilka nu bebo ö egina $ lstwade af eli iiiov utan exempel $ svin denna helig förening underbäller och mer och iner öka $ hädanefter kringsegla archipelagen $ för att förstöra ficndtliga flotta och blockera en fästning $ som turk ännu äga $ $	75	0	blockera	" Ön Hydra , befästad af sjetfivL natureh . , sörfwarah af kärnan utaf Grekista tropparna och försedd Med krigs » och munftrräd , stall bliswa otillgänglig ech ointaglig söv fienden Sälunda stola dessa öboars flottor , liksom Jpä sarioterncs , hwilka nu bebo ön Egina , lstwade af eli iiiov Utan exempel , svin denna heliga förening Underbäller och mer och iner ökar , hädanefter kringsegla Archipelagen , för att förstöra ficndtliga flottan och blockera de fästningar , som Turkarne ännu äga . " 	bib11653823_18260819_144010_191_0001_alto.xml-10-75
skepp $ svin ha hästik $ hamn blockera $ fä inlopp derstädes den 2 utom fregatt la regeneree äiwcn brigg lodi $	7	0	blockera	Skepp , svin hade hästik Alex.ndrias hamn blockerad , fä inlopp derstädes den 2 Utom Fregatten la Regeneree äiwcn Briggen Lodi . 	bib19223423_18010502_145063_36_0002_alto.xml-8-7
$ conde blockera annu $ men belägring öpnas först midt i denna månad $	2	0	blockera	, Conde blockeras annu , men belägringen öpnas först midt i denna månad . 	bib19225772_17930524_148003_40_0003_alto.xml-4-2
