sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
annandag vara ottesång i missionshus och vara då äfven denna till trängsel fylldt $	0	0	annandag	Annandagen var ottesång i missionshuset och var då äfven detta till trängsel fylldt . 	bib15975087_18951227_145596_200_0003_alto.xml-49-0
annandag jul pä $ m $ begaf sig konung $ åtfölja af kronprins $ prins carl och eugen jemte uppwaktningar och någon $ herre till drottningholm för att be wistas någon dag och sysselsätta sig med jagt $	0	0	annandag	Annandag jul pä e. m . begaf sig konungen , åtföljd af kronprinsen , prinsarne Carl och Eugen jemte uppwaktningar och några inbjudna herrar till Drottningholm för att ber wistas några dagar och sysselsätta sig med jagt . 	bib19277180_18950103_147374_1_0002_alto.xml-140-0
annandag pingst i en dei affall framför såg och sprida sig snabb till den vid nissan belägen $ af trä bygga såg $ hvarifrån den hastig kasta sig öfver till den närbelägen $ af sten $ labriken $ som snar stå i $ låg $	0	0	annandag	annandag pingst i en dei affall framför sågen och spred sig snabbt till den vid Nissan belägna , af trä byggda sågen , hvarifrån den hastigt kastade sig öfver till den närbelägna , af sten uppförda labriken , som snart stod i ljusan låga . 	bib11653838_19000608_147024_23_0002_alto.xml-106-0
vid kapplöpning i malmö om måndag $ annandag pingst $ $ komma totalisator för $ gång att använda $	7	0	annandag	Vid kapplöpningarna i Malmö om måndag ( annandag pingst ) , kommer totalisatorn för första gången att användas . 	bib19277277_18950530_147683_145_0004_alto.xml-174-7
annandag predikan $ lie $ m $ af $ k a $ lundin $	0	0	annandag	Annandagen predikan kl. li f. m . af stud. K A . Lundin . 	bib11653790_19021223_12541_100_0001_alto.xml-19-0
hvars kraft voro mycket eediagna $ till sig förälder hem på land $ der han pä annandag förefalla någon bra $	16	0	annandag	hvars krafter voro mycket Eediagna , till sina föräldrars hem på landet , der han pä annandagen föreföll något bättre . 	bib19227462_18950104_147640_3_0004_alto.xml-49-16
annandag vara en viktig dag $ ty då kommo julsångame på morgon $	0	0	annandag	Annandagen var en viktig dag , ty då kommo julsångame på morgonen . 	bib19225758_18951221_144022_298_0003_alto.xml-271-0
till borgholm och oscarshamn annandag pingst fästa wi uppmärksamhet $	4	0	annandag	till Borgholm och Oscarshamn annandag pingst fästa wi uppmärksamheten . 	bib15760690_18950529_145050_81_0002_alto.xml-57-4
då julafton infalla å söndag $ kunna arbete å denna dag ega rum $ dock må i sån fall arbete å annandag ej förekomma $	21	0	annandag	Då julafton infaller å söndag , kan arbete å denna dag ega rum , dock må i sådant fall arbete å annandagen ej förekomma . 	bib19225758_18950209_144022_34_0007_alto.xml-19-21
natt mellan annandag och tredje dag jul föröfva dylik brott $ äfvenledes i nusnäs $ af mickel jon larsson hos tysk olof olsson $	2	0	annandag	Natten mellan annandag och tredje dag jul föröfvades dylikt brott , äfvenledes i Nusnäs , af Mickels Jon Larsson hos Tysk Olof Olsson . 	bib11653790_18950104_145648_1_0003_alto.xml-17-2
annandag $ lie $ m $ missionaföredrag af e $	0	0	annandag	Annandagen kl. li f. m . missionaföredrag af E . 	bib11653790_18971224_145648_101_0001_alto.xml-10-0
bolla att $ sig på stad kyrkogård annandag påsk $ 2 $ m $ för att ledsaga den gammal lärare $ lektor ksysar $ till hen sista bvilorum $	7	0	annandag	bollas att infinna sig på stadens kyrkogård Annandag Påsk kl. 2 e. m . för att ledsaga den gamle läraren , Lektor Ksysar , till hens sista bvilorum . 	bib15650837_18950411_146391_85_0001_alto.xml-22-7
på annandag demonstrera för fred och allmän rösträtt dels i nyköping af talrik skara från södra södermanland och dels i strängnäs af 800 $ 1 $ 000 person från norra del af landskap $	1	0	annandag	På annandagen demonstrerades för fred och allmän rösträtt dels i Nyköping af talrika skaror från södra Södermanland och dels i Strängnäs af 800 — 1 , 000 personer från norra delen af landskapet . 	bib15873936_18950605_147385_66_0003_alto.xml-57-1
hålla jönköping kristlig jungfrnförening annandag påsk $ 3 $ m $ i stor missionshus $	4	0	annandag	håller Jönköpings kristliga Jungfrnförening Annandag Påsk kl. 3 e. m . i Stora missionshuset . 	bib15975087_18950410_145596_56_0001_alto.xml-31-4
$ mycken oanständig mot en pär qvinna uppföra sig tre värfvade sjöman afonen vid $ annandag vid hörn af $ och drottninggata $	15	0	annandag	— Mycket oanständigt mot ett pär qvinnor uppförde sig tre värfvade sjömän afonen vid 10-tiden annandagen vid hörnet af Ronneby- och Drottninggatorna . 	bib19349359_18951228_148383_153_0003_alto.xml-72-15
åska låta annandag jul på kväll höra sig $ dofva mullra i hammerdal $ jemtland $	2	0	annandag	Åskan lät annandag jul på kvällen höra sitt ; dofva mullrande i Hammerdal , Jemtland . 	bib15761570_18950105_146176_3_0002_alto.xml-168-2
tur från munkedal hamn julafton deu 24 denna och från göteborg annandag den 26 denna inställa $	11	0	annandag	turer från Munkedals Hamn julafton deu 24 dennes och från Göteborg annandagen den 26 dennes inställas . 	bib19225758_18951223_144022_299_0004_alto.xml-116-11
göteborg trafklubbs täiliogar vid partilled annandag pingst ha nu fastställa proposition $ rörande hvilka vi hänvisa till annons i dag nummer $	5	0	annandag	Göteborgs trafklubbs täiliogar vid Partilled annandag pingst ha nu fastställts propositioner , rörande hvilka vi hänvisa till annonsen i dagens nummer . 	bib15873371_18950517_145112_133_0001_alto.xml-74-5
å vikbolandsbanan gå pingstdag och annandag följa extratåg $ från norrköping till söderköping $ $ $ m $	5	0	annandag	Å Vikbolandsbanan gå Pingstdagen och Annandagen följande extratåg : från Norrköping till Söderköping kl. 8,16 f. m . 	bib15650837_18950530_146391_124_0001_alto.xml-14-5
påskdag och annandag påsk $ söndagsskolmöte med föredrag af j $ norberg $ stockholm och j $	2	0	annandag	Påskdagen och Annandag Påsk : Söndagsskolmöte med föredrag af J . Norberg , Stockholm och J . 	bib15873936_18960404_147385_40_0001_alto.xml-23-2
krylbo skyttegilles ny skjutbana vid avesta äng inviga högtidligen annandag pingst på $ m $	9	0	annandag	Krylbo skyttegilles nya skjutbana vid Avesta ängar invigdes högtidligen annandag pingst på e. m . 	bib11653790_19010604_145648_43_0003_alto.xml-2-9
redan annandag jul förmärka vat ten i kölrummet $ förmodligen på grund af att fartyg springa läck $	1	0	annandag	Redan Annandag jul förmärktes vat ten i kölrummet , förmodligen på grund af att fartyget sprungit läck . 	bib19227291_18950108_145289_3_0003_alto.xml-17-1
till folkriksdag 1896 komma walen att hälla mellan $ annandag jul och trettondag $	9	0	annandag	Till folkriksdagen 1896 komma walen att hällas mellan ' annandag jul och trettondagen . 	bib15650835_18951025_146472_90_0003_alto.xml-25-9
pingstdag ha friförbamlingen anordna en fest i sig kapell i bjällsfc och hos engström i hallsta ha frälsningsarmén ha festlig möte både på pingstlördagen $ pingstdag och annandag pingst $ sista gång till och med höja glädje medel kaffedrickning $	27	0	annandag	Pingstdagen hade friförBamlingen anordnat en fest i sitt kapell i Bjällsfc och hos Engström i Hallsta har frälsningsarmén haft festliga möten både på pingstlördagen , pingstdagen och annandag pingst , sista gången till och med höjande glädjen medels kaffedrickning . 	bib15761570_18950606_146176_94_0002_alto.xml-121-27
nättén till annandag påsk inträffa i österrike en jordskalf $ som synas ha omfatta monarki hel sydlig del $	2	0	annandag	Nättén till annandag påsk inträffade i Österrike ett jordskalf , som synes ha omfattat monarkiens hela sydliga del . 	bib15869824_18950417_145700_31_0003_alto.xml-32-2
medlem kalla till fortsätta allmän sammanträde annandag jul $ 3 $ m $	6	0	annandag	medlemmar kallas till fortsatt allmänt sammanträde Annandag Jul kl. 3 e. m . 	bib11653790_19001221_145648_101_0001_alto.xml-25-6
anordna karlshamn arbetarering till karlskrona annandag pingst $ den 3 juni $ med ångare blekinge sorn afgår härifrån $ 5 $ m $ $ afgångstideu från karlskrona bestämmes på ditresau $	5	0	annandag	anordnar Karlshamns Arbetarering till Karlskrona Annandag Pingst ( den 3 juni ) med ångaren Blekinge sorn afgår härifrån kl. 5 f. m . ; afgångstideu från Karlskrona bestämmes på ditresau . 	bib15975090_18950528_148377_62_0001_alto.xml-34-5
äskans mullra höra annandag jul i hammerdal $ der regn hel dag och natt förut stå som spö i back $ omtala i $	3	0	annandag	Äskans mullrande hördes annandag jul i Hammerdal , der regnet hela dagen och natten förut stod som spön i backen , omtalar I . 	bib19277180_18950114_147374_4_0003_alto.xml-34-3
inbjuda att dricka kaffe på berghem annandag pingst $ 7 $ m $ $ om väder vara lämplig $	6	0	annandag	inbjudas att dricka kaffe på Berghem Annandag Pingst kl. 7 f. m . , om vädret är lämpligt . 	bib19277301_18960521_145146_41_0001_alto.xml-21-6
