sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
slag motta till färgning $ stampning $ beredning och pressning $	7	0	beredning	slag mottagas till färgning , stampning , beredning och pressning . 	bib11653811_19010805_145317_119_0001_alto.xml-24-7
rekommendera sig till mottagning af all hvad till färgeriyrket hörer vadmal $ tyg till stampning $ färgning och beredning samt ullgarn till färgning i all modern kulör $	18	0	beredning	rekommenderar sig till mottagning af allt hvad till Färgeriyrket hörer Vadmal , tyger till stampning , färgning och beredning samt Ullgarn till färgning i alla moderna kulörer . 	bib15975087_18951106_145596_172_0004_alto.xml-59-18
för a $ $ bergquist i norrköping motta till färgning all sort kärner och väfnad af ylle $ halfylle och bomull $ väfnad för ali slag beredning såsom stampning $ skänning $ pressning m $	26	0	beredning	För A . F. Bergquist i Norrköping mottagas till färgning alla sorters Kärner och Väfnader af Ylle , Halfylle och Bomull , Väfnader för ali slags beredning såsom stampning , Skänning , Pressning m . 	bib15760690_18951116_145050_177_0001_alto.xml-32-26
emotta all sort raläder till beredning samt sälja färdigberedt läder $ pligg $ stist $ flogarn $ resår m $ m $ till billig pris $	5	0	beredning	emottager alla sorters raläder till beredning samt säljer färdigberedt läder , pligg , stist , flogarn , resårer m . m . till billigaste priser . 	bib15760690_18951019_145050_161_0004_alto.xml-45-5
emotta all sort färg $ stamp $ och beredning sgods $	8	0	beredning	emottager alla sorters färg- , stamp * och beredning sgods . 	bib11653790_19000629_145648_51_0001_alto.xml-28-8
få lärling lätt en ensidig utbildning i jord beredning och sär skildt vara denna fall med träda $ hvars behandling vara mycket olik på olik jordslag $	8	0	beredning	få lärlingarne lätt en ensidig utbildning i jordens beredning och sär skildt är detta fallet med trädan , hvars behandling är mycket olika på olika jordslag . 	bib11653811_18980917_145317_143_0003_alto.xml-53-8
på grund af preparat beskaffenhet kunna man se $ att beredning däraf utföra nied stor omsorg $	10	0	beredning	På grund af preparatets beskaffenhet kan man se , att beredningen däraf utföres nied stor omsorg . 	bib15650814_18951207_146365_287_0004_alto.xml-51-10
fån västbo meddela dock $ att stark nattfroster hittills där lägga hinder för jord brukning och beredning till sådd $	16	0	beredning	Fån Västbo meddelas dock , att starka nattfroster hittills där lagt hinder för jordens brukning och beredning till sådd . 	bib19225758_18950501_144022_100_0006_alto.xml-53-16
nära antydt åligga den han att verkställa undersökning af mosse med afseende på de lämplighet för beredning af bränntorf $ torfströ $ torf mull eller annan torfteknisk produkt $ att lemna $ och råd för torfberedning i $ stor som liten omfång samt att uppgöra förslag och kostnadsberäkning till fabriksanläggning för tillgodogörande af torf i industriell hänseende $	16	0	beredning	Närmare antydt åligger det honom att verkställa undersökningar af mossar med afseende på deras lämplighet för beredning af bränntorf , torfströ , torf mull eller annan torfteknisk produkt , att lemna anvisningar- och råd för torfberedning i såväl större som mindre omfång samt att uppgöra förslag och kostnadsberäkningar till fabriksanläggningar för tillgodogörande af torf i industriellt hänseende . 	bib11653790_19010730_145648_59_0002_alto.xml-77-16
utan blott $ 4 $ bill $ $ som voro en slag spetsig spade eller hacka för jord beredning genom gräfning $	18	0	beredning	utan blott » 4 st. Biller » , som voro ett slags spetsiga spadar eller hackor för jordens beredning genom gräfning . 	bib11653811_19020825_145317_129_0004_alto.xml-23-18
af garn och kläder $ beredning af vadmal $ kläde och all slag tyg $	5	0	beredning	af garn och kläder , beredning af vadmal , kläden och alla slags tyger . 	bib11653790_19001023_145648_84_0001_alto.xml-57-5
fyra undervisningskurs i beredning af guudaost komma att under sommar a nora nas vid torestorp mejeri för mejerskor och me $ eriidkaie $	3	0	beredning	Fyra undervisningskurser i beredning af guudaost Komma att under sommaren a nora nas vid Torestorp mejeri för mejerskor och me , eriidkaie . 	bib15869824_18960506_145700_36_0002_alto.xml-111-3
och beredning samt beredning af filt och schal m $ m $ rekommendera isynnerhet jag färgeri $	3	0	beredning	och beredning samt beredning af filtar och schalar m . m . rekommenderas isynnerhet mitt färgeri . 	bib15975087_18950911_145596_140_0004_alto.xml-13-3
thtfärgning all sort garn och väfnad af ylle $ halfylle och bomull $ väfnad för ali slag beredning såsom stampning $ skärning $ pressning m $	17	0	beredning	thTfärgning alla sorters Garner och Väfnader af ylle , halfylle och bomull ; Väfnader för ali slags beredning såsom stampning , skärning , pressning m . 	bib15975087_18951206_145596_189_0001_alto.xml-48-17
vadmal emotta till beredning $ oell färgning oell kunna underteckna garantera en frima arbete $ då ny jvicusltinor för beredning och färgning af vadmal anskaffa $	19	0	beredning	Vadmal emottages till Beredning ' oell Färgning oell kan undertecknad Garantera ett Frima Arbete , då Nya JVIcusltinor för Beredning och Färgning af Vadmal anskaffats . 	bib11653790_18950726_145648_31_0004_alto.xml-38-19
emotta till spillning och wäsning tor nyköpings pri belönta fabrik af fru rofö $ i ryhby samt färggods af wadmal till $ beredning $ garn till färgning i äkta färg $	22	0	beredning	emottages till spillning och wäsning tor Nyköpings pri belönta fabrik af fru Rofö » i Ryhby samt färggods af wadmal till sin-fin beredning , garn till färgning i äkta färger . 	bib15760690_18951026_145050_165_0004_alto.xml-55-22
sort räläder till beredning och rekomnienderar jag jag i den ära allmänhet hågkomst med en redbar arbete och billig pris $	3	0	beredning	sorter räläder till beredning och rekomnienderar jag mig i den ärade allmänhetens hågkomst med ett redbart arbete och billiga priser . 	bib15760690_18950327_145050_48_0004_alto.xml-74-3
väl och ärlig behandladt $ torde inlemna ull och stickylle till nedanstående ombud för hedemora yllefabrik spinneri $ väfveri $ ångfärgeri och beredning verk $	22	0	beredning	väl och ärligt behandladt , torde inlemna Ull och Stickylle till nedanstående ombud för Hedemora Yllefabriks Spinneri , Väfveri , Ångfärgeri och berednings verk . 	bib11653790_19030508_12541_35_0001_alto.xml-37-22
för beredning af sås till majonaiserna och den italiensk sallad förarbeta 3 centner åt gång $	1	0	beredning	för beredningen af såser till majonaiserna och den italienska salladen förarbeta 3 centner åt gången . 	bib11653811_18971206_145317_189_0003_alto.xml-129-1
$ visa korn hel $ hvar och en köpare kunna derför sjelf öfvertyga sig om att vara bestå af mala och att ej dålig säd eller förderfvadt mala aria $ vändts vid beredning $	32	0	beredning	Kathreiners-maltkaffe visar kornen hela — hvar och en köpare kan derför sjelf öfvertyga sig om att varan består af malt och att ej dålig säd eller förderfvadt malt ari * vändts vid beredningen . 	bib15975087_18950520_145596_77_0005_alto.xml-34-32
1893 ha h $ idka tillverkning af $ $ salubrin och anhålla derför för någon tid sedan örn tillstånd att för återbekommande af tillverkningsskatt för den bränvin $ som använda till beredning af salubrin $ få denaturera denna bränvin med ättiketer och ättika $	31	0	beredning	1893 hade H . idkat tillverkning af s. k. salubrin och anhöll derför för någon tid sedan örn tillstånd att för återbekommande af tillverkningsskatt för det bränvin , som användes till beredning af salubrin , få denaturera detta bränvin med ättiketer och ättika . 	bib19227291_18960114_145289_6_0002_alto.xml-53-31
ali slag lump motta af underteckna för beredning till sängklädersflock $	7	0	beredning	Ali slags Lump mottages af undertecknad för beredning till sängklädersflock . 	bib15650837_18951123_146391_274_0004_alto.xml-40-7
$ $ hvilken erfarenhet ha man i vi trakt om beredning och användning af pressfoder $	10	0	beredning	2:o ) Hvilken erfarenhet har man i våra trakter om beredning och användning af pressfoder ? 	bib11653790_18980902_145648_67_0008_alto.xml-62-10
harfvarna äro tillverka med stor möjlig omsorg och af prima materiel och kunna dessutom med skäl rekommendera herre landtbrukare såsom ett i allo utmärka redskap för jord beredning till gödning och så $	27	0	beredning	Harfvarna äro tillverkade med största möjliga omsorg och af prima materiel och kunna dessutom med skäl rekommenderas Herrar landtbrukare såsom ett i allo utmärkt redskap för jordens beredning till gödning och sådd . 	bib19277349_18950606_147403_74_0001_alto.xml-69-27
samt såning och gödselspridningsmaskiner och på den sen viss redskap för jord bearbetning samt anordning för beredning af ensilage $	16	0	beredning	samt sånings- och gödselspridningsmaskiner och på det senare vissa redskap för jordens bearbetning samt anordningar för beredning af ensilage . 	bib19227462_18950305_147640_54_0003_alto.xml-95-16
en ära allmänhet meddela $ att herr $ selllxig $ $ $ $ för jag räkning emotta $ bomull och ullgarn för färgning $ väfnad för färgning $ pressning och all slag beredning $	32	0	beredning	en ärade allmänheten meddelas , att Herr Fr. Selllxig ; , G-ustafs , för min räkning emottager : Bomulls- och Ullgarner för färgning , Väfnader för färgning , pressning och all slags beredning . 	bib11653790_18960612_145648_24_0001_alto.xml-62-32
sorn vara på försökstatian för beredning af fiskeriprodukt i bergen och tillika uppehålla sig sex vara på kontor i en fisk konserv oell preserv fabrik i tyskland $ önska anställning på kontor i sverige $ om möjlig i samma branch $	5	0	beredning	sorn varit på försökstatian för beredning af Fiskeriprodukter i Bergen och tillika uppehållit sig sex är på kontor i en fisk konserv- oell preserv fabrik i Tyskland , önskar anställning på kontor i Sverige , om möjligt i samma branch . 	bib19225758_18950705_144022_153_0004_alto.xml-3-5
gammal wrängebäcks gräddost $ som i beredning blifvet förfela med ojemn pipighet $ samt dertill någon vid kant skada $ vanlig pris 160 öre $	6	0	beredning	Gammal Wrängebäcks gräddost , som i beredningen blifvet förfelad med ojemn pipighet , samt dertill något vid kanten skadad , vanligt pris 160 öre . 	bib19349359_18950910_148383_107_0001_alto.xml-33-6
rå hud och skinn all slag motta till beredning $ och uppkö $ pas sån till dag hög pris $	8	0	beredning	Råa hudar och skinn alla slag mottagas till beredning , och uppkö ' pas sådana till dagens högsta pris . 	bib15869824_18950619_145700_49_0004_alto.xml-53-8
ej dölja för ni $ att jag upprepa gång försöka $ att sjelf tillwerka dylik $ men $ sträcka sig tydligen icke till beredning af kemikalie $	23	0	beredning	ej dölja för er , att jag upprepade gånger försökt , att sjelf tillwerka dylikt ; men min^talang sträcker sig tydligen icke till beredning af kemikalier . 	bib15760690_18950706_145050_101_0002_alto.xml-224-23
och beredning samt beredning af filt och schal m $ m $ rekommendera isynnerhet jag färgeri $	1	0	beredning	och beredning samt beredning af filtar och schalar m . m . rekommenderas isynnerhet mitt färgeri . 	bib15975087_18951218_145596_196_0004_alto.xml-75-1
fmottager till beredning samt uppköpa hud och all sort skinn $	2	0	beredning	Fmottager till Beredning samt uppköper Hudar och alla sorters Skinn . 	bib11653790_19030331_12541_25_0001_alto.xml-25-2
$ till beredning $ ull schal $ filt $ tyg m $ m $ profver härå till påseende $	2	0	beredning	Vii.tlma.1 till beredning , Ull Schalar , Filtar , Tyger m . m . Profver härå till påseende . 	bib15869824_18961114_145700_91_0004_alto.xml-11-2
flenskäriga plog och likartad redskap $ äfvensom anordsilugas9 för beredning af ensilage $ hvilka komma att pröfva vid uitusa $ $	9	0	beredning	flenskäriga plogar och likartade redskap , äfvensom anordsilugas9 för beredning af ensilage , hvilka komma att pröfvas vid Uitusa Laiidtbruks-iastitut . 	bib15978012_18950312_148361_60_0004_alto.xml-17-9
säker tycka vara att beredning lofva en god och sund föda $ eller låta så vara $ en öfverflödig $ men helsosam läckerhet $	4	0	beredning	Säkert tyckes vara att beredningen lofvar en god och sund föda — eller låt så vara : en öfverflödig , men helsosam läckerhet . 	bib15873936_18950907_147385_105_0004_alto.xml-18-4
vid moheda ångfärgeri emotta vadmal till stampning och beredning $	8	0	beredning	Vid Moheda Ångfärgeri emottages Vadmal till stampning och beredning . 	bib15650814_18950209_146365_35_0004_alto.xml-69-8
emotta hud och $ kinn för beredning till smoruder $ $ och häatladar $ samt naturell skinn $	6	0	beredning	emottager hudar och » kinn för beredning till SmorUder , Ross- och Häatladar , samt Naturella skinn . 	bib11653790_19001113_145648_90_0001_alto.xml-14-6
slag motta till färgning $ stampning $ beredning och pressning $	7	0	beredning	slag mottagas till färgning , stampning , beredning och pressning . 	bib11653811_19010807_145317_120_0001_alto.xml-16-7
